"","ORCL.Open","ORCL.High","ORCL.Low","ORCL.Close","ORCL.Volume"
"2011-09-15",28.61,29,28.26,28.95,28846435
"2011-09-22",28.74,29.03,27.83,28.34,61371439
"2011-09-29",29.98,30.62,29.08,29.65,44358810
"2011-10-06",29.46,30.1,28.98,30.07,34994173
"2011-10-13",30.96,31.3,30.57,31.14,27161512
"2011-10-20",31.59,31.75,30.88,31.53,25102395
"2011-10-27",33.09,33.81,32.95,33.66,35578870
"2011-11-03",32.26,33.15,32.18,33.11,27467144
"2011-11-10",31.94,32.03,31.3,31.73,25303831
"2011-11-17",31.85,32,30.47,30.82,41500411
"2011-12-01",31.4,31.78,31.14,31.67,22197012
"2011-12-08",31.24,31.5,30.65,30.74,24494352
"2011-12-15",30.14,30.2,28.81,29.03,43170326
"2011-12-22",25.86,25.87,25.38,25.69,44203783
"2011-12-29",25.67,25.84,25.5,25.8,19249815
"2012-01-05",26.01,26.9,25.91,26.59,50873452
"2012-01-12",27.02,27.26,26.62,27.17,31775711
"2012-01-19",28.48,28.8,28.25,28.56,36353194
"2012-01-26",28.56,28.84,28.15,28.29,34646490
"2012-02-02",28.87,29.25,28.71,28.81,27334432
"2012-02-09",28.85,28.9,28.35,28.89,31795315
"2012-02-16",28.16,29,28.13,28.95,36380671
"2012-02-23",28.61,28.88,28.32,28.81,25319159
"2012-03-01",29.4,29.97,29.23,29.83,32909666
"2012-03-08",30.4,30.44,29.85,30.07,30927328
"2012-03-15",29.96,30.13,29.74,30.06,35528530
"2012-03-22",29.33,29.33,28.56,28.63,59763260
"2012-03-29",29.21,29.58,29.1,29.3,34035472
"2012-04-05",29.15,29.63,29.13,29.56,43264831
"2012-04-12",28.32,28.72,28.16,28.7,29414323
"2012-04-19",28.99,29.46,28.67,29.01,26462407
"2012-04-26",28.84,29.22,28.74,29.02,20550528
"2012-05-03",29.74,29.82,29.34,29.38,19176518
"2012-05-10",27.7,27.75,26.74,27.02,52653299
"2012-05-17",26.7,26.72,26.25,26.25,29443634
"2012-05-24",26.62,26.65,25.9,26.12,34231940
"2012-05-31",26.22,26.72,26.17,26.47,32192248
"2012-06-07",27.75,27.76,27.18,27.18,32898572
"2012-06-14",27.09,27.35,26.51,26.91,34312058
"2012-06-21",28.49,28.64,27.75,27.81,32721808
"2012-06-28",28.03,28.26,27.73,28.17,27178878
"2012-07-05",29.83,29.93,29.71,29.72,19246449
"2012-07-12",29.45,29.46,28.61,28.82,23561988
"2012-07-19",30.6,31.11,30.56,30.86,26180404
"2012-07-26",29.79,30.36,29.7,30,26747028
"2012-08-02",29.87,30.4,29.74,29.92,22103400
"2012-08-09",31.16,31.55,31.15,31.37,14578421
"2012-08-16",31.64,32.21,31.54,32.03,20334251
"2012-08-23",31.56,31.75,31.31,31.58,14205158
"2012-08-30",31.3,31.38,31.16,31.17,17984626
"2012-09-06",32.18,32.79,32.16,32.63,22701099
"2012-09-13",32.32,32.79,32.09,32.62,27451791
"2012-09-20",32.6,32.88,32.19,32.26,38005681
"2012-09-27",30.76,31.42,30.7,31.22,23400139
"2012-10-04",31.85,31.98,31.65,31.9,25157273
"2012-10-11",30.73,31.09,30.62,30.72,20436261
"2012-10-18",31.14,31.24,30.76,31.12,26017481
"2012-10-25",30.87,31.22,30.71,30.86,20695940
"2012-11-01",31.2,31.52,30.93,31.48,22886596
"2012-11-08",30.73,30.98,30.41,30.42,17902783
"2012-11-15",29.58,30.07,29.56,29.95,26294938
"2012-11-29",31.92,32.14,31.81,31.84,22205271
"2012-12-06",31.99,32.11,31.9,32.03,25132871
"2012-12-13",31.93,32.01,31.39,31.61,20608560
"2012-12-20",34.09,34.25,33.93,33.94,28121673
"2012-12-27",33.54,33.62,33,33.27,21600289
