"","PAYX.Open","PAYX.High","PAYX.Low","PAYX.Close","PAYX.Volume"
"2011-09-15",26.71,27.24,26.49,27.19,2893428
"2011-09-22",25.8,26,25.53,25.9,5503336
"2011-09-29",27.36,27.6,26.65,27.11,8492691
"2011-10-06",26.22,26.77,25.98,26.77,2807154
"2011-10-13",28.13,28.27,27.95,28.24,2057707
"2011-10-20",28.48,28.67,27.94,28.28,8138082
"2011-10-27",29.64,30.12,29.43,29.92,4620960
"2011-11-03",28.9,29.61,28.82,29.56,3574768
"2011-11-10",28.98,29.06,28.6,28.77,1721288
"2011-11-17",28.63,28.71,28.14,28.32,2570906
"2011-12-01",29.18,29.3,29,29.17,2048338
"2011-12-08",29.47,29.73,29.34,29.41,2274737
"2011-12-15",29.51,29.57,29.24,29.35,1581647
"2011-12-22",29.31,29.58,29.2,29.48,2856316
"2011-12-29",29.92,30.2,29.88,30.18,1396958
"2012-01-05",30.12,30.94,29.94,30.76,3744714
"2012-01-12",31.15,31.25,30.86,31.12,1864155
"2012-01-19",31.88,32.47,31.71,32.33,3603803
"2012-01-26",32.59,32.67,32.35,32.56,9069870
"2012-02-02",31.84,31.84,31.59,31.6,2581780
"2012-02-09",31.7,31.75,31.47,31.68,1521287
"2012-02-16",31.35,31.82,31.3,31.6,2244500
"2012-02-23",31.25,31.39,31.17,31.32,1662640
"2012-03-01",31.57,32.04,31.47,31.59,3497371
"2012-03-08",31.23,31.35,31.13,31.3,3248041
"2012-03-15",31.74,31.84,31.51,31.77,2188357
"2012-03-22",31.67,32.01,31.64,31.98,2230720
"2012-03-29",31.66,31.91,31.26,31.35,3752579
"2012-04-05",31.4,31.57,31.34,31.55,2520294
"2012-04-12",31.06,31.24,30.86,31.21,1487437
"2012-04-19",30.92,30.99,30.6,30.77,2224734
"2012-04-26",30.76,31.15,30.73,31.11,6641105
"2012-05-03",30.8,30.82,30.56,30.63,1795605
"2012-05-10",30.1,30.24,29.75,29.86,2126258
"2012-05-17",30.21,30.28,29.91,29.91,3727578
"2012-05-24",30.37,30.59,30.15,30.42,2063850
"2012-05-31",30.09,30.22,29.91,29.97,3548110
"2012-06-07",30.68,30.91,30.59,30.66,2575415
"2012-06-14",31.19,31.82,31.09,31.72,3285182
"2012-06-21",32.64,32.64,31.99,32.1,2718737
"2012-06-28",31.56,31.79,30.54,30.98,5842000
"2012-07-05",31.46,31.89,31.25,31.74,2646942
"2012-07-12",31.44,31.68,31.17,31.5,3488343
"2012-07-19",33.02,33.17,32.59,32.73,10515546
"2012-07-26",32.51,32.8,32.31,32.54,1856209
"2012-08-02",32.26,32.4,31.91,32.06,3836995
"2012-08-09",32.94,32.97,32.74,32.92,1270687
"2012-08-16",32.99,33.34,32.89,33.28,1825724
"2012-08-23",32.83,33.03,32.67,32.98,1687348
"2012-08-30",33.18,33.31,32.99,33.2,1740544
