"","PBCT.Open","PBCT.High","PBCT.Low","PBCT.Close","PBCT.Volume"
"2011-09-15",12.4,12.46,12.18,12.42,10426191
"2011-09-22",11.3,11.48,11.26,11.38,6969462
"2011-09-29",11.74,11.83,11.44,11.74,6336076
"2011-10-06",11.54,11.9,11.47,11.88,6028449
"2011-10-13",12.18,12.26,11.87,12.19,5357485
"2011-10-20",12.19,12.34,11.94,12.34,13465964
"2011-10-27",12.6,13.03,12.6,12.91,8098843
"2011-11-03",12.52,12.59,12.26,12.53,4764738
"2011-11-10",12.64,12.71,12.44,12.64,4879898
"2011-11-17",12.52,12.63,12.26,12.32,3571515
"2011-12-01",12.44,12.54,12.27,12.51,3376222
"2011-12-08",12.61,12.63,12.18,12.21,6605747
"2011-12-15",12.49,12.51,12.31,12.32,3270720
"2011-12-22",12.51,12.83,12.44,12.8,3061136
"2011-12-29",12.79,12.93,12.75,12.91,1956520
"2012-01-05",13.09,13.35,12.96,13.21,3956121
"2012-01-12",13.46,13.58,13.22,13.53,8453823
"2012-01-19",13.4,13.47,13.3,13.39,4404521
"2012-01-26",12.8,12.84,12.6,12.63,4597150
"2012-02-02",12.34,12.41,12.2,12.28,4620699
"2012-02-09",12.58,12.66,12.49,12.52,3674592
"2012-02-16",12.64,12.71,12.59,12.7,2717059
"2012-02-23",12.37,12.53,12.35,12.53,2974148
"2012-03-01",12.56,12.78,12.56,12.72,3946476
"2012-03-08",12.54,12.58,12.42,12.45,1838130
"2012-03-15",13,13.32,12.97,13.28,4486440
"2012-03-22",13.17,13.25,13.07,13.2,3018987
"2012-03-29",13.28,13.34,13.07,13.16,2767785
"2012-04-05",13.18,13.24,13.04,13.11,2289260
"2012-04-12",12.65,12.75,12.53,12.74,5268646
"2012-04-19",12.89,12.95,12.41,12.43,5147783
"2012-04-26",12.39,12.52,12.38,12.52,5082164
"2012-05-03",12.37,12.42,12.3,12.3,6285904
"2012-05-10",12.13,12.16,12.03,12.07,2737990
"2012-05-17",11.81,11.86,11.69,11.7,2238375
"2012-05-24",11.97,11.99,11.83,11.93,2050990
"2012-05-31",11.64,11.75,11.61,11.63,5955413
"2012-06-07",11.54,11.6,11.47,11.55,3340777
"2012-06-14",11.51,11.61,11.5,11.6,2284298
