"","PCAR.Open","PCAR.High","PCAR.Low","PCAR.Close","PCAR.Volume"
"2011-09-15",37.69,38.81,37.6,38.38,4393574
"2011-09-22",34.27,34.63,33.14,33.42,6888887
"2011-09-29",35.8,36.2,34.85,35.69,3297459
"2011-10-06",35.74,36.52,35.24,36.52,2165854
"2011-10-13",38.62,38.96,37.9,38.79,2718287
"2011-10-20",40.27,40.46,38.85,40.01,3612679
"2011-10-27",42.98,44.34,42.21,43.89,5790598
"2011-11-03",43.09,44.02,42.29,43.84,3581840
"2011-11-10",42.45,42.66,41.51,41.85,3247360
"2011-11-17",40.39,40.65,39.17,39.41,3840704
"2011-12-01",40.49,41.21,40.2,40.35,2323128
"2011-12-08",39.56,40.09,38.64,38.74,2494804
"2011-12-15",36.92,37.22,36.31,36.38,2427997
"2011-12-22",37.08,37.7,37.08,37.55,1499020
"2011-12-29",37.06,37.5,36.85,37.46,977812
"2012-01-05",38.94,40.63,38.75,40.36,4187056
"2012-01-12",42.47,42.8,41.82,42.31,2796765
"2012-01-19",43.23,44.16,42.91,43.91,2720388
"2012-01-26",46.19,46.19,44.45,44.55,3365104
"2012-02-02",43.95,44.2,42.76,43.24,4708979
"2012-02-09",43.93,43.95,43.4,43.76,2134355
"2012-02-16",45.09,47,44.82,46.51,7437860
"2012-02-23",45.52,46.16,45.05,45.89,2422313
"2012-03-01",46.25,46.61,45.8,46.03,1669227
"2012-03-08",45.11,45.73,45.01,45.27,2026862
"2012-03-15",47.42,47.84,46.83,47.75,2068323
"2012-03-22",46.38,46.53,45.59,46.22,1857227
"2012-03-29",46.38,46.93,46,46.85,1304511
"2012-04-05",45.61,46.22,45.61,45.96,2013775
"2012-04-12",42.44,43.47,42.24,43.3,2315863
"2012-04-19",42.56,43.52,42.18,42.51,2625144
"2012-04-26",42.52,43.28,42.33,43.12,2724392
"2012-05-03",42.86,42.86,41.86,41.99,3260092
"2012-05-10",40.91,41.25,38.46,39.45,9502364
"2012-05-17",38.75,38.92,37.64,37.9,3749399
"2012-05-24",39,39.04,38.06,38.5,2222142
"2012-05-31",37.78,38.01,37,37.57,3006218
"2012-06-07",38.07,38.81,37.73,37.78,2088931
"2012-06-14",38.63,39.25,38.32,39.01,2453716
"2012-06-21",40.1,40.3,38.31,38.39,2666022
"2012-06-28",37.39,37.9,37.09,37.65,2087210
"2012-07-05",38.53,38.83,37.93,38.37,2096077
"2012-07-12",35.65,36.36,35.21,36.12,3689745
"2012-07-19",37.69,38.21,37.51,37.74,1920264
"2012-07-26",38.36,38.86,38.11,38.64,2459726
"2012-08-02",39.63,39.81,37.67,38.57,4323730
"2012-08-09",40.38,41.06,40.38,40.81,1908528
"2012-08-16",41.24,41.94,41.21,41.72,1670566
"2012-08-23",40.41,40.87,39.98,40.03,2157602
"2012-08-30",39.43,39.61,39.22,39.38,1027390
"2012-09-06",39.62,41.01,39.61,41.01,2394565
"2012-09-13",41.44,42.42,40.61,41.82,2546451
"2012-09-20",41.91,42.08,41.43,41.96,2058351
"2012-09-27",39.97,40.45,39.76,40.15,1404658
"2012-10-04",41.07,41.68,40.41,41.62,3189441
"2012-10-11",40.4,40.4,39.83,39.9,2880946
"2012-10-18",40.84,40.98,40.65,40.84,2712087
"2012-10-25",42.17,43.06,41.04,42.78,10482353
"2012-11-01",43.5,45.56,43.21,45.32,4794509
"2012-11-08",43.49,44,43.14,43.21,2383767
"2012-11-15",41.61,41.95,41.17,41.78,2875095
"2012-11-29",44.27,44.49,44.02,44.18,1462191
"2012-12-06",44.02,44.05,43.29,43.29,3043687
"2012-12-13",44.63,44.81,43.84,43.9,2048268
"2012-12-20",45.04,45.04,44.55,44.98,1895318
"2012-12-27",44.78,44.89,43.78,44.62,1677494
"2013-01-03",45.96,46.85,45.96,46.33,2403148
"2013-01-10",45.92,46.04,45.48,46.01,1961661
"2013-01-17",45.73,46.59,45.73,46.45,1309681
"2013-01-24",46.46,48.5,46.23,47.77,4306384
"2013-01-31",47.79,48.75,46.94,47.06,3739713
"2013-02-07",47.03,47.59,46.51,47.16,2282441
"2013-02-14",47.81,48.19,47.44,48.17,1141865
"2013-02-21",47.14,47.2,46.27,46.69,1962912
"2013-02-28",47.46,48.02,47.39,47.45,1543304
"2013-03-07",48.74,49.74,48.68,49.4,2839743
"2013-03-14",50.75,51.14,50.6,51.08,1400683
"2013-03-21",49.61,49.8,48.96,49.61,3012852
"2013-03-28",50.05,50.65,50.02,50.56,1535954
"2013-04-04",48.63,48.95,48.08,48.39,2539129
"2013-04-11",50.33,50.86,50.12,50.55,1431851
"2013-04-18",47.62,47.92,47.16,47.38,1431603
"2013-04-25",49.34,50.16,49.11,49.82,2047813
"2013-05-02",49.67,51.2,49.58,50.89,2363175
"2013-05-09",52.93,53.41,52.51,52.69,1664195
"2013-05-16",52.92,53.44,52.62,52.77,1735693
"2013-05-23",53.67,54.24,53.61,53.96,1281671
"2013-05-30",53.95,54.66,53.93,54.17,746514
"2013-06-06",52.96,53.35,52.45,53.34,1026110
"2013-06-13",52.44,54.13,52.33,53.9,1065669
"2013-06-20",53.14,53.26,52.02,52.21,1671944
"2013-06-27",52.96,53.72,52.86,53.63,1513892
"2013-07-11",55.49,56.91,55.3,56.82,2419921
"2013-07-18",56.75,57.78,56.72,57.54,1235322
"2013-07-25",56.21,56.42,55.71,56.13,1323842
"2013-08-01",56.75,57.13,56.54,56.82,1439598
"2013-08-08",56.1,56.28,55.58,56.01,928481
"2013-08-15",55.18,55.22,54.48,54.84,960249
"2013-08-22",54.29,55.4,54.26,55.24,849030
"2013-08-29",53.71,54.46,53.65,54,1000234
"2013-09-05",54.08,54.9,53.94,54.6,1399841
"2013-09-12",55.94,56.12,55.71,55.98,914730
"2013-09-19",57.96,58.32,57.77,58.05,1107338
"2013-09-26",56.65,56.78,56.16,56.44,949478
"2013-10-03",55.81,56.13,55.11,55.36,1689505
"2013-10-10",54.75,55.8,54.7,55.71,1988507
"2013-10-17",56.67,57.5,56.36,57.44,1065736
"2013-10-24",58.41,58.52,57.86,58.47,944465
"2013-10-31",55.72,55.92,55.32,55.6,1693247
"2013-11-07",56.97,57.16,55.93,56.04,1215109
"2013-11-14",56.8,57.03,56.46,57,884388
"2013-11-21",55.52,56.4,55.2,56.31,1132604
"2013-12-05",55.58,55.99,55.37,55.6,1079739
"2013-12-12",55.99,56.77,55.94,56.04,1469457
"2013-12-19",57.47,57.73,56.98,57.29,994887
"2013-12-26",58.26,58.89,58.19,58.72,900630
"2014-01-02",58.94,59,58.22,58.51,1077979
"2014-01-09",59.09,59.24,58.24,59,1054496
"2014-01-16",59,59.25,58.7,59.25,1130755
"2014-01-23",58.35,58.82,58.2,58.25,1719228
"2014-01-30",57.06,57.75,56.35,57.45,2129037
"2014-02-06",56.81,58.84,56.72,58.63,3101628
"2014-02-13",58.76,59.9,58.35,59.85,2040405
"2014-02-20",61.95,62.29,61.65,62,1402644
"2014-02-27",65.49,65.5,64.2,64.99,1657256
"2014-03-06",65.69,65.95,65.38,65.89,1226753
"2014-03-13",66.63,66.63,64.81,65.3,2170830
"2014-03-20",66.24,67.18,66.11,66.94,1076599
"2014-03-27",66.52,66.67,65.59,65.92,2137808
"2014-04-03",68.14,68.25,67.16,67.41,2120368
"2014-04-10",66.6,66.69,64.76,64.96,2522521
"2014-04-17",65.54,65.86,65.19,65.38,1332564
"2014-04-24",66.07,66.76,66.07,66.29,1321441
"2014-05-01",63.73,64.43,63.7,64.09,1680608
"2014-05-08",63.51,63.66,62.4,63,1654849
"2014-05-15",62,62,60.44,61.21,2496737
"2014-05-22",62.07,62.65,61.94,62.33,1082594
"2014-05-29",63.86,63.88,63.19,63.42,1537118
"2014-06-05",63.61,64.09,63.21,63.95,900247
"2014-06-12",63.92,63.92,62.68,62.91,1190766
"2014-06-19",63.97,64.36,63.56,64.23,1643498
"2014-06-26",63.94,63.94,62.84,63.3,1512196
"2014-07-03",66.6,67.64,66.51,67.25,3707421
"2014-07-10",64.67,65.6,64.33,64.96,1384113
"2014-07-17",65.68,66.4,65.26,65.43,1114167
"2014-07-24",65.88,65.99,65.48,65.55,1033879
"2014-07-31",63.52,63.7,62.2,62.27,1780918
"2014-08-07",61.38,61.65,60.51,60.78,1335108
"2014-08-14",62.14,62.34,62,62.32,670033
"2014-08-21",64.33,64.4,63.26,63.32,1129753
"2014-08-28",62.91,62.91,62.04,62.69,808151
"2014-09-04",62.49,63.03,62.11,62.32,1638151
"2014-09-11",60.13,60.74,60.11,60.67,1212008
"2014-09-18",59.78,60.16,59.53,60.08,1206893
"2014-09-25",58.32,58.55,57.59,57.73,1877651
"2014-10-02",56.16,57.44,56.1,57.06,2922768
"2014-10-09",57.49,58.91,57.17,57.4,3410053
"2014-10-16",56.34,58.38,56,58.05,2318813
"2014-10-23",60.03,60.82,59.81,60.58,1836392
"2014-10-30",60.42,63.98,60.42,63.85,1979078
"2014-11-06",66.04,66.74,65.82,66.57,2189178
"2014-11-13",67.05,67.15,66.28,66.45,1437936
"2014-11-20",65.75,66.51,65.47,66.49,1308313
"2014-12-04",71.15,71.15,70.06,70.23,1600347
"2014-12-11",68.78,69.78,68.37,69.45,2059522
"2014-12-18",68.94,69.54,68.4,69.54,2601548
"2015-01-08",67.45,67.75,66.89,67.71,2057977
"2015-01-15",64.99,65.42,63.32,63.36,1981955
"2015-01-22",64.8,65.42,63.92,64.67,2551602
"2015-01-29",63.69,64.32,63.37,64.05,3030215
"2015-02-05",62.97,63.34,61.85,62.25,2296609
"2015-02-12",63.1,63.29,62.62,63.24,1233999
"2015-02-19",64.33,64.99,64,64.5,1341669
"2015-02-26",64.72,65.08,64.36,64.65,1501335
"2015-03-05",62.22,62.82,62.13,62.45,1619330
"2015-03-12",61.42,62.42,61.35,62.36,1088834
"2015-03-19",63.49,63.73,62.5,62.59,1310037
"2015-03-26",62.6,63.17,62.16,62.32,1654443
"2015-04-02",61.9,62.28,60.78,61.2,2632685
"2015-04-09",62.47,63.23,62.47,63.19,1690816
"2015-04-16",64.03,64.24,63.62,63.95,1039857
"2015-04-23",67.26,67.39,66.46,66.49,2255184
"2015-04-30",65.79,66.21,64.97,65.35,1962879
"2015-05-07",64.82,65.85,64.31,65.68,1821128
"2015-05-14",67.03,67.17,66.61,66.82,1456760
"2015-05-21",65.26,65.68,65.09,65.54,801353
"2015-05-28",66.17,66.2,64.96,65.17,1135277
"2015-06-04",64.07,64.34,63.59,63.82,1018916
"2015-06-11",65.09,65.55,65.01,65.47,1315538
"2015-06-18",63.99,65.19,63.99,64.84,1546656
"2015-06-25",65.05,65.24,64.03,64.33,1391030
"2015-07-02",64.4,64.73,64.21,64.69,1961375
"2015-07-09",63.76,64.11,62.9,62.9,2158370
"2015-07-16",65.39,65.79,65.21,65.54,1544193
"2015-07-23",65.3,65.75,65.01,65.29,2500248
"2015-07-30",64.76,64.93,63.51,64.76,3147665
"2015-08-06",63.67,63.73,62.99,63.3,1603797
"2015-08-13",62.6,63.01,62.19,62.67,1055034
"2015-08-20",62.25,62.26,60.82,60.82,2058305
"2015-08-27",59.86,60,58.48,59.58,2929126
"2015-09-03",58.27,58.76,57.94,58.07,2489213
"2015-09-10",57.21,57.83,57.01,57.34,2231663
"2015-09-17",58.47,58.82,57.6,57.75,2162957
"2015-09-24",54.47,54.86,53.63,54.49,2894074
"2015-10-01",52.27,52.71,51.02,51.66,2792063
"2015-10-08",54.87,55.97,54.65,55.8,1892007
"2015-10-15",53.56,54.5,52.71,53.48,2353547
"2015-10-22",53.83,54.25,52.88,53.93,2672038
"2015-10-29",53.62,53.76,52.74,53.14,1850766
"2015-11-05",52.88,53.55,52.39,53.48,1988108
"2015-11-12",50.87,51.11,49.9,49.98,2015369
"2015-11-19",51.45,51.5,50.56,51.06,1948477
"2015-12-03",48.61,49.89,48.27,48.79,6483806
"2015-12-10",48.7,49.3,48.55,48.88,1799096
"2015-12-17",46.72,46.84,45.42,45.44,2893374
"2015-12-24",48.58,48.88,48.31,48.45,723456
"2015-12-31",47.78,48.05,47.39,47.4,1329696
"2016-01-07",45.79,46.52,45.57,45.75,2955882
"2016-01-14",44.69,46.02,43.78,45.71,3052072
"2016-01-21",45.53,46.42,44.95,45.81,2995373
"2016-01-28",47.69,47.99,46.01,47.36,3144778
"2016-02-04",47.92,50.21,47.81,50,3508688
"2016-02-11",47.87,49.1,47.53,48.29,1813645
"2016-02-18",51.9,52.35,50.7,51.28,2405505
"2016-02-25",51.53,51.82,50.73,51.82,1919100
"2016-03-03",52.17,54.16,52.09,54.06,3819454
"2016-03-10",52.56,52.68,51.26,51.78,2064678
"2016-03-17",54.11,55.35,53.95,54.94,2302416
"2016-03-24",53.01,53.46,51.93,53.45,1499013
"2016-03-31",54.66,54.8,54.14,54.69,2049232
"2016-04-07",52.71,53,52.21,52.42,1591855
