"","PEP.Open","PEP.High","PEP.Low","PEP.Close","PEP.Volume"
"2014-09-15",91.07,91.31,90.78,91.2,3770687
"2014-09-16",91.14,93.09,90.95,92.57,5155350
"2014-09-17",92.67,93.31,92.05,92.85,4997193
"2014-09-18",92.97,93.5,92.7,93.37,4757606
"2014-09-19",93.86,94.21,93.42,93.79,6259505
"2014-09-22",93.42,93.78,93.29,93.58,3790579
"2014-09-23",93.55,93.58,92.84,92.93,3390277
"2014-09-24",93.11,94.04,93.08,93.5,4227262
"2014-09-25",93.4,93.43,92.48,92.67,4372360
"2014-09-26",92.5,93.33,92.44,93.13,3536266
"2014-09-29",92.51,93.39,92.51,93.15,2973610
"2014-09-30",92.95,93.43,92.92,93.09,4220143
"2014-10-01",92.67,93.22,92.42,92.65,4842772
"2014-10-02",92.81,92.92,92.33,92.58,3513750
"2014-10-03",93.01,93.53,92.65,93.5,4084603
"2014-10-06",93.5,93.65,92.78,93.37,3733095
"2014-10-07",93.29,93.54,92.9,93.1,6799862
"2014-10-08",92.95,93.94,92.76,93.94,5716725
"2014-10-09",95.35,96.22,93.56,93.57,9094388
"2014-10-10",93.66,95.9,93.66,94.65,8354627
"2014-10-13",94.71,95.45,93.83,93.94,5195322
"2014-10-14",94.46,94.52,92.59,93.01,5869007
"2014-10-15",91.84,92.56,90.76,91.77,8584059
"2014-10-16",90.27,91.02,89.82,90.79,7228023
"2014-10-17",91.09,92,90.55,91.51,6260164
"2014-10-20",91.66,93.72,91.59,93.55,6888587
"2014-10-21",93.26,93.96,92.17,93.73,6982230
"2014-10-22",93.85,95.02,93.64,94.46,5148215
"2014-10-23",94.94,95.32,93.5,93.76,5804955
"2014-10-24",93.76,94.79,93.55,94.6,4005843
"2014-10-27",94.48,95.24,94.31,94.62,3135454
"2014-10-28",94.69,95.26,94.3,95.26,3372697
"2014-10-29",95.5,95.5,94.07,94.69,3274336
"2014-10-30",94.45,96.1,94.15,95.65,3567175
"2014-10-31",96.41,96.74,95.58,96.17,5259362
"2014-11-03",95.94,96.43,95.61,95.83,4328966
"2014-11-04",96.14,96.84,95.99,96.73,3944484
"2014-11-05",97.52,97.86,96.37,96.89,3804096
"2014-11-06",96.96,97.2,96.51,96.81,4198532
"2014-11-07",96.81,96.81,95.5,96.8,5273399
"2014-11-10",96.4,96.98,96.16,96.97,3345479
"2014-11-11",96.96,97.38,96.64,96.7,3263623
"2014-11-12",96.7,97.39,96.22,97.16,3247530
"2014-11-13",96.53,98.96,96.53,98.54,6257928
"2014-11-14",98.49,98.55,97.36,97.72,4335384
"2014-11-17",96.85,98.55,96.85,98.42,3745202
"2014-11-18",98.42,98.5,97.86,97.94,3908644
"2014-11-19",97.94,98.44,97.75,98.41,3396799
"2014-11-20",98.01,98.62,97.86,98.06,3727138
"2014-11-21",99.03,99.13,98.24,98.89,5259803
"2014-11-24",98.88,99.25,98.49,98.68,4540688
"2014-11-25",98.51,99.19,98.5,98.93,3640863
"2014-11-26",99.25,99.64,99.01,99.35,2685579
"2014-11-28",99.72,100.7,99.52,100.1,2504268
"2014-12-01",98.56,100.14,98.49,99.67,3658517
"2014-12-02",99.98,100.57,99.61,100.39,3888040
"2014-12-03",99.7,99.7,98.18,98.32,4943770
"2014-12-04",98.04,98.28,97.4,97.75,4590476
"2014-12-05",97.62,97.93,97.2,97.76,5308199
"2014-12-08",97.87,98.11,97.5,97.78,4233782
"2014-12-09",97.22,97.75,96.21,97.13,3459737
"2014-12-10",97.23,97.6,96.07,96.18,3972303
"2014-12-11",96.3,97,96.01,96.29,4784694
"2014-12-12",95.59,96.77,94.71,94.74,3938216
"2014-12-15",95.13,95.72,93.86,94.14,4555217
"2014-12-16",93.54,94.97,92.53,92.59,6962762
"2014-12-17",92.79,94.1,92.43,93.72,6196519
"2014-12-18",94.71,95.41,93.74,95.36,8122804
"2014-12-19",95.3,96.2,95.21,95.44,7678724
"2014-12-22",95.79,96.66,95.47,96.62,3622999
"2014-12-23",97.24,97.5,96.86,97.36,3072368
"2014-12-24",97.5,97.89,97.05,97.09,1608616
"2014-12-26",97.12,97.57,96.97,97.05,1492689
"2014-12-29",96.62,97.1,96.02,96.73,2453829
"2014-12-30",96.21,96.78,95.92,95.96,2134434
"2014-12-31",95.67,95.98,94.54,94.56,3727376
"2015-01-02",94.93,95.34,94.05,94.44,3554777
"2015-01-05",94.45,95.05,93.72,93.73,6440954
"2015-01-06",94.08,94.62,92.94,93.02,6194995
"2015-01-07",95.13,96.23,94.43,95.74,6526279
"2015-01-08",96.74,97.91,96.68,97.48,7131624
"2015-01-09",97.55,97.67,96.59,96.82,4061535
"2015-01-12",96.95,97.34,96.19,96.42,4192739
"2015-01-13",96.67,97.49,95.82,96.35,5373499
"2015-01-14",95.46,96.8,95.46,96.67,5127849
"2015-01-15",97.14,97.32,96.38,96.67,4424008
"2015-01-16",96.66,97.43,96.34,97.29,4404358
"2015-01-20",98.33,98.33,96.83,97.51,7029455
"2015-01-21",97.02,98.22,96.6,97.4,5031061
"2015-01-22",97.48,99,97.04,98.9,7620426
"2015-01-23",98.36,98.99,98.1,98.53,4857695
"2015-01-26",98.19,98.95,97.67,98.69,4298681
"2015-01-27",97.65,98.05,95.25,96.72,7365306
"2015-01-28",97.21,97.77,95.66,95.72,6280100
"2015-01-29",95.72,96.48,94.87,96.03,4600274
"2015-01-30",95.11,95.33,93.56,93.78,7741531
"2015-02-02",93.86,95.44,93.6,95.33,6889501
"2015-02-03",96.02,96.56,95.58,96.2,5090350
"2015-02-04",96.03,97.27,96.03,96.6,5064710
"2015-02-05",97.23,97.23,96.41,96.61,4466206
"2015-02-06",96.68,97.06,96.35,96.71,4629236
"2015-02-09",96.58,96.91,95.59,95.97,4217118
"2015-02-10",96.73,98.1,96.38,97.99,6797404
"2015-02-11",100.05,100.76,99.2,100.4,9736400
"2015-02-12",100.05,100.5,99.38,100.27,9062289
"2015-02-13",100.15,100.15,98.94,99.13,5642975
"2015-02-17",98.45,98.71,98,98.36,5877815
"2015-02-18",98.24,99.49,98.16,99.33,3472486
"2015-02-19",99.3,99.6,98.53,98.72,4186264
"2015-02-20",98.22,99.07,97.83,99.06,3946209
"2015-02-23",99.16,99.48,98.74,99.45,3075845
"2015-02-24",99.45,99.97,99.14,99.58,3389854
"2015-02-25",99.68,99.82,98.91,99.5,3366098
"2015-02-26",99.15,99.36,98.98,99.07,5721960
"2015-02-27",99.22,99.37,98.97,98.98,6461717
"2015-03-02",98.9,99.3,98.73,99,3613572
"2015-03-03",98.82,98.95,98.12,98.4,4148507
"2015-03-04",97.72,97.84,97.12,97.36,3885236
"2015-03-05",97.7,97.83,97.21,97.23,3537435
"2015-03-06",97,97.15,95.94,96.17,6466070
"2015-03-09",96,96.5,95.97,96.04,4810515
"2015-03-10",95.38,95.6,94.43,94.43,5390258
"2015-03-11",94.46,94.63,93.45,93.63,4637261
"2015-03-12",93.96,95.76,93.84,95.71,4454966
"2015-03-13",94.89,95.59,93.94,94.32,4703849
"2015-03-16",94.56,95.53,94.48,95.45,4687405
"2015-03-17",94.94,95.29,94.06,94.13,4507415
"2015-03-18",93.99,95.05,92.24,94.64,7692072
"2015-03-19",94.43,94.58,93.7,94.1,4386405
"2015-03-20",94.2,95.48,94.1,95.34,8810365
"2015-03-23",95.47,96.12,95.34,95.85,4739420
"2015-03-24",96.71,97.16,95.81,95.86,7118581
