"","PFE.Open","PFE.High","PFE.Low","PFE.Close","PFE.Volume"
"2011-09-15",18.49,18.52,18.25,18.49,44349206
"2011-09-22",17.57,17.71,17.3,17.49,62445243
"2011-09-29",17.79,18.11,17.68,17.98,56402287
"2011-10-06",18.01,18.25,17.88,18.23,50682186
"2011-10-13",18.72,18.86,18.58,18.76,30565878
"2011-10-20",18.78,18.95,18.52,18.73,42019613
"2011-10-27",19.63,19.95,19.52,19.66,51462644
"2011-11-03",19.69,19.94,19.58,19.88,68243366
"2011-11-10",19.47,19.98,19.47,19.79,44096338
"2011-11-17",19.57,19.67,19.26,19.47,41843278
"2011-12-01",20.03,20.21,19.89,20.03,42808892
"2011-12-08",20.32,20.54,20.12,20.19,36040646
"2011-12-15",20.95,21.25,20.91,21.14,56696077
"2011-12-22",21.65,21.75,21.56,21.63,37286252
"2011-12-29",21.53,21.76,21.53,21.71,19676377
"2012-01-05",21.72,21.72,21.39,21.6,50061598
"2012-01-12",21.95,22,21.88,21.99,27359171
"2012-01-19",21.9,21.91,21.59,21.84,34904711
"2012-01-26",21.77,21.8,21.49,21.63,135670949
"2012-02-02",21.23,21.31,20.8,21.11,57518837
"2012-02-09",21.05,21.25,21,21.14,28940479
"2012-02-16",21.17,21.38,21.06,21.33,24187179
"2012-02-23",21.27,21.38,21.02,21.03,38909947
"2012-03-01",21.07,21.65,21.05,21.49,47557050
"2012-03-08",21.51,21.57,21.42,21.46,36903659
"2012-03-15",21.95,22,21.81,21.91,30906991
"2012-03-22",21.73,21.86,21.7,21.73,21099492
"2012-03-29",22.26,22.45,22.18,22.42,33356620
"2012-04-05",22.27,22.36,22.22,22.34,22058812
"2012-04-12",22.05,22.05,21.86,21.92,40459969
"2012-04-19",22.53,22.58,22.2,22.34,31451007
"2012-04-26",22.87,23.11,22.82,23.06,110843955
"2012-05-03",22.67,22.7,22.51,22.6,25103722
"2012-05-10",22.7,22.99,22.62,22.83,53334390
"2012-05-17",22.62,22.8,22.53,22.56,38403330
"2012-05-24",22.15,22.17,21.92,22.14,26166854
"2012-05-31",22.09,22.22,21.85,21.87,54903105
"2012-06-07",21.96,22.15,21.9,21.94,27802960
"2012-06-14",22.15,22.74,22.15,22.56,30813221
"2012-06-21",22.76,22.94,22.57,22.6,25415989
"2012-06-28",22.63,22.7,22.26,22.53,23016895
"2012-07-05",22.81,22.89,22.57,22.67,24559087
"2012-07-12",22.31,22.78,22.15,22.67,43230488
"2012-07-19",23.6,23.83,23.46,23.8,107223932
"2012-07-26",23.54,23.69,23.43,23.48,25507563
"2012-08-02",23.81,24,23.63,23.92,30123482
"2012-08-09",23.83,24.06,23.72,23.87,24557895
"2012-08-16",24.07,24.08,23.83,24.02,21251895
"2012-08-23",23.77,23.83,23.7,23.74,21102512
"2012-08-30",23.87,23.99,23.81,23.84,19749273
"2012-09-06",24.1,24.38,24.09,24.34,23555708
"2012-09-13",24.04,24.26,23.85,24.25,30912629
"2012-09-20",24.13,24.41,24.04,24.41,27196719
"2012-09-27",24.87,25.02,24.86,24.96,23091243
"2012-10-04",25.42,25.47,25.31,25.35,25019121
"2012-10-11",25.28,25.39,25,25.12,22868977
"2012-10-18",25.69,26.09,25.68,26.04,27315799
"2012-10-25",25.47,25.66,25.36,25.61,26028056
"2012-11-01",24.82,24.82,24.39,24.55,54437278
"2012-11-08",24.16,24.4,24.02,24.16,35681499
"2012-11-15",23.71,23.92,23.55,23.66,27416810
"2012-11-29",24.71,24.93,24.71,24.85,31644038
"2012-12-06",25.55,25.78,25.52,25.61,31461824
"2012-12-13",25.43,25.65,25.32,25.33,26458302
"2012-12-20",25.32,25.44,25.25,25.43,25675008
"2012-12-27",25.17,25.22,24.81,25.14,24681673
"2013-01-03",25.98,25.99,25.56,25.85,33759282
"2013-01-10",26.52,26.77,26.39,26.76,34085938
"2013-01-17",26.75,26.96,26.63,26.83,37122619
"2013-01-24",26.87,27.3,26.84,26.85,44446189
"2013-01-31",27.42,27.57,27.28,27.28,32972477
"2013-02-07",27.33,27.36,26.93,26.96,38420482
"2013-02-14",26.91,27.14,26.81,27.06,24209871
"2013-02-21",27.41,27.54,27.23,27.41,24520676
"2013-02-28",27.37,27.64,27.36,27.37,30103757
"2013-03-07",28.18,28.38,28.12,28.27,27695105
"2013-03-14",28.04,28.11,27.88,28.11,27788247
"2013-03-21",28.17,28.32,28.02,28.11,23584270
"2013-03-28",28.66,28.9,28.62,28.86,27942527
"2013-04-04",29.18,29.44,29.04,29.16,30534090
"2013-04-11",29.93,30.82,29.92,30.64,54660276
"2013-04-18",30.85,30.94,30.48,30.59,31788406
"2013-04-25",30.65,30.66,29.92,30.26,35582408
"2013-05-02",29.03,29.33,28.99,29.27,31861041
"2013-05-09",28.75,28.77,28.42,28.6,27829432
"2013-05-16",29.47,29.58,29.22,29.25,27610354
"2013-05-23",29.08,29.33,28.85,29.11,51707183
"2013-05-30",28.37,28.45,28.11,28.25,43118861
"2013-06-06",27.48,28.15,27.39,28.11,82476933
"2013-06-13",28.37,29.15,28.35,29.08,72315954
"2013-06-20",29.02,29.23,28.45,28.64,95698619
"2013-06-27",28.39,28.66,28.11,28.18,154451833
"2013-07-11",28.84,28.9,28.61,28.77,35930188
"2013-07-18",28.67,28.79,28.46,28.49,31657389
"2013-07-25",29.03,29.25,28.68,29.19,26355791
"2013-08-01",29.43,29.45,28.98,29.11,31702509
"2013-08-08",29.22,29.3,29.02,29.13,22532161
"2013-08-15",28.94,29.09,28.76,28.8,27242538
"2013-08-22",28.33,28.33,28.11,28.16,22739780
"2013-08-29",28.12,28.48,28.07,28.1,22076505
"2013-09-05",28.52,28.52,28.16,28.27,20829523
"2013-09-12",28.64,28.75,28.27,28.31,28440104
"2013-09-19",29.04,29.15,28.65,28.84,33652865
"2013-09-26",28.63,28.7,28.35,28.52,25489638
"2013-10-03",29.02,29.02,28.69,28.77,22687910
"2013-10-10",28.62,28.77,28.29,28.77,24631469
"2013-10-17",29.82,30.26,29.69,30.26,29725080
