"","PFG.Open","PFG.High","PFG.Low","PFG.Close","PFG.Volume"
"2011-09-15",25.34,25.75,25.07,25.7,3973747
"2011-09-22",22.33,23.1,22.26,22.67,6086734
"2011-09-29",23.7,24.19,23.03,23.92,2945465
"2011-10-06",22.79,23.76,22.38,23.72,2482073
"2011-10-13",24.58,24.74,24.02,24.49,3604858
"2011-10-20",24.6,25.25,24.16,25.07,3228669
"2011-10-27",27.8,28.76,27.6,27.95,5503854
"2011-11-03",25.13,25.59,24.22,25.48,11763606
"2011-11-10",23.76,23.87,23.11,23.68,4811968
"2011-11-17",23.51,23.64,22.66,22.87,4056749
"2011-12-01",23.88,24.72,23.24,24.24,6375550
"2011-12-08",25.12,25.12,23.99,24.05,4415551
"2011-12-15",23.88,23.92,23.44,23.46,2466900
"2011-12-22",24.61,24.93,24.58,24.83,1285573
"2011-12-29",24.38,24.84,24.34,24.74,1342633
"2012-01-05",24.82,25.19,24.35,24.92,2422720
"2012-01-12",26.26,26.46,25.85,26.26,1635132
"2012-01-19",26.92,27.01,26.53,26.99,2894920
"2012-01-26",27.49,27.58,26.98,27.19,2989908
"2012-02-02",27.87,27.89,27.28,27.47,3781306
"2012-02-09",26.83,27.19,26.66,26.94,2990756
"2012-02-16",26.51,27.36,26.32,27.32,1711472
"2012-02-23",27.28,28.04,27.14,27.89,2631638
"2012-03-01",27.69,28.16,27.59,27.99,1797526
"2012-03-08",26.9,26.96,26.37,26.58,2420687
"2012-03-15",28.58,29.67,28.49,29.64,4059750
"2012-03-22",28.71,29,28.64,28.89,2871924
"2012-03-29",29.14,29.2,28.63,29.01,1952825
"2012-04-05",28.91,29.37,28.88,29.3,2404179
"2012-04-12",27.53,28.51,27.44,28.49,1709714
"2012-04-19",28.45,28.68,28.09,28.26,2085990
"2012-04-26",28.56,29.26,28.53,29.19,1594780
"2012-05-03",27.46,27.5,26.48,26.73,3697843
"2012-05-10",25.78,26.05,25.54,25.66,2484599
"2012-05-17",23.94,24.11,23.49,23.5,2135488
"2012-05-24",24.22,24.41,23.94,24.41,2060835
"2012-05-31",24.4,24.86,24.16,24.56,7622359
"2012-06-07",24.49,24.93,24.38,24.54,3232838
"2012-06-14",24.95,25.5,24.87,25.32,1703538
"2012-06-21",25.25,25.35,24.53,24.58,3444873
"2012-06-28",24.97,25.42,24.85,25.41,1981030
"2012-07-05",26.42,26.5,25.96,26.17,1279271
"2012-07-12",25.53,25.58,25.31,25.39,1345916
"2012-07-19",26.06,26.31,25.84,26.14,1862854
"2012-07-26",25.63,26.18,25.49,25.63,2878116
"2012-08-02",25,25.23,24.71,25.01,2065609
"2012-08-09",26.02,26.35,26.02,26.12,1279596
"2012-08-16",26.3,26.75,26.2,26.71,1302195
"2012-08-23",27.09,27.13,26.97,27.05,2684634
"2012-08-30",27.36,27.46,27.2,27.34,1276786
"2012-09-06",27.71,28.07,27.71,28.03,1741742
"2012-09-13",28.04,28.69,27.69,28.69,2248040
"2012-09-20",28.2,28.31,28.01,28.31,2075505
"2012-09-27",27.03,27.14,26.82,26.94,1294864
"2012-10-04",27.35,27.82,27.33,27.82,1730471
"2012-10-11",27.24,27.62,27.08,27.37,2632502
"2012-10-18",28.38,28.71,28.38,28.59,1337573
"2012-10-25",28.24,28.47,28.07,28.29,2778948
"2012-11-01",27.63,28.36,27.6,28.29,1884451
