"","PG.Open","PG.High","PG.Low","PG.Close","PG.Volume"
"2014-09-15",83.18,84.25,83.14,83.87,7008544
"2014-09-22",84.64,84.95,84.49,84.81,8397142
"2014-09-29",84.11,84.47,83.66,84.44,6362241
"2014-10-06",83.57,83.94,83.19,83.57,5656495
"2014-10-13",84.31,84.47,83.31,83.37,10073580
"2014-10-20",83.25,84.33,82.83,84.18,8558072
"2014-10-27",84.96,86.48,84.83,85.95,10316563
"2014-11-03",86.66,87.39,86.2,87.38,7782249
"2014-11-10",88.92,89.5,88.26,89.45,5927052
"2014-11-17",88,88.18,87.37,87.84,9475799
"2014-11-24",88.88,88.89,87.86,88.11,5569245
"2014-12-01",90.17,90.67,89.52,90.08,6745137
"2014-12-08",90.34,91,90.32,90.76,4723879
"2014-12-15",89.7,90.6,89.03,89.2,6511895
"2014-12-22",92.1,92.73,92,92.6,7157130
"2014-12-29",93.12,93.43,92.5,92.64,4657706
"2015-01-05",90.23,91,89.85,90.01,8626143
"2015-01-12",90.48,90.62,89.5,89.92,5250893
"2015-01-26",89.95,89.95,88.74,89.58,9371693
"2015-02-02",84.58,85.14,83.68,85.12,10278739
"2015-02-09",85.31,85.43,84.59,85.05,8811512
"2015-02-23",84.96,85.5,84.65,85.39,7919155
"2015-03-02",85.02,85.41,84.84,85.41,7235172
"2015-03-09",82.79,83.21,82.68,83.09,7326705
"2015-03-16",82.08,83.95,81.99,83.56,15618256
"2015-03-23",84.37,85.05,84.36,84.86,9891106
"2015-03-30",82.63,82.95,82.15,82.72,6416848
"2015-04-06",81.92,83.22,81.51,83.04,6856344
"2015-04-13",83,83.95,82.94,83.43,8290458
"2015-04-20",83.09,83.98,82.8,82.87,7415988
"2015-04-27",80.91,81.2,80.47,80.6,9192250
"2015-05-04",80.48,80.97,80.3,80.35,7203759
"2015-05-11",80.95,80.99,80.26,80.27,5237754
"2015-05-18",80.97,81.13,80.5,80.74,5590781
"2015-06-01",78.65,79.07,78.27,78.85,7588036
"2015-06-08",77.48,77.98,77.1,77.71,10916201
"2015-06-15",78.33,78.46,77.93,78.12,7527947
"2015-06-22",80.92,81.18,80.33,80.45,6907940
"2015-06-29",78.95,79.37,78.26,78.32,7966240
"2015-07-06",79.61,80.22,79.5,80.05,6601218
"2015-07-13",81.52,82.04,81.34,81.91,7332927
"2015-07-20",82.09,82.35,82,82.19,5012932
"2015-07-27",79.83,80.07,79.42,79.97,8613558
"2015-08-03",76.51,77.09,76.01,76.4,9511261
"2015-08-10",75.95,76.5,75.8,76.38,9165893
"2015-08-17",75.81,75.81,74.75,75.53,8683913
"2015-08-24",68.57,71.07,65.02,69.14,23485324
"2015-08-31",71,71,70.3,70.67,9478795
"2015-09-14",68.23,68.3,67.33,68.06,9670868
"2015-09-21",70.15,70.88,70.01,70.65,7702409
"2015-09-28",72.31,72.67,71.75,71.77,9180311
"2015-10-05",72.97,73.43,72.5,73.22,9036600
"2015-10-12",74.69,74.76,73.91,74.33,6246367
"2015-10-19",74.65,75.19,74.53,75.16,7281819
"2015-10-26",77,77.9,77,77.49,11454229
"2015-11-02",76.57,76.77,76.05,76.6,7139176
"2015-11-09",75.19,75.63,74.93,75.4,8599966
"2015-11-16",74.25,75.32,74.01,75.3,7390248
"2015-11-23",75.82,76.06,75.4,75.97,9368762
"2015-11-30",75.58,75.81,74.84,74.84,8478175
"2015-12-07",77.54,78.5,77.54,78.37,9459974
"2015-12-14",77.63,78.53,77.44,78.29,12131939
"2015-12-21",78.63,78.98,78.15,78.95,9105763
"2015-12-28",79.74,79.97,79.47,79.92,4149999
"2016-01-04",78.36,78.5,77.54,78.37,11455570
"2016-01-11",76.17,77.04,75.6,76.67,10209239
"2016-01-25",77.2,77.36,76.56,76.85,9821389
"2016-02-01",81.21,81.4,80.53,81.12,9581349
"2016-02-08",80.29,82.72,80.29,82.62,16488542
"2016-02-22",82.07,82.67,81.71,82.13,6895960
"2016-02-29",81.1,81.35,80.21,80.29,10709535
"2016-03-07",83.18,83.7,83,83.1,6782981
"2016-03-14",81.57,81.85,80.68,81.17,12382237
"2016-03-21",83.12,83.87,82.91,83.32,8617777
"2016-03-28",82.99,83.45,82.52,82.62,4988467
"2016-04-04",83.65,83.65,83.03,83.21,5585312
"2016-04-11",83.03,83.34,82.66,82.73,7064087
"2016-04-18",82.29,82.99,82.02,82.83,5621415
"2016-04-25",80.92,81.48,80.42,81.41,7642233
"2016-05-02",80.02,81.3,80.02,80.97,7852602
"2016-05-09",82.21,82.73,81.96,82.12,6718307
"2016-05-16",81.01,81.89,80.75,81.63,6493231
"2016-05-23",80.05,80.33,79.85,80.2,5617116
"2016-06-06",82.4,82.83,82.23,82.77,5292348
"2016-06-13",82.96,83.4,82.53,82.57,6167444
"2016-06-20",83.52,83.7,83.03,83.04,6164326
"2016-06-27",81.83,81.89,81,81.23,9619036
"2016-07-11",85.61,85.95,84.91,85.75,6156824
"2016-07-18",86.02,86.05,85.7,85.93,4781778
"2016-07-25",85.53,85.8,85.15,85.8,5605314
"2016-08-01",85.44,86.58,85.42,86.41,10420628
"2016-08-08",85.61,85.9,85.13,85.76,5388194
"2016-08-15",87.52,87.57,86.99,87.02,6871164
"2016-08-22",87.14,87.21,86.58,86.85,5921119
"2016-08-29",87.39,88.4,87.32,88.3,8934474
"2016-09-12",86.04,88.38,85.96,88.25,16105710
