"","PGR.Open","PGR.High","PGR.Low","PGR.Close","PGR.Volume"
"2011-09-15",18.47,18.52,18.06,18.19,7469718
"2011-09-22",16.96,17.24,16.88,17.09,8342806
"2011-09-29",17.83,18.18,17.59,18,6751729
"2011-10-06",18.03,18.55,17.99,18.55,3959447
"2011-10-13",18.3,18.37,17.98,18.19,5364797
"2011-10-20",18.13,18.25,17.97,18.19,6658364
"2011-10-27",19.63,19.74,19.38,19.62,8025347
"2011-11-03",18.77,18.83,18.45,18.79,4601584
"2011-11-10",19.32,19.46,19.1,19.24,5362942
"2011-11-17",18.83,18.95,18.36,18.45,6029417
"2011-12-01",18.84,18.84,18.5,18.59,3769047
"2011-12-08",18.4,18.47,18.19,18.23,6813362
"2011-12-15",18.76,18.85,18.51,18.65,5766044
"2011-12-22",18.99,19.07,18.86,19.06,3391515
"2011-12-29",19.43,19.58,19.36,19.58,3137171
"2012-01-05",19.16,19.45,19.01,19.43,3718822
"2012-01-12",19.75,19.85,19.58,19.7,10857896
"2012-01-19",19.94,20.82,19.94,20.76,8642952
"2012-01-26",20.33,20.68,20.3,20.58,5876199
"2012-02-02",20.83,20.98,20.7,20.96,4299469
"2012-02-09",21.31,21.48,21.19,21.44,5074900
"2012-02-16",21.42,21.58,21.25,21.58,5518859
"2012-02-23",21.4,21.55,21.32,21.55,3748713
"2012-03-01",21.44,21.58,21.32,21.38,7009019
"2012-03-08",21.37,21.41,21.22,21.38,4140522
"2012-03-15",22.9,22.98,22.66,22.92,4616739
"2012-03-22",22.55,22.64,22.4,22.59,2746762
"2012-03-29",23.02,23.07,22.79,23.02,3647944
"2012-04-05",23.02,23.17,22.94,23.11,3982315
"2012-04-12",22.52,22.61,22.34,22.59,5781723
"2012-04-19",22.67,22.68,22.28,22.38,7143922
"2012-04-26",21.44,21.46,21.19,21.39,4009651
"2012-05-03",21.76,21.93,21.7,21.8,6102611
"2012-05-10",22.11,22.18,21.99,22.03,4450020
"2012-05-17",21.36,21.52,21.15,21.34,9266516
"2012-05-24",21.51,21.59,21.29,21.51,2849776
"2012-05-31",21.6,21.88,21.49,21.73,5197161
"2012-06-07",22.19,22.23,21.82,21.89,4224616
"2012-06-14",20.76,20.87,20.45,20.77,6716918
"2012-06-21",21.13,21.14,20.59,20.61,2935149
"2012-06-28",20.51,20.63,20.28,20.62,4773731
"2012-07-05",20.71,20.73,20.56,20.6,3008094
"2012-07-12",19.5,19.99,19.4,19.53,12865168
"2012-07-19",20.06,20.14,19.93,20.09,3440191
"2012-07-26",19.85,19.99,19.55,19.59,5408763
"2012-08-02",19.31,19.71,19.17,19.24,6486995
"2012-08-09",19.68,19.9,19.68,19.78,2951291
"2012-08-16",19.85,19.96,19.74,19.8,4082403
"2012-08-23",19.72,19.74,19.56,19.57,3350365
"2012-08-30",19.46,19.58,19.37,19.52,2506964
"2012-09-06",19.46,19.58,19.34,19.47,3379653
"2012-09-13",20.2,20.69,20.02,20.66,8065797
"2012-09-20",20.89,21.02,20.75,21,5170454
"2012-09-27",20.8,21.06,20.75,21.01,3949548
"2012-10-04",21.58,21.71,21.49,21.62,4431796
"2012-10-11",22.2,22.29,22.03,22.06,4947425
"2012-10-18",22.97,23.19,22.92,23.08,6370835
"2012-10-25",22.87,22.93,22.53,22.59,4471393
"2012-11-01",22.42,22.7,22.26,22.39,5819703
"2012-11-08",22.12,22.43,21.95,22.09,15124551
"2012-11-15",22.45,22.56,22.13,22.23,6347846
"2012-11-29",21.48,21.64,21.34,21.59,8318008
"2012-12-06",21.54,21.59,21.38,21.43,4329234
"2012-12-13",21.38,21.43,21.13,21.16,4111092
"2012-12-20",21.37,21.55,21.27,21.52,5092399
"2012-12-27",21.21,21.21,20.81,20.97,3529092
"2013-01-03",21.71,22.11,21.59,22.03,5517044
"2013-01-10",22.11,22.38,22.06,22.38,10668632
"2013-01-17",22.51,22.73,22.34,22.6,4065588
"2013-01-24",22.67,22.85,22.59,22.66,3540684
"2013-01-31",22.49,22.58,22.4,22.49,3810146
"2013-02-07",23.25,23.29,23,23.2,4607459
"2013-02-14",24.38,24.49,23.86,24,9200708
"2013-02-21",24.24,24.66,24.15,24.48,4118894
"2013-02-28",24.59,24.65,24.36,24.36,3519989
"2013-03-07",24.82,24.91,24.69,24.8,2413690
"2013-03-14",25.02,25.38,25.01,25.38,6255958
"2013-03-21",24.9,25.03,24.78,24.84,2752371
"2013-03-28",25.04,25.3,24.96,25.27,2102108
"2013-04-04",25.33,25.43,25.12,25.32,4169935
"2013-04-11",25.44,25.84,25.42,25.72,3600117
"2013-04-18",24.71,24.79,24.42,24.47,4101674
"2013-04-25",25.44,25.57,25.33,25.4,2772651
"2013-05-02",25,25.45,24.92,25.12,2042894
"2013-05-09",25.64,25.71,25.51,25.58,1911711
"2013-05-16",26.24,26.39,26.11,26.16,2004914
"2013-05-23",25.71,25.98,25.68,25.83,2961151
"2013-05-30",25.86,25.93,25.71,25.78,4930628
"2013-06-06",25.72,25.72,24.18,24.48,3413485
"2013-06-13",24.6,24.87,24.5,24.83,3665697
"2013-06-20",24.87,24.99,24.52,24.61,3223477
"2013-06-27",25.06,25.36,25.03,25.25,2290606
"2013-07-11",25.98,25.98,25.31,25.74,5185772
"2013-07-18",25.77,26.02,25.76,25.97,3375392
"2013-07-25",25.77,25.96,25.72,25.91,1999877
"2013-08-01",26.05,26.47,26.05,26.43,2412729
"2013-08-08",25.69,25.85,25.61,25.66,3284553
