"","PH.Open","PH.High","PH.Low","PH.Close","PH.Volume"
"2011-09-15",70.3,70.76,69.25,70.59,1971485
"2011-09-22",62.27,62.75,60.81,61.91,2395595
"2011-09-29",66.3,67.69,63.94,65.37,2141462
"2011-10-06",64.72,67.48,64.23,66.21,2470789
"2011-10-13",72.07,72.57,70.91,72.28,1285897
"2011-10-20",76.67,77.5,75.21,77.06,2396098
"2011-10-27",81.15,85.2,80,82,3888968
"2011-11-03",82.24,84.63,81.07,84.43,2194803
"2011-11-10",81.34,83.13,80.96,82.38,2454821
"2011-11-17",83.14,83.16,80.35,80.86,1558462
"2011-12-01",82.78,84.07,82.45,83.02,1455884
"2011-12-08",81.07,81.76,79.25,79.52,2633067
"2011-12-15",77.03,77.18,75.43,75.68,1209728
"2011-12-22",76.37,76.76,75.56,76.15,1140792
"2011-12-29",76.02,77.32,75.93,76.79,683666
"2012-01-05",77.66,79.25,76.98,78.94,2157420
"2012-01-12",82.04,83.2,81.36,83.08,1034172
"2012-01-19",85.49,86.6,84.5,84.97,2856502
"2012-01-26",82.39,82.71,81,81.5,1484482
"2012-02-02",82.62,82.97,81.8,82.51,1107980
"2012-02-09",88.14,88.53,87.63,88.18,1150203
"2012-02-16",87.58,89.55,87.57,89.26,1357813
"2012-02-23",89.68,90.65,89.28,90.42,1424923
"2012-03-01",90.07,90.68,88.36,89.34,1471150
"2012-03-08",87.23,87.97,86.57,87.85,978108
"2012-03-15",89.33,90.88,88.91,90.75,924732
"2012-03-22",86.23,86.33,83.7,84.89,1879784
"2012-03-29",83.8,84.76,83.72,84.59,1130032
"2012-04-05",83.19,83.85,82.48,83.1,875869
"2012-04-12",82.17,84.08,82.17,83.69,1303064
"2012-04-19",82.61,82.78,80.95,81.58,938702
"2012-04-26",87.1,87.92,86.65,87.32,1280312
"2012-05-03",88.21,88.52,86.35,86.76,1439025
"2012-05-10",86.31,87.17,85.91,86.21,2053178
"2012-05-17",83.27,83.39,80.37,81.2,2409459
"2012-05-24",84.96,85.14,83.29,84.46,1488748
"2012-05-31",82.93,83.59,81,81.74,2608228
"2012-06-07",80.58,82.97,80.56,80.79,1546078
"2012-06-14",78.87,79.6,77.78,78.46,1731809
"2012-06-21",79.93,80.31,77,77.09,1694731
"2012-06-28",74.14,74.52,71.9,73.1,2525504
"2012-07-05",76.8,78.08,76.14,77.5,1130534
"2012-07-12",70.68,72.75,70.42,72.25,1594254
"2012-07-19",76.41,78.79,76.16,77.83,2752637
"2012-07-26",78.3,79.48,77.43,78.44,1185464
"2012-08-02",79.5,80.49,76.16,78.85,3632823
"2012-08-09",81.93,82.73,81.79,82.12,1490097
"2012-08-16",82,83.46,81.8,83.14,1009241
"2012-08-23",81.93,82.17,81,81.76,779260
"2012-08-30",79.59,80.01,78.64,79.29,1383520
"2012-09-06",80.13,82.32,80.02,82.29,2222343
"2012-09-13",83.98,85.95,83.22,85.62,1178365
"2012-09-20",85.2,85.63,84.34,85.55,1267826
"2012-09-27",82.9,84.28,82.63,83.68,1277364
"2012-10-04",84,84.25,83.25,83.27,1470119
"2012-10-11",79.98,80.79,79.02,79.18,1081223
"2012-10-18",83.58,85.42,83.18,85.07,2506940
"2012-10-25",77.21,78.2,77.05,77.58,1543900
"2012-11-01",78.73,81.16,78.55,80.87,2810192
"2012-11-08",78.42,79.81,78.18,78.52,2594237
"2012-11-15",77.76,79.5,77.5,78.59,1775231
"2012-11-29",83.17,83.6,82.7,83.39,1350439
"2012-12-06",82.61,82.94,81.58,82.33,1213825
"2012-12-13",82.93,83.65,82.65,83.24,1060414
"2012-12-20",86.08,86.62,85.71,86.55,1055108
"2012-12-27",84.68,85.07,83.39,84.49,599454
"2013-01-03",87.6,88.73,87.45,88.34,1336064
"2013-01-10",90.64,90.73,88.64,89.6,1636490
"2013-01-17",90,91.93,89.7,91.36,2331523
"2013-01-24",92.99,94.69,92.83,93.97,1225650
"2013-01-31",93.41,94.14,92.8,92.97,1199609
"2013-02-07",93.68,94.64,93.06,93.8,1048198
"2013-02-14",95.77,97.03,95.53,96.31,1044842
"2013-02-21",94.58,94.58,92.62,93.26,1335463
"2013-02-28",93.65,95.26,93.06,94.48,1037048
"2013-03-07",96.63,97.75,96.42,97.24,1067415
"2013-03-14",97.31,97.95,97.07,97.25,1006951
"2013-03-21",93.8,94.21,91.9,92.02,1700622
"2013-03-28",90.27,91.58,89.67,91.58,1242902
"2013-04-04",87.76,89.67,87.73,89.42,1686306
"2013-04-11",90.51,90.61,89.71,89.96,1429757
"2013-04-18",87.8,88.04,85.59,85.93,901401
"2013-04-25",89.6,91.25,89.3,90.55,1336578
"2013-05-02",87.6,88.57,87.36,88.49,1069113
"2013-05-09",93.15,93.88,92.79,92.95,825323
"2013-05-16",97.42,98.15,96.93,97.59,1480354
