"","PHM.Open","PHM.High","PHM.Low","PHM.Close","PHM.Volume"
"2011-09-15",4.53,4.56,4.35,4.5,11567902
"2011-09-22",4.14,4.19,3.93,4.06,12414080
"2011-09-29",4.1,4.24,4.01,4.14,12884808
"2011-10-06",3.91,4.13,3.85,4.03,8353406
"2011-10-13",4.44,4.55,4.11,4.36,11212854
"2011-10-20",4.43,4.71,4.24,4.67,14529431
"2011-10-27",5.42,5.5,5.09,5.37,18610106
"2011-11-03",5.29,5.54,5.19,5.53,11202227
"2011-11-10",5.66,5.69,5.46,5.61,11987829
"2011-11-17",5.65,5.69,5.41,5.46,9781892
"2011-12-01",6.05,6.22,5.92,6.08,9437839
"2011-12-08",6.39,6.41,6.04,6.07,14121422
"2011-12-15",5.69,5.84,5.69,5.74,10471031
"2011-12-22",6.31,6.38,6.18,6.2,7920411
"2011-12-29",5.99,6.33,5.96,6.31,6055074
"2012-01-05",6.5,7.08,6.45,7.04,14558114
"2012-01-12",7.74,7.77,7.44,7.69,11638339
"2012-01-19",7.97,8.15,7.86,8.08,17178463
"2012-01-26",8.07,8.31,7.71,7.8,11294660
"2012-02-02",7.64,7.84,7.5,7.75,18385770
"2012-02-09",8.71,9.08,8.61,9.07,22413745
"2012-02-16",8.82,8.95,8.55,8.87,16481694
"2012-02-23",8.34,8.74,8.23,8.73,10637704
"2012-03-01",8.81,8.99,8.52,8.59,9166462
"2012-03-08",8.63,8.96,8.6,8.92,9960916
"2012-03-15",9.39,9.65,9.27,9.61,8849333
"2012-03-22",9.24,9.28,8.99,9.12,9759298
"2012-03-29",9.31,9.33,8.89,9.26,15769500
"2012-04-05",8.39,8.54,8.2,8.26,9723106
"2012-04-12",8.43,8.67,8.38,8.66,10298129
"2012-04-19",8.36,8.47,8.11,8.23,8399965
"2012-04-26",9.17,9.6,9.1,9.58,22818462
"2012-05-03",10.34,10.41,10.02,10.06,10431649
"2012-05-10",10.01,10.09,9.64,9.68,9213278
"2012-05-17",9.52,9.62,8.65,8.68,18617383
"2012-05-24",9.33,9.44,9.14,9.4,9299364
"2012-05-31",9.22,9.48,8.81,9.36,14413694
"2012-06-07",9.13,9.23,8.79,8.88,15168862
"2012-06-14",8.46,8.89,8.43,8.85,11599384
"2012-06-21",9.54,9.66,9.11,9.14,11387935
"2012-06-28",9.8,10,9.69,9.98,10917837
"2012-07-05",10.8,11.19,10.8,11.13,11812907
"2012-07-12",10.42,10.95,10.3,10.84,17228635
"2012-07-19",10.82,10.86,10.28,10.47,20273930
"2012-07-26",10.66,11.95,10.66,11.86,29332258
"2012-08-02",11,11.63,10.82,11.57,14474623
"2012-08-09",12.29,12.92,12.2,12.67,20517849
"2012-08-16",12.78,13.75,12.75,13.6,24593477
"2012-08-23",13.25,13.53,13.17,13.32,15012713
"2012-08-30",13.29,13.5,13.1,13.35,8318218
"2012-09-06",14.13,14.68,14.07,14.61,14163497
"2012-09-13",15.58,16.34,15.18,16.02,20020468
"2012-09-20",16.42,16.74,16.1,16.72,16196694
"2012-09-27",15.42,15.94,15.23,15.64,15795564
"2012-10-04",16.64,16.89,16.25,16.57,12125239
"2012-10-11",16.09,16.24,15.58,15.69,8297647
"2012-10-18",17.4,18.1,17.34,17.65,16166486
"2012-10-25",17.64,17.96,16.5,17.01,20863445
"2012-11-01",17.43,18.04,17.43,17.78,13100893
"2012-11-08",17.8,17.84,17.05,17.37,8535434
"2012-11-15",15.23,15.93,14.55,15.24,21101518
"2012-11-29",17.08,17.46,16.96,17.13,12663007
"2012-12-06",16.15,16.42,15.81,16.28,9315427
"2012-12-13",17.06,17.5,16.97,17.16,7897329
"2012-12-20",18.33,18.66,18.11,18.49,8679060
"2012-12-27",17.76,17.93,17.3,17.76,9672318
"2013-01-03",18.64,18.9,18.32,18.57,7804944
"2013-01-10",19.63,19.65,18.97,19.41,6886521
"2013-01-17",19.6,20.54,19.58,20.37,14498525
"2013-01-24",20.99,21.48,20.71,20.98,11280588
"2013-01-31",20.23,20.77,19.11,20.74,17692403
"2013-02-07",19.72,19.81,19.03,19.4,10531240
"2013-02-14",20.18,20.4,20.12,20.27,6464221
"2013-02-21",18.52,19.09,17.98,18.75,13358402
"2013-02-28",19.36,19.69,19.08,19.18,8348879
"2013-03-07",20.17,20.26,19.9,20.19,5286097
"2013-03-14",20.05,20.72,19.95,20.56,12365179
"2013-03-21",21.3,21.39,20.86,20.97,14640044
"2013-03-28",20.35,20.54,20.09,20.24,5713228
"2013-04-04",19.12,19.28,18.86,18.98,9003075
"2013-04-11",19.24,19.69,19.16,19.32,6971295
"2013-04-18",18.27,18.32,17.46,17.54,9840746
"2013-04-25",19.75,21.12,19.63,20.79,16659957
"2013-05-02",21.08,21.95,21.04,21.93,10882162
"2013-05-09",22.84,23.59,22.76,22.85,11834264
"2013-05-16",23.86,24.15,23.03,23.35,12017252
"2013-05-23",21.99,22.86,21.7,22.53,14475477
"2013-05-30",22.18,22.44,21.81,22.11,4846846
"2013-06-06",20.07,21.18,19.95,21.1,10482507
"2013-06-13",20,21.02,19.98,20.94,6871966
"2013-06-20",20.13,20.19,18.33,18.87,28400326
"2013-06-27",19.3,19.43,18.88,19.38,11918564
"2013-07-11",20.12,20.5,19.96,20.39,12571707
"2013-07-18",19.53,19.69,19.04,19.11,5866799
"2013-07-25",17.09,17.2,16.13,16.55,31739654
"2013-08-01",16.85,16.94,16.47,16.72,8800301
"2013-08-08",16.03,16.09,15.72,15.76,8884505
"2013-08-15",14.66,16.1,14.23,15.91,26831162
"2013-08-22",16.16,16.6,16.11,16.32,6436959
"2013-08-29",15.39,16.04,15.36,15.86,9268555
"2013-09-05",15.39,15.47,15.14,15.25,7603416
"2013-09-12",16.54,17.24,16.48,16.53,9308999
"2013-09-19",18.04,18.37,17.54,17.62,11588605
"2013-09-26",17.21,17.25,16.87,16.98,6349704
"2013-10-03",17.07,17.09,16.4,16.5,6994500
"2013-10-10",15.87,16.09,15.72,15.86,7698052
"2013-10-17",15.93,16.72,15.87,16.66,11682934
"2013-10-24",17.26,18.05,17.23,17.85,22040588
"2013-10-31",17.94,17.95,17.59,17.65,10781293
"2013-11-07",17.96,18.32,17.47,17.51,7744731
"2013-11-14",17.1,18,17.05,17.86,11851452
"2013-11-21",18.15,18.49,17.9,18.38,7057644
"2013-12-05",18.24,18.32,17.84,17.99,8293506
"2013-12-12",18.05,18.19,17.88,18.06,4204581
"2013-12-19",18.62,18.63,18.18,18.25,5658487
"2013-12-26",19.85,20.32,19.75,19.98,6265088
"2014-01-02",20.25,20.34,19.86,20.08,5616884
"2014-01-09",19.87,19.9,19.47,19.79,5207627
"2014-01-16",19.43,19.76,19.13,19.69,5388658
"2014-01-23",19.45,19.68,19.25,19.65,4670123
"2014-01-30",20.31,20.78,19.36,19.77,12570995
"2014-02-06",19.6,20.3,19.59,20.13,7818444
"2014-02-13",19.54,19.85,19.36,19.82,5186031
"2014-02-20",19.71,20.04,19.46,20.02,10637318
"2014-02-27",21.24,21.31,20.9,21.29,10845783
"2014-03-06",20.66,20.8,20.42,20.58,5180908
"2014-03-13",19.72,19.77,18.95,19.18,11300671
"2014-03-20",19.68,19.76,19.19,19.4,8640340
"2014-03-27",18.59,18.91,18.39,18.68,6906339
"2014-04-03",19.65,19.79,19.37,19.71,3363047
"2014-04-10",19.17,19.44,18.94,18.94,5512779
"2014-04-17",18.9,18.95,18.61,18.71,4609151
"2014-04-24",19.31,19.36,18.72,18.99,10742271
"2014-05-01",18.41,18.84,18.36,18.53,4380931
"2014-05-08",18.21,18.47,18.02,18.16,6043653
"2014-05-15",18.64,18.91,18.27,18.82,7244441
"2014-05-22",18.81,19.38,18.7,19.22,6376222
"2014-05-29",19.86,20.06,19.61,19.74,5190026
"2014-06-05",19.6,19.97,19.49,19.88,5248549
"2014-06-12",19.6,19.8,19.44,19.58,4361247
"2014-06-19",19.59,19.91,19.54,19.67,4546808
"2014-06-26",20.04,20.04,19.7,19.85,4965470
"2014-07-03",20.36,20.46,20.2,20.33,2935439
"2014-07-10",19.77,20.09,19.64,19.85,3370459
"2014-07-17",19.76,19.79,19.42,19.49,6317412
"2014-07-24",19.8,19.83,19.14,19.24,17966668
"2014-07-31",17.98,17.98,17.51,17.65,7394423
"2014-08-07",17.64,17.78,17.47,17.54,3242705
"2014-08-14",18.04,18.36,17.96,18.35,3616453
"2014-08-21",19.18,19.25,18.99,19.12,2966285
"2014-08-28",19.04,19.2,18.92,19.09,2424999
"2014-09-04",18.29,18.6,18.26,18.54,4924402
"2014-09-11",18.93,19.18,18.93,19.07,4300571
"2014-09-18",19.36,19.44,19.06,19.08,3522798
"2014-09-25",18.22,18.32,17.95,18.03,6226838
"2014-10-02",17.67,17.86,17.48,17.78,5135010
"2014-10-09",18.3,18.47,17.87,17.9,5881754
"2014-10-16",17.18,17.84,17.18,17.39,8368358
"2014-10-23",19.35,19.81,18.7,19.51,13944893
"2014-10-30",19.16,19.27,18.92,19.1,4020010
"2014-11-06",19.22,19.61,19.15,19.6,3780843
"2014-11-13",20.73,20.99,20.73,20.81,3319027
"2014-11-20",20.91,21.47,20.82,21.36,5822902
"2014-12-04",21.48,21.97,21.36,21.72,6112845
"2014-12-11",20.56,20.83,20.4,20.51,7535189
"2014-12-18",20.72,20.95,20.42,20.93,4771068
"2015-01-08",21.92,22.4,21.9,22.39,9457018
"2015-01-15",22.25,22.58,20.74,21.03,10701641
"2015-01-22",21.12,21.2,20.78,20.93,5411796
"2015-01-29",20.88,21.96,20.72,21.82,11779112
"2015-02-05",21.54,21.8,21.16,21.48,5515388
"2015-02-12",22.48,22.91,22.37,22.87,3248317
"2015-02-19",22.76,22.97,22.62,22.71,3106883
"2015-02-26",22.84,22.92,22.41,22.66,3991644
"2015-03-05",22.24,22.26,22.05,22.24,2881815
"2015-03-12",21.2,21.58,21.16,21.28,3541018
"2015-03-19",21.5,21.69,21.11,21.37,3824897
"2015-03-26",21.52,21.72,21.4,21.52,3548939
"2015-04-02",22.27,22.72,22.24,22.7,3495378
"2015-04-09",21.99,22.42,21.82,22.31,6233228
"2015-04-16",22.65,22.65,22.2,22.34,4059324
"2015-04-23",20.52,20.74,19.65,19.97,27580445
"2015-04-30",19.76,19.77,19.27,19.3,7395726
"2015-05-07",19.36,19.78,19.33,19.7,4832066
"2015-05-14",19.5,19.68,19.43,19.58,3480429
"2015-05-21",20.12,20.18,19.94,20,5628531
"2015-05-28",19.32,19.68,19.3,19.43,5144771
"2015-06-04",19.2,19.33,18.9,19.04,7702702
"2015-06-11",19.19,19.43,19.17,19.23,4377788
"2015-06-18",19.5,19.71,19.47,19.56,3281717
"2015-06-25",20.6,20.81,20.42,20.42,4084337
"2015-07-02",20.5,20.78,20.29,20.55,8672660
"2015-07-09",20.66,20.77,20.31,20.32,5905526
"2015-07-16",20.61,20.68,20.3,20.49,4027652
"2015-07-23",20.22,20.62,19.84,20.18,9921714
"2015-07-30",19.98,20.45,19.91,20.4,3951585
"2015-08-06",20.06,20.06,19.67,19.78,4282264
"2015-08-13",20.84,21.54,20.84,21.34,8931719
"2015-08-20",21.76,21.95,21.49,21.51,5202617
"2015-08-27",20.05,20.48,19.83,20.46,6434206
"2015-09-03",20.51,20.87,20.46,20.75,5965220
"2015-09-10",20.29,20.54,20.04,20.5,4355017
