"","PKG.Open","PKG.High","PKG.Low","PKG.Close","PKG.Volume"
"2011-09-15",26.25,26.7,26.03,26.65,718908
"2011-09-22",24.68,24.91,24.06,24.41,1295488
"2011-09-29",24.94,25.02,23.85,24.38,914638
"2011-10-06",23.63,24.59,23.46,24.52,1020174
"2011-10-13",25.11,25.4,24.88,25.34,637468
"2011-10-20",25.04,25.46,24.64,25.4,890176
"2011-10-27",26.8,27.16,26.58,26.85,691471
"2011-11-03",25.81,26.29,25.72,26.2,681894
"2011-11-10",26.18,26.27,25.72,26.13,591999
"2011-11-17",25.7,25.87,24.91,25.17,960160
"2011-12-01",25.9,26.16,25.44,25.47,819237
"2011-12-08",25.05,25.15,24.51,24.58,841132
"2011-12-15",24.12,24.42,24,24.23,861737
"2011-12-22",24.48,24.89,24.39,24.85,955500
"2011-12-29",24.97,25.31,24.9,25.07,320244
"2012-01-05",24.96,25.6,24.82,25.25,909031
"2012-01-12",26.16,26.55,26.06,26.48,1087280
"2012-01-19",26.1,26.7,26.1,26.58,628657
"2012-01-26",28.01,28.36,27.97,28.17,769816
"2012-02-02",28.42,28.67,28.3,28.32,407565
"2012-02-09",29.23,29.31,28.76,29.3,449012
"2012-02-16",29.4,29.8,29.01,29.57,767764
"2012-02-23",28.96,29.41,28.79,29.18,571602
"2012-03-01",29.75,29.95,29.6,29.76,541029
"2012-03-08",29.95,30.5,29.86,30.37,810797
"2012-03-15",29.71,29.91,29.51,29.81,962154
"2012-03-22",29.54,29.54,29.01,29.31,539721
"2012-03-29",29.45,29.71,29.3,29.67,555339
"2012-04-05",29.39,29.64,29.25,29.35,272894
"2012-04-12",29.01,29.17,28.73,29.09,879715
"2012-04-19",29.02,29.3,28.74,29.02,452107
"2012-04-26",29.63,29.74,29.32,29.59,383611
"2012-05-03",29.16,29.39,28.9,28.98,595588
"2012-05-10",28.54,28.54,28.04,28.32,478797
"2012-05-17",27.57,27.59,26.77,26.77,619639
"2012-05-24",27.07,27.19,26.68,27.1,695430
"2012-05-31",26.63,26.99,26.42,26.83,627735
"2012-06-07",27.13,27.33,26.94,27.07,338678
"2012-06-14",27.11,27.8,27.05,27.69,711343
"2012-06-21",27.97,28.12,27.23,27.25,526286
"2012-06-28",27.14,27.41,26.88,27.41,428315
"2012-07-05",28.85,28.94,28.47,28.58,679289
"2012-07-12",28.13,28.8,27.88,28.61,854006
"2012-07-19",30.65,30.96,30.21,30.77,715618
"2012-07-26",30.67,30.99,30.43,30.65,882220
"2012-08-02",30.29,30.94,30.18,30.5,700633
"2012-08-09",30.77,30.82,30.07,30.28,1086031
"2012-08-16",32.07,32.63,32,32.16,1920892
"2012-08-23",31.81,31.99,31.6,31.78,745979
"2012-08-30",31.84,31.86,31.62,31.73,503813
"2012-09-06",32.47,33.21,32.47,32.9,922215
"2012-09-13",32.23,33.31,32.05,32.97,923254
"2012-09-20",32.75,33.09,32.58,33.04,629414
"2012-09-27",35.49,36.12,35.21,36.05,1248346
"2012-10-04",36.07,36.22,35.92,35.97,647473
"2012-10-11",35.64,35.84,35.47,35.51,449463
"2012-10-18",36.14,36.38,36.1,36.22,879479
"2012-10-25",35.19,35.57,34.85,35.51,655858
"2012-11-01",35.44,36.71,35.26,36.33,1225189
"2012-11-08",35.51,35.78,35.01,35.16,604367
"2012-11-15",34.54,35.08,34.06,34.16,1387904
"2012-11-29",36.9,36.99,36.41,36.6,560775
"2012-12-06",35.72,36.2,35.55,35.99,741748
"2012-12-13",36.84,36.98,36.42,36.45,627916
"2012-12-20",37.35,37.75,37.33,37.75,489921
"2012-12-27",38.18,38.37,38.1,38.28,769090
"2013-01-03",38.91,39.16,38.73,38.91,971837
"2013-01-10",39.13,39.13,38.45,38.49,838905
"2013-01-17",39.17,40.24,39.05,39.94,1143545
"2013-01-24",39.3,39.85,39.12,39.82,973163
"2013-01-31",38.53,38.83,38.37,38.43,1021505
"2013-02-07",39.69,39.89,39.29,39.79,874075
"2013-02-14",40.11,40.49,40.1,40.36,347580
"2013-02-21",39.22,41.33,38.91,40.87,2565214
"2013-02-28",41.84,42.33,41.67,41.78,919233
"2013-03-07",42.9,43.38,42.89,43.32,553266
"2013-03-14",42.83,43.04,42.57,42.91,680506
"2013-03-21",43.18,43.44,42.78,42.89,604077
"2013-03-28",44.51,44.93,44.3,44.87,568903
"2013-04-04",44.5,44.68,43.96,44.08,1192152
"2013-04-11",44.95,45.69,44.55,44.92,1095106
"2013-04-18",43.55,43.64,42.88,43.2,978993
"2013-04-25",46.25,46.37,45.51,46.15,964912
"2013-05-02",46.65,47.54,46.38,46.84,1711249
"2013-05-09",49.52,50,49.15,49.38,862175
"2013-05-16",50.25,50.78,49.71,49.81,1089378
"2013-05-23",49.15,50,48.83,49.7,885113
"2013-05-30",49.74,50.02,49.3,49.56,415688
"2013-06-06",48.01,49.02,47.98,49.02,534715
"2013-06-13",48.28,49.09,48.14,48.92,604126
"2013-06-20",49.01,49.11,48.5,48.62,526419
"2013-06-27",49.04,49.38,48.87,48.92,533426
"2013-07-11",50.95,51.74,48.45,51.69,1689503
"2013-07-18",51.76,52.61,51.28,52.57,1248814
"2013-07-25",53.08,53.25,52.81,53.07,814937
"2013-08-01",54.41,55.79,54.34,55.08,1513850
"2013-08-08",54.5,55.14,54.5,54.8,523978
"2013-08-15",54.12,54.16,52.85,52.92,614112
"2013-08-22",54.01,54.48,53.79,54.09,603044
"2013-08-29",53.33,54.18,53.26,53.55,318558
"2013-09-05",53.2,53.65,53,53.4,600864
"2013-09-12",54.56,54.86,54.06,54.2,547908
"2013-09-19",61.26,61.32,59.38,59.5,1133378
"2013-09-26",58.6,59.43,58.6,59.18,537189
"2013-10-03",57.21,57.31,56.53,56.91,790480
"2013-10-10",57.15,57.68,56.78,57.11,878167
"2013-10-17",58.66,61,58.61,60.92,1584724
"2013-10-24",60.95,61.66,60.95,61.62,439170
"2013-10-31",61.57,62.83,61.56,62.28,630618
"2013-11-07",61.23,61.42,58.76,58.78,1209200
"2013-11-14",60.75,61.06,60.55,60.88,360993
"2013-11-21",61.31,63.06,61.23,62.93,877993
"2013-12-05",60.79,61.13,59.69,60.15,894151
"2013-12-12",60.48,60.8,60.13,60.37,528073
"2013-12-19",62.14,62.48,61.31,61.84,546397
"2013-12-26",63.3,63.4,62.66,63.14,469392
"2014-01-02",63,63.82,63,63.25,634820
"2014-01-09",63.29,63.5,62.32,63.41,618600
"2014-01-16",65.52,65.55,65.14,65.36,365573
"2014-01-23",66.02,66.07,65,65.29,884673
"2014-01-30",64.79,64.85,63.59,63.98,648313
"2014-02-06",62.91,63.65,62.91,63.18,675615
"2014-02-13",72,72.35,71.12,71.33,1556694
"2014-02-20",72.5,72.98,71.5,72.33,844159
"2014-02-27",71.95,72.43,71.73,72.26,588251
"2014-03-06",74.8,75.1,74.1,74.2,574204
"2014-03-13",72.28,72.78,70.78,71.23,1074393
"2014-03-20",70.9,72.1,70.9,72.07,1058137
"2014-03-27",68.36,68.36,67.11,68.08,1624729
"2014-04-03",72.54,72.74,71.33,71.88,1204819
"2014-04-10",69.35,69.4,66.66,66.85,1229370
"2014-04-17",67.16,67.7,66.5,67.16,1212969
"2014-04-24",67.82,67.93,66.15,66.79,1108786
"2014-05-01",66.5,67.14,65.98,66.26,1725865
"2014-05-08",66.86,68,66.63,66.76,753672
"2014-05-15",67.35,67.62,66.18,66.73,940300
"2014-05-22",67.55,67.9,67.17,67.19,704954
"2014-05-29",68.36,68.86,68.14,68.82,598800
"2014-06-05",70.05,70.73,69.61,70.71,447646
"2014-06-12",70.58,70.85,69.61,69.93,531241
"2014-06-19",70.66,71.22,70.61,70.95,439455
"2014-06-26",71.07,71.07,70.12,70.94,464315
"2014-07-03",70.88,71.4,70.75,70.93,504349
"2014-07-10",68.32,68.36,67.81,68.17,920404
"2014-07-17",66.95,68.11,66.3,66.41,1316428
"2014-07-24",66.92,70.46,66.9,69.11,2749675
"2014-07-31",66.59,66.78,65.69,66.16,977101
"2014-08-07",66.87,66.99,65.87,66.26,477006
"2014-08-14",64.28,65.75,64.28,65.59,1100629
"2014-08-21",65.8,66.55,65.59,66.49,738595
"2014-08-28",66.92,67.38,66.78,67.2,329059
"2014-09-04",70,70.62,69.72,70.29,1778995
"2014-09-11",68.18,69.89,67.85,69.32,1095756
"2014-09-18",66.07,66.07,65.15,65.37,668223
"2014-09-25",63.8,64.2,63.1,63.25,773527
"2014-10-02",62.83,62.91,61.98,62.3,1311980
"2014-10-09",63.82,63.82,61.86,61.98,1579953
"2014-10-16",59.79,62.43,59.55,62.23,2302498
"2014-10-23",68.17,70.26,68.15,69.47,1554820
"2014-10-30",69.65,72.23,69.25,71.07,1946512
"2014-11-06",72.54,73,71.72,72.25,732796
"2014-11-13",72.99,73.18,72.51,72.85,535466
"2014-11-20",72.46,73.1,72.26,72.9,669225
"2014-12-04",76.76,78.5,76.68,77.78,1794351
"2014-12-11",76.59,77.6,76.41,76.92,468442
"2014-12-18",78.94,79.34,78.43,79.32,891650
"2015-01-08",77.66,78.95,77.56,78.72,1067969
"2015-01-15",79.2,80.05,78.5,79.03,1157732
"2015-01-22",81.7,82.55,81.07,82.53,715268
"2015-01-29",76.21,76.5,74.88,76.43,1096787
"2015-02-05",76.98,77.69,76.68,77.56,992249
"2015-02-12",80.18,81.56,79.31,81.03,1644888
"2015-02-19",83.62,83.89,82.69,83.05,839411
"2015-02-26",82.35,83.14,82.12,82.71,932355
"2015-03-05",80.12,80.42,78.3,79.08,996850
"2015-03-12",78.01,79.71,77.58,79.58,791033
"2015-03-19",79.4,79.76,78.39,79.04,485081
"2015-03-26",76.59,77.51,76.01,77.34,511255
"2015-04-02",76.87,77.33,75.83,76.24,897504
"2015-04-09",78.13,78.93,78.04,78.28,759629
"2015-04-16",76.22,77.33,76.12,77.16,937428
"2015-04-23",70.23,70.99,69.92,70.04,1638085
"2015-04-30",68.26,69.64,68.11,69.19,1407437
"2015-05-07",69.03,69.63,68.82,69.2,904561
"2015-05-14",70.37,70.82,70.02,70.69,774596
"2015-05-21",70.98,71.33,70.57,70.97,714254
"2015-05-28",70.41,70.94,70.02,70.5,746676
"2015-06-04",67.74,68.25,67.56,68.17,1126812
"2015-06-11",67.49,68.12,67.49,68.06,716765
"2015-06-18",68.16,68.52,67.97,68.51,744334
"2015-06-25",66.14,66.26,65.1,65.17,1120399
"2015-07-02",63.91,64.41,63.68,63.83,782511
"2015-07-09",63.19,63.71,62.2,62.43,937246
"2015-07-16",64.46,66.24,64.4,66.04,2042349
"2015-07-23",71.39,71.39,69.57,69.68,1526205
"2015-07-30",70.83,70.95,70.33,70.73,1101872
"2015-08-06",70.49,70.69,69.52,70.61,753381
"2015-08-13",71.85,72.62,71.4,72.11,736852
"2015-08-20",71.75,71.92,70.95,71.15,858920
"2015-08-27",65.41,66.87,65.09,66.3,1293511
"2015-09-03",65.6,66.56,65.28,65.5,629246
"2015-09-10",65.5,66.26,65.25,65.82,939814
"2015-09-17",66.14,66.62,65.33,65.5,807708
"2015-09-24",61.91,62.01,60.06,61,787962
"2015-10-01",60.42,62.71,59.54,61.24,925538
"2015-10-08",63.98,65.33,63.65,65.03,622399
"2015-10-15",68.69,69.26,68.4,68.9,727412
"2015-10-22",64.59,65.05,63.89,64.83,985840
"2015-10-29",67.57,68.48,67.13,68.04,769267
"2015-11-05",67.34,67.76,66.72,67.2,740394
"2015-11-12",66.38,66.5,64.56,64.6,482930
"2015-11-19",65.88,66.71,65.38,66.47,825499
"2015-12-03",67.75,67.9,66.23,66.77,775130
"2015-12-10",65.73,66.36,65,65.25,707398
"2015-12-17",64.63,65.29,61.84,61.96,1225424
"2015-12-24",63.75,64.6,63.45,64.3,355887
"2015-12-31",63.62,64.25,62.86,63.05,736492
"2016-01-07",59.76,60.54,59.06,59.49,1071500
"2016-01-14",57.98,58.57,56.84,58.16,687200
"2016-01-21",56.9,57.76,55.83,55.95,1298524
"2016-01-28",50.39,50.54,48.53,48.88,1311502
"2016-02-04",49.29,50.55,48.93,50.44,1714992
"2016-02-11",47.96,48.42,45.84,46.07,2258099
"2016-02-18",48.24,48.41,46.78,47.16,1650917
"2016-02-25",47.32,47.8,46.75,47.46,1248871
"2016-03-03",50.7,52.52,50.51,52.44,1340367
"2016-03-10",55.37,55.37,53.39,54.36,1268298
"2016-03-17",56,57.58,55.88,57.29,953682
"2016-03-24",57.86,58.83,57.27,58.71,957968
"2016-03-31",59.38,61,59.05,60.4,1279381
"2016-04-07",59.2,59.7,58.65,58.99,962460
"2016-04-14",61.74,61.76,60.6,61.19,617545
"2016-04-21",64.5,67,63.74,63.85,1616372
"2016-04-28",65.52,66.78,65.1,65.85,625152
"2016-05-05",64.88,65.34,64.37,64.95,526711
"2016-05-12",66.63,67.18,65.9,66.33,504800
"2016-05-19",64,64.87,63.12,64.13,748297
"2016-05-26",67.68,67.99,67.11,67.54,688013
"2016-06-02",68.85,69.64,68.49,69.48,1000121
"2016-06-09",70.48,70.61,69.54,69.64,870352
"2016-06-16",65.09,65.59,64.66,65.55,771226
"2016-06-23",68.61,69.22,68.57,69.05,1139284
"2016-06-30",66.09,66.93,65.69,66.93,1162860
"2016-07-07",68.73,69.98,68.4,68.71,829283
"2016-07-14",71.61,72,71.36,71.83,819270
"2016-07-21",75.25,76,73.75,73.81,1717025
"2016-07-28",75.11,75.46,74.23,74.92,523944
"2016-08-04",74.32,75.44,74.21,74.25,716861
"2016-08-11",76.75,77.4,76.22,76.96,608342
"2016-08-18",77.32,77.7,76.85,77.64,637693
"2016-08-25",76.02,79.16,75.7,78.69,1831972
"2016-09-01",78.78,79.42,78.34,78.94,923475
"2016-09-08",80.75,81.78,80.47,80.86,725508
"2016-09-15",78.86,80.36,78.86,80.03,601689
