"","PM.Open","PM.High","PM.Low","PM.Close","PM.Volume"
"2014-09-15",84.29,84.3,83.88,84.2,3947131
"2014-09-22",85.09,86.07,85.06,86.05,7002584
"2014-09-29",82.61,82.95,82.55,82.66,4657024
"2014-10-06",84.84,84.85,84.07,84.57,2678172
"2014-10-13",84.6,85.29,83.97,84.07,4404508
"2014-10-20",85.76,87.21,85.71,86.93,5537858
"2014-10-27",87.92,88.67,87.8,88.04,2851414
"2014-11-03",88.85,89.5,88.6,89.19,3361648
"2014-11-10",87.83,88.5,87.52,88.42,3191831
"2014-11-17",86.33,87.5,86.17,87.3,3644585
"2014-11-24",87.3,87.61,86.47,86.5,3888593
"2014-12-01",86.37,87.03,85.7,86.5,3554112
"2014-12-08",86.42,87.16,86.33,86.79,3270598
"2014-12-15",84.57,84.88,82.38,82.45,7286877
"2014-12-22",82.48,83.16,82.16,82.97,5951664
"2014-12-29",83.03,83.52,82.74,83.2,2628992
"2015-01-05",80.99,81.09,79.86,80.41,6213408
"2015-01-12",83.11,83.67,82.64,83.05,3997209
"2015-01-26",82.95,83.4,82.5,83.05,4658496
"2015-02-02",80.24,81.7,80.06,81.63,4129576
"2015-02-09",80.81,81.48,80.56,80.83,4357163
"2015-02-23",82.8,82.95,82.28,82.89,3362441
"2015-03-02",82.88,83.22,82.64,82.95,3188892
"2015-03-09",80.18,80.6,80.07,80.45,4574294
"2015-03-16",78.07,78.38,77.46,77.89,5361781
"2015-03-23",79.45,80.15,79.45,79.86,4841140
"2015-03-30",77.25,77.25,76.26,76.86,4390621
"2015-04-06",77.29,78.66,77.24,78.2,5553101
"2015-04-13",77.5,77.89,77.25,77.39,3585421
"2015-04-20",85.4,85.75,84.46,84.98,6388162
"2015-04-27",82.78,82.9,82.05,82.09,4865195
"2015-05-04",83.66,83.7,83,83.21,2482400
"2015-05-11",85.02,85.37,84.01,84.13,3156139
"2015-05-18",86.65,86.71,85.6,86.03,3173307
"2015-06-01",82.9,83.43,82.5,83.19,3378758
"2015-06-08",79.7,80.64,79.38,80.15,4313278
"2015-06-15",81.23,81.75,81.04,81.27,3919415
"2015-06-22",82.92,83.66,82.82,83.13,4052303
"2015-06-29",80.94,81.33,80.09,80.12,3374633
"2015-07-06",80.86,81.46,80.72,81.2,2534548
"2015-07-13",82.42,82.67,82.02,82.38,3238866
"2015-07-20",85.95,86.03,85.47,85.61,3265473
"2015-07-27",84.44,85.9,84.44,85.53,4481518
"2015-08-03",85.5,85.91,85.07,85.66,2622267
"2015-08-10",85.57,86.34,85.56,85.87,2470855
"2015-08-17",83.92,84.35,83.47,84.3,3159201
"2015-08-24",78.14,79.71,76.54,78.34,11299635
"2015-08-31",79.87,80.11,78.9,79.8,4210775
"2015-09-14",79.68,79.79,78.88,79.35,3624383
"2015-09-21",81.69,82.46,81.58,82.12,3630861
"2015-09-28",78.99,80.33,78.73,78.91,4317863
"2015-10-05",80.4,81.86,80,81.71,5715055
"2015-10-12",84.22,84.89,84.12,84.66,2384907
"2015-10-19",87.65,88.49,87.23,88.42,4649218
"2015-10-26",89.65,90.08,89.33,89.7,4065496
"2015-11-02",88.73,88.98,88.19,88.81,2857095
"2015-11-09",85.76,85.84,84.73,85.25,4026381
"2015-11-16",83.4,84.36,83.33,84.35,3722617
"2015-11-23",86.22,86.76,85.92,86.59,3029069
"2015-11-30",87.91,88.31,87.2,87.39,5728168
"2015-12-07",89.25,89.64,88.3,88.79,3931827
"2015-12-14",86.38,87.42,85.89,87.16,4621258
"2015-12-21",86.36,86.66,85.74,86.62,4058101
"2015-12-28",88.55,88.79,88.09,88.59,1860699
"2016-01-04",86.85,87.05,85.76,87,4684206
"2016-01-11",87.44,89.33,87.4,89.17,8020963
"2016-01-25",87.05,87.6,86.51,86.68,3233009
"2016-02-01",89.79,90.31,89.33,89.41,5982604
"2016-02-08",89.28,90.29,88.65,89.72,5118230
"2016-02-22",92.34,92.85,92.02,92.54,3733376
"2016-02-29",91,91.77,90.48,91.03,4632010
"2016-03-07",94.02,94.19,93.1,93.9,4886242
"2016-03-14",96.58,97.13,96,96.44,4621591
"2016-03-21",98.08,98.82,97.76,98.59,3711461
"2016-03-28",97.86,98.21,97.42,97.86,3194579
"2016-04-04",99.96,100.48,99.47,100.36,3896213
"2016-04-11",101.28,101.8,100.09,100.33,4915562
"2016-04-18",99.83,101.39,99.78,100.6,5075554
"2016-04-25",96.59,97.54,96.21,97.53,3238288
"2016-05-02",98.42,98.88,97.89,98.56,2789777
"2016-05-09",100.35,100.65,100.02,100.39,4491690
"2016-05-16",100.84,101.94,100.31,101.71,2991009
"2016-05-23",98.06,98.42,97.73,98.28,2365539
"2016-06-06",101.22,101.69,100.02,100.32,5121077
"2016-06-13",100.88,101.59,100.51,100.57,3565974
"2016-06-20",101.3,101.91,101.18,101.55,5045279
"2016-06-27",97.34,98.67,96.89,98.2,8205952
"2016-07-11",102.98,103.67,102.1,103.38,4040086
"2016-07-18",103.49,103.73,102.9,103,4446507
"2016-07-25",99.82,100.14,99.41,99.71,2957713
"2016-08-01",99.74,100.38,99.28,100.15,4342391
"2016-08-08",98.78,99.52,98.24,98.55,3888163
"2016-08-15",99.14,99.18,98.54,98.61,5256666
"2016-08-22",99.96,100.19,99.7,100.12,2380441
"2016-08-29",99.08,100.32,99.06,100.26,3024478
"2016-09-12",98.02,100.99,97.91,100.64,6335926
