"","PNR.Open","PNR.High","PNR.Low","PNR.Close","PNR.Volume"
"2014-06-05",74.92,76.49,74.45,76.18,1087107
"2014-06-12",77.38,77.62,75.16,75.35,1265818
"2014-06-19",74.94,74.94,74.22,74.67,1647678
"2014-06-26",73.92,74.12,73.01,73.17,1293532
"2014-07-03",72.34,72.73,72.08,72.2,766645
"2014-07-10",70.09,70.79,69.66,70.48,1186522
"2014-07-17",72.95,72.95,71.43,71.57,1750688
"2014-07-24",71.76,72.3,71.63,71.78,1200511
"2014-07-31",66,67.18,63.59,64.07,7434445
"2014-08-07",65.52,66.73,65.51,66.55,2386903
"2014-08-14",68.75,69.04,68.34,68.5,1289169
"2014-08-21",70.19,70.33,69.72,70.02,960670
"2014-08-28",68.29,68.68,67.88,68.51,690614
"2014-09-04",67.89,68.07,66.91,67.01,1434005
"2014-09-11",67,67.94,66.82,67.79,1095967
"2014-09-18",67.72,67.95,67.37,67.69,753099
"2014-09-25",67.23,67.23,66.79,66.79,2213873
"2014-10-02",64.42,64.9,64.2,64.66,2270277
"2014-10-09",64.7,64.74,62.63,62.72,1560407
"2014-10-16",59.74,62.25,59.74,61.81,3330007
"2014-10-23",65.43,67.04,65.43,66.35,1586036
"2014-10-30",66.5,67.29,66.18,67.19,715032
"2014-11-06",67.3,67.98,66.96,67.88,1047770
"2014-11-13",68.38,68.92,68.02,68.47,2209408
"2014-11-20",67.28,67.9,67.06,67.8,713661
"2014-12-04",64.46,64.57,63.88,64.19,952448
"2014-12-11",61.04,62.19,60.82,61.36,1382463
"2014-12-18",64.75,65.12,62.96,65.04,2567296
"2015-01-08",64.09,65.56,64.04,65.55,1538323
"2015-01-15",65.79,66.56,64.88,64.96,2225137
"2015-01-22",66.18,66.72,65.31,66.31,1953243
"2015-01-29",61.28,62.61,60.73,62.37,2648849
"2015-02-05",63.89,64,63.46,63.95,1275878
"2015-02-12",65.14,65.82,64.96,65.78,987989
"2015-02-19",66.53,67.22,66.32,66.95,844766
"2015-02-26",67.42,67.77,66.89,67.34,865322
"2015-03-05",64.52,64.85,64.25,64.8,903611
"2015-03-12",62.9,64.37,62.71,64.19,1305370
"2015-03-19",65.49,65.5,63.66,64.38,1784949
"2015-03-26",62.3,63.25,62.29,62.86,1265225
"2015-04-02",62.9,64.25,62.64,63.67,1315180
"2015-04-09",61.99,62.54,61.56,62.33,951330
"2015-04-16",64.68,65.01,64.23,64.64,906288
"2015-04-23",60.55,61.68,60.26,61.3,2055327
"2015-04-30",62.25,62.81,61.78,62.15,1632241
"2015-05-07",61.93,62.02,61.33,61.95,791728
