"","PPG.Open","PPG.High","PPG.Low","PPG.Close","PPG.Volume"
"2011-09-15",153.56,155.44,152.99,154.84,484722
"2011-09-22",142.24,142.46,137.82,140.2,1075601
"2011-09-29",148.28,148.28,141.98,144.7,819448
"2011-10-06",144.8,147.62,142.4,147.42,788973
"2011-10-13",153.52,155.84,152.34,155.34,557621
"2011-10-20",160.34,161.88,156.58,161.36,770884
"2011-10-27",174.28,179.92,172.92,173.66,830522
"2011-11-03",176,177.92,173.54,177.32,452022
"2011-11-10",172.62,173.94,170.14,172.44,512008
"2011-11-17",169.4,171.06,163.94,165.42,842557
"2011-12-01",174.38,175.56,172.32,173.1,474144
"2011-12-08",168.76,169.06,164.86,165.26,709268
"2011-12-15",162.82,163.21,159.28,160.24,705322
"2011-12-22",164.54,165.3,163.43,164.72,702692
"2011-12-29",165.7,168.12,164.9,167.98,312706
"2012-01-05",168.98,169.28,166.54,169.08,572261
"2012-01-12",173.5,176.18,172.9,176,341088
"2012-01-19",178.8,178.8,173.48,175.52,1005286
"2012-01-26",179.9,181.78,177.02,177.66,477500
"2012-02-02",181.96,181.96,179.4,179.6,331404
"2012-02-09",183.22,184.18,182.32,184.06,461600
"2012-02-16",180.14,183.04,179.8,182.8,351289
"2012-02-23",183.38,185,182.96,184.4,252510
"2012-03-01",182.98,185.96,182.98,185.32,407101
"2012-03-08",183.02,186.79,182.8,185.88,514331
"2012-03-15",187.8,187.94,186.52,187.28,510124
"2012-03-22",187.2,187.24,185.14,185.92,350871
"2012-03-29",188,191.65,188,191.38,517378
"2012-04-05",195.4,197.1,190.6,192.58,2654514
"2012-04-12",189.52,194.24,188.88,193.66,837894
"2012-04-19",197.94,203.8,194.78,202,1831819
"2012-04-26",207.38,211.64,206.8,210.44,618518
"2012-05-03",214,215.9,213.1,214.4,539754
"2012-05-10",213.98,214.02,210.96,211.46,487439
"2012-05-17",204,204.28,197.54,197.7,657961
"2012-05-24",207.74,209.18,204.48,208.4,1015120
"2012-05-31",204.82,208.26,202.62,206.88,624659
"2012-06-07",207.12,208.92,204.78,205.16,897914
"2012-06-14",204.08,204.9,201.24,203.52,541228
"2012-06-21",212.2,212.86,204.5,204.84,424506
"2012-06-28",206.02,207.38,203.3,207,544272
"2012-07-05",208.8,212.24,208.04,210.98,309798
"2012-07-12",199.78,202.52,198.24,201.32,376330
"2012-07-19",218.5,224.36,213.7,223.92,2115962
"2012-07-26",219.58,219.58,215.84,216.46,601645
"2012-08-02",214.5,216.08,211.74,215.28,531552
"2012-08-09",221.5,223.74,220.9,222.74,264328
"2012-08-16",219.52,220.58,217.7,220.08,225397
"2012-08-23",221.1,221.4,217.48,217.98,506310
"2012-08-30",218.48,219.14,216.58,216.98,407988
"2012-09-06",219.18,226.02,218.7,226,649482
"2012-09-13",231.92,239.28,231.6,237.16,613472
"2012-09-20",232.72,236.92,232.02,236.74,554520
"2012-09-27",230.04,232.07,228.6,230.46,252808
"2012-10-04",234.1,235.3,232.32,234.04,371440
"2012-10-11",232.94,234.14,230.92,230.92,255684
"2012-10-18",237.74,240,235.2,238.18,516360
"2012-10-25",235.94,236,231,232.04,318586
"2012-11-01",237.36,243.88,234.76,243.6,469410
"2012-11-08",241.32,242.72,235.16,235.22,413076
"2012-11-15",232.52,234.12,228.42,230.5,376958
"2012-11-29",244.82,246.2,242.8,245.28,478256
"2012-12-06",239.34,246.7,237.5,246.42,706730
"2012-12-13",249.44,251.7,248.5,250.42,740707
"2012-12-20",264.02,269,263.78,268.78,651316
"2012-12-27",268.9,273.58,262.9,266.24,1692121
"2013-01-03",277.38,277.94,274.36,275.5,1317886
"2013-01-10",284.52,284.76,279.98,283.54,1578074
"2013-01-17",279.06,285.5,278.24,283.96,2141336
"2013-01-24",286,292.22,285.06,287.96,5230072
"2013-01-31",278.34,280.39,275.54,275.74,1208880
"2013-02-07",277.54,278,272.06,275.94,3873650
"2013-02-14",277.32,278.72,275.82,278,1206516
"2013-02-21",261.3,261.3,256.4,260.16,1099557
"2013-02-28",269.84,271.76,269.22,269.32,675414
"2013-03-07",271.44,271.92,269.82,270.94,483160
"2013-03-14",283.6,286.46,283.22,284.46,487597
"2013-03-21",278.26,280.12,274.54,274.58,508164
"2013-03-28",266.66,268.18,265.74,267.88,526708
"2013-04-04",266.08,269.78,265,267.8,457607
"2013-04-11",269.38,276.26,269.24,275.22,543498
"2013-04-18",271.32,284,271.32,281.3,1195216
"2013-04-25",292,297.12,290.92,293.82,484184
"2013-05-02",291.76,297.76,290.62,296.96,411790
"2013-05-09",309.32,310.26,307.16,307.84,442963
"2013-05-16",312.14,314.8,310.8,311.1,247736
"2013-05-23",310.86,315.8,308.72,313.72,279354
"2013-05-30",314.78,315.26,311.44,312.62,202409
"2013-06-06",298.3,303.16,298.08,302.54,222191
"2013-06-13",300.92,311.8,300.92,310.54,413792
"2013-06-20",304.5,305.52,299.22,300.16,532582
"2013-06-27",300.2,301.04,296.68,298.06,389924
"2013-07-11",318.24,319.02,314.26,316.06,442731
"2013-07-18",313.58,322.94,312.36,320,684155
"2013-07-25",314.18,317.58,313.88,317.46,281858
"2013-08-01",312.52,331.28,312.52,325.52,241358
"2013-08-08",324.06,325.44,320.77,323.66,398148
"2013-08-15",322,322,316.58,317.54,289335
"2013-08-22",318.86,320.96,315.72,320.3,165142
"2013-08-29",310.58,314.48,310.54,312.38,353108
"2013-09-05",317.7,322.68,316.68,321.14,159754
"2013-09-12",328.38,331.04,324.62,325.74,222822
"2013-09-19",335.58,337.94,334.4,335.98,230133
"2013-09-26",330.2,333.92,329.58,333.3,228424
"2013-10-03",332.38,333.66,330.12,332.98,385204
"2013-10-10",329.4,331.9,327.6,329.46,575346
"2013-10-17",84.88,87.37,83.62,87.24,3069696
"2013-10-24",89.38,89.8,88.98,89.73,723528
"2013-10-31",90.87,92.28,90.78,91.29,1835324
"2013-11-07",91.64,92.16,89.68,89.82,1768422
"2013-11-14",92.5,92.8,91.86,92.79,1034386
"2013-11-21",91.66,91.96,91.22,91.66,1332940
"2013-12-05",91,91.64,90.42,90.89,1155960
"2013-12-12",91.11,92.3,91.02,91.96,1797856
"2013-12-19",92.43,92.9,92.18,92.65,1435112
"2013-12-26",93.92,94.18,93.62,94.04,609764
"2014-01-02",94.75,95.14,94.26,94.47,1368442
"2014-01-09",94.86,95.62,94.62,95.06,2365968
"2014-01-16",91.28,94.95,91.28,93.84,3294232
"2014-01-23",93.36,94.02,92.88,93.44,2456858
"2014-01-30",91.85,92.82,91.44,92.34,1190058
"2014-02-06",88.72,89.66,88.41,89.46,1659072
"2014-02-13",92.5,93.92,92.08,93.62,1374444
"2014-02-20",93.5,94.44,93.04,94.38,1690740
"2014-02-27",96.4,97.34,95.6,96.84,1586136
"2014-03-06",99.88,100.64,99.72,100.07,979136
"2014-03-13",99.12,99.4,97.26,97.46,1022386
"2014-03-20",97.24,98.06,97,97.37,1833742
"2014-03-27",95.22,95.48,94.02,94.76,1202978
"2014-04-03",98.62,100.02,98.08,98.68,1224566
"2014-04-10",97.99,98.1,94.94,94.98,1846940
"2014-04-17",100,100,98.24,99.73,3588108
"2014-04-24",98.32,98.47,97.14,97.26,1536786
"2014-05-01",96.58,97.1,96.12,96.32,789074
"2014-05-08",98.81,99.44,97.48,98.14,1200822
"2014-05-15",98.15,98.22,96.5,97.32,933714
"2014-05-22",98.5,99.02,98.15,98.18,691354
"2014-05-29",100.22,100.5,99.01,100.5,1044522
"2014-06-05",101.79,101.9,100.55,101.58,986216
"2014-06-12",102.68,102.86,101.68,101.79,1284026
"2014-06-19",101.7,102.02,101.49,101.61,850130
"2014-06-26",102.36,102.38,100.96,101.29,955292
"2014-07-03",104.34,105.18,104.19,105.08,577196
"2014-07-10",102.82,103.9,102.5,103.7,1188096
"2014-07-17",102.51,104.88,102.51,103.85,1891732
"2014-07-24",105,105.66,104.71,105.01,914544
"2014-07-31",101.91,101.91,99.17,99.18,1587234
"2014-08-07",99.82,100,98.5,98.66,1035608
"2014-08-14",100.78,101.05,100.46,100.78,867494
"2014-08-21",102.35,103,102.04,102.54,928904
"2014-08-28",102.34,103.06,102.18,102.72,758012
"2014-09-04",101.92,102.5,101.61,101.81,798942
"2014-09-11",100.5,101.06,100.22,100.71,900712
"2014-09-18",101.1,102.02,100.94,101.58,1057584
"2014-09-25",99.7,99.81,98.7,98.7,1002538
"2014-10-02",95.44,95.95,93.94,95.58,1724846
"2014-10-09",95,95.13,92.8,93.02,2204986
"2014-10-16",86.95,91.75,85.78,90.92,4098508
"2014-10-23",97.98,98.28,97.06,97.45,1712038
"2014-10-30",95.67,96.72,95.39,96.18,1368104
"2014-11-06",102.5,103.13,101.58,103.04,1990214
"2014-11-13",102.12,103.5,101.5,102.62,1979978
"2014-11-20",104.92,106.44,104.8,106.33,1405770
"2014-12-04",111.56,112.58,111.23,111.86,2052848
"2014-12-11",110.43,112.16,110.24,111.3,1499196
"2014-12-18",111.95,113.55,111.46,113.5,1510190
"2015-01-08",113.12,115.34,112.46,114.94,2075872
"2015-01-15",114.56,116.99,112.38,113.1,3105548
"2015-01-22",114.36,115.98,113.16,115.68,1179620
"2015-01-29",111,113.04,110.16,112.86,1528882
"2015-02-05",114.48,115.62,113.92,115.18,1352748
"2015-02-12",115.13,116.8,114.56,116.52,1626256
"2015-02-19",117.24,118.57,117.01,117.75,949562
"2015-02-26",117.62,118.4,117.33,117.92,967696
"2015-03-05",117.92,118.14,117.06,117.72,974302
"2015-03-12",112.7,114.92,112.56,114.85,986326
"2015-03-19",114.08,114.49,112.92,113.08,1017632
"2015-03-26",110.3,111.25,110.02,110.65,1125286
"2015-04-02",111.71,112.64,111.46,111.79,1421054
"2015-04-09",113.18,114.26,112.71,114.17,1177408
"2015-04-16",116.52,116.56,113.28,113.38,2492524
"2015-04-23",113.04,113.43,112.68,112.94,855502
"2015-04-30",110.24,111.58,110.01,110.78,2217792
"2015-05-07",110.75,112.88,110.34,112.46,2165360
"2015-05-14",113.62,114.5,113,114.4,1527358
"2015-05-21",114.16,115.12,114.12,114.62,664410
"2015-05-28",114.14,115.06,113.68,114.91,1230906
"2015-06-04",114.46,115.12,114.12,114.38,1406534
"2015-06-11",116.4,117.48,115.48,117,1806188
"2015-06-18",117.12,118.24,116.79,117.81,1668934
"2015-06-25",118.1,118.56,117.7,117.74,1207833
"2015-07-02",117.15,117.32,115.24,115.91,943202
"2015-07-09",114.66,114.85,112.63,112.64,1718949
"2015-07-16",117.09,118.27,111.54,111.82,5356139
"2015-07-23",108.1,108.19,105.1,105.63,3033240
"2015-07-30",108.5,108.76,107.57,108.52,1233782
"2015-08-06",106.24,106.54,104.9,105.21,1507655
"2015-08-13",104.26,104.4,103.46,103.52,1230526
"2015-08-20",101.91,102.4,99.87,99.87,2302332
"2015-08-27",94.67,95.85,93.27,95.19,4582576
"2015-09-03",94.06,94.89,93.56,93.98,1472064
"2015-09-10",96.09,97.39,95.57,96.64,2110840
"2015-09-17",95.07,96.04,94.11,94.46,2159113
"2015-09-24",89.05,89.46,87.19,88.11,3711091
"2015-10-01",82.93,90.18,82.93,90.13,3579953
"2015-10-08",94.17,95.99,93.79,95.77,1293303
"2015-10-15",97.81,99.38,96.31,99.26,3253353
"2015-10-22",101.6,104,101.34,103.62,2293154
"2015-10-29",104.4,104.67,103.58,104.28,1099832
"2015-11-05",103.72,104,102.44,103.21,910046
"2015-11-12",100.61,101.12,99.2,99.21,1890339
"2015-11-19",104.23,104.57,102.88,103.37,1251692
"2015-12-03",105.4,105.99,103.92,104.3,1131973
"2015-12-10",101.33,101.74,100.51,100.88,1651976
"2015-12-17",100.53,100.66,98.17,98.24,1584000
"2015-12-24",99.94,100.79,99.94,100.39,371784
"2015-12-31",99.38,100,98.79,98.82,895356
"2016-01-07",95.07,97.14,94.68,95.25,2597603
"2016-01-14",93.29,94.12,91.6,93.57,2300169
"2016-01-21",93,94.67,90.61,91.92,4306860
"2016-01-28",93.29,94.04,91.98,92.09,2347262
"2016-02-04",95.33,96.32,94.6,95.7,1452338
