"","PRGO.Open","PRGO.High","PRGO.Low","PRGO.Close","PRGO.Volume"
"2013-12-19",155.55,155.55,148.86,151.14,2484653
"2013-12-26",151.58,152.98,151.51,152.17,503160
"2014-01-02",152.45,154.52,152.11,153.1,1209456
"2014-01-09",158.2,158.99,157.05,158.95,949197
"2014-01-16",157.54,158.09,156.43,157.16,532303
"2014-01-23",155.28,156.02,154.14,155.16,795398
"2014-01-30",153.77,156.18,153.2,155.9,914282
"2014-02-06",153.87,155.22,144.46,146.49,3765158
"2014-02-13",148.95,150.9,148.41,150.76,1450785
"2014-02-20",155.11,161.51,154.54,161.03,1546682
"2014-02-27",163.14,166.36,162.53,166.32,1278633
"2014-03-06",167.88,168.24,163.4,163.89,659623
"2014-03-13",166.35,167.25,162.48,162.82,849867
"2014-03-20",166.1,166.43,163.37,164,615221
"2014-03-27",156.56,156.83,152.97,154.05,997145
"2014-04-03",157.22,157.22,151.87,152.77,1338387
"2014-04-10",149.78,150,141.73,144.25,1977454
"2014-04-17",142.56,143.69,141.29,141.99,842652
"2014-04-24",150.92,151.01,147.28,147.7,777373
"2014-05-01",145.15,146.49,144.98,146.02,808967
"2014-05-08",130.55,131.76,125.37,126.87,3195573
"2014-05-15",131.76,132.51,130.2,132.37,1491861
"2014-05-22",132.98,137.02,132.84,136.83,1104440
"2014-05-29",137.33,139.69,137.01,138.8,936380
"2014-06-05",137.25,140.21,136.25,139.34,1575591
"2014-06-12",141.72,143.58,141.02,142.68,1671593
"2014-06-19",143.59,143.6,141.35,141.86,1244319
"2014-06-26",148.28,149.01,147.07,148.9,1296849
"2014-07-03",152.92,153.74,150.6,153.31,1111484
"2014-07-10",145.98,147.6,144.5,147.27,945090
"2014-07-17",155.14,155.55,151.44,151.86,1198403
"2014-07-24",157.23,157.42,155.49,157.07,804810
"2014-07-31",153.33,153.44,150.33,150.45,913874
"2014-08-07",143.26,143.59,141.26,141.56,778625
"2014-08-14",145.41,149.77,145.15,149.29,2593036
"2014-08-21",149.23,149.8,147.55,147.75,486403
"2014-08-28",148.57,150.17,148.02,150.03,709588
"2014-09-04",150.16,150.16,145.74,146.07,885635
"2014-09-11",145.52,146.14,144.36,145.15,541213
"2014-09-18",146.8,146.88,146.28,146.64,803928
"2014-09-25",152.83,153.1,150.62,150.77,732699
"2014-10-02",149.54,151.93,149.54,151.46,772614
"2014-10-09",150.76,153.87,150.5,152.39,1099984
"2014-10-16",144.57,146.47,142.38,145.69,814759
"2014-10-23",151.36,155.42,151.22,153.91,815162
"2014-10-30",156.6,161.35,156.3,161.33,1206371
"2014-11-06",160.78,160.85,145.41,152.49,4923944
"2014-11-13",154.72,156,154.27,155.53,688026
"2014-11-20",154.57,157.96,154,154.27,1515816
"2014-12-04",159.28,159.54,157.26,159.03,689408
"2014-12-11",156.93,159.5,156.2,156.54,658245
"2014-12-18",158.46,164.92,158.39,164.85,1615511
"2015-01-08",169.05,171.5,168.96,171.17,1118658
"2015-01-15",163.09,163.86,158.33,158.51,934941
"2015-01-22",158.59,158.95,152.71,156.21,1613110
"2015-01-29",153.91,154.43,151.43,154,1023241
"2015-02-05",151.71,157.65,150.51,155.03,1628402
"2015-02-12",148.28,151.24,147.82,150.68,1273805
"2015-02-19",151.3,152.03,151.06,151.59,841735
"2015-02-26",153.22,155.29,152.58,155.25,864596
"2015-03-05",158.57,160.32,157.81,160,872329
"2015-03-12",162.12,166.61,161.88,166.48,973146
"2015-03-19",173.32,173.32,168.15,170.37,1989364
"2015-03-26",163.51,166.23,162.34,164.32,790958
"2015-04-02",165.01,166.81,163.41,163.73,851764
"2015-04-09",195.26,200.12,191.83,198.7,7320453
"2015-04-16",202.48,203.13,199,199,1788204
"2015-04-23",199.62,202.12,199.53,201.63,1857866
"2015-04-30",184.98,185.77,181.42,183.28,2972445
"2015-05-07",189.87,195,189.82,191,2536671
"2015-05-14",194.41,194.79,193.25,194.15,683870
"2015-05-21",197.58,199.74,195.73,198.26,1017952
"2015-05-28",192.23,194.91,192.23,193.96,856705
"2015-06-04",195.75,196.55,192.4,192.88,1088388
"2015-06-11",187.21,189.34,186.4,186.91,1026463
"2015-06-18",188.5,189.87,188.24,188.28,756544
"2015-06-25",190.46,191.75,187.6,189.21,693621
"2015-07-02",185.18,186.85,183.13,183.68,830876
"2015-07-09",182.35,182.54,179.49,180.01,805640
"2015-07-16",187.5,187.5,185.19,186.81,966750
"2015-07-23",191.61,192.47,187.26,189.71,870514
"2015-07-30",191.6,193.21,191.29,191.43,638535
"2015-08-06",189.94,189.94,180.4,188.24,2268323
"2015-08-13",187.93,193.27,187.52,192.5,1854119
"2015-08-20",194.85,196.21,192.61,192.66,800525
"2015-08-27",184.14,188.34,183.43,188.19,1110007
"2015-09-03",181.18,182.2,177.04,177.95,6e+05
"2015-09-10",176.77,179.61,175.78,178.17,948385
"2015-09-17",180.5,183.57,180.38,181.08,1157928
"2015-09-24",170.14,170.14,166.56,169.26,1031144
"2015-10-01",159.02,159.5,152.69,156.37,1530492
"2015-10-08",155.77,158.87,154.09,158.34,579256
"2015-10-15",161.25,162.73,159.66,162.62,784652
"2015-10-22",152.6,153.95,142.62,147.68,4178121
"2015-10-29",163.37,167.92,162.4,165.81,2277958
"2015-11-05",164.98,165.29,160.17,160.5,1407352
"2015-11-12",160.1,165.18,156.1,156.55,3523837
"2015-11-19",155.8,155.8,153.36,154.63,2273620
"2015-12-03",148.24,148.53,143.61,145.59,1486948
"2015-12-10",149.53,149.65,148.05,148.89,1270522
"2015-12-17",151.05,151.65,145.56,146.26,1492065
"2015-12-24",148.21,148.47,147.51,147.54,280552
"2015-12-31",144.89,145.65,144.28,144.7,602941
"2016-01-07",142.3,145.19,142.1,144.31,1679559
"2016-01-14",143.31,146.69,140.32,145.41,1811738
"2016-01-21",146.29,147.92,143.91,146.79,2850103
"2016-01-28",145.18,145.41,140.05,143.23,2067634
"2016-02-04",145.42,147.58,142.25,144.11,1066667
"2016-02-11",136.6,137.26,133.23,135.07,1819244
"2016-02-18",134.95,136.82,128.66,130.4,7483399
"2016-02-25",126.66,129.26,125.36,129.15,1156850
"2016-03-03",125.91,126.79,125.08,126.42,1489105
"2016-03-10",132.16,134.33,131.28,133.88,1750345
"2016-03-17",133.81,133.86,128.22,131.21,1882754
"2016-03-24",129.32,130.83,128.62,130.31,1107709
"2016-03-31",129.36,129.95,127.62,127.93,1352921
"2016-04-07",129.82,133.53,129.82,131.37,1913146
"2016-04-14",128.14,128.68,127.12,128.03,790572
"2016-04-21",128.68,129.98,127.71,128.68,2038377
"2016-04-28",97,97.46,95.6,96.45,2884181
"2016-05-05",95.85,97.93,95.29,97.07,1849814
"2016-05-12",93.5,93.5,88.8,89.04,3423456
"2016-05-19",94.04,94.13,91.05,91.94,2034028
"2016-05-26",96.79,97.2,95.65,96.2,1280935
"2016-06-02",96.64,98.4,96.57,98.15,1355762
"2016-06-09",100.68,102.31,100.06,100.48,1407160
"2016-06-16",98.22,99.81,97.25,98.54,3006154
"2016-06-23",94.64,95.2,93.9,95.2,2419511
"2016-06-30",91.23,91.38,89.21,90.67,2018030
"2016-07-07",92.94,94.45,92.14,93.08,1522836
"2016-07-14",96.32,96.58,93.39,93.63,1541609
"2016-07-21",95.08,95.65,91.2,91.52,1489427
"2016-07-28",90.89,91.39,90.48,91.08,1765987
"2016-08-04",94.22,94.6,92.19,92.24,1104339
"2016-08-11",86.05,86.55,85.02,85.8,6003467
"2016-08-18",89.61,90.83,88.77,90.8,1506726
"2016-08-25",87.6,89.93,87.6,88.48,3212987
"2016-09-01",90.94,92.06,90.28,91.25,1711822
"2016-09-08",90.53,91.16,89.91,90.7,1306714
"2016-09-15",92.79,94.19,92.26,93.95,1518988
