"","PRU.Open","PRU.High","PRU.Low","PRU.Close","PRU.Volume"
"2011-09-15",49.16,50.7,48.84,50.68,6445285
"2011-09-22",43.91,44.94,43.05,44.03,9088346
"2011-09-29",46.71,48.06,46.24,48.06,5723601
"2011-10-06",46.75,48.41,45.82,48.27,4652589
"2011-10-13",50.89,51.09,49.1,49.75,8750647
"2011-10-20",50.41,51.99,49.9,51.75,4964582
"2011-10-27",56.04,57.95,55.61,56.38,6206026
"2011-11-03",52.46,53.26,50.02,53.05,8070670
"2011-11-10",52.88,53.48,51.87,52.91,4407940
"2011-11-17",51.97,52.24,50.23,50.49,6702732
"2011-12-01",50.01,50.52,49.42,49.96,3206555
"2011-12-08",50.88,50.88,49.2,49.38,4405225
"2011-12-15",48.56,48.74,47.81,47.91,3588839
"2011-12-22",49.56,50.59,49.36,50.48,2963396
"2011-12-29",49.55,50.55,49.44,50.31,1844868
"2012-01-05",51.06,52.96,50.62,52.54,3350423
"2012-01-12",54.56,55.17,54.45,55.11,3999416
"2012-01-19",56.44,57.31,56.39,56.94,2990664
"2012-01-26",57.99,58.35,53.7,55.59,10552914
"2012-02-02",58.34,58.59,57.9,58.32,2415336
"2012-02-09",60.83,61.23,58.3,59.85,4590970
"2012-02-16",60.04,60.92,59.75,60.92,2805593
"2012-02-23",60.83,61.32,60.38,61.24,1996427
"2012-03-01",61.36,62.69,61.27,62.01,3139042
"2012-03-08",61.22,61.97,60.78,61.88,2576771
"2012-03-15",61.86,63.55,61.3,63.24,4668653
"2012-03-22",63.42,63.56,62.6,62.88,3191995
"2012-03-29",62.87,62.87,61.94,62.76,2795986
"2012-04-05",62.5,62.91,62.1,62.52,2011049
"2012-04-12",60.47,61.61,60.24,61.4,3405588
"2012-04-19",60.8,60.91,59.69,60.17,3491174
"2012-04-26",60.2,61.42,60.05,61.31,2328474
"2012-05-03",55.92,57.45,53.91,54.81,12668691
"2012-05-10",52.16,52.73,51,51.64,7186184
"2012-05-17",47.5,47.58,46.03,46.04,5972945
"2012-05-24",47.4,47.41,46.21,47.33,4598944
"2012-05-31",46.53,46.93,45.62,46.45,4339444
"2012-06-07",48.23,49.14,47.85,47.94,5834617
"2012-06-14",47.21,48.06,46.95,47.8,3771929
"2012-06-21",48.64,48.82,46.77,46.82,3826963
"2012-06-28",46.2,46.84,45.86,46.77,3851774
"2012-07-05",48.5,48.96,47.92,48.18,2410825
"2012-07-12",47.24,47.8,46.8,47.55,3042929
"2012-07-19",48.73,49.05,48.27,48.57,2389120
"2012-07-26",46.71,47.35,46.25,46.62,2315437
"2012-08-02",48.21,50.32,47.85,50.04,5703898
