"","PSX.Open","PSX.High","PSX.Low","PSX.Close","PSX.Volume"
"2012-04-12",33.25,34.21,32,34,654690
"2012-04-19",36,37.22,35.8,36,598016
"2012-04-26",34.61,34.99,34.44,34.95,183833
"2012-05-03",31.93,31.98,31.05,31.39,11794167
"2012-05-10",33.05,33.35,31.52,32.48,8862449
"2012-05-17",31.89,32,31.2,31.26,5850849
"2012-05-24",31.42,31.44,30.75,31.13,4210378
"2012-05-31",30.26,30.35,29.72,30.03,8098327
"2012-06-07",32.07,32.75,31.74,31.83,7694514
"2012-06-14",32.77,33.64,32.31,33.53,4460097
"2012-06-21",34.7,34.76,33.06,33.48,3489835
"2012-06-28",31.54,32.4,31.29,32.31,3115829
"2012-07-05",33.83,34.24,33.54,33.8,2711223
"2012-07-12",33.15,33.19,32.55,33.01,3505596
"2012-07-19",36.99,37,35.49,35.6,3758508
"2012-07-26",35.76,36.06,35.59,35.96,2951738
"2012-08-02",37.94,39.07,37.84,38.3,4434735
"2012-08-09",39.9,40.6,39.88,40.32,2888402
"2012-08-16",40.53,41.26,40.37,41.18,3862105
"2012-08-23",41.48,41.63,41.05,41.33,1996903
"2012-08-30",41.79,42.7,41.62,42.48,2523712
"2012-09-06",42.16,43.74,42.16,43.42,4222973
"2012-09-13",46.3,46.85,45.37,46.64,5292183
"2012-09-20",45.39,46.31,45.17,45.78,3233690
"2012-09-27",45.8,46.74,45.68,46.53,3180121
"2012-10-04",45.59,45.66,45.08,45.39,6199093
"2012-10-11",45.38,45.65,44.57,44.6,4600511
"2012-10-18",46.62,46.63,45.39,45.56,3402277
"2012-10-25",45.14,45.45,44.55,45.03,2903891
"2012-11-01",47,47.65,46.39,47.38,4292034
"2012-11-08",49.34,49.98,48.94,49,3699028
"2012-11-15",45.53,46.19,44.94,45.34,3805077
"2012-11-29",51.2,51.66,50.83,51.56,3951277
"2012-12-06",50.69,51.21,50.3,50.97,3405972
"2012-12-13",52.6,52.6,51.24,52.21,7136529
"2012-12-20",52.58,52.72,51.7,52.42,4391727
"2012-12-27",51.5,51.71,50.4,51.56,2885361
"2013-01-03",55.03,55.17,52.87,53.19,5293064
"2013-01-10",51.64,51.84,51.22,51.51,3403346
"2013-01-17",54.98,55.83,54.19,55.15,5976768
"2013-01-24",55.5,56.95,55.37,56.12,4704870
"2013-01-31",60.37,61.05,59.91,60.57,5452274
"2013-02-07",61.88,63.34,61,63.26,4393613
"2013-02-14",63.77,64.92,63.75,64.83,3560119
"2013-02-21",62.32,62.92,61.22,62.29,5033132
"2013-02-28",62.86,64.26,62,62.96,4226784
"2013-03-07",65.89,66.12,64.79,65.87,3429702
"2013-03-14",64.96,65.45,64.29,64.95,3836975
"2013-03-21",67,67.84,66.11,66.82,3394838
