"","PTR.Open","PTR.High","PTR.Low","PTR.Close","PTR.Volume"
"2011-09-15",124.64,125.22,123.33,124.85,259801
"2011-09-22",113.86,115.8,111.29,112.49,461650
"2011-09-29",124.51,124.98,121.57,122.99,283762
"2011-10-06",118.08,121.19,117.75,121.11,220617
"2011-10-13",118.99,120.39,117.31,120.05,370010
"2011-10-20",122.11,122.3,119.13,120.98,334468
"2011-10-27",134.55,136.88,132.4,135.5,482366
"2011-11-03",127.23,130.1,126.21,129.5,408134
"2011-11-10",132.62,133.01,130.52,132,214633
"2011-11-17",130.71,130.79,126.76,127.48,277052
"2011-12-01",130.19,131.18,129.13,129.58,159014
"2011-12-08",125.7,126.43,124.01,124.07,184047
"2011-12-15",117.72,118.06,115.8,116.07,394688
"2011-12-22",120.62,121.55,120.48,121.21,130158
"2011-12-29",123.93,124.7,123.76,124.62,223121
"2012-01-05",137.02,140.95,136.51,139.62,833100
"2012-01-12",139.41,139.95,138.68,139.44,102177
"2012-01-19",147.19,147.39,145.03,146.2,295451
"2012-01-26",149.87,149.87,147.3,147.45,136975
"2012-02-02",149.39,149.9,148.32,148.9,182595
"2012-02-09",153.24,153.27,151.16,151.72,146761
"2012-02-16",148.82,150.96,148.7,150.83,122239
"2012-02-23",149.98,150.63,148.94,150.3,164869
"2012-03-01",150.98,152.39,150.93,152.02,165836
"2012-03-08",146.45,147.34,145.72,147.15,141851
"2012-03-15",148.13,148.8,146.96,148.15,117055
"2012-03-22",141.51,141.63,140.22,140.62,131433
"2012-03-29",136.92,138.26,135.87,137.74,226064
"2012-04-05",140.65,141.53,140.05,140.97,75660
"2012-04-12",139.8,142.54,139.47,142.27,177061
"2012-04-19",146.05,147.34,145.22,146.25,149052
"2012-04-26",145.24,148.59,145.24,148.47,203359
"2012-05-03",149.3,149.37,146.15,147.45,138658
"2012-05-10",135.65,136.96,135.59,135.91,202855
"2012-05-17",130.01,130.81,128.03,128.13,175006
"2012-05-24",130.4,130.73,128.61,129.18,175854
"2012-05-31",126.39,126.66,124.57,126.07,133249
"2012-06-07",132.3,132.91,129.91,130.24,216292
"2012-06-14",132.09,133.57,131.43,132.87,155579
"2012-06-21",136.39,136.39,131.17,131.24,196588
"2012-06-28",124.63,125.66,124.37,125.32,152600
"2012-07-05",128.85,128.85,127.41,128.35,135947
"2012-07-12",119.95,120.76,119.11,120.54,150145
"2012-07-19",125,126.13,124.41,126,280097
"2012-07-26",122.27,123.67,121.88,123.2,110122
"2012-08-02",122.87,123.37,121.69,121.98,203202
"2012-08-09",125.67,127.47,125.67,127.17,118922
"2012-08-16",125.46,127.38,125.38,127.09,143394
"2012-08-23",123.58,124.47,122.59,122.89,114938
"2012-08-30",121.24,121.88,120.98,121.52,147879
"2012-09-06",117.56,119.34,117.51,119.02,150865
"2012-09-13",123.3,126.73,122.92,126.12,188615
"2012-09-20",129.2,129.94,128.59,129.36,127133
"2012-09-27",130.48,131.39,129.89,131.3,164627
"2012-10-04",129.1,130.14,128.46,129.75,68949
"2012-10-11",134.2,134.63,133.44,133.75,161783
"2012-10-18",141.54,142.77,140.91,141.22,197973
"2012-10-25",137.68,138.48,137.14,137.99,163739
"2012-11-01",135.81,137.34,135.1,136.48,137975
"2012-11-08",133.57,134.68,131.97,132.31,168113
"2012-11-15",130.2,130.88,129.46,130.11,63883
"2012-11-29",131.67,131.96,130.57,131.23,123914
"2012-12-06",136.95,137.45,136.38,137.22,82292
"2012-12-13",138.85,139.14,137.36,137.95,194665
"2012-12-20",141.79,142.57,141.58,142.56,93725
"2012-12-27",142.1,142.46,140.9,141.76,69672
"2013-01-03",145.83,146.68,144.92,145.8,84994
"2013-01-10",141.82,142.39,141.22,142.3,44565
"2013-01-17",142.3,142.97,141.88,142.65,99161
"2013-01-24",143.21,144.75,143.21,144.07,67927
"2013-01-31",142.3,142.91,141.86,142.2,68365
"2013-02-07",138.42,138.6,136.6,137.39,98217
"2013-02-14",137.01,137.36,136.6,137.11,36080
"2013-02-21",136.61,136.79,135.15,136.08,88692
"2013-02-28",137.76,138.06,136.95,136.98,61328
"2013-03-07",137.41,138.46,137.41,137.76,63382
"2013-03-14",137.94,138.22,137.63,138.15,46873
"2013-03-21",133.34,134.35,132.11,132.11,102751
"2013-03-28",131.45,132.12,131.11,131.82,69915
"2013-04-04",130.1,130.47,129.28,130.11,116352
"2013-04-11",128.49,129.2,128.21,128.24,60449
"2013-04-18",120.61,121.15,119.85,120.36,313345
"2013-04-25",124.5,127.31,124.5,126.84,79625
