"","PVH.Open","PVH.High","PVH.Low","PVH.Close","PVH.Volume"
"2011-09-15",65.43,65.98,63.97,65.66,756114
"2011-09-22",60.36,62.47,59.4,60.9,1723553
"2011-09-29",65.26,65.26,58.53,62.21,1447606
"2011-10-06",59.31,61.71,59.06,61.22,858454
"2011-10-13",65.99,66.73,65.16,66.18,841824
"2011-10-20",65.97,67.82,65.28,67.55,860279
"2011-10-27",73.37,73.67,72,73.17,1739408
"2011-11-03",76.04,76.04,70.5,74.61,2327240
"2011-11-10",70.04,70.38,67.61,68.57,959568
"2011-11-17",68.18,68.9,65.93,66.69,1205529
"2011-12-01",67.89,68.35,66.65,67.62,1640824
"2011-12-08",71.14,72.71,70.24,70.57,1098564
"2011-12-15",68.62,68.98,66.96,68.83,1147253
"2011-12-22",68.77,69.46,68.41,68.59,576121
"2011-12-29",70.04,71.18,69.65,70.58,476119
"2012-01-05",72.89,73.27,70.39,72.68,881399
"2012-01-12",72.28,76.54,70.59,76.17,3191744
"2012-01-19",76.17,77.4,75.9,76.95,893159
"2012-01-26",77.84,77.96,76.43,76.94,748388
"2012-02-02",76.75,76.92,76.15,76.26,884567
"2012-02-09",81.04,81.74,80.2,81.27,618755
"2012-02-16",81.53,82.94,81.38,82.12,435625
"2012-02-23",82.06,82.68,81.62,82.16,363220
"2012-03-01",85.48,86.72,84.65,85.55,1129868
"2012-03-08",83.9,85.57,83.73,84.69,571393
"2012-03-15",88.67,89.49,87.97,88.73,568822
"2012-03-22",89.24,90.61,88.45,89.97,834704
"2012-03-29",88.37,89.9,87.35,89.49,1527989
"2012-04-05",90.77,92.81,90.77,91.88,870381
"2012-04-12",88.45,88.8,87.77,88.5,1069477
"2012-04-19",89.79,90.09,88.11,88.68,642719
"2012-04-26",88.9,90.99,88.42,90.54,559783
"2012-05-03",92.21,92.49,90.36,90.98,1192991
"2012-05-10",81.64,82.49,79.49,80.21,1240474
"2012-05-17",76.44,76.74,72.59,72.7,2149956
"2012-05-24",81.63,84.12,81.52,82.38,2954708
"2012-05-31",83.05,83.3,78.8,81,4214452
"2012-06-07",81.61,81.61,77.83,78.79,1215350
"2012-06-14",76.33,78.11,75.31,77.31,1205266
"2012-06-21",80.26,82.24,78.85,79.46,1474575
"2012-06-28",77.22,77.4,73.92,75.32,1250907
"2012-07-05",80.1,82.26,79.32,82.1,1335880
"2012-07-12",74.7,74.97,73.26,74.47,868229
"2012-07-19",78.31,81.48,77.78,80.36,858296
"2012-07-26",77.35,78.51,76.7,78.19,420134
"2012-08-02",77.25,78.11,74.91,75.19,1948227
"2012-08-09",84.33,84.6,83.48,84.08,521187
"2012-08-16",86.99,88.16,86.23,87.56,434580
