"","PYPL.Open","PYPL.High","PYPL.Low","PYPL.Close","PYPL.Volume"
"2015-07-09",35.1,35.52,33.99,34.5,3760051
"2015-07-16",38.82,39.97,38.08,38.63,21348480
"2015-07-23",38.74,38.75,36.93,37.01,19250154
"2015-07-30",38.04,39.01,37.72,38.45,13845091
"2015-08-06",39.63,39.74,38.55,38.85,7324116
"2015-08-13",38.4,38.49,37.44,37.62,7863525
"2015-08-20",36.85,37.34,35.88,35.98,10538959
"2015-08-27",33.87,34.77,33.16,34.62,18776769
"2015-09-03",35.01,35.46,34.77,35.31,6629466
"2015-09-10",34.23,34.29,32.95,33.46,12075194
"2015-09-17",33.72,33.99,33.08,33.32,7794530
"2015-09-24",34,34.07,33.38,33.91,6399403
"2015-10-01",30.82,31.59,30.75,31.48,9621910
"2015-10-08",32.44,32.45,31.09,31.67,9252314
"2015-10-15",34.45,34.72,34.16,34.62,9071219
"2015-10-22",34.43,35.25,34.26,34.79,8697912
"2015-10-29",34.73,36.5,34.5,35.91,25016101
"2015-11-05",37.82,37.98,36.66,36.71,9056354
"2015-11-12",35.94,36.05,34.83,35.57,11708880
"2015-11-19",36.45,36.5,35.91,36.19,5041301
"2015-12-03",35.2,35.23,33.85,34.23,7311905
"2015-12-10",35.16,35.91,35.16,35.49,6949734
"2015-12-17",36,36.58,35.51,35.54,6454069
"2015-12-24",37.01,37.23,36.82,37.07,2133437
"2015-12-31",36.3,36.5,36.05,36.2,4481936
"2016-01-07",33.15,34.16,33.02,33.13,11041083
"2016-01-14",32.15,33.04,31.7,32.87,7703985
"2016-01-21",31.61,31.74,30.9,31.2,9968935
"2016-01-28",33.63,34.75,33.35,34.24,20360923
"2016-02-04",36.66,37.28,36.54,37.17,10190194
"2016-02-11",32.12,33.64,32.01,33.52,13100041
"2016-02-18",36.41,36.53,35.66,36.31,8950890
"2016-02-25",36.67,36.83,36.18,36.74,5187566
"2016-03-03",38.96,39.24,38.63,39.02,7655599
"2016-03-10",38.66,39.3,37.48,38.49,7654525
"2016-03-17",39.85,40.12,39.17,39.93,9771752
"2016-03-24",39.4,39.51,37,38.92,15020345
"2016-03-31",38.74,39,38.43,38.6,8075824
"2016-04-07",38.85,38.94,38.12,38.28,7204019
"2016-04-14",38.94,39.02,38.42,38.64,4589216
"2016-04-21",40.2,40.55,40.01,40.1,5534849
"2016-04-28",41,41.49,39.91,40.07,17782201
"2016-05-05",38.38,39.12,38.32,38.95,7114510
"2016-05-12",39.85,40,39.17,39.51,6317242
"2016-05-19",38.81,38.88,37.31,37.65,17013326
"2016-05-26",38.71,38.74,38,38.07,5810489
"2016-06-02",38.42,38.68,38.32,38.56,4659221
"2016-06-09",37.48,37.57,37.11,37.13,10206706
"2016-06-16",36.62,37.04,36.35,36.97,6106029
"2016-06-23",36.27,36.66,36.05,36.66,4808720
"2016-06-30",35.81,36.53,35.59,36.51,9152990
"2016-07-07",35.92,36.39,35.84,36.32,7326735
"2016-07-14",39.69,40.07,39.4,39.96,9683504
"2016-07-21",40.33,40.33,39.65,40.13,13363317
"2016-07-28",37.4,37.68,37.1,37.22,5111331
"2016-08-04",36.82,37.39,36.73,37.3,7507761
"2016-08-11",38.19,38.49,38.1,38.46,5999407
"2016-08-18",38.07,38.38,37.93,38.22,3881084
"2016-08-25",37.5,37.57,37.25,37.51,5132089
"2016-09-01",37.27,37.32,36.58,36.83,10412233
"2016-09-08",38.65,39.33,38.5,39.27,12037292
"2016-09-15",40.31,41.14,39.87,40.83,12720951
