"","Q.Open","Q.High","Q.Low","Q.Close","Q.Volume"
"2013-05-09",43.76,44.33,42,42.11,19154786
"2013-05-16",46.28,46.5,45.6,45.85,1244801
"2013-05-23",44.03,45.15,44.01,45,881515
"2013-05-30",44.5,44.5,44.01,44.25,298595
"2013-06-06",42.71,43.26,42.68,43.23,531075
"2013-06-13",42.85,43.09,42.53,42.9,500038
"2013-06-20",43.31,43.73,42.5,43.34,322710
"2013-06-27",42.17,42.71,41.5,42.33,675791
"2013-07-11",43.71,43.84,43.04,43.27,337371
"2013-07-18",43.88,44.1,43.67,44.04,93669
"2013-07-25",43.39,43.75,43.22,43.48,217344
"2013-08-01",46.71,47.5,45.5,46.29,1154978
"2013-08-08",45.63,45.75,45.14,45.38,171814
"2013-08-15",45,45.09,44.6,44.75,177574
"2013-08-22",44,44.21,43.66,43.66,120798
"2013-08-29",44,44.22,43.61,43.9,170396
"2013-09-05",43.21,43.39,43,43.19,62724
"2013-09-12",43.81,45.14,43.52,44.47,506491
"2013-09-19",45.01,45.01,43.85,44,483123
"2013-09-26",44.66,45.31,44.61,45.1,230501
"2013-10-03",43.97,44.07,43.06,43.25,257288
"2013-10-10",42.69,42.82,42.13,42.57,234625
"2013-10-17",42.92,43.9,42.9,43.53,264322
"2013-10-24",43.76,44.55,43.76,44.55,273551
"2013-10-31",43.75,44.21,40.1,41.99,1466580
"2013-11-07",44.01,44.19,43.8,44.05,482082
"2013-11-14",44.3,44.3,43.77,43.97,354383
"2013-11-21",42.75,43.26,42.2,43.25,896333
"2013-12-05",41.89,42.06,41.43,41.87,419896
"2013-12-12",43.64,45.24,43.64,45.07,1052629
"2013-12-19",45.35,45.8,45.02,45.16,441430
"2013-12-26",46.51,46.75,46.11,46.48,272543
"2014-01-02",46.11,46.59,45.64,45.8,274612
"2014-01-09",47.5,47.9,47.5,47.84,285426
"2014-01-16",49.43,50,49.19,49.78,368910
"2014-01-23",48.01,48.05,47.46,47.74,312113
"2014-01-30",46.79,47.96,46.5,47.7,321776
"2014-02-06",48.74,49.51,48.29,49,864905
"2014-02-13",50,52.24,49.85,52.2,1732620
"2014-02-20",54.48,54.95,53.96,54.54,749970
"2014-02-27",53.29,54.41,53.08,53.5,345084
"2014-03-06",54.52,55,53.82,54.48,556544
"2014-03-13",51.59,52,50.41,51.24,12618756
"2014-03-20",52.41,53.17,52.35,52.92,1087681
"2014-03-27",50.06,50.49,49.78,50.06,295211
"2014-04-03",51.34,51.5,50.69,50.94,425909
"2014-04-10",51.34,51.87,51.34,51.4,927063
"2014-04-17",50.63,50.74,50.17,50.22,236418
"2014-04-24",49.92,50.35,49.01,49.94,382055
"2014-05-01",49.99,49.99,48.32,48.76,1786279
"2014-05-08",47.24,47.75,46.8,46.99,497131
"2014-05-15",47.91,49.25,47.91,49.22,882260
"2014-05-22",50.41,51.06,49.99,50.89,418714
"2014-05-29",51.05,51.2,50.53,50.87,493154
"2014-06-05",52.9,53,52.46,52.81,535058
"2014-06-12",52.28,52.46,51.87,52.14,243949
"2014-06-19",51.42,52.98,51.08,52.93,684887
"2014-06-26",52.58,52.58,51.82,52.28,475899
"2014-07-03",54.4,55,53.49,54.96,1152222
"2014-07-10",54.63,55.68,54.18,55.55,433718
"2014-07-17",54.77,55.13,54.38,54.48,256413
"2014-07-24",55,55.16,54.56,54.84,305054
"2014-07-31",54.85,55.24,53.42,54.93,1113405
"2014-08-07",55.46,55.83,54.99,55.76,529505
"2014-08-14",56.86,57.24,56.6,57.17,332224
"2014-08-21",56.08,56.39,55.84,56.34,309961
"2014-08-28",56.68,57,56.27,56.36,206940
"2014-09-04",56,56.62,55.71,56.27,853464
"2014-09-11",56.44,58.89,56.44,58.67,962940
"2014-09-18",56.43,57.23,56.14,57,533143
"2014-09-25",56.92,56.97,55.59,55.83,342662
"2014-10-02",54.75,55.18,54.34,54.57,820037
"2014-10-09",55.08,55.52,54.19,54.64,408825
"2014-10-16",52.64,54.3,52.44,54.11,802903
"2014-10-23",57,57.46,56.8,56.99,343359
"2014-10-30",57.75,57.75,55.26,56.3,1309396
"2014-11-06",57.06,58.05,57.06,57.95,1435459
"2014-11-13",56.53,56.79,56.27,56.39,533282
"2014-11-20",57.32,58.2,57.17,57.75,1180539
"2014-12-04",58,58.32,57,57.4,402571
"2014-12-11",57.36,58.04,57.11,57.48,1232494
"2014-12-18",58.57,59.49,57.43,59.38,1267277
"2015-01-08",58.44,59.24,58.17,59.2,436058
"2015-01-15",59.24,60.5,58.96,59.04,557847
"2015-01-22",60.08,60.73,59.24,60.54,430594
"2015-01-29",61.65,61.81,60.6,61.76,364326
"2015-02-05",60.85,61.31,60.6,61.21,305347
"2015-02-12",63.35,64,62.76,63.25,1192736
"2015-02-19",64.44,65.2,63.91,64.52,567934
"2015-02-26",64.9,65.31,64.75,64.95,317868
"2015-03-05",65.16,65.99,64.98,65.7,412956
"2015-03-12",65.08,65.77,65.08,65.34,473026
"2015-03-19",66.67,66.88,66.32,66.87,310556
"2015-03-26",64.77,66.6,63.62,66.29,981782
"2015-04-02",67.88,67.98,66.23,66.39,469605
"2015-04-09",67.09,67.43,66.71,67.41,557742
"2015-04-16",67.15,67.72,66.87,67.48,302772
"2015-04-23",66.79,67.74,66.48,67.69,733456
"2015-04-30",68.11,68.23,65.58,65.88,970855
"2015-05-07",65.19,65.75,64.68,64.86,730926
"2015-05-14",65.7,66.16,64.66,65.67,3189503
"2015-05-21",68.92,68.99,68.29,68.71,675144
"2015-05-28",70.18,70.77,69.9,70.59,475815
"2015-06-04",69.35,70.19,69.21,69.67,364945
"2015-06-11",69.71,69.89,69.17,69.86,513315
"2015-06-18",70.72,71.54,70.49,71.11,414432
"2015-06-25",73.44,73.62,72.7,73.49,862568
"2015-07-02",72.06,73.1,72.06,72.8,428754
"2015-07-09",72.59,72.65,71.94,72.16,389135
"2015-07-16",76.44,77.17,75.86,76.72,490531
"2015-07-23",76.43,76.43,75.35,75.64,378627
"2015-07-30",79.11,79.33,78.37,78.75,573436
"2015-08-06",77.44,77.55,75.21,76,1118649
"2015-08-13",75.15,75.57,74.82,75,566823
"2015-08-20",75.24,75.89,74.03,74.04,551998
"2015-08-27",73.79,74.76,73.06,74.2,629738
"2015-09-03",73.75,74.8,73.74,74.34,801769
"2015-09-10",73.85,74.45,73.44,74.42,618212
"2015-09-17",77.43,78.84,77.08,78.44,639901
"2015-09-24",75.21,75.39,73.96,75.2,547921
"2015-10-01",69.17,69.98,68.4,69.61,841761
"2015-10-08",67.5,68.12,66.25,67.98,756928
"2015-10-15",68.95,70.66,68.58,70.63,658765
"2015-10-22",69.09,69.68,66.76,67.69,1108207
"2015-10-29",66.99,67.99,64.15,64.47,1988494
"2015-11-05",65.94,66.32,65.22,65.89,909480
"2015-11-12",66.39,67.4,65.4,66.8,1343738
"2015-11-19",69.53,69.91,68.66,69.07,1218558
"2015-12-03",67.2,67.5,65.76,65.78,901667
"2015-12-10",66.33,68.05,65.92,67.92,752019
"2015-12-17",70,70.74,69.65,69.86,1153749
"2015-12-24",69.96,70.16,69.29,69.63,170906
"2015-12-31",69.65,69.65,68.64,68.66,675708
"2016-01-07",65.94,66.48,65.11,65.18,790386
"2016-01-14",63.74,64.71,62.53,63.96,1393860
"2016-01-21",63.43,64.07,61.6,62.47,974031
"2016-01-28",62.15,62.66,59.89,60.43,961788
"2016-02-04",58.23,59.73,57.2,59.53,1672955
"2016-02-11",59.05,60.83,57.72,59,2039954
"2016-02-18",63.3,63.73,62.45,62.73,648053
"2016-02-25",62.49,63.18,62.08,62.86,625704
"2016-03-03",65.29,65.49,64.05,64.67,969376
"2016-03-10",65.7,66.22,65.01,65.28,551898
"2016-03-17",65,65,63.85,64.65,625493
"2016-03-24",64.26,64.92,63.66,64.23,482374
"2016-03-31",64.61,65.46,64.6,65.1,760034
"2016-04-07",69.94,70.7,69.42,70.16,886433
"2016-04-14",69.99,70.27,69.35,69.67,822267
"2016-04-21",70.09,70.68,69.71,70.03,683073
"2016-04-28",69.45,70.77,68.48,69.98,912760
"2016-05-05",65.02,65.37,64.32,64.52,1128565
"2016-05-12",65.57,65.96,64.67,65.31,1903764
"2016-05-19",65.41,66,64.51,64.92,1489749
"2016-05-26",66.84,66.9,66.51,66.74,863391
"2016-06-02",67.51,67.95,67.11,67.83,1058886
"2016-06-09",66.44,66.77,66.16,66.54,1569163
"2016-06-16",65.04,65.04,64.6,64.87,862466
"2016-06-23",64.49,65.02,64.03,65.02,818414
"2016-06-30",63.52,65.36,63.41,65.32,1664637
"2016-07-07",68.4,68.99,68.07,68.99,1311163
"2016-07-14",71.53,72.9,71.33,72.82,1065888
"2016-07-21",73.39,73.66,72.69,72.89,1141733
"2016-07-28",75.55,78.3,75.13,77.92,2169710
"2016-08-04",77.04,77.82,77.04,77.38,585884
"2016-08-11",76.98,77.15,76.28,76.75,1111938
"2016-08-18",74.18,75.67,73.85,75.26,740173
"2016-08-25",75.36,76.11,75.11,75.68,748574
"2016-09-01",77.46,77.54,77.06,77.42,720025
"2016-09-08",77.61,78.01,77.34,77.85,662149
"2016-09-15",77.69,78.17,77.33,77.85,954153
