"","QQQ.Open","QQQ.High","QQQ.Low","QQQ.Close","QQQ.Volume"
"2014-09-15",99.59,99.6,98.22,98.52,32972159
"2014-09-16",98.16,99.57,98.05,99.38,38166920
"2014-09-17",99.37,100,98.93,99.53,37206375
"2014-09-18",99.83,100.29,99.73,100.28,30196722
"2014-09-19",100.46,100.56,99.58,99.98,46923054
"2014-09-22",99.74,99.75,98.62,99.05,48658049
"2014-09-23",98.67,99.22,98.58,98.78,33989583
"2014-09-24",98.87,99.89,98.54,99.84,35958950
"2014-09-25",99.53,99.65,97.7,97.74,68642547
"2014-09-26",98.05,98.96,97.89,98.78,56109106
"2014-09-29",97.8,98.92,97.75,98.65,33342673
"2014-09-30",98.92,99.3,98.32,98.79,41834324
"2014-10-01",98.54,98.61,96.9,97.21,58164861
"2014-10-02",97.19,97.51,95.97,97.21,54501347
"2014-10-03",97.76,98.57,97.44,98.17,41627772
"2014-10-06",98.47,98.72,97.66,97.96,36038687
"2014-10-07",97.48,97.78,96.56,96.57,45153968
"2014-10-08",96.66,98.76,96.06,98.45,64931636
"2014-10-09",98.33,98.57,96.71,96.86,62497086
"2014-10-10",96.29,96.83,94.42,94.44,77579425
"2014-10-13",94.29,94.99,92.88,92.96,80835922
"2014-10-14",93.6,94.17,92.71,92.97,71814456
"2014-10-15",91.55,92.76,90.24,92.37,108847755
"2014-10-16",90.43,92.58,90.39,91.79,93165782
"2014-10-17",92.99,93.89,92.46,93,69546720
"2014-10-20",92.96,94.47,92.8,94.39,41479253
"2014-10-21",95.54,96.87,95.32,96.87,53609758
"2014-10-22",97.16,97.3,96.3,96.37,39178048
"2014-10-23",97.32,98.36,97.17,97.82,48123778
"2014-10-24",97.96,98.69,97.64,98.62,43161724
"2014-10-27",98.4,98.87,98.02,98.69,29545673
"2014-10-28",99.1,100.2,99.08,100.18,34495077
"2014-10-29",99.84,100.12,99.1,99.81,40552803
"2014-10-30",99.37,100.26,99.14,100.02,35935794
"2014-10-31",101.67,101.75,101.07,101.4,54254141
"2014-11-03",101.53,101.97,101.43,101.7,33480951
"2014-11-04",101.36,101.62,100.67,101.36,22773298
"2014-11-05",102.01,102.03,101.02,101.37,25818604
"2014-11-06",101.32,101.72,100.92,101.69,24671900
"2014-11-07",101.87,101.91,101.07,101.6,20931734
"2014-11-10",101.65,102.09,101.38,101.96,20360007
"2014-11-11",101.98,102.28,101.7,102.28,15454012
"2014-11-12",101.87,102.57,101.87,102.46,22050317
"2014-11-13",102.65,103.28,102.42,102.9,28027776
"2014-11-14",102.87,103.22,102.53,103.22,19251346
"2014-11-17",102.98,103.21,102.42,102.91,23361634
"2014-11-18",103,103.82,102.99,103.68,26336812
"2014-11-19",103.57,103.57,102.73,103.21,23760243
"2014-11-20",102.77,103.76,102.69,103.67,22874018
"2014-11-21",104.59,104.69,103.54,103.87,34049128
"2014-11-24",104.15,104.73,104.06,104.68,17928289
"2014-11-25",104.84,105.15,104.57,104.84,17525991
"2014-11-26",104.94,105.58,104.83,105.52,18973804
"2014-11-28",105.8,106.24,105.73,106.01,17360420
"2014-12-01",105.72,105.92,104.42,104.81,35969494
"2014-12-02",104.92,105.42,104.7,105.23,26031291
"2014-12-03",105.39,105.56,104.76,105.42,32974322
"2014-12-04",105.32,105.78,104.93,105.37,31008791
"2014-12-05",105.54,105.7,105.14,105.38,25622236
"2014-12-08",105.11,105.57,104.08,104.63,32685756
"2014-12-09",103.41,105.04,103.04,104.96,46035139
"2014-12-10",104.77,105.03,103.12,103.31,39330116
"2014-12-11",103.61,105.04,103.59,103.8,47576022
"2014-12-12",102.81,103.99,102.66,102.67,46889391
"2014-12-15",103.2,103.58,101.32,101.61,52968448
