"","RCL.Open","RCL.High","RCL.Low","RCL.Close","RCL.Volume"
"2011-09-15",24.77,25.22,24.25,25.14,3305940
"2011-09-22",23.45,23.51,22.05,22.54,3375577
"2011-09-29",23,23.41,21.95,22.4,3797196
"2011-10-06",21.02,22.13,20.73,22.06,3454448
"2011-10-13",25.11,25.64,24.56,25.23,2819093
"2011-10-20",26.32,26.91,25.74,26.5,2705889
"2011-10-27",29.93,30.98,28.4,29.47,5772047
"2011-11-03",28.94,29.29,28.05,29.18,2717384
"2011-11-10",27.08,27.16,26.29,26.9,2234405
"2011-11-17",26,26.57,25.38,25.54,3139794
"2011-12-01",27.49,27.92,27.12,27.21,2500529
"2011-12-08",27.08,27.18,25.99,26.23,3133267
"2011-12-15",25.56,25.63,25.09,25.49,1878939
"2011-12-22",24.61,25.22,24.51,25.1,1919124
"2011-12-29",24.78,25.31,24.55,25.18,1142137
"2012-01-05",26.12,26.25,25.52,26,2829054
"2012-01-12",28.19,29.66,27.99,29.52,7144032
"2012-01-19",28.02,28.32,27.81,27.95,2367752
"2012-01-26",28.54,28.58,27.45,27.9,4149847
"2012-02-02",26.62,29.36,26.54,28.69,13706457
"2012-02-09",31.67,31.79,30.95,31.52,2936946
"2012-02-16",29.88,30.69,29.71,30.52,1746471
"2012-02-23",28.88,29.2,28.6,29.07,3190642
"2012-03-01",28.83,29.03,27.83,28.2,3218727
"2012-03-08",27.59,28.14,27.56,27.91,3605916
"2012-03-15",29.2,30.01,28.98,29.93,4005204
"2012-03-22",29.72,29.93,29.24,29.41,2878773
"2012-03-29",29.15,29.38,28.52,29.31,2399643
"2012-04-05",27.83,28.1,27.69,27.89,1714025
"2012-04-12",27.2,28.12,27.08,27.73,2146445
"2012-04-19",27.81,28.87,27.78,28.87,5990429
"2012-04-26",26.56,27.75,26.56,27.7,2643963
"2012-05-03",27.91,28.03,27.29,27.51,2706414
"2012-05-10",26.5,26.55,26.07,26.14,1760046
"2012-05-17",25.28,25.35,24.08,24.14,2222487
"2012-05-24",24.86,24.9,24.04,24.31,2361669
"2012-05-31",23.84,23.9,23.1,23.55,2709166
"2012-06-07",24.34,24.66,23.86,23.9,2490467
"2012-06-14",23.44,24.16,23.11,24.04,2391886
"2012-06-21",25.91,26.01,24.91,25.07,1870176
"2012-06-28",24.43,24.89,24.33,24.75,1290013
"2012-07-05",26.37,26.52,25.91,26.14,1138267
"2012-07-12",23.81,23.85,23.36,23.62,2089778
"2012-07-19",24.67,25.17,24.59,25.04,1404058
"2012-07-26",23.41,24.74,22.45,24.62,7739233
"2012-08-02",24.31,24.8,24.16,24.41,2563264
"2012-08-09",25.69,25.77,25.33,25.69,1980480
"2012-08-16",25.88,26,25.58,25.89,1358542
"2012-08-23",25.86,26.01,25.6,25.63,1387779
"2012-08-30",27.1,27.31,26.87,26.9,1431047
"2012-09-06",27.65,28.83,27.65,28.72,3620755
"2012-09-13",29.85,30.48,29.56,30.37,2054503
"2012-09-20",30.98,31.09,30.87,30.95,2472736
"2012-09-27",30.26,30.55,29.97,30.28,1753867
"2012-10-04",30.9,31.25,30.89,31.08,1815475
"2012-10-11",30.92,31.25,30.78,31,1914655
"2012-10-18",32.36,33.05,32.03,32.57,1412276
"2012-10-25",32.66,34.75,32.63,33.74,9968712
"2012-11-01",34,34.69,34,34.5,1805739
"2012-11-08",34.63,34.67,33.44,33.57,2062408
"2012-11-15",33.85,34.22,33.34,33.72,1821406
"2012-11-29",35.03,35.29,34.68,35.22,1478052
"2012-12-06",34.59,34.84,34.34,34.83,1585230
"2012-12-13",34.91,34.91,34.05,34.39,1764841
"2012-12-20",34.4,35.03,33.53,34.57,5672572
"2012-12-27",33.74,33.92,32.94,33.62,869784
"2013-01-03",35.36,35.84,34.96,35.79,2029997
"2013-01-10",36.13,36.16,35.48,35.71,1710451
"2013-01-17",37.03,37.72,36.74,37.38,2082379
"2013-01-24",37.83,38.48,37.69,37.88,1391055
"2013-01-31",36.75,36.83,35.89,36.2,3630908
"2013-02-07",36.05,36.09,35.47,35.93,1463753
"2013-02-14",35.28,35.69,35.12,35.66,1598777
"2013-02-21",34.2,34.2,33.65,33.83,2558141
"2013-02-28",34.53,35.2,34.51,34.87,2737915
"2013-03-07",34.5,34.9,34.33,34.35,2571558
"2013-03-14",33.43,34.39,33.36,34.38,6349333
"2013-03-21",32.28,32.6,32.09,32.1,2358676
"2013-03-28",32.37,33.45,32.37,33.22,3573355
"2013-04-04",32.14,32.14,31.62,32.04,2016516
"2013-04-11",33.05,33.53,33.05,33.29,1752496
"2013-04-18",33.56,33.8,32.93,33.18,3084117
"2013-04-25",35.83,37.36,35.53,36.07,6776132
"2013-05-02",36.54,36.66,36.35,36.55,1457903
"2013-05-09",37.54,37.62,37.12,37.27,913147
"2013-05-16",38.33,38.62,37.83,37.88,1548513
"2013-05-23",35.67,36.28,35.55,36.04,1423259
"2013-05-30",35.38,36.2,35.27,35.83,1596518
"2013-06-06",33.39,33.55,33.03,33.29,2339150
"2013-06-13",33.5,34.49,33.49,34.38,1436200
"2013-06-20",32.98,33.05,32.09,32.23,2727482
"2013-06-27",33.44,33.75,33.35,33.47,945684
"2013-07-11",35.59,36,35.48,35.94,1449440
"2013-07-18",36.75,37.03,36.49,36.77,2153217
"2013-07-25",37,37.26,35.86,36.57,3693536
"2013-08-01",38.52,39.28,38.28,39.22,2226142
"2013-08-08",38.35,38.54,38.08,38.3,1561099
"2013-08-15",39.29,39.31,38.66,38.93,1192048
"2013-08-22",38.22,39,38.18,38.73,1691357
"2013-08-29",35.93,36.85,35.93,36.4,1328427
"2013-09-05",36.79,37.33,36.74,37.1,1294477
"2013-09-12",39.95,40,38.8,38.95,3757066
"2013-09-19",40.35,40.71,40.13,40.44,1339845
"2013-09-26",38.8,38.91,38.31,38.5,1659211
"2013-10-03",38.64,38.91,38.06,38.08,1386652
"2013-10-10",37.04,37.16,36.55,36.94,1830864
"2013-10-17",37.82,38.79,37.56,38.78,1963911
"2013-10-24",41.43,42.45,41.4,42.35,5865358
"2013-10-31",42.11,42.71,42.03,42.04,1685648
"2013-11-07",43.27,43.4,42.1,42.16,2058410
"2013-11-14",43.35,43.93,43,43.76,1458930
"2013-11-21",42.92,43.8,42.8,43.63,1263305
"2013-12-05",43.08,43.14,42.6,42.75,1061373
"2013-12-12",42.95,43.3,42.81,43,1149137
"2013-12-19",45.86,46.16,45.23,45.91,3838081
"2013-12-26",47.56,47.66,47.12,47.14,525468
"2014-01-02",47.17,47.38,46.9,47.17,813965
"2014-01-09",46.87,47.81,46.65,47.64,2400378
"2014-01-16",49.37,50,49.23,49.89,1579987
"2014-01-23",49.05,49.06,48.5,48.86,2595154
"2014-01-30",49.29,51,49.29,50.83,3444961
"2014-02-06",49.1,50.68,49.1,50.62,2358417
"2014-02-13",50.97,52.3,50.89,52.22,1328970
"2014-02-20",51.01,51.43,50.8,51.37,918601
"2014-02-27",52.87,53.35,52.45,53.32,1228707
"2014-03-06",51,51.54,50.85,51.42,1878288
"2014-03-13",51.28,51.32,50,50.53,1662281
"2014-03-20",52.68,54.49,52.68,54.44,2065946
"2014-03-27",52.16,52.69,51.87,52.61,1758741
"2014-04-03",56.17,56.38,55.21,55.68,2074511
"2014-04-10",53.89,54.95,53.11,53.17,1984819
"2014-04-17",50.93,51.59,50.93,51.34,1180144
"2014-04-24",52.44,53,50.96,52.43,4092493
"2014-05-01",53.1,53.52,52.46,52.6,1015659
"2014-05-08",51.8,52.35,51.07,51.58,1310565
"2014-05-15",52.47,52.47,50.96,51.95,2020518
"2014-05-22",53.74,54.34,53.69,53.86,1184870
"2014-05-29",54.47,54.92,54.29,54.75,861675
"2014-06-05",56.09,56.43,55.75,56.32,795302
"2014-06-12",56.49,56.55,54.2,54.37,2111339
"2014-06-19",55.13,55.84,55.11,55.7,1979016
"2014-06-26",56.22,56.63,55.88,56.04,1241898
"2014-07-03",56.55,57.31,56.53,57.13,459109
"2014-07-10",54.01,55.38,53.86,54.66,1464205
"2014-07-17",54.84,55.16,53.66,53.92,1787795
"2014-07-24",60,61.36,59.98,60.56,5926993
"2014-07-31",61.21,61.75,59.61,59.65,2443400
"2014-08-07",61,61.94,58.91,59.57,2761773
"2014-08-14",61.86,62.81,61.76,62.72,1470908
"2014-08-21",63.73,63.9,63.38,63.76,1299040
"2014-08-28",63.68,63.69,62.72,63.32,736653
"2014-09-04",65.35,66.36,65.13,65.77,1170881
"2014-09-11",66.61,67.75,66.61,67.6,1300322
"2014-09-18",68.03,68.38,67.67,68.36,718297
"2014-09-25",67.52,67.7,66.42,66.43,945225
"2014-10-02",64.03,64.55,61.8,64,2386057
"2014-10-09",61.32,62.05,58.01,58.18,6073373
"2014-10-16",54.07,57,53.75,56.36,4610735
"2014-10-23",61.8,62.47,60.2,62.29,7616053
"2014-10-30",66.28,67.89,65.8,67.82,2537290
"2014-11-06",67.48,68.07,66.95,67.78,1825470
"2014-11-13",67.78,69.18,67.78,68.99,2174685
"2014-11-20",70.38,70.46,69.69,70.08,945132
"2014-12-04",77.77,78.65,77.42,77.46,34527509
"2014-12-11",78.05,79.46,77.82,78.03,2817649
"2014-12-18",80.81,81.69,77.94,79.35,5329312
"2015-01-08",83.94,84.73,83.87,84.51,2719587
"2015-01-15",82.25,82.79,81.18,81.5,1222924
"2015-01-22",83.29,85.56,82.78,85.13,1961380
"2015-01-29",76.7,80.74,75.01,77.29,8256363
"2015-02-05",75,76.24,74.84,76.01,2454547
"2015-02-12",76.7,76.89,76.2,76.75,1719492
"2015-02-19",76.22,77.8,76.22,76.97,2524474
"2015-02-26",77.98,78.35,76.19,76.8,2309662
"2015-03-05",81.08,81.84,80.95,81.52,2273329
"2015-03-12",76.66,78.41,76.58,78.36,1887724
"2015-03-19",79.01,80.12,78.72,79.98,2264251
"2015-03-26",74.05,75.47,73.24,75,2771508
"2015-04-02",82.09,83.32,81.94,82.45,1654093
"2015-04-09",81.54,82.06,80.99,82.01,1788181
"2015-04-16",79.79,80.5,78.64,80.3,2457767
"2015-04-23",73.61,73.91,72.5,72.73,2879918
"2015-04-30",68.96,69.32,67.58,68.06,1738984
"2015-05-07",67.36,69.2,67.28,68.69,3552467
"2015-05-14",72.43,74.56,72.29,74.45,3103626
"2015-05-21",76.1,76.55,75.48,75.93,1646621
"2015-05-28",76.88,77.19,75.55,76.32,1811250
"2015-06-04",78.43,79.65,77.75,78.17,1911390
"2015-06-11",77.08,77.72,76.75,77.63,1605526
"2015-06-18",77.22,79.86,77.22,79.62,2053591
"2015-06-25",80.57,80.95,79.77,79.95,1492050
"2015-07-02",79.22,80,78.1,78.78,1323631
"2015-07-09",79.67,79.9,78.37,78.51,1057010
"2015-07-16",84.45,85.07,83.73,84.95,1466340
"2015-07-23",85.09,85.17,82.77,83.17,1363917
"2015-07-30",83.48,83.6,81.99,82.74,2770398
"2015-08-06",90.18,90.58,89.4,90,3738779
"2015-08-13",89.61,90.64,89.05,90.08,1178249
"2015-08-20",89.3,89.34,87.12,87.29,2503424
"2015-08-27",89.44,89.99,87.68,89.71,2480532
"2015-09-03",89.97,91.1,88.86,89.29,1635470
"2015-09-10",92,93.06,90.96,92.31,1748379
"2015-09-17",96.46,97.6,95.62,96.47,2186593
"2015-09-24",92.44,92.86,90.67,91.56,2534834
"2015-10-01",89.23,90.41,87.99,89.88,2413000
"2015-10-08",90.52,92.04,90.06,91.92,1397761
"2015-10-15",88.08,91.34,87.56,90.96,2617713
"2015-10-22",93.38,94.78,93.1,94.7,2395139
"2015-10-29",97.55,98.21,96.26,97.96,1172087
