"","REG.Open","REG.High","REG.Low","REG.Close","REG.Volume"
"2011-09-15",38.46,38.72,38.17,38.72,1126299
"2011-09-22",34.88,35.75,34.28,34.87,950102
"2011-09-29",36.63,36.64,35.69,36.63,965365
"2011-10-06",34.33,35.71,34.03,35.69,1173716
"2011-10-13",35.66,35.68,34.66,35.33,473198
"2011-10-20",36.4,36.6,35.43,36.52,865786
"2011-10-27",40.12,41.06,39.31,40.58,792912
"2011-11-03",39.86,40.3,39.05,40.01,844792
"2011-11-10",38.16,38.25,37.18,37.45,1306888
"2011-11-17",37.48,37.48,36.6,36.71,853359
"2011-12-01",36.95,37.24,36.56,36.69,577479
"2011-12-08",37.78,37.78,36.16,36.27,1043468
"2011-12-15",35.59,35.91,35.26,35.65,913991
"2011-12-22",37.04,38.05,36.97,37.74,898389
"2011-12-29",37.41,38.05,37.34,37.76,888166
"2012-01-05",36.62,37.34,36.3,36.88,1068517
"2012-01-12",38.93,39.29,38.63,39.25,955966
"2012-01-19",40.23,40.5,40.06,40.26,572253
"2012-01-26",41.01,41.5,40.87,41.42,946535
"2012-02-02",41.56,42.27,41.22,42.18,1320883
"2012-02-09",43.28,43.39,42.47,42.82,481243
"2012-02-16",42.67,43.11,42.57,43.09,810412
"2012-02-23",42.21,43.04,42.15,42.95,631189
"2012-03-01",42.78,43.18,42.64,43.13,644186
"2012-03-08",42.83,42.99,41.99,42.07,1136266
"2012-03-15",43.21,43.65,42.94,43.64,979224
"2012-03-22",44.29,44.29,43.54,44.23,670063
"2012-03-29",44.04,44.53,43.76,44.38,362750
"2012-04-05",44.05,44.16,43.52,43.68,264078
"2012-04-12",42.65,43.16,42.49,43.13,515437
"2012-04-19",43.49,43.6,42.89,43.15,448242
"2012-04-26",44.66,44.74,44.17,44.57,458683
"2012-05-03",45.64,47.07,45.59,46.82,731293
"2012-05-10",47.65,47.68,46.88,47.31,727174
"2012-05-17",45.39,45.39,43.85,43.85,644504
"2012-05-24",44.15,44.6,43.63,44.19,383538
"2012-05-31",43.45,44.14,43.05,43.81,898567
"2012-06-07",44.63,44.71,43.85,43.89,358908
"2012-06-14",44.34,45.16,44.23,44.97,502677
"2012-06-21",46.47,46.58,45.81,46,719994
"2012-06-28",45.43,46.53,45.26,46.52,1426716
"2012-07-05",47.82,47.94,47.37,47.7,442405
"2012-07-12",47.11,47.59,46.73,47.34,646489
"2012-07-19",48.18,48.24,47.28,47.67,1283459
"2012-07-26",46.72,47.07,46.18,46.61,1232748
"2012-08-02",48.33,48.67,48.1,48.65,620245
"2012-08-09",48.22,48.57,48.02,48.23,656149
"2012-08-16",48.05,48.65,47.79,48.42,1035533
"2012-08-23",49,49.1,48.7,48.8,461164
"2012-08-30",49.02,49.22,48.88,49.11,308954
"2012-09-06",49.64,49.9,49.56,49.71,441993
"2012-09-13",49.84,51.38,49.71,50.39,502884
"2012-09-20",49.25,49.3,48.49,48.85,888465
"2012-09-27",48.45,49.02,48.31,48.69,865654
"2012-10-04",48.66,48.89,48.17,48.51,776627
"2012-10-11",48.99,49.24,48.84,49.01,703231
"2012-10-18",49.43,50.09,49.42,50.02,481352
"2012-10-25",48.4,48.83,47.22,47.8,485997
"2012-11-01",48.04,48.93,47.77,48.33,757897
"2012-11-08",48.39,48.87,47.56,47.61,917278
"2012-11-15",45.53,45.82,44.8,45.29,635090
"2012-11-29",46.72,46.82,46.16,46.67,908570
"2012-12-06",46.96,47.26,46.65,46.69,480880
"2012-12-13",46.26,46.44,46.03,46.05,499884
"2012-12-20",46.5,47.13,46.47,47.12,681804
"2012-12-27",46.32,46.93,46.19,46.83,384960
"2013-01-03",47.67,48.08,47.53,47.76,650437
"2013-01-10",48.64,48.79,48.17,48.52,381880
"2013-01-17",49.36,49.44,49.02,49.07,275035
"2013-01-24",49.69,50.18,48.84,49.63,370666
"2013-01-31",50.05,50.08,49.31,49.83,633951
"2013-02-07",50.97,51.2,50.74,50.85,520183
"2013-02-14",51.56,51.71,51.31,51.59,277635
"2013-02-21",51.73,51.8,50.83,50.89,430269
"2013-02-28",51.5,52.05,51.43,51.88,1126152
"2013-03-07",53.36,53.5,53.04,53.25,497733
"2013-03-14",52.79,53.18,52.77,52.95,309938
"2013-03-21",52.24,52.62,52.01,52.04,802801
"2013-03-28",52.47,52.93,52.32,52.91,575094
"2013-04-04",52.65,53.07,52.57,53.04,616340
"2013-04-11",53.98,54.55,53.98,54.22,411243
"2013-04-18",53.15,53.26,52.65,53.11,390832
"2013-04-25",54.24,54.69,53.73,54.55,290814
"2013-05-02",55.77,56.81,55.73,56.58,555675
"2013-05-09",59.35,59.35,58.28,58.39,497448
"2013-05-16",58.53,58.73,57.37,57.67,1123281
"2013-05-23",55.49,55.49,54.36,54.92,670179
"2013-05-30",52.42,52.84,51.74,51.98,422632
"2013-06-06",50.18,51.51,49.87,51.51,524806
"2013-06-13",50.19,51.63,50.12,51.46,593166
"2013-06-20",48.61,48.73,46.61,46.82,469765
"2013-06-27",49.68,50.79,49.25,50.76,678870
"2013-07-11",52.27,52.61,51.99,52.56,614421
"2013-07-18",53.02,54,52.87,53.98,398180
"2013-07-25",53.29,53.91,53.14,53.47,533456
"2013-08-01",53.04,54.4,52.8,53.67,1257315
"2013-08-08",51.84,51.84,51.25,51.64,343460
"2013-08-15",50.02,50.02,49.16,49.66,446351
"2013-08-22",48.83,49.1,48.35,49.06,509700
"2013-08-29",48.34,48.35,47.85,47.98,847491
"2013-09-05",47.14,47.44,46.45,46.7,311180
"2013-09-12",48.28,48.69,47.48,47.77,525200
"2013-09-19",50.59,50.83,50.16,50.24,748758
"2013-09-26",48.57,48.96,48.36,48.85,361041
"2013-10-03",49.03,49.2,48.04,48.28,357024
"2013-10-10",48.37,49.31,48.09,49.3,301892
"2013-10-17",51.03,51.83,50.76,51.69,498442
"2013-10-24",52.53,52.94,52.44,52.83,302466
"2013-10-31",52.45,52.57,51.05,51.66,740579
"2013-11-07",50.63,50.74,49.6,49.63,558814
"2013-11-14",49.23,49.9,49.07,49.31,298163
"2013-11-21",47.97,48.22,47.58,48.2,254210
"2013-12-05",47.58,48.06,47.1,48.05,581117
"2013-12-12",46.45,46.45,45.79,46.26,649187
"2013-12-19",46.54,46.65,45.54,46.21,607631
"2013-12-26",47.04,47.3,46.56,46.64,236217
"2014-01-02",46.28,46.34,45.41,45.97,609032
"2014-01-09",47.01,47.21,46.3,47.05,337799
"2014-01-16",48.26,48.41,47.81,48.36,599183
"2014-01-23",48.48,48.75,48.38,48.53,330911
"2014-01-30",47.7,48.24,47.66,48.05,334836
"2014-02-06",47.56,48.08,47.34,48.08,269142
"2014-02-13",49.99,51.19,49.69,50.22,984133
"2014-02-20",50.37,50.88,49.72,49.95,391996
"2014-02-27",50.53,50.8,50.03,50.35,348697
"2014-03-06",51.13,51.16,50.4,50.57,479952
"2014-03-13",50.19,50.19,49.57,50.02,480415
"2014-03-20",49,49.23,48.44,49.21,460500
"2014-03-27",50.03,50.76,49.73,50.73,596595
"2014-04-03",51.27,51.38,50.79,51.07,343567
"2014-04-10",51.63,51.96,51.05,51.19,232951
"2014-04-17",52.24,52.39,51.69,52.34,375841
"2014-04-24",51.96,52.49,51.83,52.43,304055
"2014-05-01",52.54,52.84,51.76,52.76,411657
"2014-05-08",53.75,54.26,53.03,53.98,553092
"2014-05-15",53.53,53.65,52.78,53.2,359843
"2014-05-22",52.77,53.09,52.52,52.63,290420
"2014-05-29",53.4,53.46,52.9,53.39,217108
"2014-06-05",54.41,55.42,54.25,55.39,377110
"2014-06-12",53.56,54,53.08,53.93,413027
"2014-06-19",54.98,55.46,54.74,55.44,272693
"2014-06-26",55.27,55.27,54.68,54.97,314901
"2014-07-03",55.27,55.45,54.64,54.87,242700
"2014-07-10",55.18,55.89,55.09,55.63,648331
"2014-07-17",55.72,55.96,55.39,55.45,167020
"2014-07-24",56.33,56.51,55.89,56.49,817869
"2014-07-31",55.13,55.45,54.36,54.36,409689
"2014-08-07",56.1,56.1,54.62,54.99,953890
"2014-08-14",56.9,56.97,56.5,56.91,367073
"2014-08-21",57.79,57.99,57.28,57.44,481529
"2014-08-28",56.7,56.81,56.42,56.48,454718
"2014-09-04",57.36,57.63,57.06,57.27,486416
"2014-09-11",56.27,56.88,56.15,56.85,375280
"2014-09-18",55.57,55.73,54.78,54.9,528925
"2014-09-25",53.78,53.9,53.31,53.53,329305
"2014-10-02",53.65,54.14,53.55,53.87,562047
"2014-10-09",55.36,56.08,55.32,55.63,516958
"2014-10-16",56.13,57.03,55.72,56.85,738396
"2014-10-23",58.59,58.84,58.07,58.72,487979
"2014-10-30",58.93,59.74,58.7,59.67,413562
"2014-11-06",62.37,62.78,61.77,61.9,521748
"2014-11-13",61.5,61.93,61.17,61.44,386004
"2014-11-20",60.06,60.25,59.78,60.01,390248
"2014-12-04",62.86,62.88,62.18,62.55,622570
"2014-12-11",63.24,63.65,63.07,63.19,546491
"2014-12-18",63.67,64.43,63.41,64.43,826506
"2015-01-08",67.83,68.15,67.25,67.48,724781
"2015-01-15",67.5,68.5,67.44,68.06,1899739
"2015-01-22",68.41,69.51,68.04,69.47,934258
"2015-01-29",69.88,69.99,69.21,69.88,578481
"2015-02-05",69.04,69.55,68.83,69.3,1231159
"2015-02-12",67.04,67.42,66.05,67.23,834429
"2015-02-19",66.77,66.77,65.1,65.37,549802
"2015-02-26",65.55,65.71,64.43,64.75,311608
"2015-03-05",65.51,66.25,65.51,65.53,382920
"2015-03-12",64.5,65.19,64.19,65.13,544506
"2015-03-19",67.62,68.12,67.29,67.73,611164
"2015-03-26",67.13,67.55,66.57,66.87,521071
"2015-04-02",67.68,68.68,67.57,68.41,418694
"2015-04-09",67.68,67.68,66,66.16,455724
