"","REGN.Open","REGN.High","REGN.Low","REGN.Close","REGN.Volume"
"2011-09-15",64.26,64.26,61,62.03,1681504
"2011-09-22",67.77,70,65.87,66.43,2219819
"2011-09-29",62.31,62.6,57.75,59.94,647002
"2011-10-06",59.12,64.83,58.4,64.73,1244438
"2011-10-13",63.73,65.98,63.06,65.1,862824
"2011-10-20",60.14,61.32,59.7,60.82,1064038
"2011-10-27",59.49,60.49,54.66,56.43,1531477
"2011-11-03",55.73,56.1,53.7,54.88,473164
"2011-11-10",54.45,54.68,52.67,53.46,1203636
"2011-11-17",50.45,52.26,50.45,51.13,815595
"2011-12-01",59.1,60.26,58.69,60.21,761666
"2011-12-08",52.8,53.72,50.88,51.39,1140660
"2011-12-15",52.05,52.83,51.33,51.95,761871
"2011-12-22",54.49,54.74,53.89,53.96,427255
"2011-12-29",55.16,56.43,55.12,56.3,583239
"2012-01-05",57.73,62.2,57.7,60.94,2301193
"2012-01-12",77.01,79.97,77,78.26,2335487
"2012-01-19",78.53,80.78,78.28,79.76,1067967
"2012-01-26",82.96,83.4,81.7,81.85,741095
"2012-02-02",92.94,95.21,92.07,95.01,1057952
"2012-02-09",102.51,105.42,101.41,103.6,1526182
"2012-02-16",107.77,108.5,105.73,105.83,1440147
"2012-02-23",99.48,104.55,99.22,103.32,1444414
"2012-03-01",104.32,107.64,102.02,107.56,946670
"2012-03-08",106.41,108.15,105.33,106.2,498202
"2012-03-15",111.2,115.99,110.01,115.75,854942
"2012-03-22",117.46,118.51,115.69,118,689090
"2012-03-29",115.33,115.47,112.55,114.64,554101
"2012-04-05",122.16,123.88,120.91,123.44,682167
"2012-04-12",123.21,124,121.49,123,761059
"2012-04-19",124.32,127.8,124.32,125.99,743643
"2012-04-26",143.06,145.04,138.04,138.6,3220354
"2012-05-03",137.2,138.73,132.95,133.92,548620
"2012-05-10",130.48,132.03,129.58,131.14,591992
"2012-05-17",131.6,132.94,125.5,125.74,1254785
"2012-05-24",127.36,129.75,126.52,129.71,579525
"2012-05-31",137.82,137.82,131.46,135.65,3753487
"2012-06-07",134.06,134.9,128.81,128.99,651901
"2012-06-14",112.5,112.8,108.66,110.89,1986968
"2012-06-21",115.39,116.68,114.29,114.66,531461
"2012-06-28",113.26,113.66,107.31,110.66,944226
"2012-07-05",121.41,122.7,119.61,120.78,548723
"2012-07-12",112.74,118,111.5,117.02,775629
"2012-07-19",123.93,124.47,120,120.61,445264
"2012-07-26",130.21,136.43,130,135.64,1721508
"2012-08-02",133.34,136.7,131.24,136.47,573095
"2012-08-09",139.09,140.74,137.31,137.81,450885
"2012-08-16",138.02,138.76,135.4,137.48,500465
"2012-08-23",138.61,145.81,137.88,142.78,1355118
"2012-08-30",144.53,146.35,142.41,145.51,695276
"2012-09-06",150,153.98,149.59,152.45,698540
"2012-09-13",146.31,147.94,145.77,146.89,579136
"2012-09-20",145.94,147.73,145.35,146.22,461960
"2012-09-27",143.23,151.88,143.2,151.2,996454
"2012-10-04",158.85,164.07,157.97,161.3,1013315
"2012-10-11",154.21,155.62,152.34,153.7,784209
"2012-10-18",162.86,163.71,159.51,160.72,593611
"2012-10-25",164.14,164.88,154.21,155.23,990484
"2012-11-01",144.5,149.7,143.2,146.37,849940
"2012-11-08",138.28,141.32,137.62,137.66,636974
"2012-11-15",146.85,147.56,141.21,142.47,939813
"2012-11-29",175.99,188.95,175.45,187.74,1848145
"2012-12-06",185.91,188.92,180.64,181.8,801725
"2012-12-13",182.53,183.31,177.14,179.04,890347
"2012-12-20",175.1,175.1,168.15,172.84,837543
"2012-12-27",169.32,172.6,164.06,168.77,750385
"2013-01-03",181.58,183.82,179.66,180.71,565947
"2013-01-10",185.14,185.23,179.55,183.77,545250
"2013-01-17",167.87,170.41,164,169.59,1229478
"2013-01-24",175.46,177.84,172.17,173.14,803716
"2013-01-31",173.41,175.54,172.61,173.94,507790
"2013-02-07",167.91,168.99,162.25,163.99,1174567
"2013-02-14",169.65,171.73,163.04,169.24,1156132
"2013-02-21",158.32,159.73,154.16,159.31,1147132
"2013-02-28",165.25,169.51,165.25,167,714998
"2013-03-07",174.9,175.58,171.5,171.94,558892
