"","RJF.Open","RJF.High","RJF.Low","RJF.Close","RJF.Volume"
"2011-09-15",27.03,27.74,26.9,27.74,681029
"2011-09-22",24.51,25.77,24.49,25.51,1779587
"2011-09-29",27.03,27.55,26.59,27.55,1251368
"2011-10-06",26.19,27.45,25.75,27.44,726912
"2011-10-13",27.93,28.03,27.09,27.79,872956
"2011-10-20",28.2,29.26,27.95,28.83,1644734
"2011-10-27",31.03,32.37,30.71,31.24,1351789
"2011-11-03",30.56,31.66,29.31,31.28,896878
"2011-11-10",29.87,29.98,29.21,29.63,450923
"2011-11-17",28.91,29.14,28.21,28.38,772788
"2011-12-01",29.62,29.79,29.1,29.4,875351
"2011-12-08",30.72,30.75,29.71,29.85,722003
"2011-12-15",29.66,29.66,28.97,29.09,511472
"2011-12-22",30.39,30.9,30.27,30.74,713832
"2011-12-29",30.83,31.42,30.71,31.4,382545
"2012-01-05",31.62,33.05,31.59,32.93,793703
"2012-01-12",33.62,33.62,31.99,32.96,1957443
"2012-01-19",33.36,35,33.3,34.66,1505920
"2012-01-26",34.11,34.54,33.57,34.4,929169
"2012-02-02",35.6,35.65,34.85,34.98,861368
"2012-02-09",35.31,35.63,34.73,35.31,794197
"2012-02-16",34.45,35.05,34.39,34.95,1741183
"2012-02-23",35.04,35.55,34.74,35.41,539674
"2012-03-01",35.54,36.24,35.43,36.14,782582
"2012-03-08",34.97,35.03,34.59,34.95,397008
"2012-03-15",36.72,37.36,36.4,37.03,879267
"2012-03-22",37.02,37.33,36.51,36.83,738549
"2012-03-29",36.51,36.65,36.11,36.3,604172
"2012-04-05",35.72,36.02,35.63,35.84,446305
"2012-04-12",35.47,36.13,35.28,36.13,457236
"2012-04-19",35.47,35.78,34.96,35.21,500199
"2012-04-26",35.15,37.04,35.1,36.84,2207819
"2012-05-03",36.8,37.04,36.34,36.46,1268896
"2012-05-10",35.82,35.85,35.35,35.46,547279
"2012-05-17",33.98,34.1,33.3,33.3,704762
"2012-05-24",33.72,33.99,33.37,33.98,807408
"2012-05-31",33.82,34.42,33.48,34.18,680396
"2012-06-07",33.98,34.22,33.43,33.48,857467
"2012-06-14",33.06,33.38,32.9,33.25,789436
"2012-06-21",34.47,34.55,32.94,32.99,701676
"2012-06-28",32.88,33.13,32.42,33.13,546557
"2012-07-05",34.43,34.74,34.21,34.53,449082
"2012-07-12",33.33,33.46,32.89,33.28,276117
"2012-07-19",34.01,34.13,33.74,34.05,431258
"2012-07-26",32.58,32.78,30.99,31.77,2765691
"2012-08-02",32.47,32.76,31.93,32.4,552567
"2012-08-09",34.35,34.78,33.71,34.44,332403
"2012-08-16",35.25,35.6,35.02,35.39,433801
"2012-08-23",35.11,35.2,34.75,34.79,511864
"2012-08-30",34.88,35.23,34.6,35.11,369415
"2012-09-06",35.84,36.74,35.74,36.69,538701
"2012-09-13",37.37,38.32,36.96,38.32,1014524
"2012-09-20",37.73,37.73,37.11,37.67,703666
"2012-09-27",36.69,37.08,36.3,36.82,438577
"2012-10-04",36.94,37.2,36.67,37.04,518301
"2012-10-11",37.27,37.46,37.11,37.19,286791
"2012-10-18",38.32,38.36,38,38.19,483382
"2012-10-25",37.5,38.2,37,38.2,854737
"2012-11-01",38.2,39.04,38.03,38.9,767602
"2012-11-08",38.03,38.31,37.47,37.47,538530
"2012-11-15",36.91,37.21,36.51,36.85,733265
"2012-11-29",37.74,37.89,37.33,37.87,656113
"2012-12-06",37.2,37.35,36.6,36.82,867439
"2012-12-13",36.92,37.15,36.8,37,528609
"2012-12-20",39.36,39.53,39.1,39.49,556388
"2012-12-27",38.53,38.62,37.89,38.23,515098
"2013-01-03",40.05,40.08,39.61,39.84,412569
"2013-01-10",41.42,41.67,41.31,41.33,691082
"2013-01-17",41.77,42.16,41.67,42.02,417862
"2013-01-24",42.03,43.9,41.89,43.72,1824776
"2013-01-31",44.94,45.12,44.6,44.63,787136
"2013-02-07",45.2,45.68,44.94,45.47,597757
"2013-02-14",45.42,45.71,45.21,45.6,484790
