"","RMD.Open","RMD.High","RMD.Low","RMD.Close","RMD.Volume"
"2011-09-15",29.62,29.62,29,29.4,778166
"2011-09-22",28.18,28.37,27.6,27.9,1491784
"2011-09-29",29.3,29.54,28.65,29.17,639417
"2011-10-06",28.56,29.97,28.56,29.92,1075712
"2011-10-13",30.26,30.42,30,30.27,765794
"2011-10-20",29.95,30.32,29.56,30.23,879980
"2011-10-27",27.81,28.73,27.45,27.61,2525445
"2011-11-03",28.44,29.13,28.27,28.73,1868814
"2011-11-10",28.37,28.37,27.69,27.79,1555180
"2011-11-17",27.54,27.54,26.65,26.74,1219401
"2011-12-01",25.98,26.14,25.73,25.81,1144918
"2011-12-08",25.39,25.39,24.95,24.99,988267
"2011-12-15",24.01,24.32,23.89,24.27,1588566
"2011-12-22",25.35,25.63,25.26,25.44,636256
"2011-12-29",25.09,25.38,24.88,25.32,534314
"2012-01-05",24.76,24.9,24.41,24.81,1219744
"2012-01-12",26.4,26.47,25.99,26.05,966463
"2012-01-19",26.15,26.6,25.98,26.37,1737704
"2012-01-26",27.58,27.74,27.09,27.21,1027485
"2012-02-02",29.3,29.44,29.09,29.18,888242
"2012-02-09",29.77,29.95,29.5,29.92,866896
"2012-02-16",29.41,29.47,28.97,29.41,956750
"2012-02-23",29.01,29.05,28.76,28.88,741518
"2012-03-01",29.66,29.96,29.54,29.85,908707
"2012-03-08",29.6,29.91,29.5,29.83,603085
"2012-03-15",31.41,31.64,31.02,31.6,771717
"2012-03-22",31.34,31.5,31.11,31.43,534809
"2012-03-29",30.8,31.09,30.59,30.99,538493
"2012-04-05",30.75,30.8,30.57,30.74,572698
"2012-04-12",30.6,30.94,30.6,30.83,616956
"2012-04-19",30.47,30.6,29.98,30.23,987356
"2012-04-26",31.59,32.15,31.36,32.05,933070
"2012-05-03",34.79,34.86,34.34,34.4,911672
"2012-05-10",33.86,34.4,33.8,34.2,1229166
"2012-05-17",33.04,33.04,32.1,32.1,1072250
"2012-05-24",32.1,32.16,31.74,32.09,1065343
"2012-05-31",31,31.15,30.6,30.98,1176131
"2012-06-07",32.17,32.23,31.91,31.96,1004093
"2012-06-14",31.92,32,31.61,31.79,1306798
"2012-06-21",32.42,32.44,30.95,30.98,776176
"2012-06-28",30.55,30.59,29.82,30.23,1375492
"2012-07-05",30.8,31.11,30.74,30.93,847465
"2012-07-12",31.04,31.5,31.04,31.41,678197
"2012-07-19",32.05,32.1,31.42,31.92,737588
"2012-07-26",31.11,31.34,30.52,30.68,744271
"2012-08-02",31.28,31.99,30.98,31.83,963577
"2012-08-09",35.74,35.97,35.58,35.76,1242412
"2012-08-16",36.87,37,36.3,36.88,782685
"2012-08-23",36.98,37.02,36.48,36.79,661679
"2012-08-30",37.43,37.56,37.23,37.43,638829
"2012-09-06",38.72,39.67,38.71,39.53,1073454
"2012-09-13",39.72,40,39.28,39.78,800858
"2012-09-20",39.03,39.42,38.86,39.33,452087
"2012-09-27",40.23,40.62,39.93,40.3,904221
"2012-10-04",40.91,41.22,40.14,40.92,1602391
"2012-10-11",40.24,40.44,40.12,40.13,682362
"2012-10-18",41.05,41.1,40.43,40.65,1003139
"2012-10-25",41.59,41.95,40.96,41.34,2584695
"2012-11-01",40.03,40.98,39.59,40.76,1736494
"2012-11-08",41,41.19,40.35,40.54,811517
"2012-11-15",38.82,39.31,38.71,38.98,2083969
"2012-11-29",41.42,41.48,40.56,41.28,1615103
"2012-12-06",40.84,41.3,40.74,41.13,654828
"2012-12-13",42.54,42.57,41.54,41.68,684543
"2012-12-20",42.19,42.94,41.97,42.24,606600
"2012-12-27",41.2,41.41,40.7,41.22,571688
"2013-01-03",42.4,42.79,42.35,42.71,673497
"2013-01-10",44.07,44.19,43.68,44.06,346916
"2013-01-17",44.53,44.53,44.04,44.37,911098
"2013-01-24",45.17,45.62,44.9,45.47,952964
"2013-01-31",43.97,43.97,43.3,43.8,3369832
"2013-02-07",44.3,44.5,43.93,44.25,845394
"2013-02-14",43.26,43.4,42.65,43.18,1084951
"2013-02-21",42.7,42.82,41.98,42.36,853399
"2013-02-28",43.62,44.81,43.6,44.49,1541464
"2013-03-07",44.8,44.85,43.3,43.67,1794674
"2013-03-14",43.56,43.81,43.27,43.74,958085
"2013-03-21",44.3,44.63,44.19,44.35,899758
"2013-03-28",45.85,46.4,45.47,46.36,1163952
"2013-04-04",46.19,46.58,45.79,46.49,663822
"2013-04-11",46.05,46.77,45.99,46.17,1129929
"2013-04-18",44.57,44.74,44.02,44.04,451197
"2013-04-25",45.79,46.1,45.42,45.52,1365132
"2013-05-02",47.44,47.84,47.42,47.62,1040185
"2013-05-09",49.58,50.3,49.41,50.15,1207065
"2013-05-16",49.54,50.18,49.37,49.8,1053831
"2013-05-23",49.49,50.12,49.3,50.02,777039
"2013-05-30",49.9,50.13,49.65,49.84,400590
"2013-06-06",46.49,46.5,44.89,45.54,2713169
"2013-06-13",46.88,47.91,46.41,47.81,651005
"2013-06-20",46.88,47.78,45.32,47.24,1578065
"2013-06-27",47.39,47.48,46.73,46.74,695409
"2013-07-11",44.41,44.75,43.93,44.35,1221113
"2013-07-18",45.07,45.41,44.77,44.79,635337
"2013-07-25",44.74,45.51,44.5,45.48,674834
"2013-08-01",48.5,49.44,47.9,48.38,2143305
"2013-08-08",49.37,50.11,49.22,49.89,1645183
"2013-08-15",49.09,50.28,48.65,48.73,625544
"2013-08-22",49.2,49.71,48.46,49.14,547936
"2013-08-29",48.22,48.46,47.92,48.23,663203
"2013-09-05",48.05,49.38,47.94,49.19,938304
"2013-09-12",51.89,52.6,51.89,52.38,909330
"2013-09-19",54.2,54.34,53.66,53.79,575194
"2013-09-26",53.21,53.47,52.61,52.9,755306
"2013-10-03",53.34,53.9,53.19,53.37,1228970
"2013-10-10",54.8,55.91,54.71,55.91,1152460
"2013-10-17",55.79,56.04,55.62,55.87,1161871
"2013-10-24",56.35,56.7,55.86,56.31,1838622
"2013-10-31",51.31,51.85,51.16,51.74,1649164
"2013-11-07",50.14,50.44,49.25,49.3,1439267
"2013-11-14",50.77,51.69,50.62,51.5,891251
"2013-11-21",51.3,51.3,50.72,50.81,951048
"2013-12-05",47.08,47.42,46.8,47.23,923111
"2013-12-12",47.6,47.6,45.14,45.36,1422150
"2013-12-19",45.71,45.8,45.25,45.65,1795998
"2013-12-26",46.99,47.39,46.99,47.28,633309
"2014-01-02",47.01,47.01,46.13,46.2,773438
"2014-01-09",47.64,48.33,47.34,47.82,1250860
"2014-01-16",46.05,46.14,45.67,45.81,1093368
"2014-01-23",46.4,47.38,46.19,46.88,1898768
"2014-01-30",43.13,44.13,43.08,43.94,704539
"2014-02-06",43.89,44.39,43.49,43.69,1290451
"2014-02-13",45.5,46,45.36,45.97,657379
"2014-02-20",46.15,46.6,45.87,46.54,926876
"2014-02-27",42.9,44.35,42.48,44.21,3225263
"2014-03-06",43.98,44.23,43.82,44.01,500731
"2014-03-13",44.96,45.02,43.88,43.97,1021468
"2014-03-20",44.31,44.46,43.74,43.87,924979
"2014-03-27",43.67,44.12,43.4,43.7,739875
"2014-04-03",44.57,45.01,44.57,44.78,698867
"2014-04-10",45.52,45.53,45.01,45.2,1136063
"2014-04-17",46.93,47.49,46.47,47.44,1415249
"2014-04-24",48.53,49.46,46.75,47.41,2762030
"2014-05-01",49.8,50.1,49.65,49.88,839153
"2014-05-08",49.8,50.27,49.72,49.99,732225
"2014-05-15",50.54,50.99,49.78,50.09,1237021
"2014-05-22",50.35,50.99,50.16,50.93,478719
"2014-05-29",49.84,50.74,49.67,50.21,639516
"2014-06-05",50.46,51.44,50.43,51.29,529839
"2014-06-12",53,53.82,52.88,53.76,825634
"2014-06-19",53.32,53.56,53.13,53.19,323289
"2014-06-26",51.53,51.87,50.5,51.84,760331
