"","ROK.Open","ROK.High","ROK.Low","ROK.Close","ROK.Volume"
"2011-09-15",59.32,60.84,58.81,60.11,2607223
"2011-09-22",51.97,52.21,50.36,51.54,2209285
"2011-09-29",57.93,58.88,55.77,57.45,2036899
"2011-10-06",59.35,61.44,58.5,60.9,2155819
"2011-10-13",63.4,63.63,62.06,63.46,829637
"2011-10-20",63.75,64.43,62.36,63.69,1333726
"2011-10-27",68.22,71.38,68.15,70.17,1089267
"2011-11-03",70.15,71.86,68.24,71.52,1374444
"2011-11-10",71.48,73.68,71.48,72.16,1277765
"2011-11-17",72.25,72.52,69.88,70.49,847651
"2011-12-01",74.76,75.08,74.01,74.14,1154986
"2011-12-08",76.63,77.21,75.65,76.08,1729895
"2011-12-15",73.57,73.57,71.5,72.04,1116847
"2011-12-22",72.72,74.61,72.58,74.1,882140
"2011-12-29",72.1,73.54,71.9,73.44,729814
"2012-01-05",75.5,76.28,73.86,75.79,926181
"2012-01-12",78.36,79.7,77.96,79.61,1588603
"2012-01-19",82.41,82.65,81.63,81.75,1174093
"2012-01-26",80,80.84,77.28,77.55,1599122
"2012-02-02",80.05,80.3,79.7,80.12,1051953
"2012-02-09",82.1,82.22,81.34,81.85,853439
"2012-02-16",79.39,81.48,79.19,81.25,1325587
"2012-02-23",81.89,81.89,80.79,81.64,864018
"2012-03-01",80.25,81.82,80.25,81.31,1224823
"2012-03-08",79.52,80.91,79.29,80.65,1130981
"2012-03-15",83.8,84.54,83.2,84.3,825774
"2012-03-22",81.05,81.05,79.25,80.42,720571
"2012-03-29",78.82,79.97,78.62,79.83,963407
"2012-04-05",77.71,79.34,77.67,79.27,1135743
"2012-04-12",77.39,80.25,77.02,80.18,1791294
"2012-04-19",78.43,79.24,77.65,78.15,1414520
"2012-04-26",75.95,77.9,75.61,77.5,1779786
"2012-05-03",78.53,79,77.97,78.43,1507257
"2012-05-10",77.88,78.39,76.55,77.18,900318
"2012-05-17",75.14,75.59,72.06,72.1,1626786
"2012-05-24",76.73,77.26,75.37,75.96,1171034
"2012-05-31",74.53,74.76,71.2,72.51,1926655
"2012-06-07",70.22,71.21,69.01,69.16,1565168
"2012-06-14",68.97,69.49,68.23,68.76,1218199
"2012-06-21",69.04,69.63,66.67,66.78,1643891
"2012-06-28",63.33,64.02,62.41,63.06,1278605
"2012-07-05",64.89,65.83,64.4,65.44,924244
"2012-07-12",62.79,62.79,61.2,61.52,2433007
"2012-07-19",65.6,66.37,64.81,65.9,1211885
"2012-07-26",63.45,65.03,62.76,64.8,2900067
"2012-08-02",65.51,66.87,65.36,66.53,1060614
"2012-08-09",70.07,71.5,70,71.07,2250987
"2012-08-16",71.47,73.01,71.36,72.86,1238824
"2012-08-23",71.39,72.2,71.17,72.06,1336431
"2012-08-30",71.51,72.18,71.1,71.55,760804
"2012-09-06",70.95,72.11,70.29,71.61,1383618
"2012-09-13",70.05,71,68.25,69.96,2606304
"2012-09-20",71.5,72.37,70.39,72.31,1231154
"2012-09-27",69.04,69.28,68.12,69.08,1413619
"2012-10-04",69.54,70.81,69.37,70.43,999129
"2012-10-11",69.84,69.93,69.2,69.3,849812
"2012-10-18",71.78,72.84,71.6,72.62,735700
"2012-10-25",69.51,69.79,68.32,68.9,1166235
"2012-11-01",71.04,74.95,70.91,74.87,2826349
"2012-11-08",77.27,77.96,76.33,76.33,871335
"2012-11-15",76.35,77.33,75.82,76.29,1301968
"2012-11-29",79.26,79.59,78.4,79,915757
"2012-12-06",80.16,80.56,79.33,80.11,859227
"2012-12-13",81.99,82.44,81.53,82.01,1398504
"2012-12-20",83.57,83.68,82.75,82.95,1146456
"2012-12-27",82.66,82.94,81.85,82.74,558925
"2013-01-03",86.01,86.85,85.75,86.19,1201616
"2013-01-10",86.83,86.96,85.2,86.4,1003867
"2013-01-17",86,87.31,85.66,87.07,1351036
"2013-01-24",89.46,90.08,89.01,89.15,1424201
"2013-01-31",87.99,89.44,87.95,89.19,1222173
"2013-02-07",91.14,91.31,89.91,90.52,911312
"2013-02-14",89.92,90.88,89.33,90.85,839796
"2013-02-21",89.14,89.34,88.18,88.71,1016629
"2013-02-28",90.42,91.41,89.95,90.34,802410
"2013-03-07",89.8,90.93,89.77,90.79,675802
"2013-03-14",89.2,89.38,88.16,89.37,1058609
"2013-03-21",86.89,87.45,85.21,86.16,1517103
"2013-03-28",85.32,86.44,84.76,86.35,957891
"2013-04-04",84.75,87.24,84.59,86.95,1839728
"2013-04-11",88.75,89.79,88.58,88.99,1144358
"2013-04-18",84.03,84.57,82.48,82.87,883305
"2013-04-25",86.23,87.06,85.1,86.85,1643791
"2013-05-02",83.06,83.94,82.74,83,1106912
"2013-05-09",87.92,88.79,87.71,87.95,717438
"2013-05-16",89.18,90.2,89.17,89.42,714521
"2013-05-23",87.97,88.58,87.49,87.85,794614
"2013-05-30",88.05,89.4,87.93,88.6,422687
"2013-06-06",85.66,86.18,84.98,85.4,846079
"2013-06-13",84.31,86.77,83.26,86.64,760621
"2013-06-20",85.84,85.94,83.32,83.59,1171200
"2013-06-27",84.31,84.64,83.96,84.21,879981
"2013-07-11",88.34,90.09,88.34,89.96,776537
"2013-07-18",92.24,93.38,92,93.29,757791
"2013-07-25",91.54,91.7,90.63,91.39,686400
"2013-08-01",97.68,99.68,97.6,99.18,1415939
"2013-08-08",99.05,100.22,98.91,99.52,625908
"2013-08-15",100.13,100.13,93.47,96.7,721778
"2013-08-22",97.61,99.95,97.6,99.8,642446
"2013-08-29",96.92,98.39,96.92,97.77,356022
"2013-09-05",98.79,100,98.47,99.77,423972
"2013-09-12",103.9,109.22,103.14,104.5,718655
"2013-09-19",109.1,109.72,108.4,109.13,669254
"2013-09-26",107.91,108.38,107.28,108.15,388811
"2013-10-03",106.91,107.35,104.88,106.24,557559
"2013-10-10",105.73,108.77,105.34,108.36,667825
"2013-10-17",105.59,108.2,105.59,108.08,555234
"2013-10-24",110.45,112.08,110.34,111.75,556394
"2013-10-31",110.09,112.26,109.64,110.41,734293
"2013-11-07",111.11,113.95,110.01,111.56,1444869
"2013-11-14",113.27,113.87,112.53,112.6,611573
"2013-11-21",111.07,111.99,111.03,111.44,729411
"2013-12-05",108.98,110.2,108.5,109.21,624713
"2013-12-12",109.51,110.95,108.78,110.53,798012
"2013-12-19",112.85,114.13,112.31,114.03,651150
"2013-12-26",117.49,118,117.03,117.81,307281
"2014-01-02",117.62,117.99,116.01,116.38,479119
"2014-01-09",116.75,117.33,115.03,116.43,537728
"2014-01-16",117.68,119.71,117.64,119.66,985298
"2014-01-23",118.22,118.5,116.49,117.01,576479
"2014-01-30",115.5,116.32,114.61,115.1,1284223
"2014-02-06",110.28,111.31,110.09,110.64,935354
"2014-02-13",114.32,116.47,113.71,116.45,1040367
"2014-02-20",117.96,119.3,117.5,118.99,932723
"2014-02-27",121.5,122.4,121.18,122.18,472963
"2014-03-06",124.11,124.36,122.7,123.46,695282
"2014-03-13",122.29,122.68,119.19,120.25,1076310
"2014-03-20",122.03,123.5,121.82,122.8,543906
"2014-03-27",122.02,122.57,121.07,121.78,746412
"2014-04-03",126.22,127.12,125.77,126.88,545453
"2014-04-10",123.88,124.2,121.36,121.57,525490
"2014-04-17",125.95,127.4,125.34,127.02,664137
"2014-04-24",128.19,128.26,126.6,127.64,567610
"2014-05-01",118.71,120.91,118.4,120.22,1100161
"2014-05-08",119.23,120.36,118.02,118.35,879113
"2014-05-15",119.72,120.02,117.3,119.77,806140
"2014-05-22",119.42,121.2,119.42,119.88,517201
