"","ROST.Open","ROST.High","ROST.Low","ROST.Close","ROST.Volume"
"2011-09-15",19.39,19.82,19.32,19.74,4607172
"2011-09-22",19.5,19.82,19.29,19.6,6284716
"2011-09-29",20.15,20.37,19.27,19.6,8096744
"2011-10-06",19.65,20.51,19.57,20.19,9351900
"2011-10-13",20.82,21.05,20.65,20.84,3852348
"2011-10-20",21.34,21.56,21.14,21.26,4668728
"2011-10-27",22.02,22.28,21.79,22.1,4722360
"2011-11-03",21.79,22.41,21.42,22.3,6520968
"2011-11-10",21.9,22.07,21.66,22.02,2927636
"2011-11-17",21.82,21.99,21.35,21.74,5923704
"2011-12-01",22.32,23.2,22.29,23.07,6653956
"2011-12-08",23.18,23.29,23.01,23.08,2863104
"2011-12-15",23.39,23.46,23.16,23.2,3375676
"2011-12-22",23.92,24.04,23.75,23.83,2513612
"2011-12-29",24.27,24.43,24.06,24.28,2256034
"2012-01-05",24.02,25.3,23.88,25.21,10055752
"2012-01-12",25.4,25.62,25.36,25.58,3638228
"2012-01-19",25.82,25.87,25.2,25.56,6484886
"2012-01-26",26.36,26.36,25.76,25.82,5338776
"2012-02-02",26.02,26.26,25.54,25.6,5721976
"2012-02-09",25.8,25.96,25.74,25.93,2585146
"2012-02-16",25.73,26,25.68,25.79,2632744
"2012-02-23",26.52,26.66,26.34,26.34,3715930
"2012-03-01",27.11,27.14,26.9,27.12,3395782
"2012-03-08",27.61,27.8,27.57,27.68,2251272
"2012-03-15",28.1,28.36,27.36,28.18,8463714
"2012-03-22",28.44,28.67,28.38,28.62,2233440
"2012-03-29",29.66,29.66,29.19,29.38,4204632
"2012-04-05",29.72,30.01,29.16,29.9,7367020
"2012-04-12",29.24,29.8,29.16,29.52,4046828
"2012-04-19",30.09,30.24,29.78,29.96,3133164
"2012-04-26",30.15,30.74,30.04,30.58,2569244
"2012-05-03",31.88,32.4,31.68,31.86,5244144
"2012-05-10",30.89,31.2,30.6,30.9,2868286
"2012-05-17",31.24,31.87,30.3,30.32,7838548
"2012-05-24",31,31.32,30.88,31.21,3546932
"2012-05-31",31.21,31.84,31.08,31.62,6788736
