"","RSG.Open","RSG.High","RSG.Low","RSG.Close","RSG.Volume"
"2011-09-15",29.22,29.32,28.77,29.02,2207514
"2011-09-22",26.55,27.04,26.39,26.95,4407436
"2011-09-29",28.35,28.4,27.57,28.1,2886105
"2011-10-06",27.71,28.12,27.37,28.11,2538582
"2011-10-13",28.46,28.53,28.22,28.35,1587557
"2011-10-20",28.35,28.57,28.17,28.38,3081049
"2011-10-27",29.96,30.01,29.32,29.97,4791250
"2011-11-03",28.07,28.41,27.84,28.34,3156289
"2011-11-10",27.52,27.67,26.98,27.15,2343234
"2011-11-17",26.82,26.9,26.47,26.63,2788238
"2011-12-01",27.45,27.61,27.29,27.35,1761109
"2011-12-08",27.14,27.25,26.35,26.79,7572820
"2011-12-15",27.15,27.26,26.6,26.77,2513683
"2011-12-22",27,27.61,26.95,27.44,2063887
"2011-12-29",27.12,27.75,27.12,27.6,1651132
"2012-01-05",27.32,27.81,27.21,27.6,2035694
"2012-01-12",27.44,28.19,27.36,28.17,3707198
"2012-01-19",27.77,27.96,27.66,27.96,1937026
"2012-01-26",28.79,29,28.61,28.69,2482734
"2012-02-02",30,30.1,29.62,29.65,2747473
"2012-02-09",30,30.2,29.77,30.09,2803336
"2012-02-16",29.79,29.79,29.47,29.69,5178808
"2012-02-23",29.77,29.94,29.69,29.84,1376503
"2012-03-01",29.88,30.1,29.75,29.93,1922926
"2012-03-08",29.71,30.08,29.61,30.02,1112190
"2012-03-15",30.58,30.66,30.51,30.54,997823
"2012-03-22",30.19,30.4,29.87,30.36,1410942
"2012-03-29",30.24,30.32,30,30.29,2056389
"2012-04-05",30.37,30.75,30.22,30.75,1418408
"2012-04-12",30.55,30.95,30.35,30.89,2072388
"2012-04-19",30.99,31.09,30.6,30.82,1881659
"2012-04-26",31.02,31.14,30.59,31.14,2382668
"2012-05-03",27.53,27.61,27.08,27.16,2671244
"2012-05-10",26.69,27.07,26.62,27.03,3467318
"2012-05-17",25.94,26.03,25.8,25.9,4033612
"2012-05-24",26.81,27,26.47,26.66,2427658
"2012-05-31",26.31,26.48,26.06,26.36,2447868
"2012-06-07",26.33,26.48,26.04,26.06,3887144
"2012-06-14",25.84,25.98,25.71,25.85,1803024
"2012-06-21",26.18,26.34,25.76,25.76,6873638
"2012-06-28",25.27,25.46,25.15,25.42,1627753
"2012-07-05",26.09,26.14,25.97,26.02,1349472
"2012-07-12",26.29,26.65,26.2,26.55,2466662
"2012-07-19",27.2,27.58,26.99,27.52,2325208
"2012-07-26",27.25,27.41,26.8,27.22,4364613
"2012-08-02",28.47,28.68,28.28,28.3,5024459
"2012-08-09",28.72,28.95,28.68,28.79,1186138
"2012-08-16",28.75,28.99,28.71,28.9,1176777
