"","RTN.Open","RTN.High","RTN.Low","RTN.Close","RTN.Volume"
"2011-09-15",41.48,41.8,41.24,41.57,2690367
"2011-09-22",38.84,39.21,38.35,38.83,4604133
"2011-09-29",40.91,41.61,40.5,41.26,3013147
"2011-10-06",39.79,40.47,39.79,40.47,2486697
"2011-10-13",42.58,42.64,41.97,42.42,1766029
"2011-10-20",43.02,43.12,42.21,42.76,2017805
"2011-10-27",44.37,44.51,42.25,43.72,5955611
"2011-11-03",43.64,44.36,43.51,44.26,2698112
"2011-11-10",44.8,45.18,44.42,44.66,2283225
"2011-11-17",44.37,44.5,43.49,43.84,2275836
"2011-12-01",45.37,45.67,45.17,45.29,2636300
"2011-12-08",45.78,45.98,44.7,44.8,2686204
"2011-12-15",45.43,45.71,45.28,45.38,2439883
"2011-12-22",47.26,48.36,47,48.17,2191898
"2011-12-29",48.72,49.11,48.64,49.07,1634067
"2012-01-05",48.55,48.58,47.5,48.05,2801266
"2012-01-12",48.91,49.62,48.8,49.48,1548437
"2012-01-19",49.73,50,49.23,49.98,2386946
"2012-01-26",50.7,50.7,49.08,49.89,4042086
"2012-02-02",48.7,48.78,48.37,48.55,1652052
"2012-02-09",49.86,50.03,49.71,49.97,2969231
"2012-02-16",49,49.11,48.41,48.81,3303210
"2012-02-23",50.26,50.53,50.23,50.36,2129290
"2012-03-01",50.26,51.42,50.2,51,3494525
"2012-03-08",51.09,51.85,51.08,51.72,2046283
"2012-03-15",52.4,52.55,52.07,52.27,3057735
"2012-03-22",51.4,52.1,51.25,51.96,3421846
"2012-03-29",52.29,52.86,52.25,52.86,1675001
"2012-04-05",52.21,52.52,52.12,52.35,3870374
"2012-04-12",51.76,52.97,51.7,52.7,2905363
"2012-04-19",53,53.14,52.44,52.53,2258587
"2012-04-26",53.6,54.62,53.22,53.93,4358377
"2012-05-03",53.94,54.18,53.78,54,2926278
"2012-05-10",52.95,53,52.25,52.37,2600607
"2012-05-17",51.19,51.25,50.16,50.16,1931173
"2012-05-24",49.71,50.34,49.45,49.92,2005838
"2012-05-31",50.43,50.69,50.25,50.32,3744663
"2012-06-07",51.01,51.55,50.88,51.26,2844544
"2012-06-14",52.33,53.48,52.2,53.09,2541578
"2012-06-21",54.97,55.13,54.25,54.3,1870676
"2012-06-28",54.85,54.92,54.32,54.88,1471672
"2012-07-05",56.2,56.45,55.99,56.07,1383180
"2012-07-12",55.43,55.52,54.87,55.11,1750142
"2012-07-19",56.91,56.92,56.61,56.86,1332931
"2012-07-26",55,55.48,54.25,54.56,2564561
"2012-08-02",54.7,54.83,53.97,54.28,2146824
"2012-08-09",55.68,56.02,55.46,55.96,1228254
"2012-08-16",56.32,56.55,56.04,56.42,1411432
"2012-08-23",55.83,55.84,55.36,55.68,1808584
"2012-08-30",56.39,56.51,56.01,56.3,982387
"2012-09-06",57.09,58,57,57.98,1501817
"2012-09-13",57.83,58.68,57.53,58.4,1745732
"2012-09-20",57.87,58.15,57.7,58.05,1195065
"2012-09-27",57.72,57.83,57.11,57.54,1152574
"2012-10-04",55.3,55.85,54.98,55.32,2334737
"2012-10-11",55.12,55.23,54.88,54.88,1264303
"2012-10-18",56.56,57.09,56.37,57.06,1384111
"2012-10-25",55.66,56.31,55.06,55.74,2967848
"2012-11-01",56.63,57.5,56.56,57.16,2427622
"2012-11-08",55.53,55.7,55.09,55.12,2154940
"2012-11-15",54.42,54.69,53.86,54,1778907
"2012-11-29",56.5,56.98,56.28,56.85,1250507
"2012-12-06",57.2,57.31,56.6,57.28,1166332
"2012-12-13",58.06,58.2,57.39,57.51,1127055
"2012-12-20",58.91,59.28,58.72,59.28,1205015
"2012-12-27",57.37,57.9,56.95,57.8,1834061
"2013-01-03",58.66,58.98,58.43,58.64,1636109
"2013-01-10",58.44,58.58,57.99,58.58,1603817
"2013-01-17",57.93,58.52,57.63,58.25,1928554
"2013-01-24",58.18,58.18,56.01,56.54,4509588
"2013-01-31",54.07,54.07,52.64,52.68,4461789
"2013-02-07",53.43,54.22,53.32,54.11,2229008
"2013-02-14",53.81,54.18,53.54,53.76,1691322
"2013-02-21",53.89,54.13,53.66,53.94,1895834
"2013-02-28",55.01,55.36,54.54,54.57,2612106
"2013-03-07",55.38,55.76,55.2,55.64,1930566
"2013-03-14",57.29,57.47,57.14,57.32,1646681
"2013-03-21",56.97,57.25,56.64,56.86,1630841
"2013-03-28",58.56,58.85,58.4,58.79,2139490
"2013-04-04",58.17,58.73,58.13,58.54,1813212
"2013-04-11",58.39,58.52,58.26,58.41,1512721
"2013-04-18",56.66,56.81,55.85,56.22,1609706
"2013-04-25",58.48,59.71,58.1,59.3,2820216
"2013-05-02",61.66,62.76,61.47,62.5,1852791
"2013-05-09",63.26,63.79,63,63.46,1335081
"2013-05-16",65.73,66.15,65.41,65.64,1555051
"2013-05-23",65.75,67.04,65.72,66.75,1413076
"2013-05-30",67.42,68.62,67.3,67.33,1583910
"2013-06-06",65.6,66.12,65.06,65.98,1364676
"2013-06-13",66.69,68.13,66.66,67.67,1873903
"2013-06-20",66.59,66.96,66.01,66.11,1925335
"2013-06-27",66.5,66.79,66.36,66.44,1730448
"2013-07-11",68.77,69.49,68.77,69.38,1761337
"2013-07-18",69.71,69.94,69.42,69.7,1718040
"2013-07-25",70.51,70.72,68.86,69.75,2365041
"2013-08-01",72.34,73.83,72.2,73.77,3591915
"2013-08-08",76.67,77.15,76.2,76.8,2048657
"2013-08-15",75.8,76.16,75.28,75.6,1461766
"2013-08-22",76.15,76.85,76.02,76.65,1059226
"2013-08-29",75.41,76.28,75.32,75.68,1211261
"2013-09-05",76.05,76.21,75.43,75.8,1531928
"2013-09-12",77.19,77.95,77.18,77.57,903636
"2013-09-19",80.77,81.26,80.55,80.69,980476
"2013-09-26",78.76,79.82,78.7,79.8,1330981
"2013-10-03",75.84,75.93,74.43,74.92,2041163
"2013-10-10",74.64,76.26,74.5,76.26,1432539
"2013-10-17",76.18,77.82,75.77,77.63,1217238
"2013-10-24",79.09,79.42,76.9,78.08,2871860
"2013-10-31",82,83.1,81.69,82.37,1887523
"2013-11-07",85.2,85.73,84.2,84.27,1323351
"2013-11-14",85.87,86.01,85.36,85.68,1510872
"2013-11-21",85.98,87.31,85.83,86.84,1768527
"2013-12-05",85.96,86.99,85.64,86,2253833
"2013-12-12",85.54,86.11,85.42,85.71,1253336
"2013-12-19",88.51,88.83,87.52,88.49,1397632
"2013-12-26",89.92,91.26,89.62,91.04,991765
"2014-01-02",90.16,90.16,88.33,88.78,1501605
"2014-01-09",89.54,90.28,89.24,90,1713785
"2014-01-16",91.07,91.12,90.27,90.68,1135597
"2014-01-23",91.99,92.65,90.8,91.1,2213002
"2014-01-30",88.61,92.3,87.86,91.89,4058655
"2014-02-06",92.71,93.62,92.29,93.6,1890176
"2014-02-13",95.2,96.29,94.91,95.29,2006901
"2014-02-20",95.25,96.91,95.05,96.35,2043825
"2014-02-27",96.47,97.59,96.3,97.59,1699324
"2014-03-06",100.03,101.07,100.03,100.49,1435957
"2014-03-13",100.05,101.15,98.64,98.83,1777881
"2014-03-20",99.59,100.41,98.21,98.57,2651429
"2014-03-27",97,97.83,96.06,97.54,2101313
"2014-04-03",100.3,100.57,99.35,100.04,1126823
"2014-04-10",99.12,99.21,96.84,97.07,1529282
"2014-04-17",98.9,100.36,98.9,100.13,1217836
"2014-04-24",98.51,98.51,94.55,95.92,3346305
"2014-05-01",95.36,96.21,94.62,95.41,1925780
"2014-05-08",97.89,98.14,97.2,97.62,1913593
"2014-05-15",96.9,97.36,95.75,96.06,2301080
"2014-05-22",95.65,96.38,95.45,96.18,1208672
"2014-05-29",96.82,97.21,96.33,96.97,1085295
"2014-06-05",98.18,98.67,97.8,98.56,1425214
"2014-06-12",96.55,96.83,95.16,95.5,1351041
"2014-06-19",95.64,96.25,95.49,95.85,1330465
"2014-06-26",94.56,94.56,93.64,94.08,1161477
"2014-07-03",93.39,93.5,92.48,93.22,808813
"2014-07-10",90.75,92.68,90.75,92.1,1523377
"2014-07-17",94.18,95.14,93.64,94.15,1077157
"2014-07-24",95,95.39,93.48,93.55,2278092
"2014-07-31",92.02,92.15,90.76,90.77,1928408
"2014-08-07",90.26,90.4,89.17,89.43,1537741
"2014-08-14",93.53,93.88,93.24,93.41,1206702
"2014-08-21",96.74,97,96.42,96.58,976264
"2014-08-28",95.75,96.19,95.5,96.04,1400628
"2014-09-04",96.75,97.48,96.64,97.11,2055362
"2014-09-11",101.05,101.2,100.53,100.93,2458989
"2014-09-18",102.44,102.54,102.1,102.48,1029244
"2014-09-25",100.65,101.05,100.1,100.19,1966648
"2014-10-02",99.17,99.4,97.21,97.68,1695650
"2014-10-09",96.84,96.96,94.72,94.97,1497127
"2014-10-16",93.99,95.87,93.53,95.32,1583239
"2014-10-23",96.39,99.48,95.81,98.88,1906649
"2014-10-30",101.65,103.8,100.23,103.2,1740727
"2014-11-06",104.17,105.4,103.93,104.71,1336237
"2014-11-13",103.42,104.62,102.38,103.12,2613493
"2014-11-20",103.95,104.72,103.56,104.25,866848
"2014-12-04",107.5,110,106.48,110,1325479
"2014-12-11",106.57,107.09,105.95,106.39,1180871
"2014-12-18",103.35,106.06,103.35,106.01,1793204
"2015-01-08",108.95,110.26,108.6,109.6,2159864
"2015-01-15",106.41,106.93,105.44,105.87,944324
"2015-01-22",106.62,107.67,106.29,107.58,1351475
"2015-01-29",102.67,102.98,98.21,102,6038879
"2015-02-05",107.26,107.54,106.17,106.81,1957313
"2015-02-12",107.2,107.7,106.96,107.4,853199
"2015-02-19",107.09,108.25,106.76,108.07,1068680
"2015-02-26",109.16,109.66,108.38,108.6,1400832
"2015-03-05",107,107.31,106.36,106.97,1485477
"2015-03-12",105.35,107.08,105.35,106.91,999866
"2015-03-19",110.09,111.11,110.07,110.74,1206882
"2015-03-26",108.33,109.2,107.27,108.75,1369817
"2015-04-02",108.07,108.96,107.3,108.46,1423934
"2015-04-09",108.85,110.22,108.85,110.01,869367
"2015-04-16",108.08,109.41,108,108.93,1311831
"2015-04-23",109.46,109.46,107.65,108.55,1950951
"2015-04-30",106.15,106.47,103.55,104,1883370
"2015-05-07",104.42,105.48,104.24,105.15,1720495
"2015-05-14",107.32,107.99,107.09,107.64,1881721
"2015-05-21",106.64,107.78,106.64,107.51,1197871
"2015-05-28",105.04,105.62,104.18,104.44,1786505
"2015-06-04",101.39,101.93,100.11,100.67,2348276
"2015-06-11",101.09,102.24,100.74,102.16,1554711
"2015-06-18",100.76,101.75,100.75,101.24,2134868
"2015-06-25",99.79,99.79,98.24,98.24,1523416
