"","SBUX.Open","SBUX.High","SBUX.Low","SBUX.Close","SBUX.Volume"
"2011-09-15",19.5,19.75,19.46,19.54,15152630
"2011-09-22",19.5,19.7,18.88,19.3,21397290
"2011-09-29",20.1,20.24,18.48,19.08,25053884
"2011-10-06",19.06,19.36,18.84,19.25,11464228
"2011-10-13",20.6,20.82,20.42,20.54,12750290
"2011-10-20",20.46,20.82,20.32,20.5,9321978
"2011-10-27",21.24,21.72,21,21.54,12135426
"2011-11-03",20.76,20.91,20.28,20.7,21705440
"2011-11-10",21.6,21.86,21.33,21.76,14787282
"2011-11-17",21.38,21.51,20.82,21.02,13518988
"2011-12-01",21.6,21.86,21.6,21.8,8343582
"2011-12-08",21.72,22,21.39,21.43,9878706
"2011-12-15",21.68,21.86,21.58,21.7,10743164
"2011-12-22",22.6,22.63,22.33,22.5,7897856
"2011-12-29",23.04,23.25,22.96,23.22,7664282
"2012-01-05",23.1,23.2,22.78,23.18,9732780
"2012-01-12",23.66,23.82,23.52,23.8,8973490
"2012-01-19",23.99,24.02,23.85,24.01,10556438
"2012-01-26",24.03,24.24,23.53,24.17,24982008
"2012-02-02",24.12,24.24,23.7,23.83,11979514
"2012-02-09",24.43,24.68,24.38,24.6,9513432
"2012-02-16",24.18,24.4,24.16,24.26,9766234
"2012-02-23",24.17,24.28,24,24.23,8253706
"2012-03-01",24.34,24.54,24.24,24.36,8672896
"2012-03-08",24.82,25.38,24.82,25.18,16631406
"2012-03-15",26.42,26.56,26.34,26.54,12638956
"2012-03-22",26.84,27.62,26.82,27.6,21405016
"2012-03-29",27.8,27.94,27.31,27.86,13402322
"2012-04-05",28.56,29.24,28.54,29.09,16360544
"2012-04-12",29.72,30.32,29.51,30.31,24418020
"2012-04-19",30.2,30.22,29.29,29.4,18577208
"2012-04-26",29.92,30.58,29.7,30.33,29879250
"2012-05-03",28.77,28.83,28.31,28.32,16409112
"2012-05-10",27.36,27.78,27.24,27.42,15112160
"2012-05-17",26.6,26.6,25.82,25.84,17965532
"2012-05-24",27.91,28.2,26.96,27.38,20238076
"2012-05-31",27.42,27.54,26.96,27.44,15056100
"2012-06-07",27.04,27.19,26.64,26.72,14477040
"2012-06-14",25.72,26.24,25.55,26.16,16010936
"2012-06-21",27.91,27.98,27,27.04,12380384
"2012-06-28",26.26,26.3,25.62,26.04,15652092
"2012-07-05",26.02,26.4,25.98,26.2,8752260
"2012-07-12",25.8,26.48,25.72,26.34,10980614
"2012-07-19",26.66,27.14,26.45,27.1,10426380
"2012-07-26",25.86,26.44,25.69,26.2,28380380
"2012-08-02",21.8,22.09,21.52,21.58,30760630
"2012-08-09",22.8,22.83,22.52,22.56,18179676
"2012-08-16",24.07,24.31,23.82,24.2,19389376
"2012-08-23",24.07,24.2,23.91,23.95,13075746
"2012-08-30",24.72,25,24.7,24.86,15918260
"2012-09-06",25.13,25.5,25.05,25.42,11364700
"2012-09-13",25.58,25.92,25.44,25.86,11352718
"2012-09-20",24.9,25.6,24.82,25.6,18044832
"2012-09-27",25.16,25.54,25,25.52,11754396
"2012-10-04",24.94,24.96,24.38,24.55,24816980
"2012-10-11",23.6,23.76,23.44,23.58,17288698
"2012-10-18",24.22,24.28,23.6,23.7,19688146
"2012-10-25",23.04,23.44,22.96,23.12,23510042
"2012-11-01",22.87,23.37,22.7,23.31,25082372
"2012-11-08",25.82,25.87,25.42,25.43,15437914
