"","SCG.Open","SCG.High","SCG.Low","SCG.Close","SCG.Volume"
"2011-09-15",39.61,39.88,39.3,39.7,659393
"2011-09-22",39.09,39.5,38.65,39.36,1346767
"2011-09-29",40.43,40.94,40.25,40.8,656379
"2011-10-06",39.38,40.18,39.32,40.17,499244
"2011-10-13",40.49,40.92,40.33,40.85,378885
"2011-10-20",41.7,42.11,41.63,41.91,692325
"2011-10-27",42.62,43.13,42.44,42.53,1152183
"2011-11-03",42.17,42.88,42.07,42.8,671342
"2011-11-10",42.17,42.34,41.76,42.19,515757
"2011-11-17",42.51,42.77,41.99,42.36,918661
"2011-12-01",43.61,43.88,43.37,43.43,664040
"2011-12-08",43.23,43.26,42.38,42.47,1034257
"2011-12-15",42.85,43.11,42.66,42.97,862424
"2011-12-22",44.48,44.57,44.29,44.46,485707
"2011-12-29",45.04,45.38,44.98,45.34,360228
"2012-01-05",44,44.13,43.75,43.94,903671
"2012-01-12",44.25,44.34,43.99,44.17,359120
"2012-01-19",44.85,44.94,44.54,44.64,1054452
"2012-01-26",45.25,45.25,44.82,45.01,579153
"2012-02-02",45.3,45.39,44.95,45,520150
"2012-02-09",45.81,45.81,45.31,45.49,413526
"2012-02-16",44.7,44.95,44.57,44.78,1099879
"2012-02-23",45.16,45.37,45.01,45.18,1845904
"2012-03-01",44.99,45.17,44.53,44.73,723405
"2012-03-08",44.6,44.69,44.35,44.59,390098
"2012-03-15",45.07,45.07,44.5,44.88,423030
"2012-03-22",44.25,44.66,44.24,44.54,521364
"2012-03-29",45.27,45.65,44.78,45.65,771525
"2012-04-05",45.09,45.16,44.75,45.05,405033
"2012-04-12",43.99,44.4,43.8,44.4,551153
"2012-04-19",44.88,45.07,44.61,44.86,455714
"2012-04-26",45.6,45.92,45.35,45.85,372598
"2012-05-03",45.74,46.47,45.51,45.87,601500
"2012-05-10",46.16,46.7,46.04,46.61,648340
"2012-05-17",46.33,46.33,45.95,46.07,525162
"2012-05-24",46.14,46.54,46.03,46.4,378566
"2012-05-31",46.5,47.22,46.5,46.95,652626
"2012-06-07",47.18,47.28,46.87,47.09,912498
"2012-06-14",47.68,47.87,47.59,47.85,563395
"2012-06-21",47.42,47.68,46.65,46.73,828006
"2012-06-28",47.04,47.48,46.71,47.42,685970
"2012-07-05",48.31,48.4,47.99,48.09,425694
"2012-07-12",48.23,48.39,48.07,48.28,404008
"2012-07-19",48.53,48.78,48.11,48.62,437698
"2012-07-26",48.28,48.63,48.22,48.51,414751
"2012-08-02",48.7,48.87,48,48.57,518888
"2012-08-09",48.58,48.77,48.45,48.63,343158
"2012-08-16",48.71,48.91,48.53,48.6,464651
"2012-08-23",48.12,48.16,47.56,47.59,300852
"2012-08-30",47.61,47.64,47.26,47.38,342445
"2012-09-06",47.85,48.47,47.76,48.43,770398
"2012-09-13",48.07,48.99,48.03,48.97,695746
"2012-09-20",48.48,48.74,48.3,48.49,702987
"2012-09-27",48.82,48.82,48.09,48.13,637521
"2012-10-04",48.7,48.99,48.53,48.85,399556
"2012-10-11",48.81,48.81,48.47,48.51,262508
"2012-10-18",49.4,49.59,49.33,49.52,334012
"2012-10-25",48.25,48.6,48,48.6,429353
"2012-11-01",49.24,49.29,48.86,48.99,439484
"2012-11-08",46.9,47.17,46.6,46.6,614957
"2012-11-15",45.91,46.17,45.25,45.51,624068
"2012-11-29",45.78,46.06,45.67,45.81,1189390
"2012-12-06",46.08,46.12,45.64,45.78,570188
"2012-12-13",46.12,46.13,45.78,45.86,441650
"2012-12-20",46.33,46.54,46.17,46.43,358836
"2012-12-27",45.6,45.83,45.02,45.62,517348
"2013-01-03",46.8,46.98,46.45,46.63,607998
"2013-01-10",46.46,46.69,46.01,46.52,690107
"2013-01-17",46.09,46.13,45.83,45.84,652921
"2013-01-24",46.56,46.78,46.49,46.64,368843
"2013-01-31",46.45,46.86,46.45,46.81,679141
"2013-02-07",47.17,47.38,46.79,47,610078
"2013-02-14",47.76,47.99,47.58,47.86,694409
"2013-02-21",48.75,49.25,48.25,48.54,645306
"2013-02-28",48.92,49.11,48.72,48.84,700908
"2013-03-07",49.23,49.29,48.82,48.86,559676
"2013-03-14",49.43,49.53,49.26,49.47,450697
"2013-03-21",49.37,49.65,49.22,49.46,396634
"2013-03-28",50.25,51.23,50.25,51.16,654581
"2013-04-04",51.47,51.87,51.34,51.82,566430
"2013-04-11",52.09,52.25,51.97,52.19,482832
"2013-04-18",51.76,52,51.6,51.9,565817
"2013-04-25",53.08,53.67,52.79,53.29,655858
"2013-05-02",53.91,54.06,53.51,53.68,402415
"2013-05-09",53.17,53.24,52.04,52.16,576253
"2013-05-16",53.23,53.43,52.82,52.92,298945
"2013-05-23",52.05,52.08,51.09,51.87,694532
"2013-05-30",50.57,51.38,50.57,50.96,1170080
"2013-06-06",49.12,49.65,48.84,49.65,700902
"2013-06-13",48.58,49.55,48.51,49.46,618977
"2013-06-20",48.3,48.3,47.4,47.5,1004262
"2013-06-27",49.05,49.53,48.74,48.84,1024806
"2013-07-11",50.71,50.94,50.44,50.89,473247
"2013-07-18",51.76,52.46,51.49,52.36,423356
"2013-07-25",51.88,52.33,51.78,52.27,286915
"2013-08-01",52.22,52.91,51.91,52.34,641035
"2013-08-08",51.35,51.67,51.01,51.57,488088
"2013-08-15",50.14,50.25,49.61,49.65,394104
"2013-08-22",48.22,48.76,48.1,48.53,323034
"2013-08-29",48.32,48.52,48.03,48.2,340204
"2013-09-05",47,47.06,46.45,46.49,593219
