"","SCHW.Open","SCHW.High","SCHW.Low","SCHW.Close","SCHW.Volume"
"2011-09-15",11.94,12.28,11.88,12.25,12407597
"2011-09-22",10.91,11.21,10.83,11.03,18419196
"2011-09-29",11.54,11.7,11.24,11.63,10874887
"2011-10-06",11.68,12.05,11.48,12.04,10886046
"2011-10-13",12.46,12.71,12.3,12.65,19392518
"2011-10-20",11.99,12.06,11.7,12,10704737
"2011-10-27",12.79,13.47,12.72,12.84,21774112
"2011-11-03",12.36,12.97,11.94,12.9,21135244
"2011-11-10",12.11,12.22,11.9,12.1,12300481
"2011-11-17",11.65,11.71,11.34,11.39,15966205
"2011-12-01",11.88,11.98,11.67,11.93,9597892
"2011-12-08",11.98,12.17,11.63,11.68,13293547
"2011-12-15",11.12,11.21,10.85,10.87,12479881
"2011-12-22",11.2,11.5,11.19,11.44,11009044
"2011-12-29",11.28,11.42,11.23,11.3,10760282
"2012-01-05",11.63,12.08,11.43,11.92,12235360
"2012-01-12",12.49,12.55,12.1,12.47,8354846
"2012-01-19",12.08,12.6,12.05,12.46,12484492
"2012-01-26",11.85,12.06,11.52,11.61,26383313
"2012-02-02",11.93,12.29,11.87,12.12,34059761
"2012-02-09",12.47,12.53,12.31,12.36,10985035
"2012-02-16",12.32,12.77,12.28,12.74,12599236
"2012-02-23",12.74,13.26,12.68,13.21,16033556
"2012-03-01",13.96,14,13.83,13.91,12307480
"2012-03-08",14,14.15,13.67,13.92,8134265
"2012-03-15",14.67,15.4,14.63,15.3,23167772
"2012-03-22",15.23,15.23,14.69,14.88,18577230
"2012-03-29",14.42,14.44,14.17,14.27,24678468
"2012-04-05",14.35,14.5,14.22,14.25,16685102
"2012-04-12",13.92,14.29,13.79,14.24,10942420
"2012-04-19",14.03,14.14,13.81,13.98,15173170
"2012-04-26",14.06,14.4,14.01,14.34,10498863
"2012-05-03",13.71,13.83,13.57,13.7,10791274
"2012-05-10",13.24,13.32,13.01,13.04,7794005
"2012-05-17",12.74,12.77,12.57,12.57,15883031
"2012-05-24",12.69,12.75,12.48,12.63,10920699
"2012-05-31",12.49,12.6,12.12,12.46,18109832
"2012-06-07",12.49,12.59,12.25,12.25,11849857
"2012-06-14",12.12,12.41,12.12,12.36,8017888
"2012-06-21",12.74,12.81,12.24,12.25,9273989
"2012-06-28",12.35,12.56,12.25,12.54,7927687
"2012-07-05",12.97,12.98,12.78,12.82,5493785
"2012-07-12",12.5,12.51,12.27,12.39,6670724
"2012-07-19",13.04,13.09,12.88,12.93,9934727
"2012-07-26",12.54,12.68,12.42,12.62,7569782
"2012-08-02",12.34,12.51,11.99,12.22,9950036
"2012-08-09",12.98,13.18,12.95,13.01,5281858
"2012-08-16",13.07,13.36,13.02,13.31,7914121
"2012-08-23",13.19,13.3,12.92,13,8938728
"2012-08-30",13.27,13.49,13.2,13.42,9157100
"2012-09-06",13.42,13.96,13.41,13.96,11952158
"2012-09-13",14.03,14.43,13.81,14.31,14255262
"2012-09-20",13.55,13.67,13.28,13.44,16345644
"2012-09-27",13.02,13.06,12.77,12.88,11217108
"2012-10-04",12.82,13.09,12.8,13.09,8074878
"2012-10-11",13.1,13.24,13.04,13.17,7038372
"2012-10-18",13.62,13.76,13.5,13.64,10833384
"2012-10-25",13.41,13.53,13.35,13.51,9794182
"2012-11-01",13.58,13.65,13.5,13.64,9765516
"2012-11-08",13.3,13.43,13.19,13.2,16768675
"2012-11-15",12.54,12.78,12.47,12.73,16890737
"2012-11-29",13.16,13.27,13.03,13.09,8294606
"2012-12-06",13,13.07,12.88,13.06,5773245
"2012-12-13",13.68,13.82,13.63,13.75,8083032
"2012-12-20",14.51,14.56,14.27,14.46,9180756
"2012-12-27",14.26,14.33,14,14.21,6928676
"2013-01-03",15.05,15.2,14.86,15.06,14175836
"2013-01-10",15.25,15.37,15.14,15.33,7617394
"2013-01-17",15.17,15.3,15.09,15.25,11581791
"2013-01-24",15.67,15.87,15.66,15.81,7063631
"2013-01-31",16.49,16.66,16.31,16.53,10938597
"2013-02-07",16.76,17.41,16.49,17.11,33838289
"2013-02-14",16.85,16.96,16.74,16.92,6410431
"2013-02-21",16.67,16.68,16.29,16.37,9662897
"2013-02-28",16.43,16.46,16.24,16.24,11228572
"2013-03-07",17.34,17.75,17.28,17.58,10577908
"2013-03-14",18,18.34,17.78,17.98,14602252
"2013-03-21",17.65,17.78,17.42,17.46,8813029
"2013-03-28",17.55,17.75,17.48,17.69,7340755
"2013-04-04",16.76,16.8,16.51,16.72,11525852
"2013-04-11",17.41,17.69,17.37,17.54,8366309
"2013-04-18",16.48,16.49,16.2,16.39,8209031
"2013-04-25",16.7,17.1,16.66,16.75,9933121
"2013-05-02",16.22,16.53,16.05,16.44,8795494
"2013-05-09",17.34,17.83,17.31,17.51,8976483
"2013-05-16",18.95,19.25,18.84,18.91,13190632
"2013-05-23",18.94,19.14,18.69,18.99,9058493
"2013-05-30",19.93,20.27,19.73,20.16,10362197
"2013-06-06",19.02,19.47,18.99,19.46,9388609
"2013-06-13",19.57,20.15,19.55,20.04,15373207
"2013-06-20",20.2,20.95,20.16,20.48,20961084
"2013-06-27",21.13,21.2,20.91,20.94,18328538
"2013-07-11",22.29,22.29,21.22,21.47,18628261
"2013-07-18",20.9,21.48,20.87,21.46,9384735
"2013-07-25",22.05,22.3,21.99,22.28,5338193
"2013-08-01",22.26,22.79,22.26,22.67,10167011
"2013-08-08",22.63,22.79,22.3,22.31,5701221
"2013-08-15",21.84,21.84,21.25,21.4,10916832
"2013-08-22",21.5,21.64,21.29,21.44,5579831
"2013-08-29",20.93,21.45,20.89,21.29,5206766
"2013-09-05",21.9,22.25,21.79,21.84,6622522
"2013-09-12",22.19,22.26,22.06,22.07,6945227
