"","SEE.Open","SEE.High","SEE.Low","SEE.Close","SEE.Volume"
"2011-09-15",18.46,19.15,18.29,19.06,4720979
"2011-09-22",17.49,17.69,16.91,17.21,2760711
"2011-09-29",17.56,17.74,17.04,17.45,1975706
"2011-10-06",16.45,16.92,16.27,16.9,1979793
"2011-10-13",17.49,17.66,17.25,17.51,2041920
"2011-10-20",16.95,17.12,16.49,17.02,2121033
"2011-10-27",18.22,18.65,18.03,18.18,5846333
"2011-11-03",17.99,18.07,17.71,17.8,4910974
"2011-11-10",17.7,17.78,17.35,17.61,2428904
"2011-11-17",17.34,17.36,16.69,16.85,3147753
"2011-12-01",17.56,17.75,17.48,17.63,1775441
"2011-12-08",18.58,18.64,17.86,17.9,2671455
"2011-12-15",17.24,17.36,17.08,17.21,1421473
"2011-12-22",16.85,17.06,16.68,17.04,4566903
"2011-12-29",16.95,17.13,16.91,17.06,2204053
"2012-01-05",17.39,17.47,17.26,17.39,2078020
"2012-01-12",17.68,18.1,17.52,18.03,2312004
"2012-01-19",19.13,19.41,18.99,19.33,2529473
"2012-01-26",20.16,20.3,19.92,20.03,2520274
"2012-02-02",20.32,20.32,19.93,20.02,1368293
"2012-02-09",20.76,21.5,20.37,20.76,3899699
"2012-02-16",19.79,20.75,19.73,20.59,5683161
"2012-02-23",19.85,20.13,19.62,19.93,3235066
"2012-03-01",19.65,19.91,19.52,19.72,2390627
"2012-03-08",19.69,19.81,19.42,19.46,2802222
"2012-03-15",19.88,20.1,19.68,20.07,3200727
"2012-03-22",19.75,19.9,19.5,19.66,1716062
"2012-03-29",19.39,19.54,19.32,19.46,1290241
"2012-04-05",19.88,19.89,19.43,19.43,4072600
"2012-04-12",18.36,18.78,18.32,18.77,2013134
"2012-04-19",19.11,19.33,18.99,19.12,1122287
"2012-04-26",18.89,19.17,18.89,19.17,1543213
"2012-05-03",19.04,19.06,18.16,18.31,5095992
"2012-05-10",18.34,18.43,18.06,18.12,3414622
"2012-05-17",16.92,16.97,16.24,16.26,3173993
"2012-05-24",16.3,16.35,15.84,16.08,1844669
"2012-05-31",15.71,15.77,15.44,15.65,2289213
"2012-06-07",15.92,16,15.51,15.54,1393251
"2012-06-14",15.35,15.58,15.29,15.52,1446555
"2012-06-21",15.82,15.85,15.34,15.44,1957973
"2012-06-28",14.83,15.05,14.79,14.95,3921476
"2012-07-05",15.95,16.1,15.8,15.95,2451239
"2012-07-12",15.38,15.42,15.07,15.08,2023993
"2012-07-19",15.48,15.71,15.4,15.67,2308640
