"","SHW.Open","SHW.High","SHW.Low","SHW.Close","SHW.Volume"
"2011-09-15",76.62,76.81,75.31,75.7,1688463
"2011-09-22",69.74,71.16,69.52,69.99,2249034
"2011-09-29",77.59,77.86,74.95,76.3,1776694
"2011-10-06",79.15,80.8,78.59,79.78,1585166
"2011-10-13",79.59,79.85,78.57,79.54,736453
"2011-10-20",77.86,79.75,77.52,79.52,1366640
"2011-10-27",83.94,84.05,82.36,82.67,2201320
"2011-11-03",84,86.18,83.44,85.87,1552627
"2011-11-10",85.7,86.49,85.08,85.88,824290
"2011-11-17",84.91,85.01,83.14,83.98,1047212
"2011-12-01",86.39,86.68,85.5,86,715293
"2011-12-08",86.05,86.47,85.32,85.54,848541
"2011-12-15",83.96,84.14,82.35,83.85,820942
"2011-12-22",87.42,88.87,86.95,88.52,814254
"2011-12-29",89.42,89.75,89.18,89.64,394737
"2012-01-05",91.2,92.76,90.98,92.64,1373331
"2012-01-12",95.57,96.38,94.88,96.33,768290
"2012-01-19",96.04,97.95,94.3,97.27,1198939
"2012-01-26",96.53,99.6,95.25,98.03,2669046
"2012-02-02",97.56,97.88,96.82,96.9,988832
"2012-02-09",99.08,99.73,98.48,99.5,704256
"2012-02-16",99.1,99.99,98.9,99.74,549824
"2012-02-23",99.62,100.99,99.1,100.96,891883
"2012-03-01",103.24,103.62,102.82,103.56,772868
"2012-03-08",106.49,106.49,104.83,105.45,1802980
"2012-03-15",107.39,107.91,106.57,107.86,928221
"2012-03-22",106.72,107.52,106.21,107.27,743757
"2012-03-29",108,109.29,107.96,109.21,1051544
"2012-04-05",110.53,114.44,110.53,110.77,2398104
"2012-04-12",114.91,116,113.7,115.58,1337571
"2012-04-19",117.27,118.02,114.81,116.73,1056913
"2012-04-26",120,121.59,119.42,120.45,1194376
"2012-05-03",121.77,123.27,121.3,121.9,1058371
"2012-05-10",124.45,125.2,122.72,122.97,1899897
"2012-05-17",118.23,118.23,114.68,115.57,1899552
"2012-05-24",124.51,125.52,123.71,125.33,1825365
"2012-05-31",127.79,130.25,126.26,129.64,1435914
"2012-06-07",129.48,131.44,129.13,130.07,1611754
"2012-06-14",130.3,130.96,128,129.32,1899659
"2012-06-21",130.5,130.62,126.18,126.39,1594276
"2012-06-28",128.75,130.36,127.43,130.15,1182749
"2012-07-05",132.25,133.42,131.37,132.99,745465
"2012-07-12",127.78,129.57,126.73,128.85,1006385
"2012-07-19",123.5,132.51,122.79,132.43,4730971
"2012-07-26",131.28,133.9,131.2,133.17,1660351
"2012-08-02",133.01,134.73,132.29,134.37,583870
"2012-08-09",140.96,142.29,140.17,141.13,1370147
"2012-08-16",138.36,139.6,138.34,139.13,1112077
"2012-08-23",139.29,140.93,138.74,139.81,747379
"2012-08-30",144.36,144.39,142,142,780367
"2012-09-06",143,144.66,142.31,144.16,648605
"2012-09-13",144.24,146.4,142.75,145.69,824235
"2012-09-20",148.77,148.92,147.27,148.09,676754
"2012-09-27",146.6,149.51,146.5,148.73,701147
"2012-10-04",153.66,155.9,152.81,154.36,1167351
"2012-10-11",151.24,152.22,148.77,149.29,531341
"2012-10-18",153.6,154.48,152.05,153.03,798443
"2012-10-25",148.85,149.92,138.99,140,3816930
"2012-11-01",142.99,144.41,141.76,143.59,922737
"2012-11-08",143.56,144.03,141.92,141.97,672181
"2012-11-15",149.28,151.08,147.21,148.91,1190529
"2012-11-29",157.14,157.14,153.48,153.68,1639187
"2012-12-06",150.01,151.46,148.46,151.22,933702
"2012-12-13",147.63,149.67,146.49,147.27,896970
"2012-12-20",150.3,152.44,148.87,152.42,1103513
"2012-12-27",152.99,153.19,150.33,152.73,611629
"2013-01-03",156.67,158.47,154.8,155.14,945934
"2013-01-10",162.5,162.58,160.35,162.36,980090
"2013-01-17",162.17,163.09,161.97,162.84,522007
"2013-01-24",165,167.24,164.82,165.79,916196
"2013-01-31",160.25,164.74,159.81,162.14,1840030
"2013-02-07",162.77,163.37,160.75,162.89,538839
"2013-02-14",165.17,165.49,163.14,163.67,694385
"2013-02-21",158.5,158.77,154.67,155.91,1239404
"2013-02-28",161.23,163.46,161.1,161.59,1450097
"2013-03-07",164.14,165.49,163.92,164.84,508457
"2013-03-14",169.55,171.25,168.66,169.07,814264
"2013-03-21",171.13,171.99,168.87,168.91,624048
"2013-03-28",169.2,170,168.03,168.89,547828
"2013-04-04",165.34,166.45,164.2,165.62,530562
"2013-04-11",168.17,171.64,167.64,171.02,752437
"2013-04-18",169.99,177.01,168.61,174.88,1886117
"2013-04-25",182.1,184.78,181.7,184.23,894088
"2013-05-02",181.92,184.69,181.77,184.13,491541
"2013-05-09",189.79,190.14,188.34,188.4,649169
"2013-05-16",193.23,193.23,189.47,189.98,627123
"2013-05-23",185.41,188.12,184.17,186.08,561825
"2013-05-30",190.3,192.3,190.1,190.94,596004
"2013-06-06",178.54,181.58,178.12,181.49,697489
"2013-06-13",178.21,184.79,177.5,184.48,499793
"2013-06-20",179.5,181.41,175.62,175.9,875679
"2013-06-27",179.14,180.11,176.87,179.18,700556
"2013-07-11",188.72,188.72,186.11,186.88,775105
"2013-07-18",164.75,172.82,163.63,167.94,5805431
"2013-07-25",171.26,174.4,170.81,172.94,1365299
"2013-08-01",174.35,177.04,174.35,176.43,640325
"2013-08-08",175.83,177.72,175.4,177.15,551194
"2013-08-15",169.35,169.53,166.51,168.98,1253543
"2013-08-22",171.19,172.46,169.76,171.91,368466
"2013-08-29",168.94,172.21,168.4,172.05,646433
"2013-09-05",173.29,176.16,173.29,174.36,545566
"2013-09-12",176.3,177.14,174.36,174.63,368573
"2013-09-19",182,184.47,181.25,181.58,1023930
"2013-09-26",180,182.78,179.85,182.53,466373
"2013-10-03",183.54,184.84,182.09,182.92,504083
"2013-10-10",178.01,179.3,177.05,179.29,730559
"2013-10-17",181.17,185.97,181.17,185,575292
"2013-10-24",184.93,187.25,183.85,187,1389089
"2013-10-31",188.47,189.01,185.35,188,764916
"2013-11-07",185.3,186.21,180.44,181.02,669683
"2013-11-14",181.6,187.1,181.6,187.01,562893
"2013-11-21",184.98,186.67,184.4,186.58,402130
"2013-12-05",180.2,182.71,180.04,181.73,533975
"2013-12-12",179.77,180,177.67,179.44,1061958
"2013-12-19",179.93,180.66,178.54,180.15,442675
"2013-12-26",183.34,183.51,182.21,182.82,200731
"2014-01-02",182.03,183,180.69,182.41,515691
"2014-01-09",189.6,189.93,188.07,188.87,681404
"2014-01-16",192.52,194.25,192.08,193.51,415657
"2014-01-23",195.78,196.97,194.56,195.12,677410
"2014-01-30",183.99,186.71,181.59,183.74,1610769
"2014-02-06",176.38,179.23,175.45,179.19,1070556
"2014-02-13",185.77,190.57,185.05,190.42,1047398
"2014-02-20",193.85,194.91,192.54,193.4,836084
"2014-02-27",197.67,199.49,197.21,198.82,634871
"2014-03-06",203.31,204.89,202.18,203,604011
"2014-03-13",205.02,206.19,201.76,202.19,472895
"2014-03-20",201.3,202.61,200.2,202.12,475623
"2014-03-27",195.77,195.77,192.52,194.21,540497
"2014-04-03",200.77,202.98,199.28,200.5,665652
"2014-04-10",194.37,195.36,189.69,190.03,567099
"2014-04-17",194,200,193.3,197.59,1405728
"2014-04-24",203.62,203.93,200.37,201.04,667386
"2014-05-01",199.5,200.39,198.63,199.89,435702
"2014-05-08",199.32,199.89,196.68,197.46,677582
"2014-05-15",198.43,199.07,195.85,198.35,496062
"2014-05-22",200.29,201.48,199.65,200.44,338828
"2014-05-29",202.72,203.6,201.76,203.37,380699
"2014-06-05",203.89,204.74,201.5,203.95,386710
"2014-06-12",203.11,204.42,201.66,202.22,393883
"2014-06-19",203.26,203.62,202.64,203.32,326648
"2014-06-26",205.95,205.95,203.61,205.29,356151
"2014-07-03",206.98,207.68,206.47,207.46,197292
"2014-07-10",202.91,202.91,201.85,202.28,658794
"2014-07-17",209.14,211.37,205.6,210.95,1656532
"2014-07-24",215.05,215.05,213.18,213.47,544107
"2014-07-31",209.78,209.87,206.05,206.23,595792
"2014-08-07",208.13,208.33,205.27,205.85,748907
"2014-08-14",212.54,212.83,210.98,211.81,420701
"2014-08-21",215.45,217.85,215.29,217.25,482117
"2014-08-28",216.55,219.21,216,218.13,277938
"2014-09-04",217.13,218.77,216.9,217.45,283733
"2014-09-11",216.45,218.21,216.12,218.04,388769
"2014-09-18",217.98,220.47,217.65,219.86,441775
"2014-09-25",220.11,220.98,218.36,218.37,402776
"2014-10-02",213.72,214.99,211.36,214.51,449898
"2014-10-09",216.79,217.31,213.99,214.01,667281
"2014-10-16",206.26,212.49,206.26,211.59,549276
"2014-10-23",228.3,228.64,225.31,225.81,822699
"2014-10-30",221.47,226.48,221.47,225.16,901805
"2014-11-06",230.19,233.77,229,233.22,643232
"2014-11-13",239.13,240.36,237.51,239.63,606990
