"","SLB.Open","SLB.High","SLB.Low","SLB.Close","SLB.Volume"
"2011-09-15",74.31,74.59,72.84,74.22,8775416
"2011-09-22",62.54,63.2,59.88,61.22,24608618
"2011-09-29",62.19,62.68,60.03,61.33,12356382
"2011-10-06",62.51,64.25,61.02,63.89,14736597
"2011-10-13",67,67.58,65.74,67.2,10978544
"2011-10-20",68,68.81,66.5,67.99,13141771
"2011-10-27",72.76,76.56,72.76,74.54,18201405
"2011-11-03",73.81,76.2,73.13,75.93,11993837
"2011-11-10",74.34,74.88,72.82,74.05,7601107
"2011-11-17",74.68,74.97,70.89,71.71,12046341
"2011-12-01",75.16,76.05,74.25,74.87,7551388
"2011-12-08",74.24,75.35,71.65,71.95,12316807
"2011-12-15",68.08,68.48,66.18,66.33,8450452
"2011-12-22",68.4,68.4,66.72,67.93,8722996
"2011-12-29",67.07,67.74,67,67.41,4690818
"2012-01-05",68.98,69.07,67.14,68.07,10804250
"2012-01-12",70.58,71.49,68.19,69.7,8774953
"2012-01-19",71.22,73,71.22,72.86,12787412
"2012-01-26",77.04,77.75,75.8,75.98,7840005
"2012-02-02",76.25,77.45,75.97,77.31,7419872
"2012-02-09",78.81,78.94,77.73,78.64,7369971
"2012-02-16",77.12,78.29,76.5,78.06,10820206
"2012-02-23",80.4,80.4,78.56,79.59,7400012
"2012-03-01",78.14,78.89,77.4,78.37,6116915
"2012-03-08",75.21,76.34,75.02,75.82,6017799
"2012-03-15",74.17,75.06,73.26,74.92,6749168
"2012-03-22",73.02,73.11,71.12,71.98,15867104
"2012-03-29",69.33,70.46,68.33,69.14,11229670
"2012-04-05",68.54,69.4,68.28,68.42,7971254
"2012-04-12",68.46,70.42,68.13,70.34,9136808
"2012-04-19",70.12,71.25,69.37,69.8,9068361
"2012-04-26",73.86,74.72,73.27,74.25,7062176
"2012-05-03",74.2,74.29,72.18,72.61,6814234
"2012-05-10",70.5,71.18,69.2,69.44,5869536
"2012-05-17",64.54,65.65,64.15,64.75,9274674
"2012-05-24",67.58,67.65,65.11,65.85,8848544
"2012-05-31",63.81,64.01,61.23,63.25,15050933
"2012-06-07",65.77,66.5,64.1,64.43,8169609
"2012-06-14",64.13,65.59,63.84,65.38,5945797
"2012-06-21",65.2,65.47,62.43,62.56,9461155
"2012-06-28",61.48,62.88,61.21,62.72,8758202
"2012-07-05",67.05,67.14,65.85,66.1,5128163
"2012-07-12",64.82,65.74,64.19,65.39,5837234
"2012-07-19",68.87,69.39,68.27,68.64,8951723
"2012-07-26",70.01,71.67,69.34,71.31,10057718
"2012-08-02",70.45,71.54,69.85,70.83,6358468
"2012-08-09",73.46,74.4,73.1,74.33,5763263
"2012-08-16",74.02,75.11,73.56,74.98,5303473
"2012-08-23",74.71,74.87,73.85,74.19,4871093
"2012-08-30",72.5,72.5,71.47,71.6,6167299
"2012-09-06",71.87,73.63,71.86,72.46,8041077
"2012-09-13",74.51,75.96,74.24,75.67,6425620
"2012-09-20",74.32,75.28,73.75,75.23,6961953
"2012-09-27",72.49,73.53,72.02,73.24,6132134
"2012-10-04",71.66,71.96,71.21,71.67,5122014
"2012-10-11",72.22,72.84,72,72.42,4533946
"2012-10-18",74.55,75.09,74.05,74.8,6578578
"2012-10-25",71,71.33,70.01,70.74,6077727
"2012-11-01",69.77,70.25,68.6,70.15,6533813
"2012-11-08",69.95,70.29,67.7,67.77,10201068
"2012-11-15",67.8,69.45,67.69,69.16,7414654
"2012-11-29",70.96,71.35,70.39,70.6,4465603
"2012-12-06",71.11,71.61,70.71,71.5,4154298
"2012-12-13",72.04,72.99,72.04,72.56,7116650
"2012-12-20",70.14,71.53,70,71.1,5974104
"2012-12-27",69.09,69.29,68.26,69.17,5283222
"2013-01-03",71.25,72,70.66,70.92,6062950
"2013-01-10",72.7,73.25,72.54,73.25,5591138
"2013-01-17",73.46,73.96,72.54,73.37,6510984
"2013-01-24",78.16,78.87,77.76,78.02,7167094
"2013-01-31",78.44,78.79,77.55,78.05,5752199
"2013-02-07",78.86,79.21,77.82,78,6101369
"2013-02-14",78.51,82,78.14,81.56,11691795
"2013-02-21",77.97,77.97,76.55,77.43,5789402
"2013-02-28",77.82,78.58,77.47,77.85,5398257
"2013-03-07",77.2,78,77.1,77.82,3621248
"2013-03-14",77.84,78.94,77.58,78.75,5634708
"2013-03-21",73.32,74.01,73.25,73.44,6694441
"2013-03-28",74.97,75.64,74.5,74.89,7270043
"2013-04-04",73.91,74.32,73.41,73.94,5457277
"2013-04-11",77.19,77.56,76.52,77.14,5097829
