"","SNA.Open","SNA.High","SNA.Low","SNA.Close","SNA.Volume"
"2011-09-15",51.4,51.94,50.74,51.75,342326
"2011-09-22",46,46.14,44.45,44.77,694273
"2011-09-29",47.22,47.6,44.81,45.97,561667
"2011-10-06",44.95,46.37,44.64,46.19,410793
"2011-10-13",48.22,48.56,47.57,48.45,189259
"2011-10-20",49.4,49.65,47.96,49.48,524056
"2011-10-27",54.08,55.65,53.61,54.91,525900
"2011-11-03",53.51,55.58,53.29,55.24,559109
"2011-11-10",54.5,54.65,53.78,54.14,216258
"2011-11-17",54.24,54.24,52.39,52.75,533479
"2011-12-01",51.05,51.93,51.02,51.55,410290
"2011-12-08",51.37,51.57,50.08,50.21,326385
"2011-12-15",49.23,49.83,48.86,49.03,451020
"2011-12-22",51.95,53.04,51.9,52.07,380614
"2011-12-29",50.74,51.1,50.64,51.05,406177
"2012-01-05",50.75,51.92,50.18,51.8,472389
"2012-01-12",53.82,54.2,52.88,54.02,425597
"2012-01-19",54.07,54.54,53.63,54.29,651511
"2012-01-26",56.4,56.4,55.43,56.18,523284
"2012-02-02",58.48,58.65,56.52,58.19,584225
"2012-02-09",60.07,61.02,59.85,60.73,409829
"2012-02-16",60.66,62.01,60.57,61.99,317795
"2012-02-23",61.1,61.62,60.81,61.31,239768
"2012-03-01",60.95,62.03,60.95,61.2,356620
"2012-03-08",59.5,60.65,59.14,60.21,343566
"2012-03-15",61.35,62.2,61.04,62.18,292953
"2012-03-22",59.91,60.34,59.59,60.24,433349
"2012-03-29",60.69,61.22,60.2,61.07,245401
"2012-04-05",60.02,60.42,59.46,59.71,340369
"2012-04-12",58.78,60.09,58.74,59.75,244930
"2012-04-19",59.78,61.92,59.28,61.56,1120182
"2012-04-26",62.05,62.85,62.05,62.57,539183
"2012-05-03",62.82,63.12,62.58,62.79,453154
"2012-05-10",61.68,61.95,60.75,60.97,369423
"2012-05-17",59.77,60.18,58.2,58.22,451790
"2012-05-24",60.85,61,59.68,60.62,247036
"2012-05-31",60.14,60.91,59.53,60.51,1948821
"2012-06-07",61,62.5,60.97,61.72,477509
"2012-06-14",62.19,62.81,61.9,62.41,249929
"2012-06-21",63.55,63.69,61.63,61.95,319104
"2012-06-28",59.62,59.65,58.68,59.45,813454
"2012-07-05",62.34,62.68,62.18,62.52,348829
"2012-07-12",59.41,60.32,58.85,59.96,239933
"2012-07-19",62.05,67.62,61.06,67.24,1501454
"2012-07-26",68.21,69.98,68.21,69.18,1022775
"2012-08-02",66.16,66.49,64.75,65.91,500948
"2012-08-09",67.77,68.55,67.68,68.25,337989
"2012-08-16",68.09,69.99,68.01,69.86,293107
"2012-08-23",70.2,70.58,69.71,69.77,179708
"2012-08-30",68.93,69.79,68.54,69.39,315475
"2012-09-06",70.25,72.98,70.19,72.98,561882
"2012-09-13",72.37,72.83,71.67,72.63,205172
"2012-09-20",72.55,72.78,72.03,72.3,227491
"2012-09-27",70.67,71.25,70.22,71.22,213535
"2012-10-04",71.91,72.6,71.76,72.39,113311
"2012-10-11",72.09,72.33,71.6,71.84,243372
"2012-10-18",75.75,78.27,75.47,76.97,1121457
"2012-10-25",76.66,77.01,76.11,76.37,286534
"2012-11-01",76.79,79.54,76.79,79.17,325699
"2012-11-08",77.39,77.91,77.04,77.04,212728
"2012-11-15",74.4,75.04,74,74.15,487838
"2012-11-29",78.91,80.06,78.78,80.03,226373
"2012-12-06",78.27,79.15,77.79,78.53,190301
"2012-12-13",79.88,80.12,78.82,79,131490
"2012-12-20",78.99,79.13,78.47,79.13,291187
"2012-12-27",77.85,78.28,77.21,78.14,149681
"2013-01-03",80.9,81.21,80.22,80.58,407305
"2013-01-10",80.12,80.29,79.21,79.5,177085
"2013-01-17",80.67,81.31,80.63,80.89,275640
"2013-01-24",81.37,82.09,81.05,81.6,202586
"2013-01-31",81.43,81.64,80.74,81.02,261307
"2013-02-07",81.26,82.69,76.6,77.24,777134
"2013-02-14",78.87,80.53,78.47,79.17,477036
"2013-02-21",78.69,78.86,77.67,77.93,426095
"2013-02-28",79.43,80.78,79.43,80.27,437168
"2013-03-07",81.79,81.81,80.61,81.18,219486
"2013-03-14",81.26,81.71,81,81.36,178196
"2013-03-21",81.44,81.99,81.06,81.24,220435
"2013-03-28",81.69,82.84,81.35,82.7,204730
"2013-04-04",81.24,82.05,80.5,82.03,228513
"2013-04-11",84.65,85.5,84.16,85.25,300073
"2013-04-18",82.7,82.7,80.65,80.88,360118
"2013-04-25",84.6,85.88,84.09,85.09,306004
"2013-05-02",84.42,85.88,84.42,85.63,251742
"2013-05-09",89.19,89.95,88.82,89.03,155243
"2013-05-16",92.14,92.88,90.52,90.84,440640
"2013-05-23",89.83,90.63,89.66,90.35,367244
"2013-05-30",90.93,92.09,90.5,91.47,188225
"2013-06-06",90.17,91.11,89.58,90.73,254889
"2013-06-13",89.2,91.17,88.78,90.88,207469
"2013-06-20",90.15,90.63,88.77,89.01,364992
"2013-06-27",89.61,90.06,89.12,89.91,220016
"2013-07-11",93,94.07,92.87,93.41,301399
"2013-07-18",93.5,95.7,93.5,95,600331
"2013-07-25",94.51,95.03,93.7,94.67,204888
"2013-08-01",95.58,96.17,95.42,95.95,429488
"2013-08-08",95.77,96.2,95.38,96,189511
"2013-08-15",96.73,97.26,95.65,96.21,261151
"2013-08-22",95.35,96.78,95.22,95.84,316122
"2013-08-29",93.79,95.22,93.79,94.81,145324
"2013-09-05",94.77,96.53,94.77,96.08,281692
"2013-09-12",98.89,99.33,98.27,98.48,96343
"2013-09-19",100.14,101.67,99.65,100.98,409233
"2013-09-26",99.66,100.15,99.35,100.15,155799
"2013-10-03",99.9,100.34,98.3,99.11,184101
"2013-10-10",96.92,98.6,96.8,98.6,222457
"2013-10-17",100.01,100.76,99.05,100.4,1025526
"2013-10-24",101.46,101.79,101.04,101.39,337725
"2013-10-31",101.49,104.24,100.94,104.07,482493
"2013-11-07",105.02,105.64,103.47,103.84,239267
"2013-11-14",106.35,107.45,106.09,107,216724
"2013-11-21",104.76,106.16,104.71,105.93,111444
"2013-12-05",104.17,105.15,103.91,104.03,291443
"2013-12-12",103.52,103.7,102.89,103.19,306122
"2013-12-19",106.93,106.98,106.3,106.54,346805
"2013-12-26",108.6,109.24,108.39,108.88,102108
"2014-01-02",109.28,109.67,108.14,108.55,252505
"2014-01-09",108.09,108.49,107.11,107.5,260371
"2014-01-16",107.51,108.52,107.51,107.9,190899
"2014-01-23",105.01,105.32,103.53,103.81,349253
"2014-01-30",100.9,101.38,100.14,100.73,297073
"2014-02-06",100.1,105.24,100.1,105.13,784484
"2014-02-13",108.03,109.52,107.7,109.43,290772
"2014-02-20",108.36,109.26,107.82,108.99,268000
"2014-02-27",109.56,111.3,109.44,111.09,385433
"2014-03-06",113.08,113.78,112.77,113.42,232383
"2014-03-13",112.55,112.57,109.91,110.17,222706
"2014-03-20",111.7,112.5,111.34,112.45,152047
"2014-03-27",110.55,110.86,109.55,110.39,194745
"2014-04-03",114.18,114.37,113.16,113.8,256590
"2014-04-10",112.11,112.41,109.78,110.01,235159
"2014-04-17",113.75,116.17,112.82,115.94,404246
"2014-04-24",117.64,117.75,116.24,117.06,307539
"2014-05-01",115.84,116.17,114.99,116.01,459820
"2014-05-08",115.77,116.68,114.96,115.29,325072
"2014-05-15",115.12,115.12,112.7,113.96,357394
"2014-05-22",115.31,115.86,114.78,114.85,202683
"2014-05-29",116.82,117.22,116.19,117,284126
"2014-06-05",116.33,117.25,116.15,116.8,478364
"2014-06-12",117.68,117.84,116.48,116.66,139974
"2014-06-19",118.51,118.85,117.25,118.74,168405
"2014-06-26",118.01,118.35,116.82,118.27,180370
"2014-07-03",119.72,120.44,119.61,120.36,89650
"2014-07-10",117.43,118.43,117.36,117.84,144390
"2014-07-17",123,126.59,122.51,123.87,971290
"2014-07-24",123.59,123.76,122.63,123.53,423928
"2014-07-31",121.96,122.34,120.11,120.2,379334
"2014-08-07",119.71,119.71,118.76,119.17,368330
"2014-08-14",123.85,124.57,123.81,124.55,247571
"2014-08-21",125.76,126.21,125.11,126,259212
"2014-08-28",124.66,125.4,123.88,125.23,221021
"2014-09-04",126.29,127.32,125.66,126.01,261845
"2014-09-11",124.96,125.47,124.69,125.22,366118
"2014-09-18",125.26,126,124.55,125.33,374692
"2014-09-25",122.42,122.42,120.54,120.63,337606
"2014-10-02",118.68,119.44,117.47,118.42,312024
"2014-10-09",120.59,120.74,117.58,117.8,298654
"2014-10-16",115.36,122.66,113.82,121.85,1089868
"2014-10-23",127.37,128.79,127.15,127.63,479311
"2014-10-30",128.93,135.7,125,130.5,304524
"2014-11-06",134.45,135.72,133.96,135.6,367794
"2014-11-13",135.74,136.22,134.77,135.58,318262
"2014-11-20",134.76,136.46,134.56,136.29,296564
"2014-12-04",137.25,137.58,136.03,136.55,199252
"2014-12-11",135.03,136.75,134.42,134.7,258471
"2014-12-18",136.37,136.96,135.31,136.95,396127
"2015-01-08",135.15,137.5,135.15,137.33,275464
"2015-01-15",135.26,135.76,133,133.22,272466
"2015-01-22",134.04,135.29,133.38,134.88,350379
"2015-01-29",131.69,135.42,131.67,135.24,231139
"2015-02-05",135.84,141.2,135.84,139.67,1142289
"2015-02-12",143.49,144.79,143.38,144.69,260784
"2015-02-19",144.97,145.75,144.48,145.54,209719
"2015-02-26",148.13,148.21,146.76,147.21,294948
"2015-03-05",147.51,148.11,146.8,147.34,329914
"2015-03-12",142.99,144.52,142.72,144.35,387631
"2015-03-19",145.4,146.32,144.17,144.38,292774
"2015-03-26",141.18,142.5,140.84,142.2,261460
"2015-04-02",147.22,148.85,147.22,147.8,300808
"2015-04-09",148.43,149.1,147.47,147.63,388351
"2015-04-16",147.5,148.57,146.99,148.13,234622
"2015-04-23",151.03,153.25,148.6,152.72,606311
"2015-04-30",149.76,150.73,148.98,149.55,357948
"2015-05-07",152.7,154.07,152.42,153.85,254358
"2015-05-14",157.41,158.13,156.39,157.59,225354
"2015-05-21",156.12,158,156.1,157.74,164558
"2015-05-28",157.64,157.75,156.27,156.81,154189
"2015-06-04",155.86,156.65,154.84,155.13,191264
"2015-06-11",158.05,158.49,157.35,157.98,175930
"2015-06-18",158.52,160,158.01,159.88,281953
"2015-06-25",161.33,161.48,160.04,160.47,442083
"2015-07-02",162.11,162.29,159.6,160.79,314183
"2015-07-09",162.25,162.44,159.41,159.45,259261
"2015-07-16",163.17,163.86,160.64,161.69,631215
"2015-07-23",161.42,164.16,160.45,162.07,594655
"2015-07-30",163.73,164.82,162.63,164.38,243314
"2015-08-06",167.38,168.28,165.46,165.88,284712
"2015-08-13",164.84,167.17,164.84,166.53,269607
"2015-08-20",167.96,169.07,166.58,166.69,352666
"2015-08-27",157.87,160.43,156.97,160.05,480774
"2015-09-03",155.8,158.27,155.61,157.41,402985
"2015-09-10",157.42,159.11,156.97,157.64,267182
"2015-09-17",159.07,161.44,158.56,159.15,355728
"2015-09-24",152.33,154.22,150.57,152.37,536569
"2015-10-01",151.11,152.33,148.82,149.61,522560
"2015-10-08",156.54,162.68,156.2,161.72,538396
"2015-10-15",159.55,160.77,157.56,160.6,393593
"2015-10-22",162.59,166.98,161.6,164.11,571411
"2015-10-29",164.65,165.78,163.37,164.8,269637
"2015-11-05",169.59,169.99,167.7,169.45,264330
"2015-11-12",168.1,169.87,166.78,166.83,343618
"2015-11-19",168.1,169.36,168,168.82,323521
"2015-12-03",172.38,173.13,169.97,170.5,500921
"2015-12-10",169.29,170.9,169.29,169.69,349182
"2015-12-17",171.73,172.39,169.34,170.45,333449
"2015-12-24",172.28,172.56,171.26,171.86,106316
"2015-12-31",172,173.22,171.34,171.43,165654
"2016-01-07",165,166.24,163.82,164.24,400054
"2016-01-14",161.9,164.04,159.51,163.08,418200
"2016-01-21",152.52,153.91,149.54,150.51,846474
"2016-01-28",158.73,159.57,155.53,157.23,537567
"2016-02-04",154.61,154.61,143.49,145.15,2108374
"2016-02-11",138.54,140.65,135.91,138.03,649076
"2016-02-18",143.65,145.1,143.01,144.9,624159
"2016-02-25",145.75,146.22,143.31,144.54,530734
"2016-03-03",150.81,154.52,149.86,154.07,658332
"2016-03-10",152.16,152.25,148.45,150.36,535127
"2016-03-17",155.81,156.33,155.23,156,665659
"2016-03-24",155.02,158.1,154.28,157.84,433869
"2016-03-31",158.91,158.91,156.49,156.99,671498
"2016-04-07",155.27,157.36,153.95,155.29,805103
"2016-04-14",159.73,161.17,158.74,160.71,540989
"2016-04-21",162,162,158.61,160.2,823284
"2016-04-28",161.87,164.32,160.64,161.11,411742
"2016-05-05",157.75,159.19,157.36,158.45,416900
"2016-05-12",162.95,163.79,161.22,163.29,390301
"2016-05-19",162.29,162.32,160.3,161.72,401408
"2016-05-26",162.49,163.26,161.32,162.69,327425
"2016-06-02",163.38,163.38,160.15,162.29,645575
"2016-06-09",159.35,160.57,158.42,160.35,278681
"2016-06-16",152,153.91,151.25,153.49,545302
"2016-06-23",153.88,155.68,153.88,155.62,546805
"2016-06-30",154.83,157.84,153.84,157.82,854532
"2016-07-07",156.06,157.57,156.06,157.25,375957
"2016-07-14",163.85,163.98,162.12,162.7,372980
"2016-07-21",155.31,159.89,155.31,156.04,1008822
"2016-07-28",155.75,156.29,154.63,155.45,361615
"2016-08-04",154.61,154.73,153.1,153.44,365915
"2016-08-11",156.56,157.47,156.1,156.8,282857
"2016-08-18",152.97,154.47,152.53,153.51,464602
"2016-08-25",154.52,155.66,154.34,155.34,360464
"2016-09-01",153.53,154.16,151.65,153.19,342802
"2016-09-08",150.92,152.26,150.72,151.28,489815
"2016-09-15",146.89,149.07,146.44,148.5,299548
