"","SNI.Open","SNI.High","SNI.Low","SNI.Close","SNI.Volume"
"2011-09-15",41.99,43.2,41.85,42.91,1316645
"2011-09-22",40.38,40.48,39.31,40.26,1855316
"2011-09-29",39.75,40.15,37.9,38.45,1439693
"2011-10-06",37.56,38.89,37.05,38.88,1003866
"2011-10-13",38.7,40.81,38.56,40.51,1355051
"2011-10-20",40.7,41.04,40.14,40.78,680519
"2011-10-27",43.71,44.85,43.63,43.98,1126824
"2011-11-03",42.49,42.59,38.15,41.66,3174056
"2011-11-10",40.93,40.97,39.43,39.49,2025019
"2011-11-17",39.85,40.37,39.39,39.58,1834129
"2011-12-01",39.8,40.01,39.36,39.81,842117
"2011-12-08",41.59,41.8,41.17,41.37,1161402
"2011-12-15",41.6,42.16,41.35,41.43,685171
"2011-12-22",43.03,43.54,42.78,43.06,708201
"2011-12-29",42.69,42.92,42.52,42.84,360468
"2012-01-05",42.79,43.53,42.48,43.34,945117
"2012-01-12",44.41,44.64,43.96,44.56,296606
"2012-01-19",45.19,45.88,45.09,45.21,1177511
"2012-01-26",45.9,46.21,45.2,45.27,335389
"2012-02-02",43.32,43.32,42.37,42.53,1968860
"2012-02-09",42.9,44.67,41.91,43.82,5107882
"2012-02-16",43.25,43.72,42.98,43.59,1037170
"2012-02-23",44.03,44.43,43.79,44.36,509557
"2012-03-01",45.29,45.91,45.11,45.85,1208508
"2012-03-08",44.22,44.87,44.2,44.74,599905
"2012-03-15",47.05,47.33,46.77,47.17,633205
"2012-03-22",47.91,48.73,47.88,48.4,904389
"2012-03-29",48.51,48.75,47.92,48.63,559269
"2012-04-05",48.29,49.16,48.2,48.91,775860
"2012-04-12",46.98,47.57,46.93,47.5,889171
"2012-04-19",48.47,48.94,48.43,48.68,931150
"2012-04-26",49.39,51.73,49.28,51.26,1839780
"2012-05-03",51.05,55,50.88,54.53,4333662
"2012-05-10",55.08,55.35,53.91,54.25,1245834
"2012-05-17",53.15,53.36,50.98,51.12,1540044
"2012-05-24",53.04,54.28,53.04,53.65,1593735
"2012-05-31",54.47,55.2,53.83,54.77,1105294
"2012-06-07",55.15,55.91,55.06,55.17,1187497
"2012-06-14",56.12,56.52,55.85,56.16,1227488
"2012-06-21",57.03,57.08,55.37,55.52,606668
"2012-06-28",55.7,56.18,54.85,56.09,613663
"2012-07-05",56.75,57.01,56.34,56.65,808062
"2012-07-12",53.08,53.15,51.63,52.88,1056742
"2012-07-19",54.32,54.96,54.3,54.3,675946
"2012-07-26",53.82,54.33,53.12,53.59,623149
"2012-08-02",54.15,56.99,54.15,56.17,2832514
"2012-08-09",58.69,59.43,58.6,59.43,803065
"2012-08-16",58.91,59.24,58.26,58.6,575879
"2012-08-23",58.41,58.92,58.31,58.8,936767
"2012-08-30",59.02,59.3,58.53,58.56,706735
"2012-09-06",60.5,61.13,60.5,60.66,757679
"2012-09-13",61.96,62,61.33,61.56,1229223
"2012-09-20",61.49,61.91,61.25,61.84,528665
"2012-09-27",60.39,61.59,60.36,61.25,591928
"2012-10-04",63.04,64.01,63.04,63.36,426780
"2012-10-11",63.56,64.16,62.82,63.1,530557
"2012-10-18",62.74,63.48,62.08,62.76,1135600
"2012-10-25",62.78,62.93,61.98,62.2,657239
"2012-11-01",61.24,64.25,61.24,62.52,2008672
"2012-11-08",59.61,60.46,59.55,59.84,984274
"2012-11-15",59.39,59.62,58.88,58.95,1040863
"2012-11-29",59.73,59.89,59.01,59.22,811356
"2012-12-06",57,57,55.88,56.5,2722886
"2012-12-13",58.31,58.86,57.71,57.84,680470
"2012-12-20",58.87,59.36,58.65,58.86,1029646
"2012-12-27",56.67,57.28,55.88,57.01,618665
"2013-01-03",59.36,60.29,59.05,59.87,865082
"2013-01-10",59.07,59.66,58.56,59.65,844908
"2013-01-17",58.47,59.13,58.04,58.9,988885
"2013-01-24",60.13,61.17,59.98,60.44,553985
"2013-01-31",59.92,62.21,59.89,61.77,1165484
"2013-02-07",59.98,60.31,57.32,59.97,3814832
"2013-02-14",61.8,62.47,61.29,62.37,677171
"2013-02-21",61.58,61.76,60.88,61.08,669476
"2013-02-28",62.71,63.41,62.71,63.05,670941
"2013-03-07",64.07,64.38,63.64,63.88,914645
"2013-03-14",64.55,64.88,64.39,64.52,539924
"2013-03-21",64.99,65.57,64.29,64.52,498702
"2013-03-28",64,64.4,63.83,64.34,586320
"2013-04-04",64.26,65.31,64.16,65.27,639361
"2013-04-11",67.38,68.53,67.29,68.28,817869
"2013-04-18",67.41,67.46,66.22,66.54,465480
"2013-04-25",66.85,67.11,66.09,66.33,1096938
"2013-05-02",67.25,71.05,67.01,68.73,1890373
"2013-05-09",69.01,69.24,68.65,68.91,485780
"2013-05-16",68.45,69.03,68.16,68.32,569911
"2013-05-23",67.43,68.76,67.16,68.43,667314
"2013-05-30",68.71,69.07,68.21,68.24,627508
"2013-06-06",65.63,65.75,64.85,65.6,596343
"2013-06-13",64.4,66.98,64.02,66.75,1218500
"2013-06-20",67.24,67.61,66.22,66.25,1107404
"2013-06-27",65.76,66.66,65.64,66.61,743826
"2013-07-11",71.79,72.22,71.46,72.02,345604
"2013-07-18",71.79,72.97,71.57,72.92,722250
"2013-07-25",71.61,72.35,71.54,72,601245
"2013-08-01",71.44,72.47,71.44,72.31,619773
"2013-08-08",73.82,75.24,73.44,74.29,896002
"2013-08-15",74.81,74.88,73.59,73.8,667399
"2013-08-22",74.82,75.66,74.44,75.01,403317
"2013-08-29",73.01,74.28,72.87,73.85,367733
"2013-09-05",74.32,75.08,74.31,74.54,360217
"2013-09-12",74.51,74.74,74.01,74.07,1022657
"2013-09-19",78.41,78.72,77.92,78.56,1298721
"2013-09-26",77.63,78.3,77.32,78.27,522154
"2013-10-03",77.88,78.05,76.77,76.9,693820
"2013-10-10",76.65,76.96,75.68,76.95,524328
"2013-10-17",78.07,78.89,78.06,78.84,471696
"2013-10-24",79.58,80.17,79.38,79.97,546871
"2013-10-31",80.17,81,79.45,80.5,722159
"2013-11-07",78.69,79.79,74.78,76.16,2271200
"2013-11-14",76.75,77.11,76.07,76.4,703018
"2013-11-21",74.9,75.12,74.57,75.04,346155
"2013-12-05",72.72,73.36,72.3,72.85,797567
"2013-12-12",80.19,81.01,79.15,80.33,1582990
"2013-12-19",82.86,84.27,82.74,83.36,1140200
"2013-12-26",84.61,85.03,84.16,84.92,464284
"2014-01-02",85.68,86.62,85.04,85.48,582039
"2014-01-09",83.02,83.12,81.62,82.43,1152727
"2014-01-16",76,76.33,75.09,75.15,924568
"2014-01-23",75.05,75.4,74.27,75.26,622634
"2014-01-30",73.32,74.23,72.65,73.46,418884
"2014-02-06",73.28,74.52,73.2,74.44,509760
"2014-02-13",77.23,78.18,76.95,77.44,1077411
"2014-02-20",79.43,80.59,79.13,80.02,921382
"2014-02-27",80.57,81.25,80.54,80.96,1023511
"2014-03-06",81.64,81.97,81.51,81.81,942651
"2014-03-13",80,80.24,78.24,78.36,899817
"2014-03-20",78.09,78.27,76.93,77.22,1272985
"2014-03-27",73.84,75.01,73.22,74.59,781926
"2014-04-03",76.49,76.7,75.77,75.94,632646
"2014-04-10",75.78,75.88,74.04,74.14,647863
"2014-04-17",74.48,75.11,74.15,74.39,687230
"2014-04-24",74.76,75.16,74.17,75.05,420622
"2014-05-01",74.9,75.72,74.8,75.18,443163
"2014-05-08",75.5,78.38,74.02,76.72,1427229
"2014-05-15",73.89,74.41,73.01,74.28,472417
"2014-05-22",74.99,75.8,74.86,75.71,421353
"2014-05-29",76.7,76.82,76.36,76.49,308138
"2014-06-05",76.31,77.4,76.04,77.26,362181
"2014-06-12",77.18,77.35,77.02,77.06,703031
"2014-06-19",80.68,82.17,80.46,82.06,1374711
"2014-06-26",80.78,81.1,79.85,80.84,443883
"2014-07-03",81.27,81.71,81.24,81.56,445248
"2014-07-10",80.16,81.16,80.14,80.76,558941
"2014-07-17",84.25,86.48,84.21,85.55,1787135
"2014-07-24",82.82,83.52,82.75,83.17,514606
"2014-07-31",82.66,83.5,82.08,82.41,578192
"2014-08-07",81.51,81.76,77.27,77.43,1770204
"2014-08-14",79,79.85,78.86,79.61,863557
"2014-08-21",81.5,81.97,80.98,81.65,517542
"2014-08-28",80.37,80.41,79.89,80.11,398396
"2014-09-04",79.62,80.01,79.16,79.35,931303
"2014-09-11",78.39,78.84,78.24,78.52,513650
"2014-09-18",78.25,78.41,77.84,78.23,528037
"2014-09-25",77.9,78.1,77.35,77.8,2546675
"2014-10-02",77.94,79.08,77.59,78.01,3422962
"2014-10-09",77.25,77.38,74.51,74.53,1106612
"2014-10-16",72.54,72.98,71.06,71.61,2213899
"2014-10-23",74.89,76.19,74.89,75.48,437301
"2014-10-30",76.42,76.86,76.08,76.53,506668
"2014-11-06",74.24,76.97,74.24,75.01,2511138
"2014-11-13",73.49,73.64,73.13,73.5,902359
"2014-11-20",75.17,76.9,75.17,76.73,936186
"2014-12-04",80.03,80.26,78.91,79.87,2041358
"2014-12-11",77.76,78.73,77.15,77.22,643725
"2014-12-18",78.54,78.85,77.67,78.84,1252668
"2015-01-08",73.14,75.46,73.01,75.2,1233256
"2015-01-15",73.95,73.95,72.87,72.93,469267
"2015-01-22",71.88,73.21,71.88,73.01,628175
"2015-01-29",72.05,72.49,71.02,72.4,574027
"2015-02-05",73.9,73.97,71.57,71.69,1423307
"2015-02-12",72.15,72.68,70.81,72.61,1943557
"2015-02-19",72.71,73.18,72.31,72.91,1534660
"2015-02-26",74.26,74.8,72.51,72.86,889912
"2015-03-05",73.74,73.76,73.36,73.53,543753
"2015-03-12",72.71,73.02,72.16,72.47,494118
"2015-03-19",70.5,70.57,69.77,70.31,1054143
"2015-03-26",69.86,69.99,69.2,69.38,757076
"2015-04-02",68.78,69.62,68.48,69.42,784634
"2015-04-09",70.05,70.15,68.85,69.3,1384437
"2015-04-16",69.41,69.95,68.66,69.9,979966
"2015-04-23",69.78,70.73,69.68,70.2,732871
"2015-04-30",69.26,70.52,69.24,69.86,1380172
"2015-05-07",69.3,69.97,67.92,68.04,1985047
"2015-05-14",66.6,66.82,65.61,66.14,1643941
"2015-05-21",68.03,68.75,67.97,68.61,1130754
"2015-05-28",67.31,67.74,67.22,67.5,705553
"2015-06-04",66.84,67.79,66.53,67.68,1111313
"2015-06-11",66.76,67.02,66.46,66.89,698469
"2015-06-18",67.67,67.87,67.33,67.68,861073
"2015-06-25",67.01,67.09,66.35,66.65,1066024
"2015-07-02",67.68,68.45,66.45,67.09,1331106
"2015-07-09",65.92,66.76,65.36,65.42,1436698
"2015-07-16",66.75,66.93,66.15,66.77,1001727
"2015-07-23",62.71,62.95,61.69,61.82,956907
"2015-07-30",61.71,62.42,61.31,62.21,631153
"2015-08-06",58,59.64,53.87,58.59,4436350
"2015-08-13",58.83,58.98,57.71,57.96,1436956
"2015-08-20",56.36,56.36,54.08,54.23,2109836
"2015-08-27",52.66,52.98,51.22,52.67,2706049
"2015-09-03",53,54.53,52.84,53.78,1617034
"2015-09-10",53.66,53.86,53.05,53.35,1091309
"2015-09-17",53.4,53.82,52.82,52.93,1201199
"2015-09-24",49.07,50.08,48.8,49.84,2119972
"2015-10-01",49.19,49.34,47.95,48.42,1783453
"2015-10-08",54.69,56.24,54.39,55.75,3387949
"2015-10-15",55.36,56.51,55.16,56.44,912299
"2015-10-22",56.09,56.7,55.75,56.67,628739
"2015-10-29",58,59.58,57.83,59.28,1713669
"2015-11-05",59.57,59.76,56.98,58.26,1824078
"2015-11-12",57.51,58.33,57.2,57.44,1079760
"2015-11-19",56.79,56.93,55.38,56.72,1356699
"2015-12-03",57.23,57.52,55.76,56.43,1858116
"2015-12-10",56.22,57.84,56.22,57.07,937567
"2015-12-17",54.94,55.59,53.5,54.28,1104168
"2015-12-24",55.42,55.69,55.17,55.35,218375
"2015-12-31",54.58,55.68,54.38,55.21,840876
"2016-01-07",50.95,52.65,50.81,52.15,1308868
"2016-01-14",54.73,57.3,54.6,57.1,2015480
"2016-01-21",56.13,58.22,55.39,57.37,1314665
"2016-01-28",60.4,60.56,58.78,59.31,1129843
"2016-02-04",61.54,63.73,61.31,61.69,1955367
"2016-02-11",53.08,53.79,52.2,53.13,2033679
"2016-02-18",55.88,56.51,54.1,55.32,1172467
"2016-02-25",57.86,58.27,57.05,57.8,1552863
"2016-03-03",61,63.49,60.64,62.94,1550232
"2016-03-10",64.5,64.5,62.39,63.34,653917
"2016-07-28",66.89,67.27,66.05,67.06,782464
"2016-08-04",67.07,67.49,66.02,66.55,1167764
"2016-08-11",62.07,63.64,61.95,63.5,1547782
"2016-08-18",64.35,65.36,63.89,64.37,777438
"2016-08-25",64.74,64.92,63.71,64.08,680501
"2016-09-01",63.56,63.97,63,63.58,509871
"2016-09-08",62.97,63.66,62.43,63.53,1536295
"2016-09-15",61.52,62.37,60.92,62.14,775621
