"","SNPS.Open","SNPS.High","SNPS.Low","SNPS.Close","SNPS.Volume"
"2011-09-15",25.94,26.25,25.66,26.11,1593016
"2011-09-22",24,24.28,23.69,24.01,1760151
"2011-09-29",25.19,25.27,24.23,24.76,849599
"2011-10-06",24.58,25.33,24.5,25.3,1181984
"2011-10-13",25.62,26.18,25.6,26.08,976295
"2011-10-20",26.12,26.3,25.72,26.21,1508870
"2011-10-27",27.16,27.49,27.08,27.18,1646942
"2011-11-03",26.8,27.44,26.61,27.31,1261638
"2011-11-10",27.17,27.21,26.79,26.99,684065
"2011-11-17",27.31,27.43,26.85,27.03,1222430
"2011-12-01",28,28.05,27.33,27.5,1545698
"2011-12-08",27.47,27.86,27.4,27.65,1286317
"2011-12-15",26.99,27.09,26.59,26.73,698577
"2011-12-22",26.83,27.28,26.52,27.21,1003952
"2011-12-29",27.03,27.12,26.92,27.05,435868
"2012-01-05",26.48,26.94,26.33,26.85,770889
"2012-01-12",27.71,27.96,27.53,27.81,656644
"2012-01-19",28.56,28.88,28.41,28.82,1212489
"2012-01-26",29.25,29.37,29.06,29.18,972764
"2012-02-02",29.51,29.76,29.5,29.58,933348
"2012-02-09",29.97,30.3,29.89,30.25,1353172
"2012-02-16",30.2,30.49,30.2,30.44,1059564
"2012-02-23",30.75,30.81,30.17,30.51,1619015
"2012-03-01",30.3,30.5,30.21,30.27,1397523
"2012-03-08",29.78,30.1,29.73,29.87,733455
"2012-03-15",30.48,30.78,30.42,30.77,622780
"2012-03-22",30.12,30.2,29.96,29.97,633227
"2012-03-29",30.66,31.05,30.43,31.02,1255849
"2012-04-05",30.28,30.28,29.99,30.21,599785
"2012-04-12",29.91,30.26,29.87,30.19,347465
"2012-04-19",29.75,30.15,29.43,29.59,589057
"2012-04-26",29.51,30.36,29.48,30.25,951773
"2012-05-03",30.44,30.59,30.1,30.12,651994
"2012-05-10",29.26,29.34,28.76,28.88,617367
"2012-05-17",28.72,28.72,28.1,28.12,513241
"2012-05-24",29.72,29.94,28.81,29.85,2010678
"2012-05-31",29.51,29.63,29.11,29.55,1033159
"2012-06-07",29.46,29.47,29.05,29.07,840461
"2012-06-14",28.86,29.14,28.59,28.84,665598
"2012-06-21",29.24,29.38,28.34,28.4,401614
"2012-06-28",27.88,28.39,27.74,28.33,1023831
"2012-07-05",29.68,30.28,29.68,30.11,962896
"2012-07-12",29.36,29.7,29.28,29.65,972351
"2012-07-19",30.99,31.1,30.69,30.82,613091
"2012-07-26",30.28,30.79,30.28,30.77,909478
"2012-08-02",29.93,30.32,29.76,30.11,506838
"2012-08-09",30.8,30.9,30.61,30.8,304984
"2012-08-16",30.97,31.34,30.69,31.2,661830
"2012-08-23",33.69,33.92,32.81,33.26,2764716
"2012-08-30",32.98,33.08,32.85,32.87,529928
"2012-09-06",33.88,34.2,33.86,34.1,1198499
"2012-09-13",34.06,34.15,33.72,33.95,714614
"2012-09-20",33.74,33.92,33.67,33.9,387841
"2012-09-27",32.88,33.24,32.68,33.14,407982
"2012-10-04",32.85,32.87,32.49,32.86,390736
"2012-10-11",32.39,32.44,32.09,32.25,442952
"2012-10-18",32.92,33,32.44,32.56,545766
"2012-10-25",32.5,32.78,32.19,32.28,770763
"2012-11-01",32.2,33.33,32.12,33.32,868815
"2012-11-08",31.65,31.75,31.33,31.35,521842
"2012-11-15",31.66,31.79,31.28,31.72,1111065
"2012-11-29",33,33.05,32.6,32.65,592770
"2012-12-06",33.44,33.48,32.39,32.92,1175169
"2012-12-13",32.46,32.47,31.64,31.83,1082678
"2012-12-20",32,32.19,31.88,32,845628
"2012-12-27",31.58,31.89,31.31,31.75,563777
"2013-01-03",32.25,32.36,31.77,31.9,930248
"2013-01-10",31.52,31.6,31.36,31.47,806571
"2013-01-17",32.32,32.84,32.25,32.74,803530
"2013-01-24",32.24,32.9,32.07,32.86,1224992
"2013-01-31",33.3,33.51,33.04,33.44,776044
"2013-02-07",34.32,34.54,34.19,34.36,1020632
"2013-02-14",34.21,34.43,34.08,34.33,844721
"2013-02-21",36,36,35.28,35.76,2963561
"2013-02-28",35.17,35.39,35.03,35.03,860266
"2013-03-07",34.95,35.36,34.88,35.18,819731
"2013-03-14",35.38,35.75,35.37,35.73,616505
"2013-03-21",34.86,35.13,34.71,34.85,469573
"2013-03-28",35.56,35.93,35.33,35.88,1431510
"2013-04-04",35.29,35.7,35.03,35.13,762384
"2013-04-11",35.34,35.34,35.11,35.14,516256
"2013-04-18",34.29,34.47,33.72,33.73,604859
"2013-04-25",34.72,35.39,34.31,35.1,812819
"2013-05-02",34.85,35.38,34.84,35.14,825648
"2013-05-09",35.91,35.94,35.73,35.81,488085
"2013-05-16",35.53,35.69,35.33,35.45,394387
"2013-05-23",36.05,36.32,35.41,35.97,1209932
"2013-05-30",36.09,36.66,36.03,36.63,553962
"2013-06-06",36.03,36.55,35.91,36.55,531446
"2013-06-13",36.11,36.78,35.91,36.63,552610
"2013-06-20",36.12,36.24,35.64,35.66,571281
"2013-06-27",35.56,35.89,35.38,35.68,716042
"2013-07-11",37.02,37.21,36.92,37.2,678620
"2013-07-18",37.65,37.89,37.48,37.63,322390
"2013-07-25",37.13,37.26,36.75,36.79,546645
"2013-08-01",37.39,38.1,37.37,38.03,1034526
"2013-08-08",37.41,37.43,37.12,37.23,403210
"2013-08-15",37.39,37.57,36.85,36.92,432561
"2013-08-22",36.81,37.4,36.54,36.82,502890
"2013-08-29",36.54,36.94,36.23,36.58,483476
