"","SO.Open","SO.High","SO.Low","SO.Close","SO.Volume"
"2014-09-15",43.42,43.68,43.22,43.37,3919927
"2014-09-22",43.62,43.84,43.4,43.47,5335613
"2014-09-29",43.33,43.67,43.1,43.63,3374094
"2014-10-06",44.3,44.37,43.92,44.07,3494782
"2014-10-13",45,46.48,44.98,45.85,10678504
"2014-10-20",46.25,46.91,46.22,46.78,5549629
"2014-10-27",47.46,47.69,47.21,47.38,4309738
"2014-11-03",46.42,46.91,46.37,46.77,6521691
"2014-11-10",47.23,47.71,47.05,47.59,7325025
"2014-11-17",46.78,47.2,46.56,47.08,4181690
"2014-11-24",47.3,47.36,46.62,46.71,3938122
"2014-12-01",47.15,48.31,47.07,47.69,8389592
"2014-12-08",47.56,48.22,47.56,48.05,4903865
"2014-12-15",48.05,48.23,47.5,47.85,4515884
"2014-12-22",49.34,49.49,48.88,49.36,4009021
"2014-12-29",50.42,51.28,50.42,50.88,6268752
"2015-01-05",49.38,49.49,48.9,49.16,7028681
"2015-01-12",49.95,50,49.44,49.71,4086081
"2015-01-26",52.06,52.27,51.68,52.23,4232392
"2015-02-02",50.65,50.93,50.12,50.78,7073180
"2015-02-09",48.21,48.33,47.64,47.79,6633861
"2015-02-23",46.28,46.54,46.13,46.47,5160800
"2015-03-02",45.8,45.8,44.65,44.87,7012991
"2015-03-09",44.11,44.43,43.97,44.01,6110162
"2015-03-16",44.12,44.92,44.12,44.63,4384292
"2015-03-23",45.04,45.36,45.02,45.17,3767329
"2015-03-30",44.24,44.52,44.07,44.33,4078118
"2015-04-06",44.8,45.44,44.77,44.92,5505889
"2015-04-13",44.48,44.64,44.12,44.2,3258687
"2015-04-20",44.25,45.06,44.12,44.76,4797545
"2015-04-27",44.98,45.05,44.27,44.32,4099918
"2015-05-04",44.9,45.33,44.67,44.98,4957730
"2015-05-11",44.15,44.29,43.51,43.59,8343622
"2015-05-18",43.52,43.82,43.42,43.65,3484498
"2015-06-01",43.77,43.92,43.5,43.67,4620303
"2015-06-08",42.96,42.96,42.33,42.6,6370619
"2015-06-15",42.28,42.31,42.05,42.09,3669766
"2015-06-22",42.77,42.9,42.43,42.51,3869909
"2015-06-29",41.91,42.56,41.89,41.96,6503319
"2015-07-06",42.93,43.3,42.8,43.12,4995359
"2015-07-13",43.52,43.72,43.18,43.4,3302250
"2015-07-20",43.47,43.48,43.06,43.32,3590008
"2015-07-27",43.01,43.61,42.94,43.44,3547590
"2015-08-03",44.75,45.09,44.7,44.96,4255711
"2015-08-10",45.53,45.87,45.33,45.46,4345145
"2015-08-17",46.5,46.5,46.17,46.3,4836248
"2015-08-24",44.03,45.47,43.37,43.58,16170915
"2015-08-31",43.59,43.69,42.88,43.41,5854124
"2015-09-14",42.72,42.92,42.57,42.63,3514480
"2015-09-21",43.48,43.83,43.4,43.77,3808766
"2015-09-28",44.04,44.56,44.03,44.09,4529834
"2015-10-05",44.79,45.23,44.44,45.2,4322733
"2015-10-12",44.98,45.77,44.98,45.61,3435366
"2015-10-19",45.98,46.16,45.55,45.96,3648753
"2015-10-26",46,46,45.43,45.64,4503735
"2015-11-02",45.1,45.27,44.68,45.23,4821850
"2015-11-09",43.48,44.18,43.38,44.02,5373133
"2015-11-16",43.91,44.75,43.91,44.74,3432720
"2015-11-23",45.3,45.44,44.77,44.92,2948970
"2015-11-30",44.66,44.92,44.54,44.54,4271332
"2015-12-07",44.72,45.35,44.63,45.28,4642598
"2015-12-14",44.46,45.06,44.39,44.95,5385526
"2015-12-21",46.4,46.58,46,46.23,4250161
"2015-12-28",46.99,47.3,46.91,47.11,2801535
"2016-01-04",46.42,47.07,46.25,47.03,6935763
"2016-01-11",46.8,47.01,46.63,46.84,5870517
"2016-01-25",47.42,47.52,47.09,47.39,4271981
"2016-02-01",48.94,49.99,48.79,49.9,9995697
"2016-02-08",48.18,48.85,48.04,48.82,6981580
"2016-02-22",48.61,49.1,48.46,49.1,3384506
"2016-02-29",48.28,48.67,48.11,48.18,5407336
"2016-03-07",48.55,48.72,48.07,48.49,5269090
"2016-03-14",49.89,50.06,49.54,49.95,3787765
"2016-03-21",50.5,50.83,50.12,50.48,3497183
"2016-03-28",50.83,51.17,50.53,50.58,3063189
"2016-04-04",51.71,51.78,51.14,51.53,4260478
"2016-04-11",50.58,50.99,50.45,50.47,2953751
"2016-04-18",50.71,50.91,50.36,50.91,3017210
"2016-04-25",49.19,49.37,48.9,49.27,4135193
"2016-05-02",50.25,50.69,50.09,50.41,5694579
"2016-05-09",49.65,50.18,49.56,49.81,7855249
"2016-05-16",49.75,49.96,49.51,49.94,4014806
"2016-05-23",48.76,48.83,48.07,48.09,3788982
"2016-06-06",50.41,50.41,49.85,50.13,4687350
"2016-06-13",51,51.34,50.91,50.99,5246749
"2016-06-20",51,51.15,50.42,50.94,5473686
"2016-06-27",51.24,52.35,51.16,52.2,9471620
"2016-07-11",53.89,54.08,53.47,53.79,6353953
"2016-07-18",53.65,53.91,53.56,53.62,3561926
"2016-07-25",54.5,54.6,54.21,54.54,3925331
"2016-08-01",53.44,53.8,53.37,53.65,4159586
"2016-08-08",52.71,53.04,52.44,52.69,3422088
"2016-08-15",52.34,52.48,51.46,51.49,4124547
"2016-08-22",52.09,52.24,51.93,52,4830885
"2016-08-29",51.51,51.51,51.14,51.34,4704973
"2016-09-12",50.78,52.1,50.77,51.96,10137042
