"","SPG.Open","SPG.High","SPG.Low","SPG.Close","SPG.Volume"
"2011-09-15",117.38,119.12,116.64,119.08,2516485
"2011-09-22",110.05,112.8,109.28,110.82,4243070
"2011-09-29",113.28,113.5,110.99,112.58,1942350
"2011-10-06",109.23,112.72,107.33,112.56,2659437
"2011-10-13",114.28,114.35,111.83,113.19,1560353
"2011-10-20",115.38,116.94,113.8,116.74,1740047
"2011-10-27",125.98,130.1,125.52,127.09,2812321
"2011-11-03",128.38,129.89,125.84,129.4,1983647
"2011-11-10",127.07,127.2,124.57,125.84,1365577
"2011-11-17",123.58,124.12,121.38,122.11,1601523
"2011-12-01",123.83,124.17,122.05,123,1270777
"2011-12-08",123.26,123.44,121.1,121.5,1395513
"2011-12-15",121.65,123.27,121.05,122.25,1346557
"2011-12-22",128.12,129.5,127.76,129.06,2302038
"2011-12-29",129.03,130.5,128.76,129.83,1203873
"2012-01-05",126.86,129.12,126.53,127.81,2111158
"2012-01-12",128.65,128.68,125.95,127.01,1375963
"2012-01-19",128.77,131.53,128.31,131.22,2075319
"2012-01-26",136.29,137.29,135.44,136.53,1513407
"2012-02-02",136.54,137.72,135.65,137.45,1334002
"2012-02-09",137.56,138.3,135.69,137.9,1262277
"2012-02-16",136.07,138.2,135.95,137.93,1538186
"2012-02-23",135,135.79,134.34,135.77,1130643
"2012-03-01",135.78,136.55,135.2,136.4,914106
"2012-03-08",137.74,138.31,135.23,138.24,2208768
"2012-03-15",141.53,141.89,140.61,141.2,1728422
"2012-03-22",143.27,143.27,141.69,142.77,1791494
"2012-03-29",143.7,144.91,142.82,144.73,1311956
"2012-04-05",145.4,146.41,144.72,145.79,1085693
"2012-04-12",143.52,145.73,142.22,145.73,1127280
"2012-04-19",149.24,149.43,147.29,148.06,967441
"2012-04-26",152.64,152.93,151.55,152.19,1650448
"2012-05-03",157.04,157.48,155.46,155.51,1473531
"2012-05-10",156.07,156.07,154.31,154.93,867547
"2012-05-17",150.1,150.53,146.3,146.3,1768720
"2012-05-24",148.3,149.25,146.93,149.03,911005
"2012-05-31",146.18,148.91,144.63,147.52,2066934
"2012-06-07",148.46,150.67,148.35,148.79,892316
"2012-06-14",147.68,149,147.16,148.25,1661708
"2012-06-21",152.87,152.95,149.18,149.51,1259253
"2012-06-28",150.26,151.94,149.49,151.7,847630
"2012-07-05",158.09,158.32,156.36,156.84,945974
"2012-07-12",156.28,157.86,155.36,156.92,1008087
"2012-07-19",159.21,159.76,157.08,158.13,1225223
"2012-07-26",158.41,160,158.04,159,1014214
"2012-08-02",160.31,161.55,158.8,161.41,776189
"2012-08-09",158.48,158.87,156.63,157.05,1261731
"2012-08-16",157.39,160.33,156.53,159.71,1473833
"2012-08-23",158.63,159.12,156.37,156.46,1551505
"2012-08-30",157.36,157.75,156.79,157.41,1022707
"2012-09-06",158.53,159.69,158.45,158.85,1255053
"2012-09-13",158.27,161.95,158.19,161.66,1602637
"2012-09-20",156,156.24,155.06,155.89,4359405
"2012-09-27",151.93,153.7,151.66,151.94,1491631
"2012-10-04",153.58,154.28,151.78,152.59,1190597
"2012-10-11",153.74,154.29,153,153.05,887485
"2012-10-18",152.8,154.96,152.24,154.8,1199236
"2012-10-25",151.9,153.96,149.78,151.46,1346781
"2012-11-01",152.16,153.33,150.85,152.55,964395
"2012-11-08",155.36,156.07,154.16,154.16,1443348
"2012-11-15",148.29,149.52,146.07,146.73,951189
"2012-11-29",150.71,151.75,149.64,151.25,1364705
"2012-12-06",153.28,154.75,153.26,154.41,1198140
"2012-12-13",154.19,155.2,153.41,153.99,2391585
"2012-12-20",156.4,158.35,156.12,158.07,1097310
"2012-12-27",156.89,158.26,156.08,157.93,702690
"2013-01-03",160.16,160.52,158.02,158.52,1317478
"2013-01-10",160.12,160.65,159,159.9,925395
"2013-01-17",160.49,160.49,159.49,159.9,699215
"2013-01-24",161.89,162.47,161.23,162.16,849933
"2013-01-31",161.22,161.32,160.16,160.18,1288290
"2013-02-07",161.9,162.04,160.79,160.79,923045
"2013-02-14",161.7,161.88,160.35,160.57,1117261
"2013-02-21",159.05,159.29,157.36,158.02,1182853
"2013-02-28",159.4,159.96,158.63,158.86,1688368
"2013-03-07",162.06,162.4,159.73,160.08,1556466
"2013-03-14",159.24,160.47,159.11,159.88,804872
"2013-03-21",158,159.08,157.61,158.06,1021158
"2013-03-28",159.2,160,157.67,158.56,1502881
"2013-04-04",162,163.95,161.82,163.6,1249322
"2013-04-11",171.08,174.43,170.82,174.27,2407138
"2013-04-18",173.07,173.36,171.75,172.91,1043940
"2013-04-25",176.7,176.89,175.45,176.01,927634
"2013-05-02",177.18,178.97,176.32,178.03,1017037
"2013-05-09",180.75,180.85,178.64,178.9,1474552
"2013-05-16",178.88,180.29,177.13,177.56,1429920
"2013-05-23",175.13,175.35,172.81,173.59,1397458
"2013-05-30",172.18,173.13,169.97,170,1334211
"2013-06-06",163.69,166.73,162.7,166.56,1226291
"2013-06-13",159.8,165.75,158.86,165.1,1861747
"2013-06-20",160.81,160.91,153.68,154.58,2907523
"2013-06-27",159.19,160.87,159.13,160.68,1689836
