"","SPLS.Open","SPLS.High","SPLS.Low","SPLS.Close","SPLS.Volume"
"2011-09-15",14.85,14.98,14.7,14.94,7619261
"2011-09-22",13.1,13.54,13.02,13.12,18883089
"2011-09-29",13.97,14.13,13.51,13.76,9843838
"2011-10-06",13.85,14.37,13.82,14.32,7849795
"2011-10-13",14.75,14.95,14.5,14.75,7184853
"2011-10-20",14.64,14.8,14.43,14.73,6300225
"2011-10-27",15,15.23,14.51,14.83,18340252
"2011-11-03",14.44,14.85,14.28,14.82,6288370
"2011-11-10",14.93,14.94,14.49,14.54,9267392
"2011-11-17",14.4,14.49,13.96,14.08,11144462
"2011-12-01",14.4,14.68,14.29,14.32,9245517
"2011-12-08",14.79,14.92,14.51,14.54,6066108
"2011-12-15",14.34,14.41,13.99,14.02,11047862
"2011-12-22",14.12,14.16,14.03,14.06,6271127
"2011-12-29",13.89,14,13.88,13.93,4479648
"2012-01-05",14.45,14.49,14.3,14.42,7537253
"2012-01-12",15.1,15.21,14.93,15.07,8050297
"2012-01-19",15.44,15.97,15.44,15.95,9155422
"2012-01-26",16.31,16.34,15.85,15.95,8522288
"2012-02-02",14.67,14.69,14.34,14.49,14877718
"2012-02-09",14.99,15,14.52,14.71,11111645
"2012-02-16",15.13,15.23,15.01,15.14,4887589
"2012-02-23",15.28,15.48,15.26,15.36,5618961
"2012-03-01",14.84,15.39,14.75,15.38,19632187
"2012-03-08",15.44,15.6,15.27,15.38,8912636
"2012-03-15",15.99,16.51,15.83,16.49,16184184
"2012-03-22",16.51,16.83,16.48,16.74,7727211
"2012-03-29",16.45,16.54,16.34,16.52,7620344
"2012-04-05",16,16.15,15.89,16.06,10490506
"2012-04-12",15.65,15.8,15.64,15.66,11185776
"2012-04-19",15.94,15.98,15.55,15.66,8381505
"2012-04-26",15.29,15.64,15.29,15.55,4968684
"2012-05-03",15.27,15.38,15.09,15.12,7399155
"2012-05-10",14.9,15,14.88,14.96,9028200
"2012-05-17",13.87,13.91,13.14,13.22,20964703
"2012-05-24",13.67,13.69,13.42,13.49,11525500
"2012-05-31",13.4,13.4,13.13,13.14,17810017
"2012-06-07",13.04,13.06,12.76,12.78,22095392
"2012-06-14",12.55,12.69,12.53,12.63,8546577
"2012-06-21",13.04,13.1,12.61,12.64,13671832
"2012-06-28",12.6,12.66,12.45,12.59,8761255
"2012-07-05",13.11,13.3,13.07,13.17,8835144
"2012-07-12",12.6,12.6,12.38,12.44,8938623
"2012-07-19",12.81,12.94,12.7,12.76,8082870
"2012-07-26",12.35,12.55,12.33,12.42,11349229
"2012-08-02",12.6,12.63,12.4,12.52,13308864
"2012-08-09",13.35,13.46,13.25,13.31,4788817
"2012-08-16",11.33,11.49,11.32,11.38,19146821
"2012-08-23",11.13,11.17,10.92,10.98,12380966
"2012-08-30",10.83,10.86,10.73,10.8,8712509
"2012-09-06",11.2,11.57,11.1,11.47,18738296
"2012-09-13",11.55,12.13,11.42,11.96,39499421
"2012-09-20",12.14,12.36,11.98,12.34,17836491
"2012-09-27",11.46,11.86,11.46,11.68,13282193
"2012-10-04",11.38,11.55,11.37,11.53,12027001
"2012-10-11",11.58,11.6,11.44,11.44,8501077
"2012-10-18",11.61,11.63,11.46,11.54,7638330
"2012-10-25",11.34,11.52,11.28,11.41,10354938
"2012-11-01",11.55,11.74,11.49,11.71,10606703
"2012-11-08",11.64,11.75,11.23,11.29,17616269
"2012-11-15",11.51,12.02,11.46,11.92,34508424
"2012-11-29",11.96,11.97,11.63,11.76,10860518
"2012-12-06",11.29,11.7,11.29,11.47,12065119
"2012-12-13",11.72,12,11.67,11.8,18423448
"2012-12-20",12.11,12.15,11.74,11.75,12709919
"2012-12-27",11.18,11.26,11.04,11.22,6478792
"2013-01-03",11.5,11.9,11.47,11.75,9470468
"2013-01-10",11.75,11.78,11.58,11.74,6173509
"2013-01-17",12.61,12.92,12.59,12.8,12993362
"2013-01-24",13.04,13.07,12.82,12.85,25237798
"2013-01-31",13.43,13.54,13.36,13.48,7398047
"2013-02-07",13.49,13.54,13.04,13.16,9773372
"2013-02-14",12.86,12.89,12.56,12.88,8946394
"2013-02-21",13.58,13.71,13.25,13.29,18960526
"2013-02-28",13.25,13.36,13.15,13.17,7001815
"2013-03-07",12.3,12.8,12.28,12.76,15620498
"2013-03-14",13.55,13.64,13.4,13.49,12225729
"2013-03-21",13.45,13.53,13.38,13.47,4750992
"2013-03-28",13.37,13.44,13.25,13.42,7771856
"2013-04-04",13.07,13.43,13.05,13.37,7295720
"2013-04-11",13.88,13.93,13.69,13.79,9091151
"2013-04-18",12.62,12.8,12.41,12.7,6565599
"2013-04-25",12.63,12.96,12.56,12.88,12078879
"2013-05-02",13.12,13.18,13,13.14,4383183
"2013-05-09",13.95,14.08,13.93,13.97,9923222
"2013-05-16",14.48,14.63,14.25,14.29,8419769
"2013-05-23",14.9,15.15,14.85,15.04,9371822
"2013-05-30",15.06,15.06,14.9,14.98,8989813
"2013-06-06",14.71,15.05,14.61,15.02,5081803
"2013-06-13",15.51,15.85,15.49,15.69,6842329
"2013-06-20",15.95,15.98,15.55,15.61,9494426
"2013-06-27",15.82,15.99,15.67,15.74,6492271
"2013-07-11",16.5,16.7,16.43,16.67,6543865
"2013-07-18",16.6,16.81,16.46,16.6,6358776
"2013-07-25",16.02,16.5,16.01,16.5,6983836
"2013-08-01",17.17,17.22,17.06,17.19,3489134
"2013-08-08",16.95,16.99,16.76,16.86,6463635
"2013-08-15",16.93,17.02,16.51,16.73,7219800
"2013-08-22",14.34,14.34,13.9,14.07,10873999
"2013-08-29",14.12,14.28,13.98,14.05,6471057
"2013-09-05",13.96,14.19,13.9,14.04,5016915
"2013-09-12",14.73,14.79,14.54,14.57,7822231
"2013-09-19",15.15,15.22,14.73,14.78,9544370
"2013-09-26",14.81,14.94,14.65,14.77,4577926
"2013-10-03",15.06,15.2,14.78,14.81,8504662
"2013-10-10",14.68,14.99,14.63,14.91,5386901
"2013-10-17",15.55,15.73,15.44,15.61,5679371
"2013-10-24",15.75,16.06,15.74,16.05,5961082
"2013-10-31",15.78,16.22,15.78,16.13,6996853
"2013-11-07",16.09,16.15,15.46,15.5,7281199
"2013-11-14",15.93,15.99,15.69,15.75,7983717
"2013-11-21",15.22,15.6,15.07,15.5,11845662
"2013-12-05",15.38,15.76,15.31,15.67,8691081
"2013-12-12",15.83,15.97,15.49,15.51,12045157
"2013-12-19",15.47,15.67,15.46,15.58,5213930
"2013-12-26",15.92,16,15.83,15.89,3231951
"2014-01-02",15.9,16,15.56,15.59,7742890
"2014-01-09",15.59,15.61,14.91,15.14,12549131
"2014-01-16",14.25,14.3,13.61,13.89,27394091
