"","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume"
"2014-09-15",199.16,199.32,198.38,198.98,76401421
"2014-09-22",200.35,200.38,198.73,199.15,125552758
"2014-09-29",196.2,197.89,196.05,197.54,95111605
"2014-10-06",197.34,197.6,195.58,196.29,104778335
"2014-10-13",190.46,191.15,187.3,187.41,230938833
"2014-10-20",188.13,190.45,188.07,190.3,130010813
"2014-10-27",195.73,196.45,195.03,196.16,82953689
"2014-11-03",201.92,202.45,201.3,201.77,93734143
"2014-11-10",203.38,204.04,203.13,203.98,66318964
"2014-11-17",203.85,204.58,203.65,204.37,80440954
"2014-11-24",207.17,207.39,206.91,207.26,65880759
"2014-12-01",206.4,206.54,205.38,205.76,103968354
"2014-12-08",207.52,208.12,205.93,206.61,108588152
"2014-12-15",201.98,202.53,198.78,199.51,189965750
"2014-12-22",206.75,207.47,206.46,207.47,148318934
"2014-12-29",208.22,208.97,208.14,208.72,79643948
"2015-01-05",204.17,204.37,201.35,201.72,169632646
"2015-01-12",204.41,204.6,201.92,202.65,144396067
"2015-01-26",204.71,205.56,203.85,205.45,92009711
"2015-02-02",200.05,202.03,197.86,201.92,163106969
"2015-02-09",204.77,205.64,204.14,204.63,87219016
"2015-02-23",210.94,211.21,210.48,211.21,74411054
"2015-03-02",210.78,212.06,210.72,211.99,87491428
"2015-03-09",207.74,208.79,207.55,208.36,89818893
"2015-03-16",206.71,208.69,205.86,208.58,136099192
"2015-03-23",210.42,211.11,210,210,71784536
"2015-03-30",206.98,208.61,206.96,208.25,96180365
"2015-04-06",205.37,208.45,205.21,207.83,114368155
"2015-04-13",209.87,210.63,209.03,209.09,74436594
"2015-04-20",209.06,210.25,208.96,209.85,92189481
"2015-04-27",212.33,212.48,210.54,210.77,79358126
"2015-05-04",211.23,212.02,211.1,211.32,70927235
"2015-05-11",211.57,211.89,210.52,210.6,75708065
"2015-05-18",212.24,213.4,212.16,213.1,74549685
"2015-06-01",211.94,212.34,210.62,211.57,93338750
"2015-06-08",209.64,209.82,208.39,208.48,89063330
"2015-06-15",208.64,209.45,207.79,209.11,124384184
"2015-06-22",211.9,212.59,211.64,211.89,70696027
"2015-06-29",208.04,209.83,205.33,205.42,202621332
"2015-07-06",205.77,207.65,205.53,206.72,117975369
"2015-07-13",208.99,209.9,208.94,209.77,106069400
"2015-07-20",212.75,213.18,212.21,212.59,70446821
"2015-07-27",206.94,207.55,206.26,206.79,132361082
"2015-08-03",210.46,210.53,208.65,209.79,113965728
"2015-08-10",209.28,210.67,209.28,210.57,80270676
"2015-08-17",208.71,210.59,208.16,210.59,79072643
"2015-08-24",187.49,197.48,182.4,189.55,484852614
"2015-08-31",198.11,199.12,197.01,197.54,154776440
"2015-09-14",196.95,197.01,195.43,196.01,76519092
"2015-09-21",196.44,197.68,195.21,196.46,102789474
"2015-09-28",191.78,191.91,187.64,188.01,159583396
"2015-10-05",196.46,198.74,196.33,198.47,123748244
"2015-10-12",201.42,201.76,200.91,201.52,55724977
"2015-10-19",202.5,203.37,202.13,203.32,74403014
"2015-10-26",207.3,207.37,206.56,206.99,68090390
"2015-11-02",208.32,210.62,208.17,210.33,83311007
"2015-11-09",209.31,209.49,206.95,208.08,126638839
"2015-11-16",202.32,205.69,202.18,205.62,115930080
"2015-11-23",209.38,209.98,208.52,209.07,63857028
"2015-11-30",209.75,209.89,208.56,208.69,110123708
"2015-12-07",209.23,209.73,207.2,208.35,102027111
"2015-12-14",202.07,203.05,199.95,202.9,178914452
"2015-12-21",201.41,201.88,200.09,201.67,99094290
"2015-12-28",204.86,205.26,203.94,205.21,65899939
"2016-01-04",200.49,201.03,198.59,201.02,218722198
"2016-01-11",193.01,193.41,189.82,192.11,187941323
"2016-01-25",189.92,190.15,187.41,187.64,127112162
"2016-02-01",192.53,194.58,191.84,193.65,133582159
"2016-02-08",185.77,186.12,182.8,185.42,189248416
"2016-02-22",193.87,194.95,193.79,194.78,101699014
"2016-02-29",195.11,196.23,193.33,193.35,122448542
"2016-03-07",199.34,201.07,199.25,200.59,99778790
"2016-03-14",202.16,203.04,201.77,202.5,73346912
"2016-03-21",204.07,204.94,203.8,204.67,70591212
"2016-03-28",203.61,203.86,202.7,203.24,61514340
"2016-04-04",206.83,207.07,205.89,206.25,62340197
"2016-04-11",205.25,206.07,203.91,204.02,81496090
"2016-04-18",207.14,209.28,207,209.24,81477881
"2016-04-25",208.26,208.66,207.54,208.61,65772156
"2016-05-02",206.92,208.18,206.41,207.97,61624442
"2016-05-09",205.57,206.4,205.36,205.89,72649675
"2016-05-16",204.96,207.34,204.89,206.78,76651000
"2016-05-23",205.51,205.84,204.98,205.21,58382204
"2016-06-06",210.7,211.77,210.51,211.35,64887045
"2016-06-13",209.36,210.37,208.35,208.45,117751153
"2016-06-20",208.82,209.61,207.75,207.85,82789603
"2016-06-27",201.59,201.6,198.65,199.6,248988660
"2016-07-11",213.19,214.07,212.95,213.4,73633937
"2016-07-18",215.97,216.6,215.67,216.41,58725918
"2016-07-25",217,217.06,215.97,216.65,55873147
"2016-08-01",217.19,217.65,216.4,216.94,73311422
"2016-08-08",218.4,218.52,217.74,218.05,39906479
"2016-08-15",218.89,219.5,218.88,219.09,49813482
"2016-08-22",218.26,218.8,217.83,218.53,61368766
"2016-08-29",217.44,218.66,217.4,218.36,70502167
"2016-09-12",212.39,216.81,212.31,216.34,168110913
