"","SRCL.Open","SRCL.High","SRCL.Low","SRCL.Close","SRCL.Volume"
"2011-09-15",84.14,84.3,82.73,83.82,339472
"2011-09-22",79.41,80.99,78.06,78.73,600730
"2011-09-29",82.86,83.09,79.37,81.21,325656
"2011-10-06",80.54,81.22,79.47,81.22,337077
"2011-10-13",83.31,83.66,82.8,83.57,239100
"2011-10-20",82.75,83.09,81.07,82.45,531170
"2011-10-27",87.56,89.48,86.79,88.41,759787
"2011-11-03",81.35,82.7,80.86,82.14,501148
"2011-11-10",79.03,79.46,77.25,77.85,1037149
"2011-11-17",77.17,78,76.32,77.15,657471
"2011-12-01",80.95,81.89,80.46,80.53,456917
"2011-12-08",78.22,79.1,77.19,77.23,522635
"2011-12-15",77.38,77.55,76.04,76.22,500907
"2011-12-22",78.49,79.1,78.14,78.2,251985
"2011-12-29",78.75,78.86,77.5,78.51,296010
"2012-01-05",76.62,77.04,75.75,76.93,283325
"2012-01-12",81,83.91,80.77,83.66,822848
"2012-01-19",84.28,84.29,83.27,83.56,388984
"2012-01-26",84.23,84.67,82.99,83.72,501610
"2012-02-02",84.89,86.11,84.71,85.3,473250
"2012-02-09",85,85.33,84.23,85.27,274989
"2012-02-16",87.01,87.85,86.69,87.59,395151
"2012-02-23",87.62,89.3,87.22,89.27,273045
"2012-03-01",86.69,86.95,86.06,86.59,270294
"2012-03-08",85.58,86.93,85.51,86.67,259147
"2012-03-15",86.98,86.98,86,86.44,305364
"2012-03-22",85.05,85.49,84.4,85.44,292361
"2012-03-29",84.48,84.95,83.86,84.18,368969
"2012-04-05",84.15,85.62,84.15,85.57,306457
"2012-04-12",85.45,87.11,85.23,86.67,504411
"2012-04-19",87.48,87.88,86.98,87.28,336233
"2012-04-26",86,86.89,85.42,85.97,670422
"2012-05-03",87.2,87.51,86.27,86.53,409763
"2012-05-10",83.51,83.87,82.92,83.32,319638
"2012-05-17",83.14,83.46,82.25,82.4,469932
"2012-05-24",85.89,86.81,85.26,86.8,668751
"2012-05-31",86.77,87.59,86.23,87.26,888839
"2012-06-07",87,87.1,85.32,86.04,758760
"2012-06-14",87.76,88.52,87.45,88.02,477852
"2012-06-21",90.45,90.58,88.65,88.68,553316
"2012-06-28",89.45,90.09,88.73,89.55,275709
"2012-07-05",92.4,93.01,92.4,92.82,333723
"2012-07-12",92.04,92.81,91.44,92.53,580716
"2012-07-19",93.24,94.21,92.61,94.17,450884
"2012-07-26",92.17,92.79,88.07,92.22,1040623
"2012-08-02",91.56,91.96,90.37,90.4,449554
"2012-08-09",90.18,90.18,88.79,89.06,549208
"2012-08-16",90.24,91.68,90.17,91.51,457574
"2012-08-23",90.28,90.36,90.01,90.24,204140
"2012-08-30",91.65,92.9,91.04,91.55,241307
"2012-09-06",92.49,93.88,92.49,93.4,354265
"2012-09-13",93.13,93.6,92.29,93.32,265425
"2012-09-20",93.57,93.58,91.26,91.43,445676
"2012-09-27",90.09,90.53,89.75,90,406916
"2012-10-04",91.14,92.29,90.56,92.03,258996
"2012-10-11",90.78,90.78,90.13,90.24,487611
"2012-10-18",93.18,93.94,92.84,93.61,262903
"2012-10-25",89.94,95.44,89.44,95.21,1770921
"2012-11-01",95,96,94.35,95.76,733303
"2012-11-08",93.35,93.65,91.97,91.97,561728
"2012-11-15",90.67,90.67,89.89,90.37,621768
"2012-11-29",93.37,93.9,93.02,93.79,524281
"2012-12-06",94.1,94.48,93.52,94.36,690340
"2012-12-13",93.68,94.06,93.04,93.3,406905
"2012-12-20",92.67,93.01,91.99,92.69,394818
"2012-12-27",91.71,92.39,91.29,92.19,293139
"2013-01-03",93.75,95.42,93.75,95.03,336833
"2013-01-10",95.72,95.85,94.83,95.24,335286
"2013-01-17",94.07,94.94,93.78,94.15,301419
"2013-01-24",95.39,95.65,94.54,94.55,428825
"2013-01-31",94.51,94.96,93.74,94.35,356170
"2013-02-07",95.66,99.06,95.66,98.19,2005012
"2013-02-14",95.85,96.85,95.85,96.44,586206
"2013-02-21",95.93,96.38,95.42,95.65,602484
"2013-02-28",94.5,96.53,94.5,95.92,844158
"2013-03-07",97.69,97.85,96.8,97.36,271444
"2013-03-14",101,101.74,100.79,101.2,543637
"2013-03-21",101.85,102.46,101.54,102.25,376072
"2013-03-28",104.55,106.28,104.25,106.18,572396
"2013-04-04",105.12,105.46,104.59,105.16,261166
"2013-04-11",107.36,108.66,106.63,108.54,446822
"2013-04-18",106.7,107.97,105.97,106.88,308665
"2013-04-25",109.15,110,107.01,108.06,735065
"2013-05-02",107.94,108.3,107.15,108,341670
"2013-05-09",110.77,111.18,109.85,110.39,222365
"2013-05-16",111.48,111.97,111.02,111.2,255221
"2013-05-23",110.57,111.68,110.39,111.28,352081
"2013-05-30",108.32,110.38,107.29,109.65,550167
"2013-06-06",107.36,107.65,106.57,107.57,440477
"2013-06-13",105.63,106.96,105.5,106.87,416274
"2013-06-20",107.51,108.13,106.36,106.68,299406
"2013-06-27",110.33,111.58,110.33,110.99,297371
"2013-07-11",115.91,116.72,115.01,116.59,316812
"2013-07-18",116.04,117.91,116.02,117.41,299969
"2013-07-25",117.25,118.11,116,116.91,395725
"2013-08-01",116.63,116.95,115.95,116.71,519684
"2013-08-08",117.3,117.98,116.44,117.69,187258
"2013-08-15",116.11,116.67,114.22,114.51,399819
"2013-08-22",114.13,115.67,114.13,115.22,170795
"2013-08-29",112.97,113.66,112.51,112.75,192040
"2013-09-05",112.5,112.98,111.73,112.38,265902
"2013-09-12",114.85,115.74,114.57,114.71,187061
"2013-09-19",117.5,117.58,116.51,117.11,272016
"2013-09-26",114.96,115.67,114.62,115.65,172181
"2013-10-03",115.15,115.15,113.4,114.22,302438
"2013-10-10",114.31,116.03,113.87,115.97,160084
"2013-10-17",118.19,119.69,117.99,119.59,237193
"2013-10-24",113.44,119.54,112.89,114.54,1109168
"2013-10-31",115.68,116.77,115.48,116.2,228995
"2013-11-07",116.39,116.74,115.2,115.34,291156
"2013-11-14",117.34,118.2,117.06,117.87,215202
"2013-11-21",118.19,118.87,117.51,118.66,201932
"2013-12-05",115.66,116.7,115.33,116.18,367566
"2013-12-12",114.59,114.97,114.26,114.29,537171
"2013-12-19",114.51,115.11,113.87,114.53,421436
"2013-12-26",116,116.16,114.9,115.31,250226
"2014-01-02",115.28,116.23,114.81,114.88,382978
"2014-01-09",116.2,116.73,114.98,116.01,364714
"2014-01-16",117.83,118.55,117.53,118.4,406374
"2014-01-23",119.03,119.29,117.38,118.12,448876
"2014-01-30",116.11,118.37,115.62,117.47,460875
"2014-02-06",113.28,115.54,111.75,114.76,1143482
"2014-02-13",115.47,116.5,115.08,115.75,712110
"2014-02-20",115.68,116.42,115.18,115.99,320788
"2014-02-27",113.75,113.83,112.48,112.98,509736
"2014-03-06",115.88,116.95,115.51,116.78,381785
"2014-03-13",116.25,116.26,115.13,115.61,476327
"2014-03-20",115.07,115.96,114.3,114.38,323902
"2014-03-27",112.29,112.51,111.73,112.15,244503
"2014-04-03",114.17,114.29,113.58,114.24,354216
"2014-04-10",113,113.75,111.47,111.62,546929
"2014-04-17",110.99,111.61,110.66,111.15,425052
"2014-04-24",113.12,114.46,112.84,113.11,412929
"2014-05-01",116.25,116.54,115.22,115.99,277366
"2014-05-08",114.38,114.98,113.84,114.24,226493
"2014-05-15",113.15,113.64,112.07,112.45,472748
"2014-05-22",112.05,112.47,111.51,112.14,299228
"2014-05-29",112.91,113.12,112.15,112.62,264198
"2014-06-05",115.11,115.38,114.52,115.21,218388
"2014-06-12",115.34,115.34,114.5,114.97,252656
"2014-06-19",118.07,118.07,117.18,117.7,370890
"2014-06-26",118.74,118.74,117.52,118.34,194993
"2014-07-03",119.45,119.57,118.66,119.23,140357
"2014-07-10",118.69,119.17,118.32,118.7,291089
"2014-07-17",118.74,119.47,117.79,118.12,315413
"2014-07-24",118.01,118.08,117.09,117.77,310747
"2014-07-31",119.5,119.5,117.61,117.65,405950
"2014-08-07",117.16,117.65,116.77,117.37,328134
"2014-08-14",118.01,118.99,117.55,118.87,153855
"2014-08-21",119.5,120,119.21,119.98,239254
"2014-08-28",118.65,119.03,118.04,118.8,153928
"2014-09-04",117.84,118.39,117.51,117.82,302580
"2014-09-11",117.62,117.81,117.24,117.49,164276
"2014-09-18",117.02,117.12,116.6,116.94,238469
"2014-09-25",115.66,115.88,115.08,115.31,508984
"2014-10-02",116.49,117.16,116.2,116.68,383327
"2014-10-09",118.75,119.5,117.42,117.89,485973
"2014-10-16",114.99,117.78,114.26,117.12,608090
"2014-10-23",123.62,124.27,123.06,123.8,580622
"2014-10-30",122.39,123.8,122.39,123.73,347651
"2014-11-06",126.75,127.72,126.48,127.59,266384
"2014-11-13",127.97,128.49,127.02,127.94,326971
"2014-11-20",127.29,127.32,126.4,126.76,316385
"2014-12-04",130.22,130.88,129.66,130.26,321808
"2014-12-11",130.47,131.92,130.34,130.53,406721
"2014-12-18",130.11,132.5,129.73,132.5,610446
"2015-01-08",131.87,133.68,131.83,133.27,445998
"2015-01-15",134.82,136.16,133.45,133.51,446369
"2015-01-22",134.59,135.37,133.5,135.36,426174
"2015-01-29",133,133.63,132.1,133.33,297636
"2015-02-05",133.14,135.16,129.76,134.97,484041
"2015-02-12",131.97,132.32,131.47,131.8,447974
"2015-02-19",134.79,135.23,133.02,134.09,503892
"2015-02-26",135.31,135.33,134.34,135,283171
"2015-03-05",135.37,136.45,134.75,136.28,324249
"2015-03-12",136.51,137.03,135.85,136.88,254489
"2015-03-19",140.51,140.9,139.64,140,372457
"2015-03-26",138.03,138.79,137.33,138.28,366760
"2015-04-02",139.04,140.42,138.56,140.14,337102
"2015-04-09",140.76,141.58,140.21,141.54,415125
"2015-04-16",141.07,141.07,139.88,140.83,245069
"2015-04-23",138.85,141.01,138.85,140.5,382733
"2015-04-30",133.28,134.85,133.02,133.43,586828
"2015-05-07",132.74,133.34,132.35,133.1,372396
"2015-05-14",135.47,136.82,135.04,136.71,357974
"2015-05-21",137.5,138.61,137.5,138.25,325154
"2015-05-28",138.18,138.38,137.71,138.17,314824
"2015-06-04",137.53,137.74,136.63,136.72,313939
"2015-06-11",136.63,137.59,136.4,137.09,372144
"2015-06-18",136.29,138.32,136.06,137.48,305172
"2015-06-25",135.71,136.1,134.98,135.01,547856
"2015-07-02",135.05,135.1,134.3,134.64,281652
