"","SRE.Open","SRE.High","SRE.Low","SRE.Close","SRE.Volume"
"2011-09-15",51.74,52.32,51.56,52.26,1024357
"2011-09-22",50.34,50.46,49.16,49.72,3071834
"2011-09-29",51.35,51.64,50.74,51.41,1348444
"2011-10-06",49.93,51.04,49.69,51,620225
"2011-10-13",51.37,51.93,50.8,51.76,1288658
"2011-10-20",53.14,53.7,52.89,53.55,1114508
"2011-10-27",55.57,55.58,54.49,54.8,2603225
"2011-11-03",52.14,53.98,52.14,53.52,2321853
"2011-11-10",53.37,53.62,52.72,53.05,1066363
"2011-11-17",52.45,52.82,51.77,52.24,1130213
"2011-12-01",53.24,53.62,53.02,53.19,1030176
"2011-12-08",52.85,52.85,51.92,52.01,1147909
"2011-12-15",52.45,53.01,52.36,52.76,1267188
"2011-12-22",54.36,54.48,53.94,54.11,814788
"2011-12-29",54.67,55.37,54.63,55.34,752944
"2012-01-05",55,55.82,54.81,55.54,1536792
"2012-01-12",55.53,55.83,55.14,55.52,876277
"2012-01-19",55.7,55.7,55.12,55.64,980803
"2012-01-26",57.5,58.42,57.28,58.18,1670679
"2012-02-02",57.92,58.15,57.39,57.61,1041743
"2012-02-09",58.41,58.41,57.94,58.17,1024099
"2012-02-16",57.61,58.21,57.51,57.96,1165534
"2012-02-23",58.1,58.18,57.19,57.67,1823998
"2012-03-01",59.2,59.61,58.68,59.3,2075442
"2012-03-08",58.58,58.7,58.2,58.45,3788817
"2012-03-15",59.11,59.34,58.66,59.16,1104552
"2012-03-22",58.23,58.42,57.95,58.3,1366039
"2012-03-29",58.18,59.42,57.89,59.25,2432082
"2012-04-05",61.91,62.49,61.73,62.43,1489406
"2012-04-12",62.68,63.12,62.25,62.89,2197577
"2012-04-19",63.39,63.56,62.88,63.51,1958454
"2012-04-26",64.11,64.11,63.33,63.91,1935785
"2012-05-03",64.22,65.37,64.22,64.45,1981089
"2012-05-10",64.5,65.24,64.3,64.97,1698303
"2012-05-17",64.01,64.15,63.7,63.72,1300050
"2012-05-24",63.57,64.57,63.46,64.05,1429938
"2012-05-31",64.49,65.42,64.35,65.01,1222603
"2012-06-07",65.95,66.46,65.8,66.18,1703944
"2012-06-14",67,67.69,66.99,67.49,1179677
"2012-06-21",68.71,69.08,67.79,67.86,1493911
"2012-06-28",67.72,68.33,67.28,68.19,743420
"2012-07-05",69.15,69.16,68.77,68.78,912436
"2012-07-12",68.2,68.58,68.1,68.41,1205079
"2012-07-19",70.14,70.59,69.84,70.43,817680
"2012-07-26",68.8,69.77,68.8,69.68,759971
"2012-08-02",70.1,70.13,68.86,69.23,1172594
"2012-08-09",68.89,69.14,68.59,68.88,558838
"2012-08-16",69.22,69.5,68.79,68.92,616789
"2012-08-23",67.7,67.74,66.83,66.95,617561
"2012-08-30",66.58,66.77,66.18,66.4,751693
"2012-09-06",66.01,66.81,65.79,66.79,913688
"2012-09-13",66.23,67.22,66.14,67.22,924616
"2012-09-20",64.53,64.94,64.5,64.79,1024691
"2012-09-27",64.35,64.61,64.04,64.06,1198524
"2012-10-04",66.44,66.87,66.26,66.39,1169673
"2012-10-11",67.06,67.28,66.79,67.01,738769
"2012-10-18",68.23,68.48,68.11,68.35,742539
"2012-10-25",67.91,68.66,67.83,68.65,1116081
"2012-11-01",69.17,69.26,68.6,68.99,1204730
"2012-11-08",66.96,67.34,66.06,66.06,1066468
"2012-11-15",65.76,66.1,65,65.19,1084414
"2012-11-29",67.61,67.87,67.21,67.78,598443
"2012-12-06",70.43,71.57,70.26,71.5,1751609
"2012-12-13",71.46,71.73,71.07,71.44,915653
"2012-12-20",71.99,72.39,71.73,71.95,1274127
"2012-12-27",70.92,71.24,69.85,70.74,715675
"2013-01-03",72.21,72.62,71.75,71.96,578934
"2013-01-10",71.65,72.17,71.58,71.86,830732
"2013-01-17",72.41,72.91,72.06,72.67,741859
"2013-01-24",73.8,74.47,73.77,73.97,568889
"2013-01-31",74.89,75.4,74.8,75.05,840928
"2013-02-07",75.75,76.24,75.37,75.68,843425
"2013-02-14",76.2,76.5,75.31,75.35,1248983
"2013-02-21",76.04,76.3,75.69,75.83,793566
"2013-02-28",77.13,78.15,77.08,77.76,1248581
"2013-03-07",79.33,79.33,78.45,78.48,878758
"2013-03-14",78.94,79.27,78.74,79.24,691432
"2013-03-21",79.62,79.83,79.15,79.27,781285
"2013-03-28",79.52,80.01,79.38,79.94,1131440
"2013-04-04",80.51,81.29,80.44,81.16,684122
"2013-04-11",82.31,82.64,82.18,82.43,1037869
"2013-04-18",81.42,81.6,80.73,81.25,1384874
"2013-04-25",81.86,81.92,81,81.52,1041662
"2013-05-02",81.84,84.7,80.83,83.26,2387279
"2013-05-09",82.81,83.34,81.53,81.88,1020565
"2013-05-16",83.5,84.41,82.92,82.99,1776494
"2013-05-23",79.63,80.1,78.11,79.47,2926611
"2013-05-30",80.99,82.53,80.99,81.68,1775396
"2013-06-06",79.07,80.06,78.6,80.05,1709316
"2013-06-13",78.36,80.07,78.13,79.98,629187
"2013-06-20",80.29,80.31,78.48,78.71,1260483
"2013-06-27",82.54,83.46,82.18,82.44,869773
"2013-07-11",82.75,83.2,82.22,83.09,966924
"2013-07-18",84.98,85.96,84.98,85.95,811912
"2013-07-25",85.82,87.19,85.75,87.11,770416
"2013-08-01",88.04,88.78,87.69,88.49,736685
"2013-08-08",87.88,88.22,87.1,87.5,811053
"2013-08-15",85.01,85.06,83.53,83.79,808456
"2013-08-22",83.17,83.91,82.72,83.34,785748
"2013-08-29",84.07,84.46,83.56,83.97,630985
"2013-09-05",83.21,83.72,82.6,82.8,581290
"2013-09-12",84.29,85.15,84,84.36,1308941
"2013-09-19",88.77,89.46,87.4,87.83,1458271
