"","STT.Open","STT.High","STT.Low","STT.Close","STT.Volume"
"2011-09-15",33.64,34.48,33.44,34.46,3353990
"2011-09-22",30.48,31.52,30.19,31.22,11030609
"2011-09-29",32.86,33.47,31.98,33.07,5200542
"2011-10-06",32.38,32.84,31.68,32.62,7814479
"2011-10-13",33.33,33.77,32.43,33.22,5076372
"2011-10-20",37.03,38.58,36.83,38.18,7263132
"2011-10-27",41.13,42.24,40.88,41.2,9243667
"2011-11-03",40.93,40.93,39.01,40.37,6469287
"2011-11-10",39.95,40.39,39.38,40.11,4507858
"2011-11-17",39.51,39.99,38.28,38.54,5439107
"2011-12-01",39.36,39.51,38.94,39.22,3766427
"2011-12-08",40.97,41,39.63,39.81,3787895
"2011-12-15",39.69,39.9,39.07,39.11,2918080
"2011-12-22",40.85,41.3,40.61,41.09,3903668
"2011-12-29",40.15,40.84,40.15,40.78,1807085
"2012-01-05",40.86,41.88,40.4,41.76,2979624
"2012-01-12",43.31,43.67,42.97,43.61,3368432
"2012-01-19",40.18,41.19,40.01,41.06,6415746
"2012-01-26",40,40.16,38.53,38.78,8924775
"2012-02-02",40.51,41.16,40.16,40.98,4626344
"2012-02-09",41.85,42.05,41.07,41.1,4207514
"2012-02-16",39.18,40.42,39.12,40.36,3637952
"2012-02-23",39.57,40.95,39.57,40.86,4031092
"2012-03-01",42.38,42.83,42.11,42.42,4199630
"2012-03-08",41.77,41.98,41.39,41.76,2629243
"2012-03-15",44.93,46.21,44.5,45.84,5524281
"2012-03-22",45.47,45.62,44.77,45.01,2801827
"2012-03-29",44.9,45.13,44.47,45.06,2830243
"2012-04-05",44.46,44.93,44.29,44.56,2459388
"2012-04-12",43.34,44.25,43.27,44.18,2909492
"2012-04-19",44.84,45.45,44.74,45.03,5106904
"2012-04-26",45.81,46.61,45.73,46.36,2907115
"2012-05-03",46.25,46.53,45.96,46.07,3120342
"2012-05-10",44.16,44.46,43.8,43.9,3143547
"2012-05-17",41.75,42.27,41.49,41.5,4275007
"2012-05-24",41.94,42,41.29,41.73,2332692
"2012-05-31",41.57,41.73,40.67,41.21,5062111
"2012-06-07",41.79,42.15,41.59,41.85,4659228
"2012-06-14",43.38,43.57,42.85,43.3,5140853
"2012-06-21",44.07,44.16,43.01,43.14,4393000
"2012-06-28",42.52,43.21,42.17,43.17,2600090
"2012-07-05",44.58,45.09,44.27,44.8,2862131
"2012-07-12",42.89,43.06,42.64,42.8,3756135
"2012-07-19",41.54,41.92,41.25,41.54,4270421
"2012-07-26",39.6,39.84,39.3,39.69,5521441
"2012-08-02",39.88,40.04,39.34,39.56,4965105
"2012-08-09",41.35,41.97,41.17,41.81,2730217
"2012-08-16",41.08,41.74,41.03,41.57,2558409
"2012-08-23",41.55,41.66,40.97,41.22,2573594
"2012-08-30",41.01,41.36,40.84,41.18,2203876
"2012-09-06",42.3,42.99,42.26,42.86,3817502
"2012-09-13",43.14,44.34,42.88,44.09,4527238
"2012-09-20",43.11,43.54,42.86,43.43,2979724
"2012-09-27",41.76,42.31,41.42,42.04,6094345
"2012-10-04",42.1,42.66,42.05,42.29,4119138
"2012-10-11",41.85,42.49,41.76,42.02,5134155
"2012-10-18",44.68,45.07,44.55,44.93,4614099
"2012-10-25",44.7,44.91,44.21,44.69,3979590
"2012-11-01",44.68,45.32,43.84,45.05,2776386
"2012-11-08",44.8,45.48,44.37,44.38,4848613
"2012-11-15",43.99,44.37,43.9,44.14,4461856
"2012-11-29",44.93,45.06,44.45,44.6,3283232
"2012-12-06",44.62,44.7,44.05,44.57,3473330
"2012-12-13",45.41,45.6,45.24,45.35,2613820
"2012-12-20",46.53,46.6,46.24,46.55,3136396
"2012-12-27",46.51,46.54,45.76,46.32,3816238
"2013-01-03",48.13,48.21,47.77,48.06,4213153
"2013-01-10",49.9,50.38,49.77,50.25,5841733
"2013-01-17",50.11,50.75,50.06,50.38,5742512
"2013-01-24",55.33,55.88,55.19,55.52,4184211
"2013-01-31",55.78,56,55.61,55.65,5547164
"2013-02-07",56.5,56.84,55.94,56.23,4190143
"2013-02-14",56.85,57.37,56.63,57.2,2288811
"2013-02-21",56.51,56.7,55.83,56.09,3406514
"2013-02-28",56.87,57.35,56.52,56.59,5293528
"2013-03-07",58.69,58.92,58.26,58.66,3357427
"2013-03-14",59.91,60.11,59.78,59.95,2567482
"2013-03-21",60.23,60.24,58.82,59,2894265
"2013-03-28",59.46,59.66,59.04,59.09,3360542
"2013-04-04",57,57.51,56.73,57.17,3342511
"2013-04-11",60.06,60.78,59.95,60.48,3450447
"2013-04-18",57.45,57.58,56.16,56.51,3456934
"2013-04-25",58.47,58.64,58.07,58.3,1880067
"2013-05-02",57.63,58,57.37,57.6,2372288
"2013-05-09",60.37,60.58,59.95,60.22,2150795
"2013-05-16",63.4,64.04,63.08,63.81,3484122
"2013-05-23",64.38,65,63.93,64.6,2593383
"2013-05-30",66.85,67.5,66.58,67.19,4162008
"2013-06-06",64.79,65.53,64.23,65.53,2665648
"2013-06-13",64.74,66.48,64.66,66.41,3716746
"2013-06-20",66.15,66.78,65.76,65.97,4899499
"2013-06-27",65.33,65.68,64.92,65.55,2471686
"2013-07-11",69.6,69.82,68.24,68.5,3104677
"2013-07-18",69.68,70.12,68.88,70.1,3276887
"2013-07-25",69.44,69.61,69,69.35,2781373
"2013-08-01",70.16,70.89,70.14,70.7,1863195
"2013-08-08",69.69,70.35,69.37,69.51,1567550
"2013-08-15",68.62,68.67,67.65,67.8,1744880
"2013-08-22",68.42,69.92,68.36,69.73,1936888
"2013-08-29",66.63,67.84,66.46,67.2,1314054
"2013-09-05",68.37,69.1,68.24,68.31,1737033
"2013-09-12",68.37,68.43,67.71,67.8,1654473
"2013-09-19",69.32,69.56,68.27,68.63,2310229
"2013-09-26",66.72,67.53,66.62,66.97,1585729
"2013-10-03",65.93,66.19,65.36,65.75,3664457
"2013-10-10",65.75,67.13,65.62,67.11,2104512
"2013-10-17",68.2,69.62,67.81,69.52,3030973
"2013-10-24",67.68,68.33,67.54,67.94,3034689
"2013-10-31",70.19,70.52,69.98,70.07,2322833
"2013-11-07",71.27,71.47,69.81,69.85,2586878
"2013-11-14",67.54,71.15,67.54,70.62,2036042
"2013-11-21",71.44,72.16,71.36,72.05,1755580
"2013-12-05",70.58,70.84,69.95,70.16,2458805
"2013-12-12",70.47,70.77,70.17,70.21,1750969
"2013-12-19",71.13,71.43,70.76,71.03,1667343
"2013-12-26",72.56,72.89,72.27,72.73,942916
"2014-01-02",73.35,73.56,72.92,73.16,1733439
"2014-01-09",75.39,75.66,74.83,75.35,1298846
"2014-01-16",74.05,74.24,73.49,73.72,1281459
"2014-01-23",74.56,74.56,72.54,72.76,2607351
"2014-01-30",68.34,68.65,68.03,68.24,3082027
"2014-02-06",64.56,66.04,64.45,65.92,2327236
"2014-02-13",68.15,68.92,68.03,68.5,2540122
"2014-02-20",68.13,68.22,67.03,67.82,1868503
"2014-02-27",67.31,68.4,67.05,67.39,3414523
"2014-03-06",66.89,68.16,66.63,67.73,3306852
"2014-03-13",66.54,66.59,64.42,64.48,4026601
"2014-03-20",66.01,68.46,65.95,68,3823483
"2014-03-27",68.54,68.86,67.27,68.49,4528399
"2014-04-03",69.38,69.63,68.89,69.49,1542123
"2014-04-10",67.16,67.2,65.13,65.15,2548416
"2014-04-17",65,65.93,64.88,65.53,1922332
"2014-04-24",66.24,66.37,65.1,65.73,3045350
"2014-05-01",64.55,64.89,64.32,64.6,2037347
"2014-05-08",64.4,65.21,63.98,64.96,2660709
"2014-05-15",64.62,64.68,62.8,63.21,4434559
"2014-05-22",64.25,64.85,63.99,64.69,1736662
"2014-05-29",65.16,65.49,64.73,65.01,2257394
"2014-06-05",66.66,66.83,65.98,66.43,2315095
"2014-06-12",66.5,66.76,66.13,66.23,1926288
"2014-06-19",67.84,67.96,66.96,67.22,3163555
"2014-06-26",67.86,67.86,66.83,67.67,1845277
"2014-07-03",68.44,69.18,68.41,68.84,1259879
"2014-07-10",67.12,68.02,66.82,67.7,1458113
"2014-07-17",68.96,69.47,68.74,69.12,2967311
"2014-07-24",70.47,71.61,70.32,71.56,2846784
"2014-07-31",71.36,71.74,70.42,70.44,2459325
"2014-08-07",70.54,70.82,69.5,69.69,2015967
"2014-08-14",70.2,70.26,69.82,70.17,1387085
"2014-08-21",70.53,70.83,70.16,70.77,1726709
"2014-08-28",71.19,71.86,71.06,71.67,1171284
"2014-09-04",72.78,73.1,72.22,72.43,1984596
"2014-09-11",71.8,73.03,71.8,72.92,2001539
"2014-09-18",75.1,76.04,75.04,75.73,2394332
"2014-09-25",74.67,74.76,73.69,73.86,1893938
"2014-10-02",72.56,72.74,71.61,72.66,2776087
"2014-10-09",71.82,72.08,69.1,69.11,4754223
"2014-10-16",64.28,66.78,64.21,66.19,2564029
"2014-10-23",68.86,69.41,68.49,68.94,2012970
"2014-10-30",73.72,74.2,73.21,73.55,2530426
"2014-11-06",77.36,77.93,77.01,77.85,1159243
"2014-11-13",77.53,77.57,75.97,76.48,3010342
"2014-11-20",75.31,76.66,75.16,76.2,1881121
"2014-12-04",78.16,78.54,77.58,78.28,1765853
"2014-12-11",78.85,79.62,78.09,78.2,2033139
"2014-12-18",77.79,79.47,77.79,79.47,2348151
"2015-01-08",76.38,77.3,76.22,77.15,1590052
"2015-01-15",73.14,74.02,72.75,72.78,2370097
"2015-01-22",75.42,77.33,74.94,77.09,4103768
"2015-01-29",71.19,71.93,70.61,71.8,2667907
"2015-02-05",74.24,75.16,73.81,74.69,2024651
"2015-02-12",77.28,77.76,77.1,77.39,4828539
"2015-02-19",75.9,76.92,75.83,76.54,2082086
"2015-02-26",75.86,76.3,74.52,74.81,5054574
"2015-03-05",75.12,75.12,74.38,74.67,2365322
"2015-03-12",73.28,74.23,72.6,73.67,3745096
"2015-03-19",74.99,75.47,74.54,74.83,3063610
"2015-03-26",73.08,74.28,72.67,73.65,2727823
"2015-04-02",73.31,74.22,73.26,73.97,1920633
"2015-04-09",75.54,76.32,75.32,76.22,1799944
"2015-04-16",76.21,76.66,75.99,76.44,1177356
"2015-04-23",77.83,78.55,77.44,78.19,2804057
"2015-04-30",77.58,78.19,76.75,77.12,2143363
"2015-05-07",78.14,78.54,77.84,78.17,1816245
"2015-05-14",78.25,78.32,76,77.72,3376965
"2015-05-21",78.65,79.13,78.53,78.9,1412102
"2015-05-28",78.35,79.2,78.1,79.12,2051194
"2015-06-04",77.95,78.42,77.2,77.33,1648179
"2015-06-11",80.74,81.16,80.47,80.84,1260191
"2015-06-18",79.82,80.34,79.19,79.91,1763551
"2015-06-25",79.91,79.98,78.66,78.66,1823606
"2015-07-02",77.12,77.41,76.4,77.01,1396019
"2015-07-09",75.72,76.28,74.86,74.95,2543136
"2015-07-16",78.3,79.45,78.3,79.3,2401812
"2015-07-23",80.89,81.26,79.48,79.71,2070054
"2015-07-30",76.45,77.16,76.37,77.15,1232699
"2015-08-06",78,79,77.89,78.35,2680266
"2015-08-13",77.03,77.94,77.03,77.55,1915063
"2015-08-20",76.96,77.02,75.82,75.92,2814033
"2015-08-27",71.71,73.29,71.57,72.94,3130031
"2015-09-03",71,72.23,70.8,71.45,2311189
"2015-09-10",71,72.24,70.7,71.62,2372754
"2015-09-17",72.2,73.41,71.22,71.49,3071363
"2015-09-24",67.78,68.15,67.09,67.73,3455508
"2015-10-01",66.94,67.38,65.95,67.11,2190738
"2015-10-08",68.58,69.57,68.39,69.45,1190807
"2015-10-15",67.44,68.64,67.12,68.51,2033282
"2015-10-22",67.46,69.91,67.46,69.27,3160819
"2015-10-29",70.34,70.55,69.43,69.78,1984560
"2015-11-05",71.34,72.88,71.06,72.46,3197914
"2015-11-12",71.21,71.52,70.62,70.62,2840330
"2015-11-19",72.78,73.13,72.35,72.62,1427116
"2015-12-03",72.48,72.94,71.17,71.34,2408927
"2015-12-10",68.83,69.85,68.74,69.05,2789556
"2015-12-17",68.5,68.61,65.91,66.4,3755026
"2015-12-24",67.16,67.43,67.06,67.14,685914
"2015-12-31",66.07,67.25,65.88,66.36,1533796
"2016-01-07",62.03,62.14,60,60.22,3194608
"2016-01-14",57.28,58.24,56.14,57.44,3695125
"2016-01-21",55.2,55.96,54.24,54.43,2840900
"2016-01-28",52.1,52.66,50.73,51.98,4552498
"2016-02-04",53.68,56.16,53.39,55.11,3934064
"2016-02-11",51.44,53.07,51.44,52.38,3700249
"2016-02-18",56.68,56.88,55.14,55.58,3101513
"2016-02-25",54.28,54.74,53.62,54.74,4042555
"2016-03-03",57.71,58.19,57.05,58.05,2322008
"2016-03-10",57.5,57.5,56.02,56.57,4351817
"2016-03-17",56.66,57.75,56.35,57.4,5868183
"2016-03-24",58.74,59,58.04,58.75,2884472
"2016-03-31",58.4,59.21,58.25,58.52,2626082
"2016-04-07",57.57,57.87,55.88,56.18,2443975
"2016-04-14",59.57,60.75,59.29,60.08,2446637
"2016-04-21",61.75,62.32,61,61.19,1715375
"2016-04-28",63.31,63.89,62.64,62.81,2425982
"2016-05-05",60.11,60.36,59.54,59.74,1615712
"2016-05-12",60.73,61.19,59.61,60.03,1560492
"2016-05-19",61.03,61.61,60.09,60.72,2180061
"2016-05-26",63.56,63.92,62.8,62.87,2196321
"2016-06-02",62.9,63,62.38,63,1632465
"2016-06-09",61.01,61.01,60.12,60.29,2830775
"2016-06-16",57.43,57.57,56.67,57.55,3313180
"2016-06-23",59.48,60.3,59.48,60.27,2174019
"2016-06-30",52.59,53.93,52.53,53.92,6593633
"2016-07-07",52.12,52.91,51.88,52.04,4141683
"2016-07-14",55.94,56.4,55.69,56.22,3510508
"2016-07-21",57.72,57.82,57.15,57.3,1512437
"2016-07-28",63.83,65.48,63.58,65.45,3953471
"2016-08-04",65.77,66.02,65.4,65.79,2529420
"2016-08-11",67.89,68.8,67.57,68.5,1584668
"2016-08-18",68.81,69.22,68.7,69.05,1834904
"2016-08-25",68.87,69.19,68.76,69.04,1633224
"2016-09-01",70.54,70.84,69.38,70.12,1223850
"2016-09-08",70.12,70.98,70.02,70.54,2569809
"2016-09-15",69.42,70.52,69.14,70.37,2134317
