"","STX.Open","STX.High","STX.Low","STX.Close","STX.Volume"
"2011-09-15",12.06,12.16,11.71,11.88,5650868
"2011-09-22",10.89,10.92,10.45,10.67,9713021
"2011-09-29",11.31,11.37,10.36,10.71,9723678
"2011-10-06",10.19,10.75,10.16,10.72,5785849
"2011-10-13",11.21,11.91,11.1,11.82,7754061
"2011-10-20",12.26,12.26,11.48,12.06,19252508
"2011-10-27",16.66,16.89,15.81,16.33,13415916
"2011-11-03",17.3,17.71,16.66,17.29,19080487
"2011-11-10",17.49,17.65,16.62,17.51,13114004
"2011-11-17",17.11,17.19,16,16.76,11632166
"2011-12-01",17.28,17.7,16.82,17.4,9430368
"2011-12-08",16.31,16.38,15.57,15.7,7174471
"2011-12-15",15.63,15.84,15.36,15.38,6550411
"2011-12-22",16.06,16.36,15.87,16,4420358
"2011-12-29",15.67,15.87,15.48,15.85,3537304
"2012-01-05",18.2,18.27,17.55,17.9,28075436
"2012-01-12",18.81,19.5,18.8,19.37,23587573
"2012-01-19",19.79,19.95,19.69,19.84,7222849
"2012-01-26",19.92,20,19.66,19.8,7336259
"2012-02-02",25.46,26.31,25.19,25.74,26351245
"2012-02-09",27.06,27.3,26.29,26.68,14218376
"2012-02-16",26.47,27.3,26.3,27.18,9997782
"2012-02-23",26.35,27.4,26.35,27.11,9857361
"2012-03-01",26.44,27.4,25.98,27.36,10559215
"2012-03-08",27.7,28.56,27.7,27.98,11770042
"2012-03-15",27.41,27.52,26.41,26.58,13669234
"2012-03-22",26.7,27.98,26.66,27.93,12346328
"2012-03-29",26.97,27.14,26.42,27.09,6863998
"2012-04-05",26.73,26.8,24.87,25.72,31555378
"2012-04-12",26.02,27.12,26.02,26.98,8160672
"2012-04-19",29.16,29.59,28.45,28.77,16092404
"2012-04-26",31,31.49,30.6,31.09,9545951
"2012-05-03",32.36,32.49,30.82,31.24,11519946
"2012-05-10",30.94,31.72,30.76,31.47,12821654
"2012-05-17",30.17,30.51,28.61,28.67,13069196
"2012-05-24",25.79,27.1,25.78,26.39,16544785
"2012-05-31",23.85,23.88,22.89,23.43,20465755
"2012-06-07",23.64,23.82,22.53,22.66,13993733
"2012-06-14",23.97,24.01,23.38,23.44,8453140
"2012-06-21",23.95,24,22.61,22.68,11452881
"2012-06-28",23.46,23.78,22.86,23.25,19818485
"2012-07-05",24.9,25.33,24.54,25.08,7562360
"2012-07-12",25.24,25.55,24.58,25.23,7193843
"2012-07-19",27.64,27.8,26.9,27.16,7975744
"2012-07-26",29.12,30.6,28.85,30.06,28480665
"2012-08-02",29.95,30.48,29.45,29.96,8569243
"2012-08-09",32.97,33.29,32.48,33.09,13936498
"2012-08-16",34.21,34.7,33.95,34.62,6665139
"2012-08-23",34.75,34.75,33.39,33.69,13623452
"2012-08-30",32.99,33.04,31.7,32.21,10942337
"2012-09-06",31.25,32.06,30.87,31.7,18355225
"2012-09-13",30.11,30.91,29.18,30.32,9590422
"2012-09-20",29.45,30.24,29.16,30.02,9300503
"2012-09-27",31.1,31.95,30.71,31.93,6553484
"2012-10-04",30.11,30.36,29.81,30,10938042
"2012-10-11",28.58,28.93,28.13,28.25,7329879
"2012-10-18",28.17,28.66,27.94,27.97,6688997
"2012-10-25",27.98,28.37,27.81,28.13,6876527
"2012-11-01",27.34,28.33,27.24,28.23,7476473
"2012-11-08",29.37,29.92,29.37,29.61,7583380
"2012-11-15",26.71,27.13,26.71,26.87,11176684
"2012-11-29",25.74,25.86,24.98,25.26,10286268
"2012-12-06",27.44,28.73,27.41,28.53,11358345
"2012-12-13",27.74,28.2,27.52,27.75,7257048
"2012-12-20",30.27,30.53,29.85,30.38,5842921
"2012-12-27",30.22,30.4,29.75,30.21,4120465
"2013-01-03",31.93,32,31.32,31.38,4948817
"2013-01-10",33.66,33.72,32.98,33.68,9941043
"2013-01-17",34.41,35.08,34.36,35.02,7421985
"2013-01-24",36.39,37.37,36.27,36.87,8486687
"2013-01-31",33.21,34.84,32.96,33.98,13520872
"2013-02-07",34.39,34.76,33.53,34.74,9803890
"2013-02-14",34.81,35.26,34.8,34.95,3537420
"2013-02-21",32.23,32.34,31.38,31.72,5674851
"2013-02-28",31.86,32.5,31.71,32.16,5460052
"2013-03-07",33.18,33.2,31.94,32.22,5739702
"2013-03-14",35.5,35.95,35.37,35.89,5130196
"2013-03-21",34.7,34.78,34.08,34.52,3195104
"2013-03-28",36.65,36.95,36.26,36.56,4485077
"2013-04-04",36.13,36.37,35.77,36.34,2524548
"2013-04-11",36.99,37.04,35.75,36.53,7282087
"2013-04-18",34.89,35.15,33.69,33.93,5917412
"2013-04-25",37.01,37.85,36.34,36.54,8986015
"2013-05-02",38.06,39.92,38.05,39.63,14001145
"2013-05-09",40.91,41.4,40.11,40.33,10509871
"2013-05-16",40.74,41.14,40.47,40.59,6561666
"2013-05-23",42.25,43.6,41.64,42.99,7468855
"2013-05-30",43.9,44.44,43.57,43.67,3706902
"2013-06-06",43.71,44.12,43.2,44.12,4186578
"2013-06-13",43.67,44.1,43.15,43.98,2932007
"2013-06-20",43.86,44.06,42.4,42.84,5167465
"2013-06-27",43.38,45,43.21,44.69,4064482
"2013-07-11",46.37,46.5,45.79,46.31,3021326
"2013-07-18",46.93,47.2,46.63,46.9,2510968
