"","STZ.Open","STZ.High","STZ.Low","STZ.Close","STZ.Volume"
"2011-09-15",19.18,19.27,19.02,19.18,1861706
"2011-09-22",17.5,17.9,17.35,17.79,2722298
"2011-09-29",18.14,18.48,18,18.39,2213786
"2011-10-06",19.86,20.8,19.73,20.4,5771957
"2011-10-13",20.15,20.35,20,20.3,2252908
"2011-10-20",20.07,20.25,19.86,20.1,1829136
"2011-10-27",20.49,20.76,20.17,20.5,2770311
"2011-11-03",19.87,20.07,19.59,20,2095384
"2011-11-10",19.96,19.97,19.44,19.72,1476470
"2011-11-17",19.82,19.87,19.35,19.5,1794023
"2011-12-01",19.4,19.47,19.11,19.17,1687696
"2011-12-08",19.22,19.37,19.1,19.31,2227483
"2011-12-15",19.54,19.62,19.38,19.5,1795808
"2011-12-22",20.49,20.76,20.4,20.59,1550636
"2011-12-29",20.49,20.79,20.49,20.68,572895
"2012-01-05",19.62,19.9,19.14,19.73,3074984
"2012-01-12",20.96,21.18,20.93,21,1235407
"2012-01-19",20.86,21.02,20.71,21.02,1181062
"2012-01-26",21.23,21.24,20.77,20.92,1301937
"2012-02-02",21.47,21.99,21.43,21.68,2067513
"2012-02-09",21.64,21.81,21.49,21.71,1310698
"2012-02-16",21.51,22.07,21.5,22.01,1643141
"2012-02-23",21.82,21.85,21.41,21.53,1505648
"2012-03-01",21.93,22.68,21.92,22.51,2766337
"2012-03-08",22.06,22.28,22.02,22.21,768106
"2012-03-15",22.61,22.75,22.56,22.69,774579
"2012-03-22",22.78,23.39,22.69,23.37,1976965
"2012-03-29",23.56,23.72,23.27,23.62,1717124
"2012-04-05",22.66,23,20.98,21.61,15638000
"2012-04-12",21.24,21.62,21.22,21.49,2059456
"2012-04-19",21.33,21.49,21.04,21.1,3633315
"2012-04-26",21.7,22.04,21.7,21.95,2852682
"2012-05-03",21.55,21.75,21.55,21.59,2592432
"2012-05-10",20.36,20.52,20.14,20.17,2040783
"2012-05-17",19.12,19.23,18.85,18.85,2732667
"2012-05-24",19.01,19.18,18.91,19.15,1437283
"2012-05-31",19.33,19.36,19.09,19.29,2410322
"2012-06-07",19.68,19.7,19.09,19.11,1737568
"2012-06-14",19.15,19.61,19.12,19.58,1651245
"2012-06-21",19.97,19.99,19.46,19.5,1308966
"2012-06-28",21.81,22.04,21.37,21.76,6284078
"2012-07-05",27.94,28.75,27.78,28.59,4666684
"2012-07-12",27.21,28.93,27.17,28.74,4531468
"2012-07-19",29.35,29.41,28.97,29.15,3082967
"2012-07-26",28.27,28.75,28.27,28.71,1804262
"2012-08-02",28.73,29.53,28.73,29.08,2533614
"2012-08-09",29.61,29.94,29.28,29.85,1709509
"2012-08-16",31.6,31.98,31.42,31.93,2957157
"2012-08-23",32.1,32.35,31.92,32.28,1794602
"2012-08-30",32.67,32.91,32.57,32.82,1878821
"2012-09-06",33.41,34.2,33.41,34.06,2241436
"2012-09-13",32.4,32.89,32.09,32.76,3535766
"2012-09-20",33.09,34.16,33.05,33.73,2733237
"2012-09-27",32.2,32.66,32.09,32.6,1093086
"2012-10-04",34.44,34.93,34,34.72,3753931
"2012-10-11",35.51,35.83,35.2,35.2,3523621
"2012-10-18",36.82,36.85,36.05,36.3,1971235
"2012-10-25",35.35,35.84,35.2,35.81,1810266
"2012-11-01",35.42,36.17,35.2,35.78,1848557
"2012-11-08",35.64,35.97,34.75,34.86,1818647
"2012-11-15",33.88,33.9,33.46,33.56,1918077
"2012-11-29",35.5,35.82,35.39,35.76,1048801
"2012-12-06",35.63,36.12,35.61,36,843528
"2012-12-13",35.71,35.87,35.1,35.2,1207035
"2012-12-20",35.46,36.13,35.36,35.89,1601616
"2012-12-27",34.76,34.98,34.55,34.84,1050339
"2013-01-03",37.44,37.48,36.54,36.69,2584202
"2013-01-10",36.33,36.35,35.51,35.68,3262749
"2013-01-17",38.39,38.99,38.21,38.55,3023189
"2013-01-24",37.96,38.21,37.62,37.77,1734634
"2013-01-31",39.16,39.25,28.37,32.36,38179148
"2013-02-07",31.43,31.83,31.08,31.59,5235005
"2013-02-14",40.8,44.18,40.05,43.75,50295629
"2013-02-21",43.17,43.43,42.04,42.96,10012673
"2013-02-28",44.49,44.74,43.89,44.24,2555935
"2013-03-07",43.25,44.1,43.24,44.05,2575399
"2013-03-14",43.95,44.84,43.83,44.71,2231874
"2013-03-21",46.58,47.27,46.26,46.26,1669159
"2013-03-28",47.54,47.67,47.12,47.64,1494496
"2013-04-04",48.21,48.88,47.78,48.25,2969415
"2013-04-11",48.03,49.54,48.03,49.42,3181539
"2013-04-18",47.48,47.56,46.87,47.34,1597121
"2013-04-25",48.32,48.53,48.03,48.47,1851801
"2013-05-02",49.25,49.93,49.24,49.91,2455797
"2013-05-09",49.91,49.97,48.72,48.8,2055577
"2013-05-16",51.01,53,51.01,51.76,4418143
"2013-05-23",51.15,51.94,50.83,51.88,1500486
"2013-05-30",53.65,54.64,53.56,54.36,2712555
"2013-06-06",52.19,52.49,50.74,52.34,3234162
"2013-06-13",51.5,52.1,51.09,52.01,1220838
"2013-06-20",51.3,51.31,50.11,50.38,2288704
"2013-06-27",51.64,52.41,51.59,51.87,1032075
"2013-07-11",52.14,52.4,51.57,52.21,2143537
"2013-07-18",51.77,51.94,51.57,51.89,2159513
"2013-07-25",50.63,50.63,49.32,50,3076160
"2013-08-01",52.5,53.45,52.5,53.09,1601005
"2013-08-08",54.1,54.8,53.98,54.67,1108477
"2013-08-15",53.78,53.99,53.34,53.61,1303488
"2013-08-22",53.94,55.27,53.94,55.18,1130807
"2013-08-29",54.33,55.02,54.22,54.57,723026
"2013-09-05",56,56.68,55.85,56.52,1979988
"2013-09-12",58.42,58.53,58,58.04,1144980
"2013-09-19",59.92,59.92,58.67,58.68,1342751
"2013-09-26",57.54,57.94,57.21,57.55,681343
"2013-10-03",58.83,60.59,58.5,60.15,4624919
"2013-10-10",60.22,60.98,59.81,60.95,1289933
"2013-10-17",62.97,64.07,62.76,63.89,1430806
"2013-10-24",64.11,64.41,63.69,63.85,2068438
"2013-10-31",64.59,65.42,64.49,65.3,2166995
"2013-11-07",66.62,66.69,65.49,65.65,1371008
"2013-11-14",67.52,68.15,67.52,68.07,1193379
"2013-11-21",69.03,69.5,68.91,69.35,705304
