"","SWKS.Open","SWKS.High","SWKS.Low","SWKS.Close","SWKS.Volume"
"2011-09-15",22.38,22.57,21.79,22.35,3403799
"2011-09-22",21.07,21.2,19.6,20.31,4150637
"2011-09-29",20.31,20.47,18.54,19.09,3627303
"2011-10-06",19.42,19.55,18.86,19.33,3676763
"2011-10-13",20.54,21.72,20.08,21.43,9505991
"2011-10-20",20.88,20.99,19.92,20.68,3785609
"2011-10-27",22.03,22.18,21.2,21.38,7226329
"2011-11-03",20.14,20.58,19.63,20.5,8401525
"2011-11-10",19.91,20.04,18.9,19.08,5242423
"2011-11-17",18.98,19,17.24,17.4,7748532
"2011-12-01",16.2,16.52,16,16.16,8162388
"2011-12-08",15.73,15.9,15.23,15.27,3682537
"2011-12-15",14.67,14.93,14.22,14.29,4359823
"2011-12-22",15.44,16.4,15.44,16.33,3566726
"2011-12-29",16.04,16.22,15.96,16.1,1955288
"2012-01-05",16.64,17.33,16.48,17.28,4667982
"2012-01-12",18.14,18.15,17.66,17.98,2557944
"2012-01-19",19.29,19.5,18.91,19.23,9521586
"2012-01-26",22.01,22.25,21.47,21.62,5492445
"2012-02-02",22.22,23.3,22.08,22.83,7481855
"2012-02-09",24.4,24.68,23.83,24.54,4780612
"2012-02-16",23.92,25.25,23.9,25.22,3727570
"2012-02-23",24.78,25.6,24.6,25.56,4359940
"2012-03-01",27.4,27.54,26.87,27.37,4891454
"2012-03-08",26.33,26.84,26.08,26.77,3199227
"2012-03-15",27.88,28.4,27.74,28.29,3718137
"2012-03-22",28.22,28.64,27.93,28.4,4395862
"2012-03-29",27.62,27.79,27.05,27.66,3537167
"2012-04-05",26.2,26.99,26.2,26.94,3434113
"2012-04-12",26.31,27.47,26.24,27.02,2528500
"2012-04-19",27.23,27.25,25.63,25.91,9899021
"2012-04-26",24.87,25.61,24.67,25.5,7271210
"2012-05-03",27.28,27.45,25.96,26.15,3526236
"2012-05-10",25.27,25.36,24.5,25.24,4442343
"2012-05-17",25.66,25.88,24.46,24.5,4151506
"2012-05-24",26.24,26.24,25.2,25.51,4019112
"2012-05-31",25.93,27.08,25.43,26.86,5480817
"2012-06-07",28.51,29.09,27.38,27.47,4685081
"2012-06-14",28.25,28.3,26.84,27.42,6815011
"2012-06-21",28.11,28.15,26.54,26.66,3890183
"2012-06-28",25.5,25.94,25.2,25.79,3341169
"2012-07-05",27.45,27.74,27.25,27.6,2334636
"2012-07-12",25.65,26.43,25.05,26.32,3412000
