"","SYK.Open","SYK.High","SYK.Low","SYK.Close","SYK.Volume"
"2011-09-15",49.46,49.63,48.12,49.61,2513026
"2011-09-22",46.18,46.7,45.65,46.22,4025964
"2011-09-29",49.21,49.44,47.36,48.22,2559961
"2011-10-06",47.67,47.95,46.66,47.82,2609051
"2011-10-13",49.78,50.37,49.35,50.18,1627460
"2011-10-20",49.03,49.81,47.45,48.28,3858130
"2011-10-27",50.52,50.54,48.68,49.67,2980180
"2011-11-03",48.02,48.82,47.67,48.72,1834774
"2011-11-10",48,48.5,47.52,48.27,1699726
"2011-11-17",48.61,48.82,47.5,47.91,2311294
"2011-12-01",48.8,49.71,48.66,49.53,1820557
"2011-12-08",47.95,48.17,47.01,47.12,2604259
"2011-12-15",46.38,47.1,46.26,46.63,1851730
"2011-12-22",48.62,49.72,48.62,49.72,1938933
"2011-12-29",49.07,49.67,48.94,49.59,965381
"2012-01-05",51.09,51.32,50.86,51.19,3304707
"2012-01-12",52.23,52.96,51.67,52.49,2894644
"2012-01-19",51.54,53.18,51.41,52.8,2277949
"2012-01-26",55.38,55.87,54.56,54.87,2760125
"2012-02-02",55.4,55.4,54.77,55,2234849
"2012-02-09",54.08,54.3,53.75,53.96,3307846
"2012-02-16",53.71,53.73,53.25,53.65,1240940
"2012-02-23",53.43,54.28,53.24,53.92,1529603
"2012-03-01",53.84,54,52.93,53.14,2643748
"2012-03-08",52.36,52.89,52.29,52.77,1068003
"2012-03-15",54.36,55.07,54.09,55,1389299
"2012-03-22",54.4,54.66,54.07,54.22,1207967
"2012-03-29",54.74,55.21,54.46,55.08,1479605
"2012-04-05",54.38,55.03,54.32,55.03,2235291
"2012-04-12",53.91,55.04,53.7,54.86,1508778
"2012-04-19",55.61,55.69,53.89,54.36,2972553
"2012-04-26",53.29,54.15,52.89,54.06,2658933
"2012-05-03",54.8,55.1,54.5,54.76,1368582
"2012-05-10",53.63,54.06,53.27,53.37,1090247
"2012-05-17",51.76,51.93,50.98,50.98,1131652
