"","SYMC.Open","SYMC.High","SYMC.Low","SYMC.Close","SYMC.Volume"
"2011-09-15",17.04,17.37,16.93,17.36,7387896
"2011-09-22",16.39,16.56,15.82,16.05,12057297
"2011-09-29",17.2,17.37,16.54,16.89,8299365
"2011-10-06",16.59,17.14,16.39,17.12,8121928
"2011-10-13",17.58,17.88,17.48,17.78,7882615
"2011-10-20",18.11,18.17,17.64,17.94,7810413
"2011-10-27",18.27,18.81,16.91,17.74,20938452
"2011-11-03",16.7,17.09,16.61,17.03,9448829
"2011-11-10",16.75,16.86,16.5,16.7,6883487
"2011-11-17",16.6,16.67,16.08,16.17,8234516
"2011-12-01",16.25,16.42,16.13,16.24,6258805
"2011-12-08",16.09,16.24,15.64,15.69,5757854
"2011-12-15",15.57,15.61,15.23,15.36,6104074
"2011-12-22",15.23,15.57,15.16,15.56,6125709
"2011-12-29",15.67,15.78,15.64,15.7,3611128
"2012-01-05",15.68,15.82,15.58,15.8,6105870
"2012-01-12",16.26,16.42,16.05,16.08,6781043
"2012-01-19",16.63,16.81,16.37,16.59,7743454
"2012-01-26",17.12,17.2,16.36,16.88,12646502
"2012-02-02",17.39,17.66,17.37,17.43,4665526
"2012-02-09",17.75,18.06,17.62,18.02,7437952
"2012-02-16",17.88,18.2,17.85,18.14,5475524
"2012-02-23",17.94,18,17.66,17.91,5751973
"2012-03-01",17.91,18.02,17.79,17.89,5517515
"2012-03-08",17.41,17.58,17.32,17.57,4934116
"2012-03-15",17.87,18.21,17.8,18.19,6391571
"2012-03-22",18.02,18.23,17.95,18.2,5485340
"2012-03-29",18.22,18.47,18.22,18.4,6625327
"2012-04-05",18.11,18.33,18.06,18.31,4293713
"2012-04-12",18,18.36,17.98,18.28,6297914
"2012-04-19",18.07,18.41,18.03,18.1,6766841
"2012-04-26",16.28,16.63,16.18,16.47,9746269
"2012-05-03",16.41,16.47,16.12,16.23,11386219
"2012-05-10",15.89,15.9,15.47,15.53,6917015
"2012-05-17",15.01,15.15,14.84,14.84,6281271
"2012-05-24",15.1,15.1,14.77,14.95,8837842
"2012-05-31",14.81,14.94,14.63,14.84,7069979
"2012-06-07",14.86,14.94,14.42,14.47,11647747
"2012-06-14",14.36,14.6,14.2,14.56,6827635
"2012-06-21",15.09,15.09,14.4,14.44,10652306
"2012-06-28",14.16,14.16,13.71,13.89,6763153
"2012-07-05",14.72,14.8,14.49,14.72,5059175
"2012-07-12",13.64,13.65,13.26,13.28,11411367
"2012-07-19",13.66,13.88,13.63,13.84,6923332
"2012-07-26",14.99,15.45,14.96,15.36,16218406
"2012-08-02",15.76,16.33,15.71,16.31,20996675
"2012-08-09",17.15,17.3,16.99,17,9909212
"2012-08-16",17.38,18.08,17.36,17.99,21293432
"2012-08-23",17.8,17.9,17.62,17.76,9037061
"2012-08-30",17.68,17.78,17.49,17.67,5255680
"2012-09-06",18,19.16,17.95,18.95,19522004
"2012-09-13",19.11,19.32,18.84,19.2,8378451
"2012-09-20",18.9,18.95,18.69,18.9,10423614
"2012-09-27",18.05,18.32,18.02,18.21,7498272
"2012-10-04",17.88,18.02,17.75,18.01,5080448
"2012-10-11",17.79,18.1,17.69,17.95,6925688
"2012-10-18",17.86,18,17.62,17.77,7977696
"2012-10-25",18.77,19.09,17.84,18.54,28339784
"2012-11-01",18.19,18.72,18.15,18.71,9615088
"2012-11-08",18.19,18.27,17.94,17.95,5676414
"2012-11-15",17.53,17.64,17.38,17.56,5747311
"2012-11-29",18.39,18.78,18.35,18.62,7340957
"2012-12-06",18.76,18.89,18.68,18.85,6291744
"2012-12-13",18.82,18.99,18.42,18.54,7249661
"2012-12-20",18.6,18.66,18.38,18.64,6491406
"2012-12-27",18.29,18.4,17.9,18.22,5699328
"2013-01-03",19.43,19.72,19.28,19.41,8920352
"2013-01-10",19.59,20,19.5,19.94,8516253
"2013-01-17",20.76,21.14,20.57,20.85,12157648
"2013-01-24",21.2,21.85,21.09,21.71,19022816
"2013-01-31",22.01,22.11,21.74,21.77,7575988
"2013-02-07",22.28,22.3,22.08,22.24,9192500
"2013-02-14",22.51,22.73,22.41,22.67,5716654
"2013-02-21",22.5,22.6,22.18,22.31,13205102
"2013-02-28",23.08,23.75,23.07,23.44,11279932
"2013-03-07",24.65,24.72,24.41,24.66,8721657
"2013-03-14",24.68,24.83,24.63,24.73,5901709
"2013-03-21",24.37,24.51,24.29,24.4,6227348
"2013-03-28",24.49,24.75,24.4,24.68,6748631
"2013-04-04",24.41,24.52,24.25,24.5,3987082
"2013-04-11",24.18,24.52,24.13,24.3,5190935
"2013-04-18",23.85,23.85,23.41,23.56,6307186
"2013-04-25",24.5,24.62,24.19,24.45,8204392
"2013-05-02",24.36,24.69,24.12,24.56,5622709
"2013-05-09",24.5,24.53,24.18,24.37,7349415
"2013-05-16",24.61,24.69,24.25,24.3,31033612
"2013-05-23",23.48,23.54,22.99,23.06,13643057
"2013-05-30",22.8,23.06,22.71,22.95,7356870
"2013-06-06",21.59,21.88,21.41,21.85,9892806
"2013-06-13",22.1,22.54,21.98,22.49,9999678
"2013-06-20",22.5,22.63,22.29,22.38,9023591
"2013-06-27",22.61,22.73,22.41,22.5,9281344
"2013-07-11",23.41,23.66,23.26,23.64,5316993
"2013-07-18",24.34,24.42,24.14,24.29,6473058
"2013-07-25",24.07,24.26,23.95,24.25,3632129
"2013-08-01",26.68,26.89,26.61,26.7,7482471
"2013-08-08",26.87,27.1,26.67,26.82,7252257
"2013-08-15",26.53,26.73,26.34,26.44,5461952
"2013-08-22",26.01,26.46,25.86,26.34,2755188
"2013-08-29",25.59,26.14,25.49,26.05,3413783
"2013-09-05",25.26,25.62,25.26,25.45,4600586
"2013-09-12",24.47,25.18,24.36,24.97,8530655
"2013-09-19",25.4,25.67,25.13,25.22,6647432
"2013-09-26",24.83,25.2,24.8,25.06,4350496
"2013-10-03",24.4,24.54,24.16,24.27,3793280
"2013-10-10",24.7,24.93,24.55,24.74,6572097
"2013-10-17",25.03,25.25,24.93,25.09,6733321
"2013-10-24",21.3,22.28,20.89,21.49,44753691
"2013-10-31",22.67,22.87,22.54,22.76,9865504
"2013-11-07",23.17,23.24,22.79,22.83,6881880
"2013-11-14",23,23.5,23,23.49,8316942
"2013-11-21",23.28,23.75,23.25,23.55,4675176
"2013-12-05",22.47,22.68,22.39,22.48,9762573
"2013-12-12",22.16,22.41,22.1,22.31,4868962
"2013-12-19",23.1,23.3,22.92,22.99,6157784
"2013-12-26",23,23.12,22.89,22.95,2507828
"2014-01-02",23.44,23.5,23.3,23.46,4439549
"2014-01-09",23.34,23.52,23.27,23.51,4450429
"2014-01-16",22.99,23.42,22.91,23.09,7495934
"2014-01-23",23.45,23.69,23.43,23.62,7558764
"2014-01-30",22.65,23,21.67,22.38,22854876
"2014-02-06",20.49,20.68,20.31,20.47,7224823
"2014-02-13",21.07,21.42,21.03,21.36,6851479
"2014-02-20",20.6,20.62,20.35,20.51,6842917
