"","SYY.Open","SYY.High","SYY.Low","SYY.Close","SYY.Volume"
"2011-09-15",27.39,27.5,27.15,27.44,3632232
"2011-09-22",26.04,26.17,25.75,26.02,6829682
"2011-09-29",26.43,26.7,25.8,26.12,5504685
"2011-10-06",25.54,25.78,25.47,25.78,3997833
"2011-10-13",26.32,26.53,26.2,26.49,2907148
"2011-10-20",26.38,26.39,26.03,26.26,3019935
"2011-10-27",27.24,27.88,26.88,26.97,4906520
"2011-11-03",27.8,27.88,27.62,27.84,3832885
"2011-11-10",27.66,27.77,27.37,27.57,2723190
"2011-11-17",27.45,27.63,27.22,27.34,3241802
"2011-12-01",28.4,28.87,28.4,28.73,3523210
"2011-12-08",29.29,29.37,29.05,29.09,3309006
"2011-12-15",29.04,29.28,28.94,28.99,2861436
"2011-12-22",29.16,29.33,29.07,29.21,2359431
"2011-12-29",29.27,29.52,29.27,29.51,2057134
"2012-01-05",28.97,29.05,28.7,28.91,2712053
"2012-01-12",29.31,29.4,29.1,29.33,2407777
"2012-01-19",29.9,30.09,29.67,30,3790976
"2012-01-26",30.47,30.64,30.24,30.35,2400973
"2012-02-02",30.41,30.71,30.41,30.63,2189891
"2012-02-09",29.49,29.62,29.29,29.54,2968667
"2012-02-16",29.15,29.26,29.08,29.13,3104036
"2012-02-23",29.35,29.49,29.28,29.31,3214702
"2012-03-01",29.4,29.48,29.19,29.33,2910718
"2012-03-08",29.72,29.8,29.59,29.75,3098809
"2012-03-15",30.09,30.16,29.63,29.69,5026858
"2012-03-22",29.75,29.93,29.66,29.87,2546656
"2012-03-29",29.71,29.81,29.53,29.78,2581748
"2012-04-05",29.43,29.59,29.4,29.47,4329221
"2012-04-12",29.32,29.5,29.1,29.44,3622566
"2012-04-19",29.72,29.75,29.43,29.55,3386027
"2012-04-26",28.82,28.97,28.63,28.92,4261632
"2012-05-03",28.72,28.75,28.29,28.35,5100674
"2012-05-10",27.9,28.08,27.77,27.88,2852506
"2012-05-17",27.82,28.37,27.76,27.79,7723519
"2012-05-24",27.55,27.85,27.55,27.8,3341807
"2012-05-31",27.97,28.09,27.75,27.91,4714969
"2012-06-07",28.42,28.66,28.3,28.62,9142749
"2012-06-14",28.65,29.07,28.58,28.98,2988969
"2012-06-21",29.34,29.49,28.83,28.89,18347926
"2012-06-28",28.92,29.35,28.81,29.32,4724222
"2012-07-05",29.52,29.62,29.17,29.29,3925325
"2012-07-12",29.07,29.17,28.66,28.69,6159981
"2012-07-19",29.11,29.11,28.86,29.07,2714335
"2012-07-26",28.65,28.88,28.62,28.81,2521378
"2012-08-02",29.1,29.19,28.66,28.8,3477849
"2012-08-09",28.87,28.96,28.66,28.69,3605358
"2012-08-16",30.63,30.73,30.35,30.4,4547133
"2012-08-23",30.2,30.25,30.01,30.03,2672467
"2012-08-30",30.25,30.39,30.12,30.28,1799391
"2012-09-06",30.26,30.65,30.2,30.62,2365581
"2012-09-13",30.21,30.68,30.11,30.66,2882559
"2012-09-20",30.95,31.1,30.77,30.87,3369190
"2012-09-27",30.94,31.41,30.81,31.25,4590359
"2012-10-04",31.72,31.82,31.5,31.56,2051991
"2012-10-11",31.27,31.41,31.22,31.25,1699833
"2012-10-18",31.66,31.75,31.4,31.69,2495816
"2012-10-25",30.6,30.84,30.51,30.84,2703972
"2012-11-01",31.09,31.66,31,31.57,3849703
"2012-11-08",30.16,30.29,29.88,29.89,3334888
"2012-11-15",29.92,30.06,29.75,29.92,3289072
"2012-11-29",31.69,31.75,31.47,31.5,2654778
"2012-12-06",31.71,31.89,31.64,31.87,2959307
"2012-12-13",32.03,32.06,31.84,31.88,2165813
"2012-12-20",32.03,32.4,31.96,32.39,3035907
"2012-12-27",31.68,31.87,31.34,31.71,2765516
"2013-01-03",31.91,32,31.66,31.76,3259718
"2013-01-10",30.93,31.15,30.8,30.95,3949317
"2013-01-17",31.17,31.41,31.07,31.28,2245991
"2013-01-24",31.76,31.85,31.54,31.55,2634072
"2013-01-31",31.58,31.89,31.57,31.77,2555127
"2013-02-07",31.4,31.6,31.37,31.53,2722880
"2013-02-14",31.72,32.14,31.71,32.03,4527731
"2013-02-21",32.48,32.79,32.48,32.66,4243826
"2013-02-28",32.16,32.38,32.13,32.16,3161544
