"","TDG.Open","TDG.High","TDG.Low","TDG.Close","TDG.Volume"
"2011-09-15",89.95,90.75,88.65,89.45,368146
"2011-09-22",81.82,84.56,81.8,82.47,524526
"2011-09-29",84.63,84.8,79.65,81.69,529055
"2011-10-06",79.81,81.99,79.44,81.91,285024
"2011-10-13",85.24,86.38,85.06,86.25,254779
"2011-10-20",84.99,86.09,84.17,85.27,446412
"2011-10-27",93,94.13,90.8,92.41,389832
"2011-11-03",91.55,94.81,90.94,94.52,323272
"2011-11-10",97.95,98.05,95.8,96.26,289736
"2011-11-17",97.61,102.73,91.78,93.57,1218195
"2011-12-01",96.07,98,96.07,97.68,322510
"2011-12-08",94.4,95.35,93.99,94.5,315206
"2011-12-15",95.18,95.64,94.86,95.14,195370
"2011-12-22",97.06,97.92,96.6,97.25,154811
"2011-12-29",95.27,96.65,95.27,96.49,172411
"2012-01-05",92.74,95.49,91.98,95.19,417248
"2012-01-12",98.61,98.86,97.91,98.03,208163
"2012-01-19",97.08,98.32,96.77,97.41,321109
"2012-01-26",102.61,103.18,101.48,101.83,454886
"2012-02-02",106.87,107.62,105.88,106.06,238181
"2012-02-09",117.27,118.45,115.9,116.11,472736
"2012-02-16",115.02,117,114,116.35,343050
"2012-02-23",117.01,117.39,116.33,117.07,308877
"2012-03-01",119,119.66,117.07,117.11,487315
"2012-03-08",113.31,114.87,112.92,113.94,382144
"2012-03-15",115.33,115.76,113.5,115.3,500340
"2012-03-22",113.78,115.7,113.7,115.46,372832
"2012-03-29",115.16,115.44,113.67,114.96,414481
"2012-04-05",116.04,116.72,115.33,116.3,658881
"2012-04-12",114.23,118.76,114.23,117.06,381673
"2012-04-19",120.2,120.96,118.38,119.07,354670
"2012-04-26",124.94,126.4,124.71,125.41,468586
"2012-05-03",127.66,130.09,127.4,129.38,671351
"2012-05-10",125.32,127.46,125,126.68,523479
"2012-05-17",124.07,124.72,119.52,120.24,578187
"2012-05-24",125.93,126,123.19,124.95,448195
"2012-05-31",123.59,123.59,120.74,123,1954287
"2012-06-07",127.72,128,125.77,126.19,463131
"2012-06-14",125.41,127.07,124.12,124.49,721142
"2012-06-21",130.1,130.28,127.36,127.5,397377
"2012-06-28",126.6,129.46,126.29,127.57,573870
"2012-07-05",133.23,134.89,132.63,133.68,281419
"2012-07-12",126.7,128.36,124.96,127.37,248336
"2012-07-19",130.06,130.5,129.54,129.97,428873
"2012-07-26",122.32,122.68,119.04,120.07,355181
"2012-08-02",119.3,121.42,118.96,121.23,490141
"2012-08-09",125.18,127.28,124.34,127,393120
"2012-08-16",128.08,132.52,128.08,132.33,454913
"2012-08-23",136.21,137.04,135.35,136.58,331725
"2012-08-30",137.83,138.9,137.76,138.18,226457
"2012-09-06",138,141.47,137.99,140.41,365721
"2012-09-13",142.73,143.84,140.68,143.1,225714
"2012-09-20",142.84,143.58,141.5,142.07,188047
"2012-09-27",142.16,142.86,138.25,141.09,1010700
"2012-10-04",146.15,149.27,145.54,148.97,738890
"2012-10-11",146.92,148,145.57,145.6,209031
"2012-10-18",150,150.66,147.64,148.75,672458
"2012-10-25",131.86,135.34,129.81,135.11,701221
"2012-11-01",132.67,137.71,132.67,136.57,374945
"2012-11-08",137.71,138.68,137.01,137.15,305387
"2012-11-15",122.5,128.89,120.65,125.65,2153885
"2012-11-29",135.03,136.21,133.93,134.93,657553
"2012-12-06",134.35,134.92,132.65,134.83,528026
"2012-12-13",127.79,128.59,125.99,126.18,1254875
"2012-12-20",133.85,135.04,133.03,134.67,402125
"2012-12-27",133.11,134.91,132.65,134.58,190589
"2013-01-03",140.06,141.28,139.09,139.61,375862
"2013-01-10",140.15,140.15,134.96,136.09,1125187
"2013-01-17",135.24,136.98,134.71,136.69,296407
"2013-01-24",137.14,139.37,137.02,138.21,260997
"2013-01-31",137.74,138.22,135.4,135.44,390510
"2013-02-07",139.9,143.7,139.5,143.61,789890
"2013-02-14",144.28,144.78,142.67,143.44,242413
"2013-02-21",139.47,141.21,138.92,141.16,374385
"2013-02-28",142.82,144.33,141.94,142.34,455850
"2013-03-07",143.96,144.37,142.76,143.72,160609
"2013-03-14",150.97,151.03,149.51,150.91,244969
"2013-03-21",150.81,151.36,149,149.71,178205
"2013-03-28",151.19,153.12,150.15,152.92,213889
"2013-04-04",149.68,150.29,148.75,149.84,94909
"2013-04-11",153.63,155.17,151.99,153.01,308047
"2013-04-18",145.63,145.67,142.93,144.18,146569
"2013-04-25",148.2,148.41,147.11,147.35,141736
"2013-05-02",147.62,149.99,147.62,149.02,192816
"2013-05-09",149.04,150.97,147.99,149.87,253701
"2013-05-16",154.95,155.43,150.17,150.65,443200
"2013-05-23",148.68,148.68,147.31,147.85,247303
"2013-05-30",147.35,148.96,145.2,146.1,650691
"2013-06-06",147.68,150.73,146.71,150.72,431084
"2013-06-13",142.92,146.58,142.92,145.68,751607
"2013-06-20",154.48,157.34,153.72,157.14,899775
"2013-06-27",158.35,159.68,156.88,158.04,769044
"2013-07-11",139.64,143.15,139.64,141.64,660883
"2013-07-18",139.04,139.64,138.09,138.75,418504
"2013-07-25",141.79,142.02,140.5,141.7,248123
"2013-08-01",145.7,149.83,145.27,148.92,453660
"2013-08-08",143.46,144.37,139.92,140.78,632898
"2013-08-15",138.9,139.55,137.75,137.9,317381
"2013-08-22",138.53,139.79,137.56,139.18,86298
"2013-08-29",136.79,139.67,136.76,137.9,188606
"2013-09-05",137.83,139.02,137.72,138.02,268233
"2013-09-12",142.02,145.11,141.93,144.83,337911
"2013-09-19",142.69,143.3,142.01,142.39,306021
"2013-09-26",135.88,137.32,135.68,137.22,952601
"2013-10-03",141.57,142.43,140.1,141.05,656056
"2013-10-10",139.48,141.02,138.77,140.69,466488
"2013-10-17",139.9,141.23,139.65,140.91,824077
"2013-10-24",145.65,147.05,144.78,146.46,609138
"2013-10-31",146.85,147.21,145.21,145.41,371790
"2013-11-07",149.28,149.84,145.71,146.12,351673
"2013-11-14",149.58,149.58,143.54,145.85,806859
"2013-11-21",143.56,145.84,143.45,145.05,214915
"2013-12-05",154.34,154.98,153.48,154.06,255881
"2013-12-12",155.86,157.32,154.3,156.63,293534
"2013-12-19",154.18,157.04,154.18,156.64,284472
"2013-12-26",160.18,161.3,160.05,160.93,132854
"2014-01-02",160.6,160.6,158.87,159.57,527923
"2014-01-09",163.66,165.11,162.66,164.79,376983
"2014-01-16",172.25,172.63,171.31,172.54,315938
"2014-01-23",175.05,175.05,173.2,173.76,489779
"2014-01-30",170.17,170.36,166.98,167.93,235012
"2014-02-06",173.49,176.08,171.76,172.22,798505
"2014-02-13",173.78,175.56,173.02,174.57,283512
"2014-02-20",176.69,178.12,175.43,177.82,184435
