"","TEL.Open","TEL.High","TEL.Low","TEL.Close","TEL.Volume"
"2011-09-15",29.99,30.28,29.74,29.86,1197856
"2011-09-22",27.07,27.96,26.67,27.86,5353413
"2011-09-29",29.5,29.86,28.44,29.11,2080457
"2011-10-06",28.95,29.89,28.81,29.88,1185682
"2011-10-13",32.92,33.89,32.81,33.79,11684626
"2011-10-20",33.29,33.49,32.6,33.11,4041933
"2011-10-27",35.68,37.2,35.66,36.03,5226563
"2011-11-03",35.49,35.88,34.55,35.74,5883773
"2011-11-10",34.14,34.4,33.68,33.86,2403557
"2011-11-17",34.11,34.21,33.14,33.49,2046893
"2011-12-01",31.48,31.81,31.17,31.28,3340443
"2011-12-08",32.75,33.06,32.07,32.17,2828489
"2011-12-15",30.71,30.71,30.16,30.27,2645195
"2011-12-22",30.73,31.32,30.64,31.19,1942479
"2011-12-29",30.66,31.16,30.5,31.12,1368995
"2012-01-05",31.29,31.97,31.26,31.92,2085890
"2012-01-12",34.43,34.82,34.21,34.69,1827146
"2012-01-19",36.07,36.97,35.9,36.64,2290422
"2012-01-26",34.33,34.94,34.29,34.57,2230195
"2012-02-02",34.68,34.68,34.4,34.55,1499033
"2012-02-09",35.35,35.57,35.18,35.52,1253230
"2012-02-16",34.79,35.55,34.54,35.5,1249382
"2012-02-23",35.58,35.83,35.43,35.68,1501377
"2012-03-01",36.58,37.69,36.52,37.14,3155807
"2012-03-08",35.37,35.59,35.12,35.51,2131187
"2012-03-15",35.98,36.87,35.88,36.83,1394044
"2012-03-22",36.53,36.61,36.34,36.51,1730897
"2012-03-29",35.94,36.24,35.76,36.18,1180686
"2012-04-05",35.15,35.58,35.14,35.25,1837752
"2012-04-12",34.61,35.32,34.5,35.23,2197460
"2012-04-19",35.12,35.54,34.76,35.03,1783138
"2012-04-26",35.97,37,35.87,36.8,3153168
"2012-05-03",36.21,36.21,35.42,35.46,1272386
"2012-05-10",34.05,34.05,33.31,33.41,1377179
"2012-05-17",32.4,32.45,31.25,31.25,2832611
"2012-05-24",31.63,31.67,30.92,31.19,1153589
"2012-05-31",31.79,31.9,31.12,31.42,2304800
"2012-06-07",32.79,32.83,31.95,32.06,1371538
"2012-06-14",32,32.33,31.74,32.16,1838488
"2012-06-21",32.74,32.92,31.61,31.68,1826835
"2012-06-28",30.48,31.04,30.3,31,2968930
"2012-07-05",32.07,32.66,32.04,32.43,877046
"2012-07-12",30.49,31.08,30.44,30.85,2283351
"2012-07-19",32.7,33.08,32.47,32.5,1895940
"2012-07-26",31.98,32.57,31.98,32.47,1712438
"2012-08-02",32.7,32.87,31.83,31.98,1881193
"2012-08-09",34.71,35.14,34.71,34.92,1304481
"2012-08-16",35.13,35.75,35.1,35.66,1234604
"2012-08-23",34.99,35.29,34.81,35.17,1605190
"2012-08-30",34.59,34.98,34.48,34.8,1593503
"2012-09-06",34.77,35.69,34.76,35.59,1833622
"2012-09-13",36.32,36.88,36,36.77,1532444
"2012-09-20",36.41,36.42,35.84,36.15,1373792
"2012-09-27",34.02,34.55,33.97,34.43,1292594
"2012-10-04",34.24,34.34,33.8,34.08,942369
"2012-10-11",33.3,33.47,33.14,33.2,863918
"2012-10-18",34.02,34.05,33.65,33.69,1250020
"2012-10-25",32.35,32.62,32.04,32.07,1540541
"2012-11-01",32.37,32.8,32.18,32.6,3044047
"2012-11-08",33.83,34.28,33.72,33.74,2110338
"2012-11-15",33.58,34.11,33.5,33.9,2282704
"2012-11-29",35.13,35.63,35.08,35.36,1782839
"2012-12-06",35.49,35.7,35.17,35.68,1571796
"2012-12-13",36.35,37,36.11,36.24,1743528
"2012-12-20",37.4,38,37.15,37.95,1977695
"2012-12-27",36.97,37.08,36.32,36.93,1460209
"2013-01-03",38.09,38.2,37.71,37.84,1342550
"2013-01-10",37.41,37.41,36.98,37.2,1086473
"2013-01-17",38.1,38.68,37.89,38.54,1749736
"2013-01-24",39.25,39.85,39.14,39.3,2003999
"2013-01-31",38.89,39.08,38.77,38.88,1671218
"2013-02-07",39.97,40.12,39.53,39.99,1194819
"2013-02-14",40.62,41.09,40.46,41.08,2091112
"2013-02-21",40.76,40.78,40.29,40.48,2257420
"2013-02-28",39.98,40.32,39.8,40.13,1769936
"2013-03-07",41.57,41.71,41.41,41.49,1363240
"2013-03-14",42.01,42.6,42.01,42.54,1480823
"2013-03-21",41.7,41.96,41.37,41.56,1545592
"2013-03-28",41.69,41.99,41.57,41.93,1747620
"2013-04-04",41.54,41.89,41.17,41.41,1465917
"2013-04-11",41.68,42.21,41.58,42.02,1752649
"2013-04-18",39.79,39.89,38.79,39.11,2430952
"2013-04-25",42.32,43.2,42.28,42.91,2047314
"2013-05-02",43.05,43.6,42.82,43.49,1445035
"2013-05-09",44.91,44.98,44.34,44.5,2052006
"2013-05-16",45.23,45.7,45.18,45.32,1208067
"2013-05-23",45.19,45.84,45.08,45.56,1494225
"2013-05-30",44.73,45.61,44.71,45.15,1580301
"2013-06-06",44.49,44.67,43.88,44.45,1475083
"2013-06-13",44.67,45.74,44.49,45.62,867175
"2013-06-20",45.5,45.6,44.67,44.77,1885216
"2013-06-27",45.73,46.1,45.72,45.74,1355365
"2013-07-11",47.5,47.5,46.78,47.09,1485522
"2013-07-18",47.74,47.99,47.38,47.8,1236972
"2013-07-25",50.76,51.36,50.52,50.7,2840497
"2013-08-01",51.48,51.61,51.19,51.52,1275777
"2013-08-08",50.95,51.12,50.63,50.63,2144125
"2013-08-15",49.95,49.95,49.3,49.54,1273995
"2013-08-22",50,50.33,49.9,50.02,1229857
"2013-08-29",48.71,49.78,48.62,49.59,1458895
"2013-09-05",50.19,50.52,50.09,50.29,1444040
"2013-09-12",52.98,53.22,52.69,52.84,979102
"2013-09-19",53.62,53.91,53.34,53.39,1193163
"2013-09-26",52.49,52.72,51.92,52.16,1196818
"2013-10-03",51.84,52.02,51.23,51.57,1181509
"2013-10-10",50.39,51.43,50.36,51.33,1479469
"2013-10-17",51.53,52.51,51.48,52.48,1298186
"2013-10-24",53.67,53.96,53.44,53.74,1871475
"2013-10-31",51.06,51.89,50.76,51.49,1846700
"2013-11-07",52.59,52.77,51.64,51.73,1792079
"2013-11-14",52.11,52.56,51.61,51.61,2625176
"2013-11-21",51.27,53.2,51.27,53.17,2632519
"2013-12-05",52.92,53.29,52.68,53.05,2490027
"2013-12-12",52.95,53.11,52.09,52.17,2296445
"2013-12-19",53.11,53.23,52.89,53.01,2230799
"2013-12-26",54.5,54.76,54.25,54.58,585645
"2014-01-02",54.89,54.99,54.36,54.45,1557227
"2014-01-09",55.16,55.7,55.16,55.53,1689532
"2014-01-16",55.46,56.1,55.38,55.55,1381895
"2014-01-23",60,60.47,58.99,59.18,3782570
"2014-01-30",57.35,58,57.16,57.73,2229046
"2014-02-06",55.15,55.88,54.97,55.61,1553328
"2014-02-13",56.86,57.38,56.49,57.27,1314764
"2014-02-20",57.5,58.01,57.15,57.48,2150406
"2014-02-27",57.55,58.32,57.38,58.23,1620093
"2014-03-06",59.07,59.21,58.58,58.8,991338
"2014-03-13",58.09,58.37,57.18,57.32,1545156
"2014-03-20",57.87,59.25,57.79,59.24,1519513
"2014-03-27",58.89,59.49,58.61,59.06,1150747
"2014-04-03",61.9,62,61.11,61.45,2234935
"2014-04-10",60.32,60.54,58.59,58.73,1325433
"2014-04-17",60.39,61.3,60.39,61.07,966440
"2014-04-24",60.84,60.93,59.71,60.76,2346457
"2014-05-01",59.08,59.63,58.92,59.25,2320784
"2014-05-08",58.5,59.4,58.05,58.2,1060695
"2014-05-15",57.81,57.89,56.28,56.66,2055877
"2014-05-22",57.21,57.69,57.09,57.31,1080365
"2014-05-29",58.63,59.38,58.46,59.33,1311589
"2014-06-05",60.77,61.33,60.45,61.24,973920
"2014-06-12",62.11,62.23,61.5,61.75,1082223
"2014-06-19",61.93,62.63,61.71,62.23,2831886
"2014-06-26",61.28,61.42,60.63,61.18,900051
"2014-07-03",63.34,63.69,63.11,63.66,539938
"2014-07-10",62.7,63.72,62.62,63.33,2322728
"2014-07-17",62.81,63.4,62.55,63.06,1901249
"2014-07-24",62.6,63.38,62.31,63.31,3030824
"2014-07-31",63,63.05,61.87,61.89,2379812
"2014-08-07",61.84,61.84,60.79,60.9,1675886
"2014-08-14",62.26,62.46,61.88,62.14,713060
"2014-08-21",62.5,62.72,62.38,62.46,1803130
"2014-08-28",61.88,62.14,61.55,62.01,1488008
"2014-09-04",63.52,64.04,63.02,63.07,1258586
"2014-09-11",62.35,63.68,62.13,63.58,1526054
"2014-09-18",62.24,62.39,61.8,61.9,2608038
"2014-09-25",59.46,59.65,58.47,58.47,3131095
"2014-10-02",54.41,54.94,54.03,54.5,3136520
"2014-10-09",55.96,56.05,54.68,54.8,2094210
"2014-10-16",51.71,52.99,51.49,52.43,2543360
"2014-10-23",55.21,55.65,54.88,55.3,1736182
"2014-10-30",58.08,59.42,58.07,59.31,3204749
"2014-11-06",62.27,62.59,62.01,62.15,1416997
