"","TJX.Open","TJX.High","TJX.Low","TJX.Close","TJX.Volume"
"2011-09-15",27.08,27.81,26.75,27.79,10581280
"2011-09-22",27.82,28.52,27.44,27.78,11354620
"2011-09-29",29.16,29.18,27.3,27.84,8450090
"2011-10-06",27.4,27.85,26.89,27.8,9044278
"2011-10-13",28.66,29.2,28.6,28.75,4213744
"2011-10-20",28.9,29.35,28.84,29.29,6477348
"2011-10-27",29.94,30.64,29.66,29.94,9593780
"2011-11-03",30.18,30.61,29.95,30.55,6416402
"2011-11-10",29.67,30.06,29.53,30,5428166
"2011-11-17",30.08,30.25,29.42,29.59,5305378
"2011-12-01",30.73,31.56,30.72,31.28,7038472
"2011-12-08",31.46,31.67,31.12,31.18,6040970
"2011-12-15",31.38,31.42,31,31.14,3562006
"2011-12-22",31.74,32.22,31.7,32.12,5322478
"2011-12-29",32.52,32.72,32.38,32.69,2573128
"2012-01-05",31.94,33.28,31.9,33.16,8626254
"2012-01-12",32.82,32.86,32.6,32.66,6751332
"2012-01-19",33.43,33.55,33.26,33.46,5404922
"2012-01-26",33.98,34.22,33.81,33.98,4928972
"2012-02-02",34.24,34.47,33.99,34.06,6421964
"2012-02-09",34.5,34.6,34.32,34.57,2718353
"2012-02-16",34.13,34.45,34.11,34.23,2983792
"2012-02-23",35.2,36.33,35.05,35.93,7092842
"2012-03-01",36.92,37.15,36.5,37.09,5177710
"2012-03-08",37.39,37.88,37.19,37.74,4709216
"2012-03-15",38.08,38.29,37.71,38.19,5229688
"2012-03-22",38.61,38.98,38.56,38.9,3985331
"2012-03-29",39.15,39.32,38.95,39.22,2552142
"2012-04-05",39.95,40.62,39.42,40.29,8166680
"2012-04-12",39.64,39.93,39.38,39.76,3151260
"2012-04-19",41.31,41.48,40.86,41.09,4474233
"2012-04-26",41.22,41.98,41,41.77,4676581
"2012-05-03",42.67,42.76,42.19,42.45,4904420
"2012-05-10",41.66,41.93,41.26,41.79,4011719
"2012-05-17",42.38,42.54,40.94,40.94,6444889
"2012-05-24",41.06,41.49,40.62,40.9,4384767
"2012-05-31",41.78,42.73,41.59,42.46,10700665
"2012-06-07",42.48,42.5,41.5,41.56,5999412
"2012-06-14",41.5,42.22,41.38,42.06,5504059
"2012-06-21",43.56,43.78,42.29,42.41,6793986
"2012-06-28",41.96,41.97,41.02,41.6,6510917
"2012-07-05",43.41,44.63,43.37,44.09,8249441
"2012-07-12",43.32,44.27,43.14,44.07,4629582
"2012-07-19",45.09,45.24,44.55,44.98,3639682
"2012-07-26",44.46,44.6,43.69,44.2,4854814
"2012-08-02",44.11,45.23,43.65,45.01,6995811
"2012-08-09",45.11,45.25,44.79,45,4748968
"2012-08-16",44.98,45.21,44.45,45.19,5826595
"2012-08-23",46.05,46.06,45.47,45.58,3074894
"2012-08-30",46.22,46.44,45.6,45.6,4654257
"2012-09-06",45.96,46.44,45.69,46.28,5018062
"2012-09-13",45.76,46.58,45.44,46.56,4420937
"2012-09-20",45.01,45.31,44.54,45.17,6923460
"2012-09-27",44.6,45.18,44.46,45.05,4696431
"2012-10-04",45.31,45.97,45.3,45.5,5102234
"2012-10-11",44.97,45.08,43.88,43.88,4683721
"2012-10-18",43.05,43.28,42.82,43.23,5140654
"2012-10-25",42.19,42.36,41.19,41.35,7750552
"2012-11-01",42.98,43.21,42.08,42.3,10299924
"2012-11-08",41.02,41.16,40.3,40.36,4260073
"2012-11-15",41.98,42.2,41.33,42,8636943
"2012-11-29",43.81,44.33,43.46,44.12,5516111
"2012-12-06",43.27,43.84,43.01,43.54,3288662
"2012-12-13",42.5,42.72,42.26,42.51,4163951
"2012-12-20",43.32,43.5,42.04,42.35,6773190
"2012-12-27",41.23,41.64,40.98,41.53,4971748
"2013-01-03",44.35,44.93,44.11,44.58,8295991
"2013-01-10",43.74,43.81,43.32,43.73,3175791
"2013-01-17",44.4,44.77,44.22,44.61,3318090
"2013-01-24",44.48,45.16,44.48,44.87,3529362
"2013-01-31",45.53,45.57,45.17,45.18,4895986
"2013-02-07",45.3,45.5,44.84,45.39,4437892
"2013-02-14",44.93,45.35,44.92,45.21,5872109
"2013-02-21",44.13,44.64,44.04,44.21,3587587
"2013-02-28",44.83,45.42,44.82,44.97,7587109
"2013-03-07",45.12,45.25,44.55,44.62,4352823
"2013-03-14",45.06,45.48,45.04,45.2,2814490
"2013-03-21",45.14,45.82,45.01,45.61,5703645
"2013-03-28",46.77,46.99,46.56,46.75,4638464
"2013-04-04",47.06,47.41,47.04,47.39,2441467
"2013-04-11",47.37,48.83,47.37,48.74,8049319
"2013-04-18",47.34,47.49,46.62,46.7,3351031
"2013-04-25",47.57,48.53,47.47,48.29,2948218
"2013-05-02",48.32,48.87,48.11,48.87,1955874
"2013-05-09",50.5,51.22,50.39,50.69,4440109
"2013-05-16",51.47,51.58,50.59,50.76,3064429
"2013-05-23",49.96,50.47,49.6,50.3,3760234
"2013-05-30",50.14,50.45,49.97,50.05,2605326
"2013-06-06",49.93,50.1,49.46,49.92,4416299
"2013-06-13",50.05,51.25,49.83,51.18,4127200
"2013-06-20",49.54,49.72,48.91,48.97,3187986
"2013-06-27",49.76,50.47,49.73,50.12,2937634
"2013-07-11",52.05,52.35,51.95,52.24,3023495
"2013-07-18",52.43,52.96,52.23,52.41,2820044
"2013-07-25",51.4,51.81,51.23,51.77,2789251
"2013-08-01",52.35,53.52,52.26,53.48,3011061
"2013-08-08",53.1,53.27,52.69,52.79,2110888
"2013-08-15",51.56,51.56,50.58,50.77,3146074
"2013-08-22",54.12,54.38,53.79,54.16,2881968
"2013-08-29",52.7,53.29,52.53,53,2364542
"2013-09-05",53.93,54.44,53.87,54.12,2557431
"2013-09-12",54.49,54.54,53.97,54.08,2695757
"2013-09-19",57,57.16,56.5,56.72,4539552
"2013-09-26",55.76,56.49,55.7,56.47,2902698
"2013-10-03",56.6,56.71,55.82,56.19,2088304
"2013-10-10",55.35,55.73,55.23,55.73,2262212
"2013-10-17",57.47,57.71,57.02,57.56,3992052
"2013-10-24",58.79,58.97,58.6,58.79,2270261
"2013-10-31",60.13,60.92,59.84,60.79,4422909
"2013-11-07",61.93,62.24,60.35,60.61,4220852
"2013-11-14",62.79,63.1,62.34,63.01,2197017
"2013-11-21",63.25,64.09,63.18,63.99,3327587
"2013-12-05",62.57,62.91,62.18,62.23,3354843
"2013-12-12",61.44,61.86,61.08,61.25,3382509
"2013-12-19",62.35,62.58,61.96,62.55,3153087
"2013-12-26",63.2,63.81,63.18,63.65,1606418
"2014-01-02",63.36,64.33,63.19,63.48,2098457
"2014-01-09",63.59,63.79,63.23,63.32,2520529
"2014-01-16",62.48,62.72,62.03,62.13,3068606
"2014-01-23",58.87,59.08,58.29,58.4,5476234
"2014-01-30",57.7,57.83,57.18,57.51,3555567
"2014-02-06",57.96,59.5,57.66,59.39,6036685
"2014-02-13",59.89,60.52,59.72,60.17,3260731
"2014-02-20",60.03,60.33,59.32,60.02,3429654
"2014-02-27",60.26,61,60.01,60.73,6196959
"2014-03-06",61.76,61.76,60.68,61.13,3845702
"2014-03-13",61.73,61.82,60.91,61.06,2214636
"2014-03-20",60.35,60.92,60.34,60.69,2833952
"2014-03-27",59.64,60,59.29,59.4,2932681
"2014-04-03",62.18,62.36,61.34,61.55,3116329
"2014-04-10",60.15,60.38,58.84,58.88,2759280
"2014-04-17",58.89,59.12,58.54,58.7,2162857
"2014-04-24",59.02,59.09,58.03,58.25,3186304
"2014-05-01",58.14,58.77,57.96,58.26,2614444
"2014-05-08",57.33,58.23,57.11,57.82,3366257
"2014-05-15",58.76,58.85,57.75,58.12,4969300
"2014-05-22",56.62,56.9,55.27,55.47,6216997
"2014-05-29",54.67,54.69,54.12,54.45,4250835
"2014-06-05",55.49,56.06,55.16,56.02,6555083
"2014-06-12",55.34,55.4,54.56,54.69,4242591
"2014-06-19",55.58,55.58,55.06,55.12,3085732
"2014-06-26",53.19,53.28,51.96,52.82,7205626
"2014-07-03",53.75,54.01,53.68,53.8,2186427
"2014-07-10",53.91,54.24,53.6,53.78,4041400
"2014-07-17",52.36,52.67,52.13,52.23,5978359
"2014-07-24",53.44,53.74,53.18,53.21,3508253
"2014-07-31",52.99,53.63,52.92,53.29,5232312
"2014-08-07",54.11,54.36,53.4,53.49,2168472
"2014-08-14",53.67,54.09,53.37,53.96,3902132
"2014-08-21",59.4,59.5,58.62,58.91,4592745
"2014-08-28",59.04,60.04,58.77,59.77,3862182
"2014-09-04",60.4,61.24,60.37,60.89,3385130
"2014-09-11",59.65,60.34,59.58,60.18,2812921
"2014-09-18",60.14,60.52,60.05,60.22,2125442
"2014-09-25",60.01,60.36,59.15,59.3,4973801
"2014-10-02",59.41,60.1,59.16,59.95,3123417
"2014-10-09",60.66,61.32,60.39,60.49,4980697
"2014-10-16",59.26,60.25,59.22,59.62,7120286
"2014-10-23",62.08,62.85,61.97,62.34,3322315
"2014-10-30",62.29,63.37,62.25,63.25,2756327
"2014-11-06",63.79,64.63,63.46,64.56,3647560
"2014-11-13",63.95,64.15,63.18,63.5,3807284
"2014-11-20",62,63.53,61.93,63.36,6340885
"2014-12-04",65.61,65.91,65.14,65.91,2671077
"2014-12-11",64.63,66.45,64.63,65.6,4822161
