"","TMK.Open","TMK.High","TMK.Low","TMK.Close","TMK.Volume"
"2011-09-15",130.18,130.42,128.32,129.47,355365
"2011-09-22",117.3,121.33,116.21,120.84,826446
"2011-09-29",124.49,125.72,122.42,125.54,430900
"2011-10-06",124.6,128.84,122.6,128.32,461635
"2011-10-13",131.68,132.21,128.63,131.61,423922
"2011-10-20",132.6,136.84,132.28,136.42,359781
"2011-10-27",145.58,148.07,141.12,146.46,789981
"2011-11-03",145.47,146.11,142.25,145.65,420657
"2011-11-10",146.07,147.3,144.39,146.21,409798
"2011-11-17",146.88,148.63,145.09,145.82,550478
"2011-12-01",148.77,150.07,147.68,149.37,377489
"2011-12-08",151.3,151.51,148.21,148.49,318029
"2011-12-15",150.11,150.18,148.39,148.6,253540
"2011-12-22",150.46,151.61,149.93,150.88,260906
"2011-12-29",151.3,154.07,150.7,153.23,215641
"2012-01-05",151.54,154.74,149.79,154.32,363818
"2012-01-12",154.46,154.81,153.3,154.77,300442
"2012-01-19",156.14,157.82,155.26,157.47,403011
"2012-01-26",160.25,160.39,157.3,157.89,346186
"2012-02-02",162.63,164.35,161.51,163.96,288872
"2012-02-09",165.86,166.25,162.53,163.75,396786
"2012-02-16",167.51,170.88,167.12,170.74,247973
"2012-02-23",170.74,171.47,170.11,171.16,161734
"2012-03-01",170.14,172.28,170,170.77,254897
"2012-03-08",170.67,171.4,169.05,170.18,174685
"2012-03-15",173.86,177.05,173.68,176.95,250583
"2012-03-22",174.67,174.98,173.02,173.44,167293
"2012-03-29",175.05,175.28,172.88,174.18,197477
"2012-04-05",172.07,172.98,171.55,172.21,165308
"2012-04-12",170.67,173.05,169.86,172.91,267606
"2012-04-19",173.4,173.72,169.68,170.63,257203
"2012-04-26",170.77,171.75,167.37,170.7,417539
"2012-05-03",170.46,171.09,168.91,169.37,257144
"2012-05-10",168.95,170.14,168.11,168.39,268871
"2012-05-17",162.74,163.26,160.39,160.53,245607
"2012-05-24",162.25,165.16,161.44,165.16,290025
"2012-05-31",162.18,164.98,160.7,163.72,370805
"2012-06-07",166.11,169.12,165.51,165.86,212480
"2012-06-14",166.42,169.16,166.42,168.35,165468
"2012-06-21",174.42,174.98,170.46,170.77,193058
"2012-06-28",171.82,174.14,170.53,174.04,209399
"2012-07-05",179.16,180.63,178.21,179.68,202304
"2012-07-12",178.14,178.88,176.74,178.04,132319
"2012-07-19",182.21,182.46,180.81,180.98,165300
"2012-07-26",177.19,177.19,169.23,172.28,596318
"2012-08-02",173.3,178.67,173.16,176.81,319710
"2012-08-09",177.47,178.28,174.21,174.74,369214
"2012-08-16",177.19,178.95,176.42,178.63,108333
"2012-08-23",177.02,177.68,176.04,177.09,161449
"2012-08-30",178.81,179.19,178.25,178.35,156705
"2012-09-06",181.51,183.05,181.16,182.95,155107
"2012-09-13",182.56,184.84,182.21,184.46,185213
"2012-09-20",181.79,183.33,181.65,183.26,175652
"2012-09-27",179.47,180.18,178.04,179.47,121568
"2012-10-04",179.96,181.54,179.2,181.37,89820
"2012-10-11",179.54,180.98,178.91,179.72,105290
"2012-10-18",183.05,183.72,182.14,182.25,192733
"2012-10-25",178.91,179.19,175.05,176.04,389969
"2012-11-01",177.89,179.09,175.44,178.95,192367
"2012-11-08",174.32,176.04,174.32,174.63,239621
"2012-11-15",174.14,175.75,173.02,174.84,204926
"2012-11-29",182.25,182.56,181.12,182.11,146512
"2012-12-06",181.93,182.07,179.23,181.16,258374
"2012-12-13",182.56,183.02,179.3,179.44,202285
"2012-12-20",182.11,185.89,182.04,185.86,215198
"2012-12-27",181.26,181.37,177.82,179.44,177115
"2013-01-03",184.28,186.46,183.61,186.42,211060
"2013-01-10",183.09,187.37,183.09,186.81,263319
"2013-01-17",188.25,189.58,187.93,188.11,152898
"2013-01-24",192.42,195.68,192.42,194.77,250528
"2013-01-31",195.02,195.65,193.86,195.47,192239
"2013-02-07",196.11,196.6,193.16,194.67,211299
"2013-02-14",196.18,196.6,194.84,196.42,118804
"2013-02-21",195.86,196.49,194.63,195.44,134411
"2013-02-28",196.53,198.21,195.61,197.16,221610
"2013-03-07",203.02,203.98,202.21,203.33,140412
"2013-03-14",208.91,209.65,207.96,209.23,220713
"2013-03-21",206.53,207.58,205.68,206.74,100175
"2013-03-28",207.86,210.04,207.86,209.82,207731
"2013-04-04",205.3,207.09,204.88,206.91,163800
"2013-04-11",210.39,210.63,209.05,209.93,136179
"2013-04-18",205.72,206.63,204.14,205.86,221304
"2013-04-25",213.79,216.61,212.1,215.51,191708
"2013-05-02",216,218.42,213.51,218.35,128577
"2013-05-09",225.3,225.54,223.84,224.81,165463
"2013-05-16",228.81,228.98,225.96,226.53,163848
"2013-05-23",223.51,226.46,223.02,225.75,153237
"2013-05-30",226.81,230.32,226.7,229.44,119389
"2013-06-06",220.25,224.42,219.33,224.42,149945
"2013-06-13",226.46,229.61,225.26,229.09,111287
"2013-06-20",225.86,228.81,224.91,226.77,172140
"2013-06-27",229.54,230.98,228.6,230.6,99049
"2013-07-11",243.47,243.82,240.67,241.68,156298
"2013-07-18",242,244.32,241.4,243.96,78744
"2013-07-25",246.14,248.39,243.68,247.79,132628
"2013-08-01",251.75,256.46,251.02,255.93,145890
"2013-08-08",250,251.47,247.93,249.68,65387
"2013-08-15",248.11,248.67,245.86,247.05,78457
"2013-08-22",246.28,251.3,245.65,250.21,75341
"2013-08-29",243.12,246.35,241.96,244.32,86067
"2013-09-05",246,249.12,245.72,248.67,100153
"2013-09-12",254.74,254.74,252.14,253.16,50910
"2013-09-19",254.04,254.74,250.81,252,204576
"2013-09-26",254.84,256.63,254.18,256.07,82710
"2013-10-03",250.77,252.53,248.25,250.21,121059
"2013-10-10",251.02,255.72,251.02,255.72,125422
"2013-10-17",258.77,263.58,257.05,263.44,144895
"2013-10-24",261.26,261.26,255.3,258.46,159184
"2013-10-31",256.6,258,255.26,255.65,222599
