"","TMO.Open","TMO.High","TMO.Low","TMO.Close","TMO.Volume"
"2011-09-15",53.98,54.95,53.38,54.58,3605965
"2011-09-22",49.11,50.04,48.78,49.77,4957216
"2011-09-29",51.69,52.03,50.47,51.5,2551136
"2011-10-06",52.63,53.69,52.16,53.67,2945527
"2011-10-13",54.09,54.28,53.16,53.93,4902394
"2011-10-20",51.33,52.03,50.69,51.9,4072273
"2011-10-27",48.86,51.26,48.72,49,8855457
"2011-11-03",50.38,50.48,49.69,50.25,3650327
"2011-11-10",48.51,49.1,47.48,47.73,4898233
"2011-11-17",48.15,48.26,46.36,46.8,6616086
"2011-12-01",47.25,47.7,46.95,47.04,2898268
"2011-12-08",46.45,46.71,45.16,45.29,4084233
"2011-12-15",43.75,44.28,43.06,44.15,4004553
"2011-12-22",44.86,45.83,44.63,45.61,2947792
"2011-12-29",44.37,45.05,44.25,44.95,1420119
"2012-01-05",45.76,46.64,45.67,46.34,3392068
"2012-01-12",49.9,49.99,49.33,49.78,3376512
"2012-01-19",51.22,52,51,51.84,3011671
"2012-01-26",53.6,53.6,52.09,52.31,3258117
"2012-02-02",54.93,55.4,54.45,54.8,2810914
"2012-02-09",56.2,56.44,55.46,56.07,1622849
"2012-02-16",55.77,56.74,55.54,56.62,2365892
"2012-02-23",55.82,56.6,53,56.12,3944265
"2012-03-01",56.92,57.37,56.64,57.18,1975950
"2012-03-08",55.59,56.2,54.9,56.09,4614675
"2012-03-15",57.73,58.15,57.31,58,1904572
"2012-03-22",56.47,56.7,56.1,56.45,1404714
"2012-03-29",56.05,56.25,55.76,56.06,2760528
"2012-04-05",55.33,55.97,55.2,55.89,1415976
"2012-04-12",53.48,55.28,53.35,55.12,2725343
"2012-04-19",54.64,54.98,54.17,54.37,2263116
"2012-04-26",54.95,55.49,54.72,54.91,2122600
"2012-05-03",55.58,55.6,54.94,55.24,2061703
"2012-05-10",53.89,54.24,53.21,53.46,1687887
"2012-05-17",51.42,52.15,51.13,51.15,2497479
"2012-05-24",51.3,52.26,50.94,52.21,2799591
"2012-05-31",51.08,51.14,50.21,50.48,3132717
"2012-06-07",50.74,51.23,50.56,50.65,3105483
"2012-06-14",50.13,50.75,49.9,50.64,2487887
"2012-06-21",51.79,52.01,50.32,50.4,1485463
"2012-06-28",50.47,50.72,50.11,50.55,2342317
"2012-07-05",53.43,53.62,52.42,52.59,1854006
"2012-07-12",51.21,51.76,50.74,51.45,1750488
"2012-07-19",53.3,53.38,52.24,53.03,2001533
"2012-07-26",54.75,55.39,53.6,54.69,2962267
"2012-08-02",55.06,55.47,53.77,54.39,2265582
"2012-08-09",57.2,57.48,56.53,56.95,1574161
"2012-08-16",56.99,57.37,56.18,56.55,3460732
