"","TSLA.Open","TSLA.High","TSLA.Low","TSLA.Close","TSLA.Volume"
"2014-09-15",274.37,274.4,249.13,253.86,16464952
"2014-09-16",255.15,262.46,252.42,260.74,8303972
"2014-09-17",262.41,264.7,259.5,261.38,5179923
"2014-09-18",263.36,265.6,262.32,263.82,3699314
"2014-09-19",257.99,261.43,255.27,259.32,6811714
"2014-09-22",255,256.02,244.71,250.03,8222963
"2014-09-23",245.22,253.8,245,250.41,5660048
"2014-09-24",251.12,252.84,247.04,252.14,3754376
"2014-09-25",252.52,254.96,246.1,246.95,4843712
"2014-09-26",248.25,249.73,246.07,246.6,3798841
"2014-09-29",244,248.64,241.38,245.26,4854687
"2014-09-30",246.92,247.65,240.12,242.68,4248127
"2014-10-01",242.2,242.66,235.65,240.24,5946510
"2014-10-02",250.2,252.79,245.36,251.42,9002001
"2014-10-03",253.06,256.5,251.03,255.21,5408665
"2014-10-06",259.13,262.49,257.8,260.62,7719055
"2014-10-07",258.53,261.46,255.73,259.57,4491569
"2014-10-08",260.1,262.88,252.64,259.28,5062615
"2014-10-09",262.25,265.54,254.4,257.01,7361316
"2014-10-10",244.64,245.89,235.2,236.91,12898275
"2014-10-13",238.57,238.96,221,224.59,11276552
"2014-10-14",228.25,232.47,223,227.06,7112339
"2014-10-15",220,230.99,217.32,229.7,9151648
"2014-10-16",219.72,229.92,219.1,226.35,5404565
"2014-10-17",233.38,234.77,226.55,227.48,10551850
"2014-10-20",226.72,232.4,225.51,230.47,3499686
"2014-10-21",234.27,235.39,230.8,235.34,4130345
"2014-10-22",233.19,237.39,230.56,231.1,4123397
"2014-10-23",234.66,236.28,232,235.29,3499882
"2014-10-24",236.27,237.8,231.2,235.24,3466927
"2014-10-27",234.25,234.61,220.31,221.67,9553348
"2014-10-28",229.6,244.6,228.25,242.77,10516297
"2014-10-29",241.13,241.5,235.64,238.1,4967640
"2014-10-30",238.14,240.5,235.06,238.66,3228371
"2014-10-31",242.51,243.12,238.75,241.7,3775327
"2014-11-03",243,247.56,241.32,242.59,4207268
"2014-11-04",240.49,242.35,236.53,238.93,3682572
"2014-11-05",241,241.36,230.53,230.97,9045925
"2014-11-06",234.49,246.69,228.5,241.22,15354717
"2014-11-07",242.19,242.84,237.2,240.2,5161023
"2014-11-10",239.11,242.88,236.8,241.93,4577208
"2014-11-11",242.55,251.82,242,251.08,7952565
"2014-11-12",249.72,252.34,245.58,249.1,5870818
"2014-11-13",250.62,255.75,250.25,251.7,6236036
"2014-11-14",250,258.85,248.5,258.68,6101145
"2014-11-17",257.49,259,252.02,253.98,4025695
"2014-11-18",255.86,259.99,255.51,257.7,4474294
"2014-11-19",250.61,251.88,245.6,247.74,7918486
"2014-11-20",247.95,250.93,246,248.71,3587220
"2014-11-21",252.21,252.78,242.17,242.78,7485059
"2014-11-24",245.2,247.6,240.64,246.72,4789708
"2014-11-25",247.35,249.72,246.09,248.09,3159804
"2014-11-26",248.34,249,246.6,248.44,1981819
"2014-11-28",245.35,246.69,242.52,244.52,2119688
"2014-12-01",241.16,242.47,229.01,231.64,8619351
"2014-12-02",234.57,234.88,228,231.43,5887046
"2014-12-03",226.25,229.72,225.5,229.3,5307733
"2014-12-04",228.6,230.9,227.81,228.28,3879208
"2014-12-05",228.67,229.39,222.26,223.71,6063619
"2014-12-08",221.54,224.86,212.34,214.36,9225619
"2014-12-09",209.34,217.73,204.27,216.89,9431502
"2014-12-10",214.13,216.77,207.7,209.84,7314139
"2014-12-11",210.53,215.43,208.23,208.88,6694398
"2014-12-12",204.82,211.68,204.5,207,7173782
"2014-12-15",209.29,209.8,202.67,204.04,5218252
"2014-12-16",200.89,203.68,195.37,197.81,8426105
"2014-12-17",193.06,206.65,192.65,205.82,7367834
"2014-12-18",212.38,218.44,211.8,218.26,7483349
"2014-12-19",220.19,220.4,214.5,219.29,6910461
"2014-12-22",220,224.06,218.26,222.6,4806917
"2014-12-23",223.81,224.32,219.52,220.97,4513321
"2014-12-24",219.77,222.5,219.25,222.26,1333518
"2014-12-26",221.51,228.5,221.5,227.82,3327016
"2014-12-29",226.9,227.91,224.02,225.71,2811828
"2014-12-30",223.99,225.65,221.4,222.23,2903242
"2014-12-31",223.09,225.68,222.25,222.41,2402097
"2015-01-02",222.87,223.25,213.26,219.31,4764443
"2015-01-05",214.55,216.5,207.16,210.09,5368477
"2015-01-06",210.06,214.2,204.21,211.28,6261936
"2015-01-07",213.35,214.78,209.78,210.95,2968390
"2015-01-08",212.81,213.8,210.01,210.62,3442509
"2015-01-09",208.92,209.98,204.96,206.66,4668295
"2015-01-12",203.05,204.47,199.25,202.21,5950280
"2015-01-13",203.32,207.61,200.91,204.25,4477320
"2015-01-14",185.83,195.2,185,192.69,11551855
"2015-01-15",194.49,195.75,190,191.87,5216524
"2015-01-16",190.7,194.49,189.65,193.07,3603158
"2015-01-20",193.87,194.12,187.04,191.93,4503182
"2015-01-21",189.55,198.68,189.51,196.57,4153043
"2015-01-22",197,203.24,195.2,201.62,4116905
"2015-01-23",200.29,203.5,198.33,201.29,3442371
"2015-01-26",201.83,208.62,201.05,206.55,3234522
"2015-01-27",204.42,208.03,203.3,205.98,2781024
"2015-01-28",206.11,206.37,198.42,199.37,3149606
"2015-01-29",201.07,205.98,196.5,205.2,3548106
"2015-01-30",203.96,207.47,203,203.6,3006959
"2015-02-02",203.97,211.95,203.3,210.94,4149186
"2015-02-03",213.22,220.37,211.27,218.36,4826244
"2015-02-04",218.29,221.48,216.8,218.55,3305377
"2015-02-05",219.88,225.48,219.64,220.99,3522947
"2015-02-06",222,223.4,216.5,217.36,3243931
"2015-02-09",215.38,217.93,211.99,217.48,3472423
"2015-02-10",217.55,220.5,215,216.29,5390542
"2015-02-11",212.21,214.74,207.28,212.8,9769102
"2015-02-12",193.57,203.09,193.28,202.88,15649607
"2015-02-13",202.9,205.99,200.91,203.77,6191003
"2015-02-17",205.7,205.7,201.5,204.35,3979647
"2015-02-18",204.17,206.17,202.6,204.46,2713598
"2015-02-19",205,212.44,203.75,211.7,5154148
"2015-02-20",210.78,217.6,209.81,217.11,5982089
"2015-02-23",215.66,218.2,206.33,207.34,8499775
"2015-02-24",207.29,207.29,201.7,204.11,6603560
"2015-02-25",204.94,207.14,202.58,203.76,3909520
"2015-02-26",204,211.09,202.22,207.19,6472855
"2015-02-27",206.9,208.55,202.8,203.34,3882084
"2015-03-02",202.7,203.34,195.82,197.32,7922065
"2015-03-03",196.81,200.24,195.32,199.56,4432329
"2015-03-04",199.25,202.52,197.21,202.44,4221962
"2015-03-05",202.85,206.19,200.15,200.63,4877015
"2015-03-06",199.21,200.75,192.15,193.88,6712438
"2015-03-09",194.39,194.49,188.25,190.88,6736724
"2015-03-10",188.46,193.5,187.6,190.32,5579691
"2015-03-11",191.15,196.18,191.01,193.74,4974871
"2015-03-12",193.75,194.45,189.75,191.07,4149294
"2015-03-13",188.95,191.75,187.32,188.68,5434298
"2015-03-16",192,195.91,189.8,195.7,5628783
"2015-03-17",195.43,198.71,193.94,194.73,4894052
"2015-03-18",194.96,200.88,193.11,200.71,4820936
"2015-03-19",202,204.59,194.53,195.65,8475244
"2015-03-20",197.45,198.99,195.62,198.08,4269467
"2015-03-23",198.5,200.5,197.47,199.63,2631626
"2015-03-24",201.58,203.79,199.75,201.72,3649860
"2015-03-25",198.27,198.59,192.7,194.3,5730389
