"","TWX.Open","TWX.High","TWX.Low","TWX.Close","TWX.Volume"
"2011-09-15",30.2,31.09,30.06,30.89,10908554
"2011-09-22",28.69,29.51,28.26,28.91,13706057
"2011-09-29",31.34,31.6,30.26,30.7,9290142
"2011-10-06",30.76,31.34,30.44,31.29,6359781
"2011-10-13",32.57,33.24,32.56,32.98,4799821
"2011-10-20",33.44,33.78,32.98,33.58,6802182
"2011-10-27",35.47,36,34.94,35.34,9661745
"2011-11-03",33.97,34.5,33.12,34.4,7690660
"2011-11-10",34.02,34.25,33.54,34.18,7786592
"2011-11-17",34,34.11,33.08,33.32,7510628
"2011-12-01",34.65,34.8,34.06,34.21,6011625
"2011-12-08",34.58,34.81,33.8,33.93,5904288
"2011-12-15",34.27,34.41,33.82,33.88,8493984
"2011-12-22",34.96,35.44,34.8,35.29,5551939
"2011-12-29",36.05,36.45,35.95,36.38,3591665
"2012-01-05",36.34,36.87,36.22,36.79,4715840
"2012-01-12",37.5,37.8,37.43,37.61,6574313
"2012-01-19",37.09,37.78,37.07,37.73,5812586
"2012-01-26",38.32,38.45,37.75,37.97,6277421
"2012-02-02",37.47,37.48,36.94,37.18,5781974
"2012-02-09",38.44,38.48,37.37,37.71,8523917
"2012-02-16",37.4,37.97,37.3,37.9,6107202
"2012-02-23",37.03,37.45,36.83,37.31,6900744
"2012-03-01",37.33,37.56,37.02,37.46,8140742
"2012-03-08",36.79,37.02,36.7,36.86,5577556
"2012-03-15",36,36.05,35.6,35.84,8466269
"2012-03-22",35.53,35.86,35.33,35.76,8335389
"2012-03-29",36.12,37.26,36.03,37.14,8789717
"2012-04-05",36.82,36.97,36.63,36.65,5914417
"2012-04-12",35.75,36.2,35.67,36.03,5433599
"2012-04-19",36.28,36.53,36.07,36.31,4640747
"2012-04-26",37.21,38,37.14,37.88,6423599
"2012-05-03",37.4,37.41,36.84,36.98,5786346
"2012-05-10",35.84,36.24,35.64,35.87,4532104
"2012-05-17",35.29,35.29,34.61,34.62,5349243
"2012-05-24",34.45,34.8,34.27,34.58,5515444
"2012-05-31",34.47,34.84,34.33,34.47,9467607
"2012-06-07",35.21,35.42,34.86,35,7677692
"2012-06-14",34.96,35.59,34.87,35.43,5961425
"2012-06-21",37.28,37.41,36.95,37.27,9014241
"2012-06-28",37.67,37.97,37.46,37.87,9707597
"2012-07-05",38.63,38.77,38.28,38.29,5664351
"2012-07-12",37.75,38.04,37.43,37.71,4594578
"2012-07-19",38.9,39.49,38.87,39.14,8428618
"2012-07-26",39.07,39.2,38.33,38.35,8561886
"2012-08-02",38.93,40.96,38.85,40.67,18376320
"2012-08-09",42.16,42.56,42.13,42.55,7558371
"2012-08-16",42.79,42.79,42.5,42.52,5931956
"2012-08-23",42.01,42.12,41.63,41.8,5339692
"2012-08-30",41.61,41.82,41.26,41.48,8218324
"2012-09-06",42.41,43.31,42.4,43.22,9108061
"2012-09-13",43.07,44.48,43.01,44.33,9777873
"2012-09-20",45.3,45.81,45.29,45.79,6093016
"2012-09-27",45,45.7,44.87,45.38,5069234
"2012-10-04",45.26,46.04,45.25,45.83,5996223
"2012-10-11",45.76,45.76,44.77,45.01,5407791
"2012-10-18",44.98,46.14,44.98,45.88,3829717
"2012-10-25",44.28,44.37,43.5,43.59,5028436
"2012-11-01",43.67,44.03,43.41,43.8,6571250
"2012-11-08",44.92,45.4,44.09,44.13,9039505
"2012-11-15",44.16,44.6,43.78,44.04,6115192
"2012-11-29",47.03,47.4,46.92,47.04,7262769
"2012-12-06",46.11,46.58,45.88,46.57,9620365
"2012-12-13",47.04,47.36,46.48,46.69,5313711
"2012-12-20",47.72,48.29,47.53,48.26,6532907
"2012-12-27",47.45,47.58,46.7,47.42,4140895
"2013-01-03",49.63,49.96,49.46,49.78,5771885
"2013-01-10",49.95,49.99,49.44,49.81,4660738
"2013-01-17",49.51,50.18,49.23,49.4,6749738
"2013-01-24",50.73,51.29,50.61,50.8,4727675
"2013-01-31",50.05,50.73,49.9,50.52,4336622
"2013-02-07",52,52.38,51.37,52.36,7616370
"2013-02-14",52.64,53.89,52.54,53.63,8479130
"2013-02-21",52.97,53.08,52.33,52.61,6026468
"2013-02-28",53.36,53.62,53.14,53.17,4029678
"2013-03-07",56.75,56.89,55.7,56.78,14357720
"2013-03-14",56.92,57.36,56.84,57.32,5214932
"2013-03-21",56.08,56.35,55.82,56.11,3445534
"2013-03-28",56.72,58.02,56.72,57.62,10451752
"2013-04-04",58.1,58.68,57.98,58.27,14703762
"2013-04-11",59.6,59.82,59.43,59.66,5177157
"2013-04-18",59.6,59.66,58.34,58.47,6183342
"2013-04-25",59.57,59.78,58.93,59.39,8001744
"2013-05-02",59.56,60.16,59.4,59.75,6086170
"2013-05-09",61.15,61.47,60.76,61.1,4470681
"2013-05-16",60.74,61.06,60.66,60.72,5174617
"2013-05-23",59.2,60.56,59.14,60.16,5081271
"2013-05-30",59.35,59.92,59.31,59.58,4674854
"2013-06-06",56.68,57.51,56.3,57.48,4688330
"2013-06-13",56.21,58,55.86,57.91,6137102
"2013-06-20",57.43,57.57,56.09,56.32,4598923
"2013-06-27",57.7,58.12,57.4,57.82,3828966
"2013-07-11",61.91,62.1,61.61,61.67,5071791
"2013-07-18",61.85,62.43,61.77,62.25,4239123
"2013-07-25",62.26,62.78,62.09,62.71,3171786
"2013-08-01",63.04,63.54,62.86,63.06,3681233
"2013-08-08",64.24,64.5,63.1,63.94,6488088
"2013-08-15",61.96,62.12,60.57,61.21,5072486
"2013-08-22",61.38,62.56,61.19,62.37,3217968
"2013-08-29",60.75,61.61,60.51,61,2265380
"2013-09-05",61.88,62.26,61.48,61.58,2403603
"2013-09-12",63.32,63.68,62.73,62.8,3862359
"2013-09-19",64.38,64.78,63.92,64.4,7886023
"2013-09-26",63.91,64.91,63.81,64.87,3351642
"2013-10-03",66.24,66.32,64.91,65.29,2965977
"2013-10-10",65.23,67.38,65.19,67.32,6764801
"2013-10-17",67.94,68.02,67.49,67.95,3998890
"2013-10-24",70.31,70.52,70.12,70.31,3487399
"2013-10-31",68.66,69.48,68.23,68.74,5370607
"2013-11-07",67.64,68.01,65.22,65.38,7884059
"2013-11-14",67.9,68.59,67.65,68.4,3804575
"2013-11-21",66.28,67.21,65.76,66.95,4616745
"2013-12-05",65.43,65.9,65.2,65.59,3507059
"2013-12-12",66.21,66.48,65.67,65.82,3696711
"2013-12-19",67.35,67.99,67.08,67.9,4033136
"2013-12-26",69.5,70.08,69.47,70,2197846
"2014-01-02",69.47,69.56,68.41,68.73,4734175
"2014-01-09",66.7,66.86,66.04,66.29,4750171
"2014-01-16",64.81,65.18,64.59,64.95,4945334
"2014-01-23",65.02,65.73,64.47,64.64,6658552
"2014-01-30",62.96,64.26,62.86,63.4,8158451
"2014-02-06",63.44,63.56,62.37,63.29,7684125
"2014-02-13",64.9,65.36,64.46,64.6,5307848
"2014-02-20",64.74,65.2,64.44,64.98,5193232
"2014-02-27",64.38,65.87,64.04,65.77,6411957
"2014-03-06",68.57,69.02,68.55,68.93,5880911
"2014-03-13",67.47,67.75,66.29,66.69,6292923
"2014-03-20",66.83,67.1,66.34,66.5,3944904
"2014-03-27",64.25,64.25,63.27,63.47,7305667
"2014-04-03",67.22,67.61,66.72,66.75,4714218
"2014-04-10",65.88,65.93,63.5,63.57,8794712
"2014-04-17",64.29,65.42,64.28,65.15,5756253
"2014-04-24",66.11,66.36,65.4,65.64,4147188
"2014-05-01",67.16,67.63,66.49,66.87,5522460
"2014-05-08",67.59,68.68,67.59,68.04,5083963
"2014-05-15",68.71,68.79,67.53,68.5,5410442
"2014-05-22",70.08,70.24,69.78,69.97,2913825
"2014-05-29",71.13,71.3,69.9,70.31,5380850
"2014-06-05",70.66,71.55,70.37,70.88,5896714
"2014-06-12",68.93,69.11,67.97,68.37,6296360
"2014-06-19",69.43,69.71,68.12,69.35,5213322
"2014-06-26",69.33,69.53,68.75,69.4,4046554
"2014-07-03",71,71.62,70.71,71.39,2392602
"2014-07-10",71.83,72.44,71.37,72.22,4149366
"2014-07-17",84,87.14,83.75,86.12,28072048
"2014-07-24",84.51,84.62,83.22,84.01,9203558
"2014-07-31",84.33,84.74,83.01,83.02,5023971
"2014-08-07",73.7,73.92,71.58,72.06,19323998
"2014-08-14",74.68,76.74,74.48,76.52,7127856
"2014-08-21",77.1,77.18,76.59,76.76,3667939
"2014-08-28",76.81,77.2,76.6,76.95,3049735
"2014-09-04",77.55,77.79,76.99,77.23,6681068
"2014-09-11",75.4,77.02,75.32,76.76,4417585
"2014-09-18",77.18,78.11,76.65,77.38,5470019
"2014-09-25",75.98,76.35,75.09,75.35,4609894
"2014-10-02",74.21,74.27,70.92,73.2,12448838
"2014-10-09",73.76,74.04,72.04,72.07,5320327
"2014-10-16",73.89,76.39,72.42,75.41,16548307
"2014-10-23",77.29,79.35,77.26,78.19,5008621
