"","TXN.Open","TXN.High","TXN.Low","TXN.Close","TXN.Volume"
"2011-09-15",27.72,27.83,27.4,27.71,14896825
"2011-09-22",26.14,26.52,25.78,26.23,14769688
"2011-09-29",27.75,27.97,26.75,27.19,10490555
"2011-10-06",27.82,28.37,27.72,28.32,17399364
"2011-10-13",29.41,30.62,29.39,30.4,14573328
"2011-10-20",30.27,30.35,29.42,29.95,13876834
"2011-10-27",31.74,32,31.31,31.91,12758108
"2011-11-03",30.48,31.18,30.06,31.12,12362891
"2011-11-10",30.54,30.91,30.17,30.62,8994043
"2011-11-17",31.27,31.49,30.11,30.39,13049518
"2011-12-01",29.89,30.39,29.88,30.21,10583881
"2011-12-08",30.47,31.03,29.83,29.92,11444702
"2011-12-15",28.26,28.58,28.2,28.51,10479932
"2011-12-22",28.67,29.6,28.66,29.5,8593629
"2011-12-29",29.11,29.36,28.98,29.34,3496702
"2012-01-05",29.44,29.9,29.44,29.78,6568917
"2012-01-12",30.79,31.44,30.64,31.36,8783233
"2012-01-19",33.44,34.1,33.31,33.82,14179800
"2012-01-26",32.87,33.23,32.24,32.36,12690461
"2012-02-02",32.85,33.2,32.84,33.06,9876226
"2012-02-09",33.95,33.99,33.68,33.8,6474831
"2012-02-16",33.47,34.21,33.3,33.91,8888663
"2012-02-23",32.84,33.5,32.54,33.32,5775790
"2012-03-01",33.49,33.56,33,33.17,6631083
"2012-03-08",32.95,32.98,32.56,32.6,7194356
"2012-03-15",32.1,32.82,32.04,32.78,8428127
"2012-03-22",33.31,33.51,33.17,33.43,5536724
"2012-03-29",33.16,33.35,32.99,33.19,7208502
"2012-04-05",32.09,32.65,32,32.46,6112419
"2012-04-12",32.01,32.56,31.91,32.5,5873135
"2012-04-19",32.83,33.13,32.37,32.64,8923994
"2012-04-26",31.62,32,31.62,31.95,9420322
"2012-05-03",32.13,32.2,31.37,31.39,11499710
"2012-05-10",30.69,30.87,30.34,30.78,9853740
"2012-05-17",30.01,30.08,29.28,29.35,8167303
"2012-05-24",29.18,29.27,28.68,28.89,8392962
"2012-05-31",28.81,28.87,28.3,28.48,9774675
"2012-06-07",28.89,29.01,28.11,28.23,11843606
"2012-06-14",27.93,28.02,27.39,27.73,7856859
"2012-06-21",28.61,28.61,27.52,27.6,8264064
"2012-06-28",26.94,27,26.55,26.87,5903149
"2012-07-05",28.5,28.52,28.09,28.41,4695323
"2012-07-12",27.01,27.08,26.57,26.74,9661301
"2012-07-19",27.92,28.15,27.71,28.04,8153703
"2012-07-26",27.12,27.74,26.83,27.05,8031258
"2012-08-02",27.38,27.84,27,27.25,9437948
"2012-08-09",29.31,29.79,29.23,29.54,7914058
"2012-08-16",30,30.38,29.82,30.27,9181639
"2012-08-23",29.22,29.5,29.01,29.32,5787399
"2012-08-30",29.17,29.38,28.93,29.01,6076193
"2012-09-06",28.69,29.57,28.64,29.56,8748703
"2012-09-13",28.51,29.15,28.33,28.9,13060630
"2012-09-20",28.49,28.91,28.41,28.85,7822835
"2012-09-27",27.72,27.95,27.43,27.88,9243255
"2012-10-04",27.59,27.91,27.43,27.9,5765973
"2012-10-11",27.15,27.53,27,27.3,9961959
"2012-10-18",28.46,28.86,28.32,28.76,10508153
"2012-10-25",28,28.2,27.87,28.13,9339743
"2012-11-01",28.3,29.23,28.17,29.21,9975127
"2012-11-08",29.26,29.5,29.12,29.14,8314133
"2012-11-15",28.75,29.08,28.65,28.79,9833876
"2012-11-29",29.8,30.1,29.65,30.05,8044810
"2012-12-06",29.82,30.06,29.64,29.81,5625297
"2012-12-13",30.92,31.25,30.44,30.58,7443486
"2012-12-20",31.25,31.36,30.97,31.28,6978819
"2012-12-27",30.74,30.93,30.44,30.74,6178996
"2013-01-03",32.15,32.28,31.78,31.89,8832471
"2013-01-10",32.11,32.57,32.08,32.43,8019233
"2013-01-17",32.51,33.25,32.45,33.15,9193956
"2013-01-24",33.15,33.61,33.01,33.09,7827487
"2013-01-31",32.82,33.11,32.66,33.08,13790586
"2013-02-07",33.48,33.55,32.92,33.42,10626838
"2013-02-14",33.49,33.84,33.3,33.79,6394142
"2013-02-21",32.99,33,32.19,32.48,11422231
"2013-02-28",34.37,34.66,34.24,34.43,13412987
"2013-03-07",35.19,35.25,35.06,35.2,8422986
"2013-03-14",35.5,35.73,35.32,35.38,8675966
"2013-03-21",34.78,34.92,34.24,34.29,9540115
"2013-03-28",35.01,35.5,35,35.48,8651788
"2013-04-04",34.26,34.63,34.08,34.49,9406403
"2013-04-11",35.45,35.92,35.37,35.69,10085565
"2013-04-18",34.65,34.81,33.88,33.92,12616969
"2013-04-25",36.16,36.26,35.93,36.11,11218597
"2013-05-02",36.58,36.9,36.3,36.7,9582007
"2013-05-09",37,37.36,36.94,37.01,7754567
"2013-05-16",36.79,36.98,36.58,36.6,10209262
"2013-05-23",35.73,36.16,35.53,35.99,7566204
"2013-05-30",35.92,36.63,35.92,36.47,15275024
"2013-06-06",35.83,36.07,35.21,35.67,6106221
"2013-06-13",34.85,35.58,34.58,35.48,7036303
"2013-06-20",35.41,35.5,34.52,34.62,8734833
"2013-06-27",35.06,35.19,34.85,34.85,6720202
"2013-07-11",36.86,37.31,36.84,37.17,10298866
"2013-07-18",37.89,38.1,37.56,37.6,6911293
"2013-07-25",38.91,39.27,38.73,39.25,9191614
"2013-08-01",39.36,39.9,39.25,39.82,8625045
"2013-08-08",39.85,39.96,39.42,39.65,3897346
"2013-08-15",38.67,38.9,38.36,38.65,8551240
"2013-08-22",38.62,38.95,38.35,38.82,4260449
"2013-08-29",38.38,38.82,38.26,38.61,3192425
"2013-09-05",39.36,39.58,39.29,39.48,4374378
"2013-09-12",39.93,40.11,39.66,39.9,5856541
"2013-09-19",40.91,40.94,40.67,40.8,5066776
"2013-09-26",40.52,40.54,40.14,40.38,3275451
"2013-10-03",40.06,40.36,39.81,40.22,5899215
"2013-10-10",39.57,40.24,39.56,40.12,6385390
"2013-10-17",40.28,40.72,40.09,40.64,4972765
