"","TXT.Open","TXT.High","TXT.Low","TXT.Close","TXT.Volume"
"2011-09-15",17.05,17.72,17.05,17.45,10725735
"2011-09-22",16.06,16.61,15.89,16.41,10912985
"2011-09-29",18.73,18.78,17.98,18.23,10601042
"2011-10-06",18.06,18.5,17.92,18.47,7502801
"2011-10-13",18.16,18.28,17.63,18.07,5041403
"2011-10-20",18.42,18.65,17.94,18.34,5039397
"2011-10-27",19.3,20.41,19.15,19.21,7253791
"2011-11-03",18.63,19,18.28,18.92,5444034
"2011-11-10",18.29,18.51,18.07,18.38,3129041
"2011-11-17",18.3,18.36,17.67,18.01,5398359
"2011-12-01",19.27,19.66,19.18,19.39,3863154
"2011-12-08",18.54,18.69,17.86,17.94,5219606
"2011-12-15",17.3,17.37,17.03,17.22,3942764
"2011-12-22",18.37,18.74,18.27,18.64,1911725
"2011-12-29",18.16,18.39,18.14,18.34,1632863
"2012-01-05",18.8,19.18,18.59,19.11,3897599
"2012-01-12",21.36,21.5,21.17,21.32,4668708
"2012-01-19",21.66,22.01,21.52,21.64,4492291
"2012-01-26",24.56,25.04,24.07,24.74,8130965
"2012-02-02",25.71,25.87,25.33,25.5,3271261
"2012-02-09",27.29,27.29,26.69,26.99,4172813
"2012-02-16",27.37,27.88,27.35,27.87,3969440
"2012-02-23",27.74,27.92,27.41,27.72,4014833
"2012-03-01",27.53,27.92,27.41,27.76,3015881
"2012-03-08",26.36,26.75,26.21,26.65,2325728
"2012-03-15",27.51,27.75,27.33,27.71,2544386
"2012-03-22",26.59,26.71,26.1,26.43,2344836
"2012-03-29",27.08,28.11,26.9,27.97,4153421
"2012-04-05",28.24,28.4,27.64,27.67,2767784
"2012-04-12",26.95,27.55,26.83,27.35,2138703
"2012-04-19",26.8,27.14,26.14,26.35,4875582
"2012-04-26",26.8,26.92,26.58,26.8,2221142
"2012-05-03",26.61,26.64,25.99,26.09,1621415
"2012-05-10",24.43,24.58,24.15,24.23,1774682
"2012-05-17",23.15,23.17,22.14,22.22,4194364
"2012-05-24",23.81,23.94,23.34,23.78,2037235
"2012-05-31",23.45,23.84,22.9,23.63,2637220
"2012-06-07",24.58,25.05,23.87,23.94,3404515
"2012-06-14",23.96,24.4,23.85,24.29,2326997
"2012-06-21",25.9,25.9,24.67,24.74,2129426
"2012-06-28",23.6,24.02,23.46,23.82,2455809
"2012-07-05",24.94,25.11,24.77,24.86,1438701
"2012-07-12",22.31,22.99,22.15,22.76,3691529
"2012-07-19",25.84,26.7,25.2,26.5,9284682
"2012-07-26",25.94,26.2,24.86,25.57,5226207
"2012-08-02",25.22,25.7,24.78,25.2,3344880
"2012-08-09",26.43,26.99,26.39,26.81,2006653
"2012-08-16",26.85,27.2,26.6,27,2359317
"2012-08-23",26.84,27.04,26.44,26.58,2528195
"2012-08-30",26.2,26.22,25.83,26.06,1296038
"2012-09-06",26.61,27.21,26.5,27.06,2595405
"2012-09-13",27.59,28.4,27.26,28.19,3757138
"2012-09-20",27.63,27.78,27.12,27.54,2649193
"2012-09-27",26.1,26.59,25.74,26.38,4180475
"2012-10-04",25.66,25.77,25.29,25.47,5058114
"2012-10-11",25.49,26.02,25.34,25.42,2717444
"2012-10-18",24.8,26.18,24.4,25.75,6069568
"2012-10-25",25.28,25.53,25.21,25.51,2210245
"2012-11-01",25.29,26.59,25.29,25.59,5158687
"2012-11-08",23.94,24.23,23.81,23.89,4649982
"2012-11-15",23.18,23.48,23.11,23.14,2541666
"2012-11-29",23.98,24.12,23.73,23.91,1319344
"2012-12-06",23.16,23.65,23.02,23.65,2260584
"2012-12-13",23.93,24.22,23.86,24.04,2724727
"2012-12-20",24.57,24.77,24.54,24.71,2340685
"2012-12-27",24.14,24.39,23.88,24.3,2404593
"2013-01-03",25.47,25.95,25.35,25.69,4971479
"2013-01-10",26.5,26.61,26.25,26.61,3027952
"2013-01-17",26.42,27.2,26.4,27.09,3749300
"2013-01-24",27.85,28.45,27.83,28.38,4931128
"2013-01-31",28.64,29.18,28.64,28.76,2792899
"2013-02-07",29.08,29.22,28.52,28.93,1891915
"2013-02-14",29.24,29.51,29.09,29.48,1856566
"2013-02-21",29.12,29.12,28.29,28.58,3385823
"2013-02-28",28.85,29.24,28.83,28.85,2073548
"2013-03-07",29.77,29.95,29.62,29.66,1983396
"2013-03-14",30.83,31.19,30.81,31.15,3778258
"2013-03-21",31,31.22,30.71,30.71,1396759
"2013-03-28",29.59,29.86,29.38,29.81,1822179
"2013-04-04",28.58,28.81,28.46,28.79,1954668
"2013-04-11",29.16,30.22,29.16,29.94,3814674
"2013-04-18",26.07,26.3,25.6,25.76,6123089
"2013-04-25",25.93,26.44,25.91,26.18,3909123
"2013-05-02",25.02,25.66,24.91,25.57,6194992
"2013-05-09",26.74,27.25,26.68,27.04,1813925
"2013-05-16",27.49,27.81,27.42,27.6,3978475
"2013-05-23",26.93,27.34,26.77,27.15,2916342
"2013-05-30",26.63,27.38,26.6,27.32,2804145
"2013-06-06",25.75,26.47,25.67,26.47,2068213
"2013-06-13",26.13,26.73,25.93,26.6,2252354
"2013-06-20",26.56,26.56,26.08,26.09,3153097
"2013-06-27",26.01,26.45,25.94,26.38,1063690
"2013-07-11",27.67,27.77,27.36,27.74,2750883
"2013-07-18",27.77,28.44,27.72,28.27,4095211
"2013-07-25",27.81,28.06,27.57,27.83,2800840
"2013-08-01",27.69,28.61,27.68,28.6,3315255
"2013-08-08",28.35,28.62,28.18,28.21,2446190
"2013-08-15",27.96,28.08,27.73,27.86,2253215
"2013-08-22",27.39,27.68,27.36,27.55,953647
"2013-08-29",26.66,27.41,26.66,27.41,2296825
"2013-09-05",27.54,28.08,27.47,28.06,1783880
"2013-09-12",29.39,29.41,28.29,28.43,4247457
"2013-09-19",29.42,29.42,28.87,29,1770308
"2013-09-26",27.87,27.96,27.63,27.94,2862175
"2013-10-03",27.48,27.55,26.71,27.1,2552326
"2013-10-10",26.82,27.29,26.74,27.26,1776992
"2013-10-17",26.97,27.57,26.85,27.52,2613632
"2013-10-24",28.53,29.06,28.53,29.04,2677175
"2013-10-31",28.91,29.06,28.62,28.79,1611332
"2013-11-07",29.53,29.8,29.24,29.38,2702719
"2013-11-14",31.02,31.18,30.45,30.67,2517833
"2013-11-21",30.59,31.67,30.59,31.51,2836692
"2013-12-05",31.57,32.52,31.54,32.3,1766571
"2013-12-12",31.58,31.74,31.4,31.51,1401097
"2013-12-19",32.51,32.76,32.42,32.57,1456654
"2013-12-26",36.32,36.69,36.08,36.2,1609168
"2014-01-02",36.75,36.75,36.18,36.29,1467225
"2014-01-09",35.99,36.1,35.6,35.82,1224465
"2014-01-16",35.51,35.79,35.41,35.65,1772141
"2014-01-23",37.72,38.09,37.46,37.79,3567753
"2014-01-30",36.56,36.87,36.15,36.39,1699212
"2014-02-06",34.44,35.36,34.44,35.27,1025204
"2014-02-13",36.46,36.88,36.19,36.84,933137
"2014-02-20",37.36,38.56,37.32,38.53,2668011
"2014-02-27",38.87,39.93,38.86,39.89,2595986
"2014-03-06",40.05,40.4,39.99,40.11,1261559
"2014-03-13",38.99,39.13,37.6,37.82,1966149
"2014-03-20",38.56,38.84,38.31,38.47,1245404
"2014-03-27",37.97,38.09,37.5,37.78,1091939
"2014-04-03",40.42,40.65,39.71,40.1,1622235
"2014-04-10",39.28,39.28,37.96,37.97,1892544
"2014-04-17",38.96,39.82,38.78,39.54,1739708
"2014-04-24",40.74,40.74,39.39,39.73,1878834
"2014-05-01",38.82,40.15,38.5,38.98,5341595
"2014-05-08",38.94,39.59,38.67,38.7,2050190
"2014-05-15",39.48,39.62,38.94,39.17,1906898
"2014-05-22",38.15,38.35,37.97,38.08,2151135
"2014-05-29",39.2,39.38,38.95,39.27,816297
"2014-06-05",39.26,39.62,39.19,39.58,2064301
"2014-06-12",40.05,40.08,39.25,39.38,1047216
"2014-06-19",39.65,39.9,39.24,39.49,1003165
"2014-06-26",38.17,38.27,37.54,38.05,1021002
"2014-07-03",38.39,38.46,38.25,38.33,1361806
"2014-07-10",36.98,37.59,36.61,37.34,2082487
"2014-07-17",38.83,39.35,38.32,38.32,2402148
"2014-07-24",38.32,38.53,37.95,37.99,1909769
"2014-07-31",36.58,36.78,36.29,36.37,2123882
"2014-08-07",36.38,36.65,36.1,36.15,1247765
"2014-08-14",38.25,38.33,37.6,37.74,2308280
"2014-08-21",38.92,39.09,38.59,39.03,1778299
"2014-08-28",38.22,38.26,37.89,38.01,1519423
"2014-09-04",38.02,38.4,37.6,37.72,1251086
"2014-09-11",37.53,37.76,37.32,37.49,1521044
"2014-09-18",36.91,36.94,36.61,36.74,1224173
"2014-09-25",36.02,36.02,35.54,35.54,1766282
"2014-10-02",35.35,35.49,34.72,35.38,1565276
"2014-10-09",34.66,34.67,33.44,33.51,1685480
"2014-10-16",32.94,34.05,32.67,33.66,2856716
"2014-10-23",37.31,38.54,37.29,38.16,2946633
"2014-10-30",40.44,41.25,40.3,41.07,3301219
"2014-11-06",42.09,42.37,41.86,42.23,1311222
"2014-11-13",42.1,42.5,41.96,42.15,1728808
"2014-11-20",42.7,43.24,42.52,42.99,1703530
"2014-12-04",43.3,43.42,42.36,42.47,1592571
"2014-12-11",40.65,41.25,40.51,40.59,1843943
"2014-12-18",41.37,42.01,41.35,41.99,1909294
"2015-01-08",41.86,43.33,41.85,43.32,2938667
"2015-01-15",42.49,42.71,41.9,42.33,3081759
"2015-01-22",42.85,43.68,42.44,43.46,1837876
"2015-01-29",41.99,42.83,40.95,42.56,4937057
"2015-02-05",43.2,43.67,43.04,43.54,1677515
"2015-02-12",43.42,44.2,43.15,44.19,1333498
"2015-02-19",44.25,44.88,44.12,44.79,923882
"2015-02-26",44.94,44.94,43.84,44.21,2004352
"2015-03-05",43.69,44.02,43.58,44.01,1315828
"2015-03-12",42.81,43.42,42.7,43.37,1387798
"2015-03-19",44.37,44.64,44.07,44.39,1978407
"2015-03-26",44.01,44.13,43.42,44,1352415
"2015-04-02",44.71,45.42,44.61,44.94,1963014
"2015-04-09",45.85,46.17,45.42,45.81,981771
"2015-04-16",45.65,46.17,45.21,46.11,1777337
"2015-04-23",44.46,44.89,44.18,44.72,1493356
"2015-04-30",43.87,44.39,43.7,43.98,2174634
"2015-05-07",44.43,44.9,44.25,44.68,1955578
"2015-05-14",46.27,46.88,46.09,46.86,2065352
"2015-05-21",46.63,46.81,46.48,46.51,751689
"2015-05-28",45.94,45.97,45.61,45.95,793993
"2015-06-04",45,45.14,44.48,44.53,968528
"2015-06-11",46.04,46.51,45.86,46.15,1537456
"2015-06-18",46.15,46.59,45.86,46.47,1146513
"2015-06-25",46.02,46.07,45.59,45.67,1367251
"2015-07-02",44.9,44.94,44.31,44.49,875710
"2015-07-09",43.92,44.37,43.61,43.69,1777030
"2015-07-16",43.89,44.33,43.73,44.03,1046600
"2015-07-23",42.17,42.52,41.66,41.69,1621158
"2015-07-30",43.69,44.39,43.59,44.18,2544090
