"","UAL.Open","UAL.High","UAL.Low","UAL.Close","UAL.Volume"
"2011-09-15",20.22,20.47,19.96,20.33,7333256
"2011-09-22",19.57,19.91,18.92,19.24,9345518
"2011-09-29",21.15,21.15,20.02,20.52,3205731
"2011-10-06",18.75,19.59,18.62,19.52,3817302
"2011-10-13",20.3,21.44,19.68,20.93,5847035
"2011-10-20",20.01,20.72,19.84,20.72,4094686
"2011-10-27",20.55,20.83,19.47,20.11,7297390
"2011-11-03",19.01,19.12,18.32,18.85,3918976
"2011-11-10",17.84,18.05,16.66,17.32,9344832
"2011-11-17",16.99,17.13,16.27,16.55,5917235
"2011-12-01",18.05,19.7,17.9,19.12,12322678
"2011-12-08",20.35,20.44,19.54,19.71,6286561
"2011-12-15",19.88,20.88,19.88,20.64,4639758
"2011-12-22",20.33,20.48,20.01,20.26,2761007
"2011-12-29",18.99,19.18,18.7,18.84,3153397
"2012-01-05",18.45,18.59,17.67,18.39,8124715
"2012-01-12",18,18.89,17.66,18.53,9987929
"2012-01-19",18.35,19.28,18.34,19.15,6181400
"2012-01-26",21.33,22.44,21.3,21.7,14024464
"2012-02-02",23.27,24.19,23.21,24.09,7057318
"2012-02-09",23.89,24.2,23.5,24,3892558
"2012-02-16",23.2,23.75,22.7,23.68,5435310
"2012-02-23",20.82,21.09,19.98,20.64,8944574
"2012-03-01",20.62,21.03,20.28,20.41,7604295
"2012-03-08",19.37,19.99,19.34,19.96,6756361
"2012-03-15",19.59,20.83,19.45,20.39,11017158
"2012-03-22",20.81,21.05,19.86,19.94,9399153
"2012-03-29",21.68,22.54,21.4,22.34,8386546
"2012-04-05",21.31,21.74,21.22,21.4,3481902
"2012-04-12",21.16,21.77,21.16,21.52,6392997
"2012-04-19",22.79,23.77,22.64,23.34,7321236
"2012-04-26",23.16,23.16,21.83,22.12,7828783
"2012-05-03",21.68,22.1,21.54,21.57,5634599
"2012-05-10",23.57,24,23.55,23.76,4284996
"2012-05-17",23.67,23.72,21.72,21.9,7500969
"2012-05-24",22.43,23.95,22.43,23.53,5924355
"2012-05-31",24.4,25.5,24.02,25.17,6220093
"2012-06-07",23.77,24.14,22.92,22.92,5172550
"2012-06-14",22.86,23.31,22.49,22.83,3325305
"2012-06-21",24.5,24.79,24.06,24.18,7441079
"2012-06-28",23.89,24.38,23.48,24.25,3468262
"2012-07-05",23.85,24.07,23.13,23.61,3669833
"2012-07-12",23.98,24.44,23.52,23.78,5959017
"2012-07-19",23.12,23.29,21.78,22.05,6094186
"2012-07-26",19.51,19.75,18.58,19.2,11803163
"2012-08-02",18.12,18.35,17.82,18.16,4353285
"2012-08-09",18.38,18.38,17.81,17.89,7154673
"2012-08-16",18.29,18.43,18.21,18.29,4689929
"2012-08-23",19.54,19.83,19.13,19.29,5220229
"2012-08-30",18.29,18.43,18.21,18.32,2763351
"2012-09-06",19.15,19.78,19.12,19.57,5482386
"2012-09-13",20.24,20.26,19.84,20.09,2560610
"2012-09-20",20.51,20.73,20.22,20.26,3815332
"2012-09-27",20.01,20.15,19.28,19.36,5156975
"2012-10-04",21.26,21.28,20.5,20.81,5019888
"2012-10-11",20.26,20.32,19.88,19.91,3471910
"2012-10-18",20.65,20.98,20.56,20.59,2343857
"2012-10-25",19.67,20.01,19.23,19.26,6864256
"2012-11-01",19.17,19.55,19.12,19.48,2237387
"2012-11-08",20.39,21.37,20.31,21.23,4730533
"2012-11-15",19.95,20.18,19.5,19.51,5090388
"2012-11-29",20.2,20.5,19.86,20.17,2329942
"2012-12-06",19.9,20.54,19.82,20.51,3168898
"2012-12-13",21.38,23.08,21.38,23.06,7565974
